,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,THEO PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Index,Strike,Option Type,Expiry,Slippages,PnL,Cumulative PnL,Strategy
1532,2017-01-25 14:50:00,BUY,2017-01-25 14:55:00,21.5,15.5,43.1375,2017-01-25 15:20:00,42.6,21.1,20.1385,,TSL Hit,1666.6666666666667,3.356416666666667,2017.0,1.0,NIFTY,8550.0,C,2017-01-25,0.9615,33564.16666666667,385672.51419966336,OPT BUY
12,2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,19492.3,19442.9,19442.9,2017-01-31 12:15:00,19442.9,-49.39999999999782,-53.29351999999782,-15206.004422258377,Initial SL Hit,307.8138547016001,-0.5468161273938718,2017.0,1.0,,,,,,,,POSITIONAL
13,2017-01-31 15:15:00,LONG,2017-02-01 09:15:00,19543.45,19488.85,19488.85,2017-02-01 11:15:00,19488.85,-54.60000000000218,-58.50323000000218,-16762.649378692764,Initial SL Hit,307.00823037897607,-0.5986991037918299,2017.0,2.0,,,,,,,,POSITIONAL
14,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,19941.7,19470.95,20334.152777777777,2017-02-07 15:15:00,20308.3,366.59999999999854,362.57499999999857,110301.52895690897,TSL Hit,300.8770566200474,3.6363499601337748,2017.0,2.0,,,,,,,,POSITIONAL
15,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,8658.8,8540.7,8755.213749999999,2017-02-09 10:15:00,8742.1,83.30000000000109,79.81982000000109,72152.03030443113,TSL Hit,866.1708319859565,2.3045866632790077,2017.0,2.0,,,,,,,,POSITIONAL
1533,2017-02-02 14:00:00,BUY,2017-02-02 14:05:00,54.8,24.65,41.9,2017-02-02 14:20:00,24.65,-30.15,-31.34175,,Initial SL hit,331.6749585406302,-1.0395273631840796,2017.0,2.0,BANKNIFTY,20100.0,C,2017-02-02,1.19175,-10395.273631840795,375277.2405678226,OPT BUY
1534,2017-02-02 14:25:00,BUY,2017-02-02 14:30:00,29.0,16.35,16.35,2017-02-02 15:00:00,16.35,-12.65,-13.33025,,Initial SL Hit,790.513833992095,-1.0537747035573124,2017.0,2.0,BANKNIFTY,20100.0,C,2017-02-02,0.68025,-10537.747035573124,364739.4935322495,OPT BUY
16,2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,20297.3,20268.35,20268.35,2017-02-08 13:15:00,20268.35,-28.950000000000728,-33.00656500000073,-8557.788474329314,Initial SL Hit,295.6058194932331,-0.325231089849396,2017.0,2.0,,,,,,,,POSITIONAL
17,2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,20300.1,20070.15,20070.15,2017-02-09 10:15:00,20070.15,-229.9499999999971,-233.9870249999971,-67965.18243752408,Initial SL Hit,295.5650464776036,-2.305279530642678,2017.0,2.0,,,,,,,,POSITIONAL
19,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,20108.3,20000.35,20221.766666666663,2017-02-10 14:15:00,20196.75,88.45000000000073,84.41949500000072,26392.086849709045,TSL Hit,298.38424929009415,0.8396482547008023,2017.0,2.0,,,,,,,,POSITIONAL
18,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,8755.55,8724.1,8780.695,2017-02-13 11:15:00,8770.25,14.700000000000728,11.194840000000728,12592.013065998764,TSL Hit,856.5995282991931,0.31964982211285214,2017.0,2.0,,,,,,,,POSITIONAL
20,2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,20194.2,20116.9,20235.38888888889,2017-02-14 11:15:00,20196.3,2.099999999998545,-1.939050000001456,623.9415277649656,TSL Hit,297.1150132216181,-0.019204028879593698,2017.0,2.0,,,,,,,,POSITIONAL
21,2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8763.65,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-33863.21815579636,TSL Hit,851.9048592653173,-1.2285481837388403,2017.0,2.0,,,,,,,,POSITIONAL
22,2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,20228.75,20158.85,20233.041666666668,2017-02-15 11:15:00,20158.85,-69.90000000000146,-73.93876000000145,-20732.86782426045,Initial SL hit,296.607551133906,-0.731026484582601,2017.0,2.0,,,,,,,,POSITIONAL
23,2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,8144.65,8116.35,8306.0125,2017-03-02 15:15:00,8300.6,155.95000000000073,152.66095000000072,143606.5392619702,TSL Hit,920.8498830520648,4.685927265137259,2017.0,2.0,,,,,,,,POSITIONAL
1535,2017-02-16 13:55:00,BUY,2017-02-16 14:00:00,29.15,14.85,14.85,2017-02-16 14:05:00,14.85,-14.3,-14.96,,Initial SL Hit,699.3006993006993,-1.0461538461538462,2017.0,2.0,BANKNIFTY,20300.0,C,2017-02-16,0.6599999999999999,-10461.53846153846,354277.95507071103,OPT BUY
25,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8814.35,8814.35,2017-02-17 13:15:00,8814.35,-22.44999999999891,-25.980229999998908,-19053.843020096847,Initial SL hit,848.7235198261815,-0.735001075049761,2017.0,2.0,,,,,,,,POSITIONAL
24,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,20707.2,20640.4,20640.4,2017-02-17 12:15:00,20640.4,-66.79999999999927,-70.93475999999927,-19355.586462679435,Initial SL hit,289.75428836346777,-0.6851216968011057,2017.0,2.0,,,,,,,,POSITIONAL
26,2017-02-20 09:15:00,LONG,2017-02-20 10:15:00,20560.8,20472.4,20859.316666666666,2017-02-23 14:15:00,20844.95,284.15000000000146,280.00942500000144,82919.92529473605,TSL Hit,291.8174390101553,2.7237211100735528,2017.0,2.0,,,,,,,,POSITIONAL
27,2017-02-20 10:15:00,LONG,2017-02-20 11:15:00,8840.7,8827.0,8897.61875,2017-02-27 15:15:00,8896.45,55.75,52.20257,47295.46302894567,TSL Hit,848.3491126268282,1.4762001312113295,2017.0,2.0,,,,,,,,POSITIONAL
1536,2017-02-23 13:40:00,BUY,2017-02-23 13:45:00,8.35,6.4,7.675000000000001,2017-02-23 14:00:00,6.75,-1.5999999999999996,-1.8265,,TSL Hit,5128.20512820513,-0.9366666666666668,2017.0,2.0,NIFTY,9000.0,C,2017-02-23,0.2264999999999999,-9366.666666666668,344911.28840404435,OPT BUY
28,2017-02-27 10:15:00,LONG,2017-02-27 11:15:00,20730.35,20669.65,20669.65,2017-02-27 14:15:00,20669.65,-60.69999999999709,-64.83999999999709,-17568.444334031148,Initial SL Hit,289.4307139049751,-0.6255562496532582,2017.0,2.0,,,,,,,,POSITIONAL
29,2017-02-27 15:15:00,LONG,2017-02-28 09:15:00,20632.25,20584.75,20584.75,2017-02-28 11:15:00,20584.75,-47.5,-51.6217,-13813.326224721006,Initial SL Hit,290.8068678888633,-0.5003981630699511,2017.0,2.0,,,,,,,,POSITIONAL
30,2017-02-28 11:15:00,LONG,2017-02-28 12:15:00,8894.5,8879.2,8879.2,2017-02-28 13:15:00,8879.2,-15.299999999999272,-18.85473999999927,-12901.231097868857,Initial SL Hit,843.2177188149981,-0.5299550283883094,2017.0,2.0,,,,,,,,POSITIONAL
31,2017-02-28 13:15:00,LONG,2017-02-28 14:15:00,20614.4,20560.6,20724.55277777778,2017-03-02 14:15:00,20560.6,-53.80000000000291,-57.91750000000291,-15658.95684570094,Initial SL hit,291.05867742936977,-0.5619130316672124,2017.0,2.0,,,,,,,,POSITIONAL
32,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8927.35,8927.35,2017-03-01 12:15:00,8927.35,-9.399999999999636,-12.972819999999636,-7888.773883122754,Initial SL hit,839.2312641620276,-0.3629065376115376,2017.0,3.0,,,,,,,,POSITIONAL
33,2017-03-01 13:15:00,LONG,2017-03-01 14:15:00,8942.45,8927.7,8930.06875,2017-03-02 14:15:00,8927.7,-14.75,-18.32403,-12370.770873753836,Initial SL hit,838.6963304239889,-0.5122765573193029,2017.0,3.0,,,,,,,,POSITIONAL
1537,2017-03-02 14:10:00,BUY,2017-03-02 14:15:00,6.5,4.05,76.5,2017-03-02 15:05:00,75.95,69.45,68.21325,,TSL Hit,4081.632653061224,27.84214285714286,2017.0,3.0,BANKNIFTY,20700.0,P,2017-03-02,1.23675,278421.4285714286,623332.7169754729,OPT BUY
34,2017-03-03 12:15:00,LONG,2017-03-03 13:15:00,8241.75,8221.2,8323.20375,2017-03-10 13:15:00,8296.75,55.0,51.6923,50050.05005005005,TSL Hit,910.00091000091,1.5680013346680015,2017.0,3.0,,,,,,,,POSITIONAL
35,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8914.0,8927.73125,2017-03-08 10:15:00,8914.0,-46.25,-49.82485,-38712.64752657571,Initial SL hit,837.0302167908261,-1.3901634999023464,2017.0,3.0,,,,,,,,POSITIONAL
36,2017-03-08 14:15:00,LONG,2017-03-08 15:15:00,20687.15,20628.2,20634.411111111112,2017-03-09 09:15:00,20628.2,-58.95000000000073,-63.08153500000073,-17097.570230795653,Initial SL hit,290.03511841892185,-0.609862015792419,2017.0,3.0,,,,,,,,POSITIONAL
37,2017-03-09 10:15:00,LONG,2017-03-09 11:15:00,20705.35,20662.45,20662.45,2017-03-09 12:15:00,20662.45,-42.89999999999782,-47.03677999999782,-12431.569618479616,Initial SL hit,289.78017758695216,-0.4543442153839256,2017.0,3.0,,,,,,,,POSITIONAL
38,2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,8915.2,8905.6,8905.6,2017-03-09 13:15:00,8905.6,-9.600000000000364,-13.164160000000363,-8076.09475951215,Initial SL Hit,841.2598707824837,-0.36914931801867495,2017.0,3.0,,,,,,,,POSITIONAL
39,2017-03-09 13:15:00,LONG,2017-03-09 14:15:00,20697.8,20649.9,20684.36111111111,2017-03-10 13:15:00,20649.9,-47.89999999999782,-52.03476999999782,-13885.53372822169,Initial SL hit,289.8858815912802,-0.502804839161629,2017.0,3.0,,,,,,,,POSITIONAL
40,2017-03-10 11:15:00,LONG,2017-03-10 12:15:00,8941.8,8927.85,8927.85,2017-03-10 13:15:00,8927.85,-13.949999999998909,-17.52392999999891,-11700.66429577846,Initial SL hit,838.7572971884856,-0.48994413876397686,2017.0,3.0,,,,,,,,POSITIONAL
41,2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,8516.55,8494.8,8494.8,2017-03-14 14:15:00,8494.8,-21.75,-25.15227,-19153.88273420576,Initial SL hit,880.6382866301497,-0.7383350652552974,2017.0,3.0,,,,,,,,POSITIONAL
42,2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,21180.85,21119.35,21119.35,2017-03-14 12:15:00,21119.35,-61.5,-65.73002,-17421.39715828213,Initial SL hit,283.2747505411728,-0.6206551672855433,2017.0,3.0,,,,,,,,POSITIONAL
43,2017-03-14 12:15:00,LONG,2017-03-14 13:15:00,9082.9,9072.2,9072.2,2017-03-14 14:15:00,9072.2,-10.699999999998909,-14.331019999998908,-8835.283885101875,Initial SL hit,825.7274658974557,-0.39445056094416175,2017.0,3.0,,,,,,,,POSITIONAL
45,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,21116.2,21059.7,21192.53888888889,2017-03-17 09:15:00,21183.4,67.20000000000073,62.97004000000073,19094.34462640079,TSL Hit,284.14203313096107,0.5964145063979384,2017.0,3.0,,,,,,,,POSITIONAL
44,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,9091.9,9073.2,9111.17375,2017-03-21 11:15:00,9104.3,12.399999999999636,8.760759999999637,10228.885051529083,TSL Hit,824.9100848007567,0.24089464248395928,2017.0,3.0,,,,,,,,POSITIONAL
46,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,8515.65,8499.15,8499.15,2017-03-15 09:15:00,8499.15,-16.5,-19.90296,-14532.06742879287,Initial SL hit,880.73135932078,-0.5843053671769037,2017.0,3.0,,,,,,,,POSITIONAL
47,2017-03-15 12:15:00,LONG,2017-03-15 13:15:00,8544.15,8534.4,8534.4,2017-03-15 13:15:00,8534.4,-9.75,-13.16571,-8558.487386106284,Initial SL hit,877.793578062183,-0.38522585628763556,2017.0,3.0,,,,,,,,POSITIONAL
48,2017-03-16 11:15:00,LONG,2017-03-16 12:15:00,8584.35,8568.4,8568.4,2017-03-20 09:15:00,8568.4,-15.950000000000728,-19.380550000000728,-13935.24262174835,Initial SL hit,873.6829229935871,-0.5644151857741333,2017.0,3.0,,,,,,,,POSITIONAL
49,2017-03-17 11:15:00,LONG,2017-03-17 12:15:00,21179.3,21127.95,21127.95,2017-03-20 09:15:00,21127.95,-51.34999999999855,-55.580724999998544,-14547.222996038174,Initial SL Hit,283.2954819092227,-0.5248589424579523,2017.0,3.0,,,,,,,,POSITIONAL
50,2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,21132.6,21086.35,21086.35,2017-03-21 09:15:00,21086.35,-46.25,-50.471895,-13131.370489196786,Initial SL Hit,283.92152409074134,-0.477668578404929,2017.0,3.0,,,,,,,,POSITIONAL
51,2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,8596.5,8565.3,8565.3,2017-03-21 11:15:00,8565.3,-31.200000000000728,-34.63236000000073,-27220.380387367582,Initial SL hit,872.4480893386843,-1.0071645437096708,2017.0,3.0,,,,,,,,POSITIONAL
54,2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,9105.95,9087.8,9087.8,2017-03-21 13:15:00,9087.8,-18.15000000000145,-21.788750000001457,-14949.016851620192,Initial SL Hit,823.6372921002201,-0.598200901608329,2017.0,3.0,,,,,,,,POSITIONAL
52,2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,21028.7,20980.55,20980.55,2017-03-21 13:15:00,20980.55,-48.150000000001455,-52.35092500000145,-13738.367088788596,Initial SL Hit,285.3243424462758,-0.49789977506932387,2017.0,3.0,,,,,,,,POSITIONAL
53,2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,8551.6,8535.5,8535.5,2017-03-21 14:15:00,8535.5,-16.100000000000364,-19.517420000000364,-14120.164647551654,Initial SL hit,877.0288600963562,-0.5705780204874048,2017.0,3.0,,,,,,,,POSITIONAL
55,2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,9125.65,9097.05,9097.05,2017-03-22 09:15:00,9047.6,-78.04999999999927,-81.68464999999927,-64146.11561916077,Gap Open Outside ISL,821.8592648194923,-2.2377762132012315,2017.0,3.0,,,,,,,,POSITIONAL
56,2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,21027.65,20967.0,20967.0,2017-03-22 09:15:00,20816.05,-211.60000000000215,-215.78437000000216,-60377.64562373889,Gap Open Outside ISL,285.3385899042451,-2.052386928639217,2017.0,3.0,,,,,,,,POSITIONAL
57,2017-03-22 11:15:00,LONG,2017-03-22 12:15:00,20863.75,20827.0,20827.0,2017-03-22 14:15:00,20827.0,-36.75,-40.919075,-10568.569887963571,Initial SL Hit,287.5801330058115,-0.3922504343658259,2017.0,3.0,,,,,,,,POSITIONAL
58,2017-03-22 11:15:00,LONG,2017-03-22 12:15:00,8488.8,8472.6,8472.6,2017-03-22 14:15:00,8472.6,-16.19999999999891,-19.592279999998908,-14312.97709923568,Initial SL hit,883.5171048911508,-0.577003816793861,2017.0,3.0,,,,,,,,POSITIONAL
59,2017-03-23 13:15:00,LONG,2017-03-23 14:15:00,8491.75,8474.35,8795.643125,2017-04-19 09:15:00,8785.35,293.6000000000004,290.1445800000004,259310.5072570439,TSL Hit,883.2101745812112,8.54195483851975,2017.0,3.0,,,,,,,,POSITIONAL
60,2017-03-28 09:15:00,LONG,2017-03-28 10:15:00,9096.9,9080.8,9080.8,2017-03-28 14:15:00,9080.8,-16.100000000000364,-19.735540000000363,-13273.75259703885,Initial SL hit,824.4566830458728,-0.5423699282173148,2017.0,3.0,,,,,,,,POSITIONAL
61,2017-03-28 10:15:00,LONG,2017-03-28 11:15:00,21228.65,21171.9,21466.50277777778,2017-03-31 14:15:00,21440.7,212.04999999999927,207.78306499999928,59933.15637122453,TSL Hit,282.63690814064955,1.9575721018529137,2017.0,3.0,,,,,,,,POSITIONAL
62,2017-03-29 10:15:00,LONG,2017-03-29 11:15:00,9126.1,9117.95,9117.95,2017-03-29 14:15:00,9117.95,-8.149999999999636,-11.798809999999635,-6697.8227282187645,Initial SL hit,821.8187396587808,-0.3232161054557707,2017.0,3.0,,,,,,,,POSITIONAL
63,2017-03-29 15:15:00,LONG,2017-03-30 09:15:00,9153.15,9143.1,9143.1,2017-03-30 09:15:00,9143.1,-10.049999999999272,-13.709249999999273,-8234.869962799095,Initial SL hit,819.3900460497206,-0.37444076629355116,2017.0,3.0,,,,,,,,POSITIONAL
64,2017-03-30 12:15:00,LONG,2017-03-30 13:15:00,9157.85,9148.55,9148.55,2017-03-30 13:15:00,9148.55,-9.300000000001091,-12.961280000001093,-7616.416516978132,Initial SL hit,818.9695179545417,-0.3538297744558246,2017.0,3.0,,,,,,,,POSITIONAL
65,2017-03-30 14:15:00,LONG,2017-03-30 15:15:00,9181.6,9145.95,9213.715,2017-04-07 14:15:00,9193.75,12.149999999999636,8.474929999999636,9924.740785919366,TSL Hit,816.8510934913304,0.2307585279254061,2017.0,3.0,,,,,,,,POSITIONAL
66,2017-04-03 10:15:00,LONG,2017-04-03 11:15:00,21493.35,21429.25,21575.46388888889,2017-04-06 12:15:00,21564.1,70.75,66.444255,19750.294858642326,TSL Hit,279.15611107621663,0.6182773276385488,2017.0,4.0,,,,,,,,POSITIONAL
1538,2017-04-06 14:10:00,BUY,2017-04-06 14:15:00,81.0,73.0,73.0,2017-04-06 14:30:00,73.0,-8.0,-10.31,,Initial SL hit,1250.0,-1.28875,2017.0,4.0,BANKNIFTY,21600.0,P,2017-04-06,2.31,-12887.5,610445.2169754729,OPT BUY
67,2017-04-06 13:15:00,LONG,2017-04-06 14:15:00,21604.15,21560.95,21560.95,2017-04-06 14:15:00,21560.95,-43.20000000000073,-47.51651000000073,-11997.694887325091,Initial SL Hit,277.7244186880761,-0.43988317059454535,2017.0,4.0,,,,,,,,POSITIONAL
68,2017-04-07 09:15:00,LONG,2017-04-07 10:15:00,21607.4,21514.6,21514.6,2017-04-07 14:15:00,21514.6,-92.80000000000292,-97.11220000000291,-25768.949526551893,Initial SL Hit,277.6826457602488,-0.8988790877199747,2017.0,4.0,,,,,,,,POSITIONAL
69,2017-04-10 10:15:00,LONG,2017-04-10 11:15:00,21498.55,21431.65,21692.286111111112,2017-04-13 14:15:00,21678.1,179.54999999999927,175.23233499999927,50110.35627984192,TSL Hit,279.0885896955841,1.6301781748071313,2017.0,4.0,,,,,,,,POSITIONAL
70,2017-04-13 15:15:00,LONG,2017-04-17 09:15:00,21711.6,21665.0,21665.0,2017-04-17 09:15:00,21665.0,-46.59999999999855,-50.937659999998544,-12877.908583429651,Initial SL Hit,276.34996960150335,-0.4692206930857104,2017.0,4.0,,,,,,,,POSITIONAL
71,2017-04-17 14:15:00,LONG,2017-04-17 15:15:00,21649.75,21599.75,21728.05277777778,2017-04-18 14:15:00,21682.9,33.150000000001455,28.81673500000145,9187.173062045,TSL Hit,277.1394588852065,0.26620847815795984,2017.0,4.0,,,,,,,,POSITIONAL
72,2017-04-18 15:15:00,LONG,2017-04-19 09:15:00,21695.1,21651.5,21651.5,2017-04-19 09:15:00,21651.5,-43.59999999999855,-47.934659999998544,-12058.022318403291,Initial SL Hit,276.560144917516,-0.4418938838723819,2017.0,4.0,,,,,,,,POSITIONAL
73,2017-04-19 10:15:00,LONG,2017-04-19 11:15:00,21613.7,21560.95,21560.95,2017-04-19 11:15:00,21560.95,-52.75,-57.067465,-14643.49000865192,Initial SL Hit,277.60170632515485,-0.5280675219883685,2017.0,4.0,,,,,,,,POSITIONAL
74,2017-04-19 14:15:00,LONG,2017-04-19 15:15:00,21582.7,21470.2,21470.2,2017-04-20 09:15:00,21437.55,-145.15000000000146,-149.45202500000147,-40351.763217762775,Gap Open Outside ISL,278.00043553401565,-1.3849242680480334,2017.0,4.0,,,,,,,,POSITIONAL
75,2017-04-19 14:15:00,LONG,2017-04-19 15:15:00,8791.5,8759.2,8800.654375,2017-04-21 11:15:00,8788.05,-3.450000000000728,-6.965910000000728,-2943.183757038669,TSL Hit,853.0967411704487,-0.1980865040095754,2017.0,4.0,,,,,,,,POSITIONAL
76,2017-04-20 10:15:00,LONG,2017-04-20 11:15:00,21539.3,21443.6,21443.6,2017-04-21 12:15:00,21443.6,-95.70000000000071,-99.99829000000072,-26658.24794677656,Initial SL Hit,278.5605846058136,-0.9285194040660628,2017.0,4.0,,,,,,,,POSITIONAL
77,2017-04-21 14:15:00,LONG,2017-04-21 15:15:00,8819.3,8765.95,9256.559375,2017-05-19 11:15:00,9214.2,394.9000000000015,391.2933000000015,335825.97258285934,TSL Hit,850.4076287233681,11.091960246278092,2017.0,4.0,,,,,,,,POSITIONAL
78,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,21737.15,21683.55,22215.82777777778,2017-04-28 09:15:00,22206.05,468.8999999999978,464.5056799999978,129428.19090819111,TSL Hit,276.0251458907906,4.27384160297001,2017.0,4.0,,,,,,,,POSITIONAL
79,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,9166.95,9153.8,9312.7975,2017-05-03 11:15:00,9309.1,142.14999999999964,138.45478999999963,116300.9506978872,TSL Hit,818.1565297072635,3.775923016924921,2017.0,4.0,,,,,,,,POSITIONAL
1539,2017-04-27 13:35:00,BUY,2017-04-27 13:40:00,16.9,13.5,13.5,2017-04-27 13:55:00,13.5,-3.3999999999999986,-3.855999999999999,,Initial SL Hit,2941.1764705882365,-1.1341176470588237,2017.0,4.0,NIFTY,9350.0,C,2017-04-27,0.4559999999999999,-11341.176470588236,599104.0405048847,OPT BUY
1540,2017-04-27 14:00:00,BUY,2017-04-27 14:05:00,16.95,12.15,12.15,2017-04-27 14:15:00,12.15,-4.799999999999999,-5.236499999999999,,Initial SL Hit,2083.333333333334,-1.0909375,2017.0,4.0,NIFTY,9350.0,C,2017-04-27,0.4365,-10909.375,588194.6655048847,OPT BUY
1541,2017-04-27 14:45:00,BUY,2017-04-27 14:50:00,42.55,24.35,24.35,2017-04-27 15:05:00,24.35,-18.2,-19.203499999999995,,Initial SL Hit,549.4505494505496,-1.0551373626373626,2017.0,4.0,BANKNIFTY,22300.0,C,2017-04-27,1.0035,-10551.373626373626,577643.2918785111,OPT BUY
