,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,THEO PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Index,Strike,Option Type,Expiry,Slippages,PnL,Cumulative PnL,Strategy
1527,2017-01-05 14:00:00,BUY,2017-01-05 14:05:00,34.95,25.95,25.95,2017-01-05 14:15:00,25.95,-9.000000000000004,-9.913500000000004,,Initial SL Hit,1111.1111111111106,-1.1015,2017.0,1.0,BANKNIFTY,18100.0,C,2017-01-05,0.9135,-11015.0,-11015.0,OPT BUY
0,2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,146470.342143079,TSL Hit,909.4712334248868,4.7813682691550135,2017.0,1.0,,,,,,,,POSITIONAL
1,2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111117,2017-01-19 09:15:00,19071.85,401.0,397.22573,128863.97780497409,TSL Hit,321.35655312961114,4.255036380239787,2017.0,1.0,,,,,,,,POSITIONAL
2,2017-01-17 12:15:00,LONG,2017-01-17 13:15:00,7622.55,7590.5,7590.5,2017-01-20 09:15:00,7575.95,-46.60000000000037,-49.63970000000037,-45850.79796131251,Gap Open Outside ISL,983.9227030324496,-1.6280542600573418,2017.0,1.0,,,,,,,,POSITIONAL
3,2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-35089.28010717799,Gap Open Outside ISL,313.9980322789977,-1.2095257059722426,2017.0,1.0,,,,,,,,POSITIONAL
4,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,7572.1,7553.65,7553.65,2017-01-20 12:15:00,7553.65,-18.450000000000728,-21.475150000000728,-18274.322843069356,Initial SL hit,990.4782028763486,-0.7090222659500246,2017.0,1.0,,,,,,,,POSITIONAL
5,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-16254.175324162965,Initial SL Hit,315.6150548381158,-0.5817516635543515,2017.0,1.0,,,,,,,,POSITIONAL
6,2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,7509.9,7494.55,7494.55,2017-01-23 12:15:00,7494.55,-15.349999999999454,-18.350889999999456,-15329.764710581489,Initial SL Hit,998.681740103064,-0.6108899585879791,2017.0,1.0,,,,,,,,POSITIONAL
7,2017-01-23 13:15:00,LONG,2017-01-23 14:15:00,7511.3,7486.0,8146.24375,2017-02-16 09:15:00,8126.9,615.5999999999995,612.4723599999994,614673.8913370516,TSL Hit,998.4955999627228,20.385031885292808,2017.0,1.0,,,,,,,,POSITIONAL
8,2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-10417.46255483418,Initial SL hit,316.15971334852657,-0.3872140269526232,2017.0,1.0,,,,,,,,POSITIONAL
9,2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-14253.490106922733,Initial SL hit,888.0679194344784,-0.5750213136300449,2017.0,1.0,,,,,,,,POSITIONAL
10,2017-01-24 13:15:00,LONG,2017-01-24 14:15:00,19013.15,18935.05,19601.18888888889,2017-01-30 15:15:00,19590.3,577.1499999999978,573.2896549999978,182131.8403315593,TSL Hit,315.57106528902364,6.030454238250871,2017.0,1.0,,,,,,,,POSITIONAL
11,2017-01-24 14:15:00,LONG,2017-01-24 15:15:00,8476.1,8454.5,8563.572499999998,2017-02-01 11:15:00,8547.1,71.0,67.59536,62823.70429796722,TSL Hit,884.8409056051721,1.9937046519035875,2017.0,1.0,,,,,,,,POSITIONAL
1528,2017-01-25 13:30:00,BUY,2017-01-25 13:35:00,10.95,7.25,7.25,2017-01-25 14:00:00,7.25,-3.6999999999999993,-3.973,,Initial SL Hit,2702.7027027027034,-1.0737837837837838,2017.0,1.0,NIFTY,8550.0,C,2017-01-25,0.2729999999999999,-10737.837837837838,-21752.83783783784,OPT BUY
1529,2017-01-25 14:00:00,BUY,2017-01-25 14:05:00,15.15,9.45,9.45,2017-01-25 14:10:00,9.45,-5.700000000000001,-6.069000000000001,,Initial SL Hit,1754.3859649122803,-1.064736842105263,2017.0,1.0,BANKNIFTY,19300.0,C,2017-01-25,0.369,-10647.36842105263,-32400.20625889047,OPT BUY
1530,2017-01-25 14:10:00,BUY,2017-01-25 14:15:00,10.55,6.0,21.0125,2017-01-25 14:45:00,20.75,10.2,9.7305,,TSL Hit,2197.802197802197,2.1385714285714283,2017.0,1.0,NIFTY,8550.0,C,2017-01-25,0.4695,21385.714285714283,-11014.491973176187,OPT BUY
1531,2017-01-25 14:20:00,BUY,2017-01-25 14:25:00,11.35,7.3,148.5,2017-01-25 15:20:00,161.0,149.65,147.06475,,EOD Exit,2469.135802469136,36.312283950617285,2017.0,1.0,BANKNIFTY,19300.0,C,2017-01-25,2.58525,363122.83950617287,352108.3475329967,OPT BUY
