,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
35,sensex,72100,C,2024-02-02,2024-02-02 14:39:00,BUY,2024-02-02 14:42:00,95.6,65.05,65.05,2024-02-02 14:51:00,65.05,-30.549999999999997,2.4097499999999994,-32.95975,-26971.972176759413,Initial SL Hit,818.3306055646482,-1.0788788870703765,2024,2
37,sensex,72500,C,2024-02-16,2024-02-16 14:27:00,BUY,2024-02-16 14:30:00,34.35,18.3,26.9375,2024-02-16 14:42:00,18.8,-15.55,0.79725,-16.347250000000003,-25463.006230529598,TSL Hit,1557.632398753894,-1.018520249221184,2024,2
39,sensex,73700,C,2024-03-01,2024-03-01 14:45:00,BUY,2024-03-01 14:48:00,95.0,58.2,58.2,2024-03-01 14:51:00,58.2,-36.8,2.2979999999999996,-39.098,-26561.141304347828,Initial SL Hit,679.3478260869566,-1.0624456521739132,2024,3
40,sensex,72600,C,2024-03-15,2024-03-15 14:39:00,BUY,2024-03-15 14:42:00,55.65,34.6,88.36250000000001,2024-03-15 15:00:00,68.05,12.399999999999999,1.8554999999999997,10.5445,12523.159144893112,TSL Hit,1187.6484560570073,0.5009263657957245,2024,3
42,sensex,72900,C,2024-03-22,2024-03-22 14:33:00,BUY,2024-03-22 14:36:00,70.7,46.55,153.475,2024-03-22 14:51:00,142.35,71.64999999999999,3.19575,68.45424999999999,70863.61283643889,TSL Hit,1035.1966873706,2.8345445134575558,2024,3
43,sensex,74200,C,2024-04-05,2024-04-05 14:51:00,BUY,2024-04-05 14:54:00,41.8,23.1,23.1,2024-04-05 15:21:00,48.0,6.200000000000003,1.347,4.853000000000003,6487.967914438509,EOD Exit,1336.8983957219255,0.25951871657754033,2024,4
44,sensex,74300,C,2024-04-12,2024-04-12 14:36:00,BUY,2024-04-12 14:39:00,85.35,56.0,56.0,2024-04-12 14:42:00,56.0,-29.349999999999994,2.12025,-31.470249999999993,-26806.005110732538,Initial SL Hit,851.7887563884159,-1.0722402044293013,2024,4
46,sensex,73000,C,2024-04-19,2024-04-19 14:54:00,BUY,2024-04-19 14:57:00,94.55,47.45,47.45,2024-04-19 15:00:00,47.45,-47.099999999999994,2.13,-49.23,-26130.573248407647,Initial SL Hit,530.7855626326965,-1.0452229299363058,2024,4
47,sensex,73800,C,2024-04-26,2024-04-26 14:42:00,BUY,2024-04-26 14:45:00,69.2,50.6,50.6,2024-04-26 14:57:00,50.6,-18.6,1.7970000000000002,-20.397000000000002,-27415.322580645163,Initial SL Hit,1344.0860215053763,-1.0966129032258065,2024,4
49,sensex,73600,C,2024-05-03,2024-05-03 14:33:00,BUY,2024-05-03 14:36:00,109.5,52.45,282.4,2024-05-03 15:21:00,281.3,171.8,5.862,165.93800000000002,72716.03856266434,TSL Hit,438.21209465381247,2.9086415425065737,2024,5
50,sensex,72500,C,2024-05-10,2024-05-10 14:39:00,BUY,2024-05-10 14:42:00,83.0,57.65,97.69999999999999,2024-05-10 14:51:00,89.3,6.299999999999997,2.5845000000000002,3.715499999999997,3664.2011834319496,TSL Hit,986.1932938856015,0.146568047337278,2024,5
51,sensex,72500,C,2024-05-10,2024-05-10 14:54:00,BUY,2024-05-10 14:57:00,107.35,72.8,161.0,2024-05-10 15:21:00,160.05,52.70000000000002,4.010999999999999,48.68900000000002,35230.82489146166,TSL Hit,723.589001447178,1.4092329956584664,2024,5
57,sensex,76600,C,2024-06-07,2024-06-07 14:27:00,BUY,2024-06-07 14:30:00,153.5,93.1,93.1,2024-06-07 14:36:00,93.1,-60.400000000000006,3.699,-64.099,-26531.043046357612,Initial SL Hit,413.90728476821187,-1.0612417218543047,2024,6
58,sensex,76600,C,2024-06-07,2024-06-07 14:48:00,BUY,2024-06-07 14:51:00,178.15,35.7,194.58750000000003,2024-06-07 15:00:00,137.9,-40.25,4.74075,-44.99075,-7895.884520884521,TSL Hit,175.50017550017552,-0.3158353808353808,2024,6
60,sensex,76900,C,2024-06-14,2024-06-14 14:30:00,BUY,2024-06-14 14:33:00,41.75,30.7,102.8875,2024-06-14 15:06:00,91.45,49.7,1.9979999999999998,47.702000000000005,107923.07692307692,TSL Hit,2262.443438914027,4.316923076923077,2024,6
61,sensex,77000,C,2024-06-21,2024-06-21 14:48:00,BUY,2024-06-21 14:51:00,173.0,82.3,307.42499999999995,2024-06-21 15:06:00,242.7,69.69999999999999,6.2355,63.46449999999999,17492.971334068352,TSL Hit,275.63395810363835,0.6997188533627341,2024,6
63,sensex,79400,C,2024-06-28,2024-06-28 14:48:00,BUY,2024-06-28 14:51:00,39.55,13.05,13.05,2024-06-28 14:57:00,13.05,-26.499999999999996,0.7889999999999999,-27.288999999999998,-25744.33962264151,Initial SL Hit,943.3962264150945,-1.0297735849056604,2024,6
66,sensex,79600,C,2024-07-05,2024-07-05 15:00:00,BUY,2024-07-05 15:03:00,147.8,20.65,397.1125,2024-07-05 15:21:00,410.0,262.2,8.366999999999999,253.833,49908.17931576877,EOD Exit,196.61816751867872,1.9963271726307508,2024,7
72,sensex,81100,C,2024-07-26,2024-07-26 14:36:00,BUY,2024-07-26 14:39:00,166.0,113.45,113.45,2024-07-26 14:42:00,113.45,-52.55,4.19175,-56.741749999999996,-26994.17221693625,Initial SL Hit,475.7373929590866,-1.07976688867745,2024,7
73,sensex,81100,C,2024-07-26,2024-07-26 14:48:00,BUY,2024-07-26 14:51:00,188.0,104.9,228.78750000000002,2024-07-26 15:21:00,227.9,39.900000000000006,6.238499999999999,33.661500000000004,10126.805054151626,TSL Hit,300.8423586040915,0.40507220216606504,2024,7
