,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,bnf,18100,C,2017-01-05,2017-01-05 14:00:00,BUY,2017-01-05 14:05:00,34.95,25.95,25.95,2017-01-05 14:15:00,25.95,-9.000000000000004,0.9135000000000001,-9.913500000000004,-11015.0,Initial SL Hit,1111.1111111111106,-1.1015000000000001,2017,1
1,bnf,19300,C,2017-01-25,2017-01-25 14:00:00,BUY,2017-01-25 14:05:00,15.15,9.45,9.45,2017-01-25 14:10:00,9.45,-5.700000000000001,0.369,-6.069000000000001,-10647.36842105263,Initial SL Hit,1754.3859649122803,-1.064736842105263,2017,1
2,bnf,19300,C,2017-01-25,2017-01-25 14:20:00,BUY,2017-01-25 14:25:00,11.35,7.3,148.5,2017-01-25 15:20:00,161.0,149.65,2.58525,147.06475,363122.83950617287,EOD Exit,2469.135802469136,36.312283950617285,2017,1
3,bnf,20100,C,2017-02-02,2017-02-02 14:00:00,BUY,2017-02-02 14:05:00,54.8,24.65,41.9,2017-02-02 14:20:00,24.65,-30.15,1.1917499999999999,-31.341749999999998,-10395.273631840795,Initial SL hit,331.6749585406302,-1.0395273631840796,2017,2
4,bnf,20100,C,2017-02-02,2017-02-02 14:25:00,BUY,2017-02-02 14:30:00,29.0,16.35,16.35,2017-02-02 15:00:00,16.35,-12.649999999999999,0.68025,-13.33025,-10537.747035573124,Initial SL Hit,790.513833992095,-1.0537747035573124,2017,2
5,bnf,20300,C,2017-02-16,2017-02-16 13:55:00,BUY,2017-02-16 14:00:00,29.15,14.85,14.85,2017-02-16 14:05:00,14.85,-14.299999999999999,0.6599999999999999,-14.959999999999999,-10461.538461538461,Initial SL Hit,699.3006993006993,-1.0461538461538462,2017,2
6,bnf,20700,P,2017-03-02,2017-03-02 14:10:00,BUY,2017-03-02 14:15:00,6.5,4.05,76.5,2017-03-02 15:05:00,75.95,69.45,1.23675,68.21325,278421.4285714286,TSL Hit,4081.632653061224,27.84214285714286,2017,3
7,bnf,21600,P,2017-04-06,2017-04-06 14:10:00,BUY,2017-04-06 14:15:00,81.0,73.0,73.0,2017-04-06 14:30:00,73.0,-8.0,2.31,-10.31,-12887.5,Initial SL hit,1250.0,-1.28875,2017,4
8,bnf,22300,C,2017-04-27,2017-04-27 14:45:00,BUY,2017-04-27 14:50:00,42.55,24.35,24.35,2017-04-27 15:05:00,24.35,-18.199999999999996,1.0035,-19.203499999999995,-10551.373626373626,Initial SL Hit,549.4505494505496,-1.0551373626373626,2017,4
9,bnf,22700,C,2017-05-04,2017-05-04 14:05:00,BUY,2017-05-04 14:10:00,15.4,7.75,30.6,2017-05-04 14:40:00,24.45,9.049999999999999,0.59775,8.45225,11048.692810457514,TSL Hit,1307.18954248366,1.1048692810457514,2017,5
10,bnf,22700,C,2017-05-04,2017-05-04 14:45:00,BUY,2017-05-04 14:50:00,28.75,16.35,16.35,2017-05-04 14:55:00,16.35,-12.399999999999999,0.6765,-13.0765,-10545.564516129032,Initial SL Hit,806.4516129032259,-1.0545564516129031,2017,5
