,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
33,finnifty,18500,C,2023-02-14,2023-02-14 13:00:00,BUY,2023-02-14 13:05:00,14.65,12.0,12.0,2023-02-14 13:30:00,12.0,-2.6500000000000004,0.39974999999999994,-3.0497500000000004,-28771.226415094337,Initial SL Hit,9433.962264150941,-1.1508490566037735,2023,2
34,finnifty,18500,C,2023-02-14,2023-02-14 13:40:00,BUY,2023-02-14 13:45:00,12.2,8.45,47.47500000000001,2023-02-14 15:05:00,47.15,34.95,0.8902499999999999,34.05975,227065.00000000003,TSL Hit,6666.666666666667,9.082600000000001,2023,2
35,finnifty,18500,C,2023-02-14,2023-02-14 15:10:00,BUY,2023-02-14 15:15:00,46.75,37.5,37.5,2023-02-14 15:20:00,45.6,-1.1499999999999986,1.3852499999999999,-2.5352499999999987,-6852.027027027023,EOD Exit,2702.7027027027025,-0.2740810810810809,2023,2
41,finnifty,17500,C,2023-03-14,2023-03-14 13:40:00,BUY,2023-03-14 13:45:00,43.95,26.25,26.25,2023-03-14 13:50:00,26.25,-17.700000000000003,1.053,-18.753000000000004,-26487.288135593222,Initial SL Hit,1412.4293785310733,-1.059491525423729,2023,3
42,finnifty,17500,C,2023-03-14,2023-03-14 13:55:00,BUY,2023-03-14 14:00:00,27.7,16.55,16.55,2023-03-14 14:15:00,16.55,-11.149999999999999,0.66375,-11.813749999999999,-26488.22869955157,Initial SL Hit,2242.1524663677133,-1.059529147982063,2023,3
43,finnifty,17700,C,2023-03-21,2023-03-21 13:30:00,BUY,2023-03-21 13:35:00,23.4,15.95,55.00714285714286,2023-03-21 15:10:00,53.6,30.200000000000003,1.155,29.045,97466.44295302016,TSL Hit,3355.7046979865777,3.8986577181208064,2023,3
44,finnifty,18100,C,2023-04-03,2023-04-03 13:55:00,BUY,2023-04-03 14:00:00,13.25,9.25,17.957142857142856,2023-04-03 15:00:00,14.0,0.75,0.40875,0.34125,2132.8125,TSL Hit,6250.0,0.0853125,2023,4
52,finnifty,19550,C,2023-05-30,2023-05-30 14:20:00,BUY,2023-05-30 14:25:00,6.65,4.65,4.65,2023-05-30 14:25:00,4.65,-2.0,0.1695,-2.1695,-27118.750000000004,Initial SL Hit,12500.0,-1.08475,2023,5
53,finnifty,19550,C,2023-05-30,2023-05-30 14:55:00,BUY,2023-05-30 15:00:00,11.2,7.65,7.65,2023-05-30 15:00:00,7.65,-3.549999999999999,0.28275,-3.832749999999999,-26991.19718309859,Initial SL Hit,7042.253521126762,-1.0796478873239435,2023,5
56,finnifty,19350,C,2023-06-20,2023-06-20 13:05:00,BUY,2023-06-20 13:10:00,28.7,12.35,22.214285714285715,2023-06-20 13:55:00,16.25,-12.45,0.67425,-13.12425,-20067.660550458713,TSL Hit,1529.051987767584,-0.8027064220183485,2023,6
57,finnifty,19350,C,2023-06-20,2023-06-20 14:20:00,BUY,2023-06-20 14:25:00,25.05,15.7,64.10357142857143,2023-06-20 15:20:00,102.05,77.0,1.9064999999999999,75.0935,200784.75935828878,EOD Exit,2673.79679144385,8.03139037433155,2023,6
58,finnifty,19600,C,2023-06-27,2023-06-27 13:00:00,BUY,2023-06-27 13:05:00,13.85,10.25,111.10357142857143,2023-06-27 15:20:00,138.25,124.4,2.2815,122.11850000000001,848045.1388888891,EOD Exit,6944.444444444445,33.921805555555565,2023,6
59,finnifty,20500,C,2023-07-04,2023-07-04 13:05:00,BUY,2023-07-04 13:10:00,21.3,16.95,30.22142857142857,2023-07-04 13:40:00,29.45,8.149999999999999,0.76125,7.388749999999998,42464.08045977009,TSL Hit,5747.1264367816075,1.6985632183908035,2023,7
60,finnifty,20500,C,2023-07-04,2023-07-04 13:55:00,BUY,2023-07-04 14:00:00,27.5,18.25,18.25,2023-07-04 14:00:00,18.25,-9.25,0.68625,-9.93625,-26854.729729729726,Initial SL Hit,2702.7027027027025,-1.074189189189189,2023,7
65,finnifty,19600,C,2023-08-14,2023-08-14 13:30:00,BUY,2023-08-14 13:35:00,18.0,8.85,20.75714285714286,2023-08-14 14:20:00,19.5,1.5,0.5625,0.9375,2561.4754098360654,TSL Hit,2732.24043715847,0.10245901639344261,2023,8
66,finnifty,19600,C,2023-08-14,2023-08-14 14:25:00,BUY,2023-08-14 14:30:00,23.65,15.15,26.946428571428573,2023-08-14 15:00:00,24.9,1.25,0.72825,0.52175,1534.5588235294124,TSL Hit,2941.176470588236,0.0613823529411765,2023,8
68,finnifty,19800,C,2023-10-10,2023-10-10 13:10:00,BUY,2023-10-10 13:15:00,21.55,15.15,32.50714285714286,2023-10-10 14:05:00,24.8,3.25,0.69525,2.55475,9979.4921875,TSL Hit,3906.25,0.3991796875,2023,10
69,finnifty,19800,C,2023-10-10,2023-10-10 14:10:00,BUY,2023-10-10 14:15:00,25.7,18.2,18.2,2023-10-10 14:30:00,18.2,-7.5,0.6585,-8.1585,-27195.0,Initial SL Hit,3333.3333333333335,-1.0878,2023,10
71,finnifty,19400,C,2023-11-07,2023-11-07 14:10:00,BUY,2023-11-07 14:15:00,78.15,52.95,52.95,2023-11-07 14:35:00,52.95,-25.200000000000003,1.9665000000000004,-27.166500000000003,-26950.892857142855,Initial SL hit,992.0634920634919,-1.0780357142857142,2023,11
72,finnifty,19400,C,2023-11-07,2023-11-07 14:40:00,BUY,2023-11-07 14:45:00,70.95,50.55,81.20714285714284,2023-11-07 15:20:00,110.3,39.349999999999994,2.71875,36.631249999999994,44891.23774509801,EOD Exit,1225.490196078431,1.7956495098039205,2023,11
73,finnifty,19550,C,2023-11-13,2023-11-13 13:05:00,BUY,2023-11-13 13:10:00,7.85,6.0,6.0,2023-11-13 13:10:00,6.0,-1.8499999999999996,0.20775,-2.0577499999999995,-27807.432432432433,Initial SL Hit,13513.513513513517,-1.1122972972972973,2023,11
80,finnifty,20350,C,2024-02-06,2024-02-06 13:15:00,BUY,2024-02-06 13:20:00,9.75,7.75,10.182142857142859,2024-02-06 13:35:00,7.75,-2.0,0.2625,-2.2625,-28281.250000000004,Initial SL hit,12500.0,-1.13125,2024,2
81,finnifty,20150,C,2024-02-13,2024-02-13 13:40:00,BUY,2024-02-13 13:45:00,73.05,31.6,46.77857142857143,2024-02-13 14:15:00,36.95,-36.099999999999994,1.65,-37.74999999999999,-22768.395657418572,TSL Hit,603.1363088057901,-0.9107358262967429,2024,2
82,finnifty,20150,C,2024-02-13,2024-02-13 14:20:00,BUY,2024-02-13 14:25:00,44.15,32.55,32.55,2024-02-13 14:30:00,32.55,-11.600000000000001,1.1504999999999999,-12.7505,-27479.525862068964,Initial SL Hit,2155.1724137931033,-1.0991810344827586,2024,2
83,finnifty,20150,C,2024-02-13,2024-02-13 14:45:00,BUY,2024-02-13 14:50:00,28.05,18.05,18.05,2024-02-13 15:00:00,18.05,-10.0,0.6915,-10.6915,-26728.75,Initial SL Hit,2500.0,-1.06915,2024,2
