,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,DD%
19,2022-05-20 12:15:00,LONG,2022-05-20 13:15:00,6605.5,6583.2,6583.2,2022-05-25 09:15:00,6583.2,-22.300000000000182,-28.89435000000018,-54176.90625000034,Initial SL hit,1875,5x,-2.167076250000014,2022,-18.747140100000117
20,2022-05-26 14:15:00,LONG,2022-05-26 15:15:00,6550.95,6495.7,6719.435294117647,2022-06-06 09:15:00,6673.3,122.35000000000036,115.73787500000036,217008.51562500067,TSL Hit,1875,5x,8.680340625000028,2022,-10.066799475000089
21,2022-06-08 11:15:00,LONG,2022-06-08 12:15:00,6703.45,6680.5,6680.5,2022-06-08 12:15:00,6680.5,-22.949999999999818,-29.641974999999817,-55578.70312499966,Initial SL Hit,1875,5x,-2.223148124999986,2022,-12.289947600000076
22,2022-06-09 14:15:00,LONG,2022-06-09 15:15:00,6696.2,6668.75,6668.75,2022-06-10 09:15:00,6635.0,-61.19999999999982,-67.86559999999982,-127247.99999999965,Gap Open Outside ISL,1875,5x,-5.089919999999986,2022,-17.37986760000006
23,2022-06-15 10:15:00,LONG,2022-06-15 11:15:00,6455.05,6431.35,6431.35,2022-06-16 11:15:00,6431.35,-23.699999999999818,-30.14319999999982,-58779.23999999965,Initial SL Hit,1950,5x,-2.351169599999986,2022,-19.731037200000046
24,2022-06-21 09:15:00,LONG,2022-06-21 10:15:00,6237.6,6151.95,6310.6080882352935,2022-07-01 09:15:00,6291.25,53.649999999999636,47.38557499999963,95955.78937499925,TSL Hit,2025,5x,3.8382315749999703,2022,-15.892805625000076
25,2022-07-01 14:15:00,LONG,2022-07-01 15:15:00,6390.25,6339.05,6339.05,2022-07-04 09:15:00,6339.05,-51.19999999999982,-57.564649999999816,-112251.06749999964,Initial SL hit,1950,5x,-4.490042699999986,2022,-20.38284832500006
26,2022-07-04 11:15:00,LONG,2022-07-04 12:15:00,6384.7,6367.05,6367.05,2022-07-04 12:15:00,6367.05,-17.649999999999636,-24.025874999999637,-46850.45624999929,Initial SL hit,1950,5x,-1.8740182499999716,2022,-22.256866575000032
27,2022-07-04 13:15:00,LONG,2022-07-04 14:15:00,6393.35,6368.5,7319.049999999999,2022-08-22 09:15:00,7306.2,912.8499999999995,906.0002249999994,1766700.4387499988,TSL Hit,1950,5x,70.66801754999995,2022,0.0
28,2022-08-24 13:15:00,LONG,2022-08-24 14:15:00,7319.5,7288.5,7365.971323529411,2022-08-25 14:15:00,7325.25,5.75,-1.572375,-2712.346875,TSL Hit,1725,5x,-0.10849387500000002,2022,-0.10849387499999352
29,2022-08-30 10:15:00,LONG,2022-08-30 11:15:00,7375.4,7359.15,7366.6772058823535,2022-09-01 09:15:00,7359.15,-16.25,-23.617275,-40739.799375,Initial SL hit,1725,5x,-1.6295919750000003,2022,-1.7380858499999903
30,2022-09-01 13:15:00,LONG,2022-09-01 14:15:00,7403.9,7375.8,7571.125,2022-09-16 11:15:00,7543.85,139.95000000000073,132.47612500000074,228521.31562500127,TSL Hit,1725,5x,9.14085262500005,2022,0.0
31,2022-09-20 15:15:00,LONG,2022-09-21 09:15:00,7498.25,7488.8,7488.8,2022-09-21 09:15:00,7488.8,-9.449999999999818,-16.943524999999816,-27956.816249999698,Initial SL Hit,1650,5x,-1.1182726499999878,2022,-1.1182726499999944
32,2022-09-22 14:15:00,LONG,2022-09-22 15:15:00,7504.9,7476.3,7476.3,2022-09-23 09:15:00,7476.3,-28.599999999999454,-36.090599999999455,-59549.4899999991,Initial SL Hit,1650,5x,-2.381979599999964,2022,-3.50025224999996
33,2022-09-27 12:15:00,LONG,2022-09-27 13:15:00,7090.05,7052.9,7052.9,2022-09-27 14:15:00,7052.9,-37.150000000000546,-44.221475000000545,-79598.65500000099,Initial SL Hit,1800,5x,-3.1839462000000394,2022,-6.684198449999997
34,2022-09-28 09:15:00,LONG,2022-09-28 10:15:00,7097.65,7012.55,7012.55,2022-09-29 12:15:00,7012.55,-85.09999999999945,-92.15509999999945,-158967.54749999905,Initial SL Hit,1725,5x,-6.358701899999962,2022,-13.042900349999954
35,2022-09-30 09:15:00,LONG,2022-09-30 10:15:00,7088.5,6996.3,7225.7955882352935,2022-10-11 14:15:00,7224.95,136.44999999999982,129.29327499999982,232727.89499999967,TSL Hit,1800,5x,9.309115799999987,2022,-3.7337845499999673
36,2022-10-14 10:15:00,LONG,2022-10-14 11:15:00,7290.95,7270.8,7270.8,2022-10-14 11:15:00,7270.8,-20.149999999999636,-27.430874999999638,-47318.259374999376,Initial SL hit,1725,5x,-1.8927303749999749,2022,-5.626514924999938
37,2022-10-18 09:15:00,LONG,2022-10-18 10:15:00,7333.95,7286.35,7296.003676470588,2022-10-20 09:15:00,7286.35,-47.599999999999454,-54.910149999999454,-94720.00874999906,Initial SL hit,1725,5x,-3.788800349999962,2022,-9.415315274999898
38,2022-10-27 10:15:00,LONG,2022-10-27 11:15:00,7327.45,7300.75,7300.75,2022-10-27 14:15:00,7300.75,-26.699999999999818,-34.01409999999982,-58674.32249999969,Initial SL hit,1725,5x,-2.3469728999999875,2022,-11.762288174999881
39,2022-10-31 09:15:00,LONG,2022-10-31 10:15:00,7375.75,7318.2,7418.613235294118,2022-11-09 15:15:00,7417.35,41.600000000000364,34.203450000000366,59000.95125000063,TSL Hit,1725,5x,2.3600380500000253,2022,-9.402250124999853
40,2022-11-22 11:15:00,LONG,2022-11-22 12:15:00,7190.85,7178.8,7416.830882352941,2022-12-09 12:15:00,7394.55,203.69999999999982,196.40729999999982,338802.5924999997,TSL Hit,1725,5x,13.552103699999988,2022,0.0
41,2022-12-13 10:15:00,LONG,2022-12-13 11:15:00,7405.75,7394.3,7441.389705882353,2022-12-15 14:15:00,7421.85,16.100000000000364,8.686200000000364,14983.695000000627,TSL Hit,1725,5x,0.5993478000000251,2022,0.0
42,2022-12-19 15:15:00,LONG,2022-12-20 09:15:00,7351.25,7343.65,7343.65,2022-12-20 09:15:00,7343.65,-7.600000000000364,-14.947450000000364,-25784.35125000063,Initial SL hit,1725,5x,-1.031374050000025,2022,-1.031374050000025
43,2022-12-20 11:15:00,LONG,2022-12-20 12:15:00,7279.2,7254.75,7254.75,2022-12-21 13:15:00,7254.75,-24.449999999999818,-31.71697499999982,-54711.78187499969,Initial SL Hit,1725,5x,-2.1884712749999875,2022,-3.2198453250000085
44,2022-12-26 11:15:00,LONG,2022-12-26 12:15:00,7082.5,7054.05,7054.05,2022-12-26 12:15:00,7054.05,-28.449999999999818,-35.51827499999982,-63932.89499999967,Initial SL Hit,1800,5x,-2.5573157999999867,2022,-5.777161124999992
45,2022-12-26 13:15:00,LONG,2022-12-26 14:15:00,7091.65,7067.4,7139.381617647059,2023-01-04 10:15:00,7136.8,45.150000000000546,38.03577500000055,68464.395000001,TSL Hit,1800,5x,2.73857580000004,2022,-3.038585324999957
46,2023-01-05 13:15:00,LONG,2023-01-05 14:15:00,7126.35,7094.15,7141.511029411765,2023-01-06 10:15:00,7139.8,13.449999999999818,6.316924999999817,10896.695624999686,TSL Hit,1725,5x,0.43586782499998744,2023,-2.6027174999999687
47,2023-01-09 13:15:00,LONG,2023-01-09 14:15:00,7159.35,7133.85,7133.85,2023-01-10 09:15:00,7133.85,-25.5,-32.6466,-56315.385,Initial SL Hit,1725,5x,-2.2526154,2023,-4.855332899999965
48,2023-01-18 09:15:00,LONG,2023-01-18 10:15:00,7031.2,6990.1,6990.1,2023-01-20 13:15:00,6990.1,-41.099999999999454,-48.11064999999945,-86599.16999999901,Initial SL Hit,1800,5x,-3.46396679999996,2023,-8.319299699999931
49,2023-01-23 12:15:00,LONG,2023-01-23 13:15:00,7049.95,7036.35,7036.35,2023-01-23 14:15:00,7036.35,-13.599999999999454,-20.643149999999455,-37157.669999999016,Initial SL Hit,1800,5x,-1.4863067999999606,2023,-9.805606499999897
50,2023-01-23 15:15:00,LONG,2023-01-24 09:15:00,7062.4,7039.05,7039.05,2023-01-24 11:15:00,7039.05,-23.349999999999454,-30.400724999999454,-54721.30499999902,Initial SL Hit,1800,5x,-2.188852199999961,2023,-11.994458699999853
51,2023-01-30 13:15:00,LONG,2023-01-30 14:15:00,6805.85,6760.55,6963.7,2023-02-01 13:15:00,6963.4,157.54999999999927,150.66537499999927,271197.6749999987,TSL Hit,1800,5x,10.847906999999948,2023,-1.146551699999904
52,2023-02-01 15:15:00,LONG,2023-02-02 09:15:00,6949.7,6923.2,6923.2,2023-02-02 09:15:00,6923.2,-26.5,-33.43645,-60185.61,Initial SL Hit,1800,5x,-2.4074244,2023,-3.5539760999999004
53,2023-02-03 14:15:00,LONG,2023-02-03 15:15:00,6955.4,6922.2,6986.256617647059,2023-02-13 14:15:00,6980.2,24.800000000000182,17.83220000000018,32097.960000000327,TSL Hit,1800,5x,1.283918400000013,2023,-2.2700576999998816
54,2023-02-15 09:15:00,LONG,2023-02-15 10:15:00,6993.05,6945.55,7010.359558823529,2023-02-17 12:15:00,6989.4,-3.6500000000005457,-10.641225000000546,-19154.205000000984,TSL Hit,1800,5x,-0.7661682000000394,2023,-3.03622589999992
55,2023-02-20 11:15:00,LONG,2023-02-20 12:15:00,7023.0,7008.8,7015.262500000001,2023-02-20 14:15:00,7008.8,-14.199999999999818,-21.215899999999817,-38188.61999999967,Initial SL hit,1800,5x,-1.5275447999999867,2023,-4.563770699999907
56,2023-02-28 11:15:00,LONG,2023-02-28 12:15:00,6811.2,6797.35,6797.35,2023-02-28 13:15:00,6797.35,-13.849999999999454,-20.654274999999455,-37177.69499999902,Initial SL Hit,1800,5x,-1.4871077999999607,2023,-6.050878499999868
