,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Allocation,Portfolio,ROI% PF,DD%,Time In Trade,Premium Cost,Final Points,Final ROI%,Entry Date,date,day,expiry,DTE,strike,type,initial sl,TSL,Exit date,Remark,Slippage,Highest High,Lowest Low,Max ROI%,Margin,Comb ROI%
0,2019-01-01 13:15:00,LONG,2019-01-01 14:15:00,10830.35,10807.65,10857.521875,2019-01-02 12:15:00,10807.65,-22.700000000000728,-27.027600000000728,-117570.06000000316,Initial SL hit,4350,7.5,-0.6689176733333502,2019,1,NIFTY,6250000.0,18750000.0,-0.6689176733333502,0.0,1.0,1.8050583333333328,-28.83265833333406,-0.6689176733333502,2019-01-01 14:15:00,,,,,,,,,,,,,,,,-0.3344588366666751
1,2019-01-01 14:15:00,LONG,2019-01-01 15:15:00,36266.49,35930.34,36070.55428571429,2019-01-02 12:15:00,35930.34,-336.15000000000146,-343.36968300000143,-446380.58790000185,Initial SL hit,1300,7.5,-2.42260441280001,2019,1,SENSEX,6250000.0,18750000.0,-2.42260441280001,-2.38069646880001,1.0,6.044414999999999,-349.41409800000145,-2.42260441280001,2019-01-01 15:15:00,,,,,,,,,,,,,,,,-1.211302206400005
2,2019-01-01 14:15:00,LONG,2019-01-01 15:15:00,27395.1,27076.6,27210.996666666662,2019-01-02 12:15:00,27210.4,-184.6999999999971,-190.1605499999971,-262421.558999996,TSL Hit,1380,6.0,-1.4331863039999786,2019,1,BANKNIFTY,6250000.0,18750000.0,-1.4331863039999786,-3.780278116799989,1.0,4.56585,-194.7263999999971,-1.4331863039999786,2019-01-01 15:15:00,,,,,,,,,,,,,,,,-0.7165931519999893
3,2019-01-02 13:15:00,LONG,2019-01-02 14:15:00,35948.64,35734.13,35734.13,2019-01-03 11:15:00,35734.13,-214.51000000000204,-221.67827700000203,-288181.76010000263,Initial SL Hit,1300,7.5,-1.5785100378666808,2019,1,SENSEX,6250000.0,18750000.0,-1.5785100378666808,-5.317247504000003,1.0,5.99144,-227.66971700000204,-1.5785100378666808,2019-01-02 14:15:00,,,,,,,,,,,,,,,,-0.7892550189333404
4,2019-01-02 13:15:00,LONG,2019-01-02 14:15:00,10809.3,10735.8,10735.8,2019-01-03 11:15:00,10735.8,-73.5,-77.80902,-338469.237,Initial SL Hit,4350,7.5,-1.846965224,2019,1,NIFTY,6250000.0,18750000.0,-1.846965224,-7.122416768000003,1.0,1.80155,-79.61057000000001,-1.846965224,2019-01-02 14:15:00,,,,,,,,,,,,,,,,-0.923482612
5,2019-01-03 12:15:00,LONG,2019-01-03 13:15:00,27087.8,26977.75,26977.75,2019-01-03 13:15:00,26977.75,-110.04999999999929,-115.45655499999928,-159330.04589999898,Initial SL Hit,1380,6.0,-0.8829879461333282,2019,1,BANKNIFTY,6250000.0,18750000.0,-0.8829879461333282,-7.972177012799998,1.0,4.514633333333333,-119.97118833333262,-0.8829879461333282,2019-01-03 13:15:00,,,,,,,,,,,,,,,,-0.4414939730666641
6,2019-01-03 12:15:00,LONG,2019-01-03 13:15:00,35713.99,35626.99,35626.99,2019-01-03 13:15:00,35626.99,-87.0,-94.134098,-124257.00936,Initial SL Hit,1320,7.5,-0.7046084648533333,2019,1,SENSEX,6250000.0,18750000.0,-0.7046084648533333,-8.634881062719998,1.0,5.952331666666667,-100.08642966666666,-0.7046084648533333,2019-01-03 13:15:00,,,,,,,,,,,,,,,,-0.35230423242666664
7,2019-01-04 09:15:00,LONG,2019-01-04 10:15:00,27085.1,26927.1,26927.1,2019-01-04 10:15:00,26927.1,-158.0,-163.40122,-225493.6836,Initial SL Hit,1380,6.0,-1.2358573685333334,2019,1,BANKNIFTY,6250000.0,18750000.0,-1.2358573685333334,-9.83751404192,1.0,4.5141833333333325,-167.91540333333333,-1.2358573685333334,2019-01-04 10:15:00,,,,,,,,,,,,,,,,-0.6179286842666667
8,2019-01-04 11:15:00,LONG,2019-01-04 12:15:00,27158.0,27064.4,27081.326666666668,2019-01-04 14:15:00,27064.4,-93.59999999999854,-99.02223999999856,-136650.691199998,Initial SL hit,1380,6.0,-0.7621174997333228,2019,1,BANKNIFTY,6250000.0,18750000.0,-0.7621174997333228,-10.566317728319987,1.0,4.5263333333333335,-103.54857333333187,-0.7621174997333228,2019-01-04 12:15:00,,,,,,,,,,,,,,,,-0.3810587498666614
9,2019-01-07 09:15:00,LONG,2019-01-07 10:15:00,36030.17,35895.83,35895.83,2019-01-07 13:15:00,35895.83,-134.3399999999965,-141.5325999999965,-183992.37999999544,Initial SL hit,1300,7.5,-1.0229275564444205,2019,1,SENSEX,6250000.0,18750000.0,-1.0229275564444205,-11.547610421653296,1.0,6.005028333333334,-147.53762833332985,-1.0229275564444205,2019-01-07 10:15:00,,,,,,,,,,,,,,,,-0.5114637782222102
