,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Allocation,Portfolio,ROI% PF,Entry Date,date,day,expiry,DTE,strike,type,initial sl,TSL,Exit date,Remark,Slippage,Highest High,Lowest Low,Max ROI%,Margin
0,2019-01-01 13:15:00,LONG,2019-01-01 14:15:00,10830.35,10807.1,10808.37,2019-01-02 12:15:00,10807.1,-23.25,-27.57749,-120651.51875,Initial SL hit,4375.0,6.333,-0.2681144861111111,2019,1,NIFTY,7500000.0,22500000.0,-0.5362289722222222,2019-01-01 14:15:00,,,,,,,,,,,,,,,
1,2019-01-01 14:15:00,LONG,2019-01-01 15:15:00,27395.35,27076.6,27201.26388888889,2019-01-02 13:15:00,27133.2,-262.1499999999978,-267.6028549999978,-369291.93989999697,TSL Hit,1380.0,5.066,-0.8206487553333266,2019,1,BANKNIFTY,7500000.0,22500000.0,-1.6412975106666532,2019-01-01 15:15:00,,,,,,,,,,,,,,,
2,2019-01-03 09:15:00,LONG,2019-01-03 10:15:00,10810.85,10750.0,10750.0,2019-01-03 11:15:00,10750.0,-60.85000000000037,-65.16217000000036,-286713.5480000016,Initial SL Hit,4400.0,6.333,-0.6371412177777813,2019,1,NIFTY,7500000.0,22500000.0,-1.2742824355555626,2019-01-03 10:15:00,,,,,,,,,,,,,,,
3,2019-01-03 12:15:00,LONG,2019-01-03 13:15:00,27087.8,26977.75,26977.75,2019-01-03 13:15:00,26977.75,-110.04999999999929,-115.45655499999928,-162793.74254999898,Initial SL Hit,1410.0,5.066,-0.36176387233333107,2019,1,BANKNIFTY,7500000.0,22500000.0,-0.7235277446666621,2019-01-03 13:15:00,,,,,,,,,,,,,,,
4,2019-01-04 10:15:00,LONG,2019-01-04 11:15:00,27132.15,26926.9,27554.119444444445,2019-01-10 14:15:00,27521.2,389.0499999999993,383.5846649999993,535100.607674999,TSL Hit,1395.0,5.066,1.1891124614999977,2019,1,BANKNIFTY,7500000.0,22500000.0,2.3782249229999954,2019-01-04 11:15:00,,,,,,,,,,,,,,,
5,2019-01-07 12:15:00,LONG,2019-01-07 13:15:00,35968.6,35918.76,35918.76,2019-01-07 13:15:00,35918.76,-49.83999999999651,-57.028735999996506,-75277.93151999539,Initial SL Hit,1320.0,6.333,-0.1672842922666564,2019,1,SENSEX,7500000.0,22500000.0,-0.3345685845333128,2019-01-07 13:15:00,,,,,,,,,,,,,,,
6,2019-01-08 11:15:00,LONG,2019-01-08 12:15:00,35872.95,35794.37,35917.31270833333,2019-01-11 13:15:00,35896.66,23.710000000006403,16.533039000006404,21823.61148000845,TSL Hit,1320.0,6.333,0.04849691440001875,2019,1,SENSEX,7500000.0,22500000.0,0.0969938288000375,2019-01-08 12:15:00,,,,,,,,,,,,,,,
7,2019-01-09 11:15:00,LONG,2019-01-09 12:15:00,10843.15,10829.1,10829.1,2019-01-09 12:15:00,10829.1,-14.049999999999272,-18.38444999999928,-80431.96874999681,Initial SL hit,4375.0,6.333,-0.17873770833332625,2019,1,NIFTY,7500000.0,22500000.0,-0.3574754166666525,2019-01-09 12:15:00,,,,,,,,,,,,,,,
8,2019-01-09 12:15:00,LONG,2019-01-09 14:15:00,10853.4,10817.3,10817.3,2019-01-10 11:15:00,10817.3,-36.10000000000037,-40.43414000000036,-176899.3625000016,Initial SL hit,4375.0,6.333,-0.393109694444448,2019,1,NIFTY,7500000.0,22500000.0,-0.786219388888896,2019-01-09 14:15:00,,,,,,,,,,,,,,,
9,2019-01-10 12:15:00,LONG,2019-01-10 13:15:00,10829.3,10814.2,10814.2,2019-01-10 13:15:00,10814.2,-15.099999999998545,-19.428699999998543,-85000.56249999364,Initial SL hit,4375.0,6.333,-0.18889013888887474,2019,1,NIFTY,7500000.0,22500000.0,-0.3777802777777495,2019-01-10 13:15:00,,,,,,,,,,,,,,,
