Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Allocation,Portfolio,ROI% PF,DD%,Time In Trade,Premium Cost,Final Points,Final ROI%
2019-01-01 13:15:00,LONG,2019-01-01 14:15:00,10830.35,10807.65,10857.521875,2019-01-02 12:15:00,10807.65,-22.700000000000728,-27.027600000000728,-117570.06000000316,Initial SL hit,4350,7.5,-1.8811209600000507,2019,1,NIFTY,6250000,18750000.0,-0.6689176733333502,0.0,1,1.8050583333333332,-28.83265833333406,-0.6689176733333502
2019-01-01 14:15:00,LONG,2019-01-01 15:15:00,27395.1,27076.6,27210.996666666662,2019-01-02 12:15:00,27210.4,-184.6999999999971,-190.1605499999971,-262421.558999996,TSL Hit,1380,6.0,-4.198744943999936,2019,1,BANKNIFTY,6250000,18750000.0,-1.4331863039999786,-1.3995816479999785,1,4.56585,-194.7263999999971,-1.4331863039999786
2019-01-01 14:15:00,LONG,2019-01-01 15:15:00,36266.49,35930.34,36070.55428571429,2019-01-02 12:15:00,35930.34,-336.15000000000146,-343.36968300000143,-446380.58790000185,Initial SL hit,1300,7.5,-7.142089406400029,2019,1,SENSEX,6250000,18750000.0,-2.42260441280001,-3.7802781167999884,1,6.044414999999999,-349.41409800000145,-2.42260441280001
2019-01-02 13:15:00,LONG,2019-01-02 14:15:00,35948.64,35734.13,35734.13,2019-01-03 11:15:00,35734.13,-214.51000000000204,-221.67827700000203,-288181.76010000263,Initial SL Hit,1300,7.5,-4.610908161600042,2019,1,SENSEX,6250000,18750000.0,-1.5785100378666808,-5.317247504000003,1,5.99144,-227.66971700000204,-1.5785100378666808
2019-01-02 13:15:00,LONG,2019-01-02 14:15:00,10809.3,10735.8,10735.8,2019-01-03 11:15:00,10735.8,-73.5,-77.80902,-338469.237,Initial SL Hit,4350,7.5,-5.4155077920000005,2019,1,NIFTY,6250000,18750000.0,-1.846965224,-7.122416768000003,1,1.8015499999999998,-79.61057000000001,-1.846965224
2019-01-03 12:15:00,LONG,2019-01-03 13:15:00,35713.99,35626.99,35626.99,2019-01-03 13:15:00,35626.99,-87.0,-94.134098,-124257.00936,Initial SL Hit,1320,7.5,-1.98811214976,2019,1,SENSEX,6250000,18750000.0,-0.7046084648533333,-7.785120817920003,1,5.952331666666667,-100.08642966666666,-0.7046084648533333
2019-01-03 12:15:00,LONG,2019-01-03 13:15:00,27087.8,26977.75,26977.75,2019-01-03 13:15:00,26977.75,-110.04999999999929,-115.45655499999928,-159330.04589999898,Initial SL Hit,1380,6.0,-2.549280734399984,2019,1,BANKNIFTY,6250000,18750000.0,-0.8829879461333282,-8.634881062719998,1,4.514633333333333,-119.97118833333262,-0.8829879461333282
2019-01-04 09:15:00,LONG,2019-01-04 10:15:00,27085.1,26927.1,26927.1,2019-01-04 10:15:00,26927.1,-158.0,-163.40122,-225493.6836,Initial SL Hit,1380,6.0,-3.6078989376,2019,1,BANKNIFTY,6250000,18750000.0,-1.2358573685333334,-9.837514041919999,1,4.5141833333333325,-167.91540333333333,-1.2358573685333334
2019-01-04 11:15:00,LONG,2019-01-04 12:15:00,27158.0,27064.4,27081.326666666668,2019-01-04 14:15:00,27064.4,-93.59999999999854,-99.02223999999856,-136650.691199998,Initial SL hit,1380,6.0,-2.186411059199968,2019,1,BANKNIFTY,6250000,18750000.0,-0.7621174997333228,-10.566317728319987,1,4.5263333333333335,-103.54857333333189,-0.7621174997333228
2019-01-07 09:15:00,LONG,2019-01-07 10:15:00,27460.5,27369.5,27369.5,2019-01-07 13:15:00,27369.5,-91.0,-96.483,-133146.54,Initial SL hit,1380,6.0,-2.13034464,2019,1,BANKNIFTY,6250000,18750000.0,-0.7437997600000001,-11.276432608319988,1,4.5767500000000005,-101.05975000000001,-0.7437997600000001
2019-01-07 09:15:00,LONG,2019-01-07 10:15:00,36030.17,35895.83,35895.83,2019-01-07 13:15:00,35895.83,-134.3399999999965,-141.5325999999965,-183992.37999999544,Initial SL hit,1300,7.5,-2.943878079999928,2019,1,SENSEX,6250000,18750000.0,-1.0229275564444205,-12.257725301653297,1,6.005028333333334,-147.53762833332985,-1.0229275564444205
2019-01-08 11:15:00,LONG,2019-01-08 12:15:00,27313.0,27227.15,27554.85,2019-01-10 11:15:00,27550.7,237.70000000000076,232.21363000000076,320454.809400001,TSL Hit,1380,6.0,5.127276950400017,2019,1,BANKNIFTY,6250000,18750000.0,1.642084423466672,-10.548632984853292,2,9.104333333333333,223.10929666666743,1.642084423466672
2019-01-09 11:15:00,LONG,2019-01-09 12:15:00,36167.15,36110.14,36110.14,2019-01-09 12:15:00,36110.14,-57.01000000000204,-64.23772900000203,-83509.04770000264,Initial SL hit,1300,7.5,-1.3361447632000425,2019,1,SENSEX,6250000,18750000.0,-0.48717473884445844,-10.99401457258664,1,6.0278583333333335,-70.26558733333536,-0.48717473884445844
2019-01-09 11:15:00,LONG,2019-01-09 12:15:00,10843.15,10829.4,10829.4,2019-01-09 12:15:00,10829.4,-13.75,-18.08451,-78667.61850000001,Initial SL hit,4350,7.5,-1.258681896,2019,1,NIFTY,6250000,18750000.0,-0.46148747866666673,-11.413575204586639,1,1.8071916666666668,-19.89170166666667,-0.46148747866666673
2019-01-09 13:15:00,LONG,2019-01-09 14:15:00,36229.19,35863.52,36144.24428571428,2019-01-10 14:15:00,36122.45,-106.74000000000524,-113.97516400000524,-148167.7132000068,TSL Hit,1300,7.5,-2.3706834112001087,2019,1,SENSEX,6250000,18750000.0,-0.8739574872889252,-12.203803008320008,2,12.076396666666668,-126.0515606666719,-0.8739574872889252
2019-01-09 13:15:00,LONG,2019-01-09 14:15:00,10863.75,10750.4,10829.503125,2019-01-10 14:15:00,10822.15,-41.60000000000037,-45.93718000000037,-199826.7330000016,TSL Hit,4350,7.5,-3.197227728000026,2019,1,NIFTY,6250000,18750000.0,-1.1497555760000087,-13.269545584320017,2,3.62125,-49.55843000000037,-1.1497555760000087
2019-01-11 13:15:00,LONG,2019-01-11 14:15:00,10774.5,10739.7,10739.7,2019-01-14 09:15:00,10739.7,-34.79999999999927,-39.10283999999928,-170097.35399999685,Initial SL Hit,4350,7.5,-2.721557663999949,2019,1,NIFTY,6250000,18750000.0,-1.0321700879999833,-14.17673147232,3,5.38725,-44.490089999999284,-1.0321700879999833
2019-01-11 13:15:00,LONG,2019-01-11 14:15:00,27454.45,27383.75,27383.75,2019-01-14 09:15:00,27383.75,-70.70000000000073,-76.18382000000072,-105133.671600001,Initial SL Hit,1380,6.0,-1.682138745600016,2019,1,BANKNIFTY,6250000,18750000.0,-0.6617452912000054,-14.737444387520005,3,13.727225,-89.91104500000073,-0.6617452912000054
2019-01-11 13:15:00,LONG,2019-01-11 14:15:00,35948.6,35840.6,35840.6,2019-01-14 09:15:00,35840.6,-108.0,-115.17892,-149732.59600000002,Initial SL Hit,1300,7.5,-2.3957215360000004,2019,1,SENSEX,6250000,18750000.0,-0.9231956586666668,-15.53601823285334,3,17.9743,-133.15322,-0.9231956586666668
2019-01-14 12:15:00,LONG,2019-01-14 13:15:00,27286.1,27211.15,27462.493333333336,2019-01-17 12:15:00,27417.9,131.8000000000029,126.32960000000293,174334.848000004,TSL Hit,1380,6.0,2.789357568000064,2019,1,BANKNIFTY,6250000,18750000.0,0.8293730080000214,-14.606232376853319,3,13.64305,112.68655000000292,0.8293730080000214
