,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,Entry Date,Signal Generated At,Trade Type,Initial SL,Final SL,After Costs,Remarks,Leverage,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
903,,,,,,,27181.0,2019-01-01 09:15:00,,,27070.7,,2019-01-01 09:45:00,,-110.29999999999929,,180.0,-20830.530599999867,-0.34717516282448785,2019,1,,,,,2019-01-01 09:15:00,2018-12-31 15:15:00,LONG,26773.285,26773.285,-115.72516999999928,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-6943.5032564897565,-0.6943503256489757
904,,,,,,,27309.45,2019-01-01 14:45:00,,,27220.5,,2019-01-02 12:15:00,,-88.95000000000073,,180.0,-16992.539100000133,-0.28320870179101715,2019,1,,,,,2019-01-01 14:45:00,2019-01-01 14:15:00,LONG,26899.80825,27253.23,-94.40299500000071,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5664.174035820342,-0.5664174035820343
906,,,,,,,36266.67,2019-01-01 15:15:00,,,36049.06998,,2019-01-02 09:15:00,,-217.60001999999804,,220.0,-49462.950679559566,-0.8243816869434814,2019,1,,,,,2019-01-01 15:15:00,2019-01-01 14:15:00,LONG,36049.06998,36049.06998,-224.83159399799803,Initial SL hit,8.0,SENSEX,1000000.0,333333.0,73.33326,-16487.633738869627,-1.6487633738869627
905,,,,,,,10913.85,2019-01-01 15:15:00,,,10841.81859,,2019-01-02 09:15:00,,-72.03141000000142,,450.0,-34372.14467310064,-0.5728685050159328,2019,1,,,,,2019-01-01 15:15:00,2019-01-01 14:15:00,LONG,10841.81859,10841.81859,-76.38254371800141,Initial SL hit,5.0,NIFTY,1000000.0,333333.0,149.99985,-11457.370100318656,-1.1457370100318656
907,,,,,,,10882.85,2019-01-02 10:15:00,,,10811.02319,,2019-01-02 12:15:00,,-71.82681000000048,,450.0,-34274.51308710022,-0.5712413135431189,2019,1,,,,,2019-01-02 10:15:00,2019-01-02 09:15:00,LONG,10811.02319,10811.02319,-76.16558463800048,Initial SL hit,5.0,NIFTY,1000000.0,333333.0,149.99985,-11424.826270862375,-1.1424826270862378
908,,,,,,,36203.12,2019-01-02 10:15:00,,,35985.901280000005,,2019-01-02 12:15:00,,-217.21871999999712,,220.0,-49376.276868159366,-0.8229371248647082,2019,1,,,,,2019-01-02 10:15:00,2019-01-02 09:15:00,LONG,35985.901280000005,35985.901280000005,-224.43762212799712,Initial SL hit,8.0,SENSEX,1000000.0,333333.0,73.33326,-16458.742497294166,-1.6458742497294163
909,,,,,,,27158.0,2019-01-04 12:15:00,,,27305.85,,2019-01-07 14:45:00,,147.84999999999854,,180.0,25632.65069999974,0.4272104177891506,2019,1,,,,,2019-01-04 12:15:00,2019-01-04 11:45:00,LONG,26750.63,27372.16,142.40361499999855,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,8544.208355783012,0.8544208355783012
910,,,,,,,10822.45,2019-01-07 10:15:00,,,10751.02183,,2019-01-07 14:15:00,,-71.42817000000105,,450.0,-34084.28896470047,-0.5680709146735251,2019,1,,,,,2019-01-07 10:15:00,2019-01-07 09:15:00,LONG,10751.02183,10791.33875,-75.74286436600104,Initial SL hit,5.0,NIFTY,1000000.0,333333.0,149.99985,-11361.418293470502,-1.1361418293470502
911,,,,,,,35968.6,2019-01-07 13:15:00,,,35863.19,,2019-01-07 14:15:00,,-105.40999999999622,,220.0,-24770.499379999168,-0.412841243491663,2019,1,,,,,2019-01-07 13:15:00,2019-01-07 12:15:00,LONG,35752.7884,35885.998,-112.5931789999962,TSL Hit,8.0,SENSEX,1000000.0,333333.0,73.33326,-8256.82486983326,-0.825682486983326
912,,,,,,,35877.34,2019-01-08 09:15:00,,,35936.68,,2019-01-11 12:15:00,,59.34000000000378,,220.0,11474.891560000831,0.19124800141848786,2019,1,,,,,2019-01-08 09:15:00,2019-01-07 15:15:00,LONG,35662.075959999995,35942.9955,52.158598000003785,TSL Hit,8.0,SENSEX,1000000.0,333333.0,73.33326,3824.960028369757,0.3824960028369757
913,,,,,,,10778.95,2019-01-08 09:15:00,,,10775.65,,2019-01-11 11:15:00,,-3.3000000000010914,,475.0,-3615.187000000519,-0.0602530564135586,2019,1,,,,,2019-01-08 09:15:00,2019-01-07 15:15:00,LONG,10707.80893,10784.638750000002,-7.610920000001092,TSL Hit,5.0,NIFTY,1000000.0,333333.0,158.33317499999998,-1205.0611282711727,-0.1205061128271172
914,,,,,,,27312.65,2019-01-08 09:45:00,,,27249.85,,2019-01-08 11:15:00,,-62.80000000000291,,180.0,-12286.125000000524,-0.2047685452312587,2019,1,,,,,2019-01-08 09:45:00,2019-01-08 09:15:00,LONG,26902.96025,26902.96025,-68.25625000000291,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-4095.3709046251743,-0.4095370904625174
915,,,,,,,27326.3,2019-01-08 12:45:00,,,27524.1,,2019-01-09 13:45:00,,197.79999999999927,,180.0,34616.692799999866,0.5769443030551178,2019,1,,,,,2019-01-08 12:45:00,2019-01-08 12:15:00,LONG,26916.4055,27564.42333333333,192.31495999999927,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,11538.886061102356,1.1538886061102356
