,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,Entry Date,Signal Generated At,Trade Type,Initial SL,Final SL,After Costs,Remarks,Leverage,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
916,,,,,,,27623.7,2019-01-09 14:45:00,,,27584.0,,2019-01-10 09:15:00,,-39.70000000000073,,180.0,-8139.738600000131,-0.13566217433769215,2019,1,,,,,2019-01-09 14:45:00,2019-01-09 14:15:00,LONG,27209.3445,27619.960000000003,-45.220770000000726,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-2713.243486753843,-0.2713243486753843
917,,,,,,,27622.25,2019-01-10 10:15:00,,,27523.8,,2019-01-10 14:15:00,,-98.45000000000071,,180.0,-18713.62890000013,-0.3118935031061871,2019,1,,,,,2019-01-10 10:15:00,2019-01-10 09:45:00,LONG,27207.91625,27207.91625,-103.96460500000072,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-6237.870062123742,-0.6237870062123742
918,,,,,,,27393.75,2019-01-15 10:45:00,,,27451.85,,2019-01-16 15:15:00,,58.09999999999855,,180.0,9470.779199999735,0.15784616215367564,2019,1,,,,,2019-01-15 10:45:00,2019-01-15 10:15:00,LONG,26982.84375,27493.52666666667,52.61543999999854,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,3156.9232430735124,0.3156923243073513
919,,,,,,,10848.9,2019-01-15 11:15:00,,,10876.55,,2019-01-22 11:15:00,,27.64999999999964,,450.0,10487.209499999835,0.1747866502131723,2019,1,,,,,2019-01-15 11:15:00,2019-01-15 10:15:00,LONG,10777.29726,10892.0275,23.30490999999964,TSL Hit,5.0,NIFTY,1000000.0,333333.0,149.99985,3495.733004263446,0.3495733004263446
920,,,,,,,36232.88,2019-01-15 11:15:00,,,36088.0,,2019-01-23 14:15:00,,-144.87999999999738,,220.0,-33464.65935999942,-0.5577437649223345,2019,1,,,,,2019-01-15 11:15:00,2019-01-15 10:15:00,LONG,36015.48272,36273.744333333336,-152.1120879999974,TSL Hit,8.0,SENSEX,1000000.0,333333.0,73.33326,-11154.87529844669,-1.115487529844669
921,,,,,,,27497.55,2019-01-17 09:15:00,,,27417.9,,2019-01-17 12:45:00,,-79.64999999999782,,180.0,-15325.478099999607,-0.25542437957535846,2019,1,,,,,2019-01-17 09:15:00,2019-01-16 15:15:00,LONG,27085.08675,27085.08675,-85.14154499999782,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5108.487591507169,-0.5108487591507169
922,,,,,,,27531.3,2019-01-18 09:15:00,,,27458.15,,2019-01-18 11:45:00,,-73.14999999999782,,180.0,-14156.810099999608,-0.2359465990531584,2019,1,,,,,2019-01-18 09:15:00,2019-01-17 15:15:00,LONG,27118.3305,27468.52666666667,-78.64894499999782,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-4718.931981063169,-0.4718931981063168
923,,,,,,,27480.4,2019-01-18 13:15:00,,,27445.05,,2019-01-18 14:45:00,,-35.35000000000218,,180.0,-7351.658100000393,-0.1225275124723715,2019,1,,,,,2019-01-18 13:15:00,2019-01-18 12:45:00,LONG,27068.194,27490.693333333336,-40.84254500000218,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-2450.550249447431,-0.245055024944743
924,,,,,,,27550.8,2019-01-21 09:45:00,,,27523.7,,2019-01-21 15:15:00,,-27.099999999998545,,180.0,-5869.3409999997375,-0.0978222521776456,2019,1,,,,,2019-01-21 09:45:00,2019-01-21 09:15:00,LONG,27137.538,27539.28666666667,-32.60744999999854,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-1956.4450435529125,-0.1956445043552912
925,,,,,,,10931.05,2019-01-23 09:15:00,,,10858.90507,,2019-01-23 14:15:00,,-72.14493000000039,,450.0,-34426.31445630017,-0.5737713338330953,2019,1,,,,,2019-01-23 09:15:00,2019-01-22 15:15:00,LONG,10858.90507,10910.1,-76.50292101400038,Initial SL hit,5.0,NIFTY,1000000.0,333333.0,149.99985,-11475.426676661906,-1.1475426676661906
926,,,,,,,27555.35,2019-01-23 12:15:00,,,27468.55,,2019-01-23 13:15:00,,-86.79999999999927,,180.0,-16614.43019999987,-0.2769068930928278,2019,1,,,,,2019-01-23 12:15:00,2019-01-23 11:45:00,LONG,27142.01975,27486.79,-92.30238999999928,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5538.137861856556,-0.5538137861856556
927,,,,,,,27374.8,2019-01-25 10:45:00,,,27283.75,,2019-01-25 13:15:00,,-91.04999999999929,,180.0,-17372.85389999987,-0.2895472754524328,2019,1,,,,,2019-01-25 10:45:00,2019-01-25 10:15:00,LONG,26964.178,27306.97666666667,-96.51585499999928,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5790.945509048656,-0.5790945509048656
0,2019-01-25,Friday,2019-01-31,6.0,10900.0,C,85.0,12:45:00,108.95,0.0,0.05,2019-01-31,15:20:00,EOD exit,84.95,0.8505,835.0730688935281,70229.22755741127,3.511461377870564,2019,1,88.25,0.05,7.093945720250522,113.7787056367432,2019-01-25 12:45:00,,,,,,,,,,,,,
1,2019-01-29,Tuesday,2019-01-31,2.0,10650.0,P,61.5,10:25:00,78.1,62.032500000000006,78.1,2019-01-29,12:50:00,SL hit,-16.599999999999994,1.396,1204.819277108434,-21681.92771084337,-1.0840963855421686,2019,1,79.8,50.25,1.3554216867469886,160.39156626506028,2019-01-29 10:25:00,,,,,,,,,,,,,
2,2019-01-30,Wednesday,2019-01-31,1.0,10700.0,P,55.75,09:50:00,63.7,57.81500000000001,63.7,2019-01-30,10:25:00,SL hit,-7.950000000000003,1.1945,1495.3271028037384,-13674.01869158879,-0.6837009345794395,2019,1,69.6,49.55,0.9271028037383182,200.0,2019-01-30 09:50:00,,,,,,,,,,,,,
3,2019-01-30,Wednesday,2019-01-31,1.0,10650.0,P,57.4,10:45:00,69.4,36.495,69.4,2019-01-30,14:50:00,SL hit,-12.000000000000009,1.2680000000000002,1502.3474178403756,-19933.14553990612,-0.996657276995306,2019,1,69.5,20.45,5.551173708920188,200.0,2019-01-30 10:45:00,,,,,,,,,,,,,
928,,,,,,,26754.25,2019-01-30 12:15:00,,,27163.1,,2019-02-01 13:45:00,,408.84999999999854,,180.0,72622.48769999974,1.2103735846252004,2019,1,,,,,2019-01-30 12:15:00,2019-01-30 11:45:00,LONG,26352.93625,27286.803333333333,403.45826499999856,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,24207.47169250401,2.420747169250401
929,,,,,,,10739.95,2019-01-31 11:15:00,,,10965.8,,2019-02-08 12:15:00,,225.8499999999985,,475.0,105216.7037499993,1.7536099755549255,2019,1,,,,,2019-01-31 11:15:00,2019-01-31 10:15:00,LONG,10669.06633,10960.7125,221.5088499999985,MACD Reversal,5.0,NIFTY,1000000.0,333333.0,158.33317499999998,35072.19951109851,3.507219951109851
930,,,,,,,36027.65,2019-01-31 12:15:00,,,36518.42,,2019-02-08 14:15:00,,490.7699999999968,,220.0,106373.3864599993,1.7728880014435473,2019,1,,,,,2019-01-31 12:15:00,2019-01-31 11:15:00,LONG,35811.4841,36395.57566666666,483.5153929999968,MACD Reversal,8.0,SENSEX,1000000.0,333333.0,73.33326,35457.760028870944,3.5457760028870946
931,,,,,,,27190.55,2019-02-01 14:45:00,,,27060.2,,2019-02-01 15:15:00,,-130.34999999999854,,180.0,-24439.51349999973,-0.4073248176747705,2019,2,,,,,2019-02-01 14:45:00,2019-02-01 14:15:00,LONG,26782.69175,26782.69175,-135.77507499999854,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-8146.496353495411,-0.814649635349541
932,,,,,,,27208.75,2019-02-05 09:15:00,,,27400.35,,2019-02-07 12:15:00,,191.5999999999985,,180.0,33505.03619999973,0.5584167115827255,2019,2,,,,,2019-02-05 09:15:00,2019-02-04 15:15:00,LONG,26800.61875,27416.88,186.13908999999853,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,11168.334231654511,1.116833423165451
933,,,,,,,27484.65,2019-02-07 12:45:00,,,27403.6,,2019-02-07 14:45:00,,-81.05000000000291,,180.0,-15576.988500000523,-0.25961621538353374,2019,2,,,,,2019-02-07 12:45:00,2019-02-07 12:15:00,LONG,27072.38025,27449.67333333333,-86.53882500000292,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5192.324307670675,-0.5192324307670675
4,2019-02-11,Monday,2019-02-14,3.0,11000.0,P,129.85,12:40:00,151.8,114.5075,151.8,2019-02-12,14:45:00,SL hit,-21.950000000000017,2.8165,911.1617312072884,-22566.287015945327,-1.1283143507972664,2019,2,155.0,91.0,3.539863325740315,125.28473804100216,2019-02-11 12:40:00,,,,,,,,,,,,,
5,2019-02-12,Tuesday,2019-02-14,2.0,10900.0,C,44.85,10:05:00,62.1,0.0,0.05,2019-02-14,15:25:00,EOD exit,44.8,0.449,1159.4202898550725,51421.44927536233,2.5710724637681164,2019,2,55.5,0.05,5.194202898550725,157.97101449275362,2019-02-12 10:05:00,,,,,,,,,,,,,
6,2019-02-13,Wednesday,2019-02-14,1.0,10850.0,P,28.1,11:35:00,39.15,29.067500000000003,39.15,2019-02-13,13:30:00,SL hit,-11.049999999999995,0.6725,1474.6543778801845,-17286.635944700454,-0.8643317972350228,2019,2,39.6,22.6,0.8110599078341014,200.0,2019-02-13 11:35:00,,,,,,,,,,,,,
7,2019-02-15,Friday,2019-02-21,6.0,10800.0,C,31.65,12:30:00,73.0,0.0,0.05,2019-02-21,15:25:00,EOD exit,31.6,0.317,483.6759371221282,15130.834340991534,0.7565417170495768,2019,2,54.7,0.05,1.528415961305925,65.2962515114873,2019-02-15 12:30:00,,,,,,,,,,,,,
8,2019-02-15,Friday,2019-02-21,6.0,10750.0,P,90.75,14:20:00,157.2,96.45,157.2,2019-02-19,15:10:00,SL hit,-66.44999999999999,2.4795,300.9781790820166,-20746.27539503386,-1.037313769751693,2019,2,158.85,55.95,1.0474040632054176,40.443942814145984,2019-02-15 14:20:00,,,,,,,,,,,,,
934,,,,,,,26876.9,2019-02-19 11:15:00,,,26697.8,,2019-02-19 14:45:00,,-179.10000000000218,,180.0,-33202.3446000004,-0.5533718566275965,2019,2,,,,,2019-02-19 11:15:00,2019-02-19 10:45:00,LONG,26473.7465,26825.033333333333,-184.4574700000022,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-11067.43713255193,-1.106743713255193
9,2019-02-20,Wednesday,2019-02-21,1.0,10650.0,P,27.3,11:05:00,59.35,0.1575,0.05,2019-02-21,15:25:00,EOD exit,27.25,0.2735,624.02496099844,16834.009360374417,0.8417004680187209,2019,2,41.75,0.05,1.700468018720749,83.07332293291732,2019-02-20 11:05:00,,,,,,,,,,,,,
935,,,,,,,26842.95,2019-02-20 12:15:00,,,26764.7,,2019-02-20 13:45:00,,-78.25,,180.0,-15049.9377,-0.250832044167705,2019,2,,,,,2019-02-20 12:15:00,2019-02-20 11:45:00,LONG,26440.30575,26440.30575,-83.610765,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5016.6408833541,-0.50166408833541
936,,,,,,,10748.45,2019-02-20 15:15:00,,,10760.2,,2019-02-27 11:15:00,,11.75,,475.0,3537.92825,0.05896541186786245,2019,2,,,,,2019-02-20 15:15:00,2019-02-20 14:15:00,LONG,10677.51023,10779.4975,7.44827,TSL Hit,5.0,NIFTY,1000000.0,333333.0,158.33317499999998,1179.30823735725,0.1179308237357249
937,,,,,,,26976.7,2019-02-21 09:15:00,,,26925.1,,2019-02-22 09:15:00,,-51.60000000000218,,180.0,-10258.232400000394,-0.1709703690294665,2019,2,,,,,2019-02-21 09:15:00,2019-02-20 15:15:00,LONG,26572.0495,27028.716666666667,-56.99018000000218,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-3419.4073805893304,-0.341940738058933
938,,,,,,,35804.86,2019-02-21 11:15:00,,,35845.13,,2019-02-22 11:15:00,,40.2699999999968,,220.0,7283.100219999295,0.12138488228165124,2019,2,,,,,2019-02-21 11:15:00,2019-02-21 10:15:00,LONG,35590.03084,35847.53133333333,33.1050009999968,TSL Hit,8.0,SENSEX,1000000.0,333333.0,73.33326,2427.697645633025,0.2427697645633025
939,,,,,,,26960.8,2019-02-22 10:15:00,,,26896.8,,2019-02-22 10:45:00,,-64.0,,180.0,-12489.4368,-0.20815707184272,2019,2,,,,,2019-02-22 10:15:00,2019-02-22 09:45:00,LONG,26556.388,26556.388,-69.38576,MACD Reversal,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-4163.1414368544,-0.41631414368544
10,2019-02-22,Friday,2019-02-28,6.0,10750.0,P,51.5,12:40:00,64.9,35.120000000000005,64.9,2019-02-26,09:55:00,SL hit,-13.400000000000006,1.164,1488.3720930232555,-21676.651162790706,-1.0838325581395354,2019,2,68.75,14.35,5.529302325581395,200.0,2019-02-22 12:40:00,,,,,,,,,,,,,
940,,,,,,,35872.94,2019-02-22 13:15:00,,,35760.84,,2019-02-27 11:15:00,,-112.10000000000582,,220.0,-26237.94316000128,-0.43729861536763526,2019,2,,,,,2019-02-22 13:15:00,2019-02-22 12:15:00,LONG,35657.70236,35797.36,-119.26337800000582,TSL Hit,8.0,SENSEX,1000000.0,333333.0,73.33326,-8745.972307352706,-0.8745972307352705
11,2019-02-22,Friday,2019-02-28,6.0,10800.0,C,68.1,13:40:00,77.65,0.0,77.65,2019-02-22,14:15:00,SL hit,-9.550000000000011,1.4575,1481.4814814814815,-16307.407407407423,-0.8153703703703712,2019,2,79.5,63.8,0.6370370370370365,200.0,2019-02-22 13:40:00,,,,,,,,,,,,,
12,2019-02-25,Monday,2019-02-28,3.0,10850.0,C,40.0,10:15:00,54.95,0.0,54.95,2019-02-25,14:10:00,SL hit,-14.950000000000005,0.9495,1337.792642140468,-21270.234113712373,-1.0635117056856185,2019,2,56.95,39.75,0.0334448160535117,181.43812709030092,2019-02-25 10:15:00,,,,,,,,,,,,,
941,,,,,,,26990.75,2019-02-25 10:45:00,,,26813.95,,2019-02-26 09:15:00,,-176.79999999999927,,180.0,-32792.48459999987,-0.5465408634585878,2019,2,,,,,2019-02-25 10:45:00,2019-02-25 10:15:00,LONG,26585.88875,27019.233333333334,-182.18046999999927,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-10930.817269171755,-1.0930817269171755
14,2019-02-26,Tuesday,2019-02-28,2.0,10800.0,C,54.6,09:55:00,86.25,0.0,86.25,2019-02-26,11:50:00,SL hit,-31.65,1.4085,631.9115323854661,-20890.047393364926,-1.0445023696682465,2019,2,89.15,42.2,0.7835703001579779,85.30805687203792,2019-02-26 09:55:00,,,,,,,,,,,,,
15,2019-02-26,Tuesday,2019-02-28,2.0,10850.0,C,52.0,11:55:00,58.6,0.0,58.6,2019-02-26,12:35:00,SL hit,-6.600000000000001,1.106,1474.6543778801845,-11363.6866359447,-0.568184331797235,2019,2,63.9,46.05,0.8774193548387101,200.0,2019-02-26 11:55:00,,,,,,,,,,,,,
13,2019-02-26,Tuesday,2019-02-28,2.0,10750.0,P,35.45,12:30:00,90.0,0.8125,0.05,2019-02-28,15:25:00,EOD exit,35.400000000000006,0.355,366.63611365719527,12848.76260311641,0.6424381301558205,2019,2,85.45,0.05,1.2978918423464716,49.26672777268561,2019-02-26 12:30:00,,,,,,,,,,,,,
942,,,,,,,27043.65,2019-02-26 13:15:00,,,26955.65,,2019-02-26 14:45:00,,-88.0,,180.0,-16811.987399999998,-0.28019950980021,2019,2,,,,,2019-02-26 13:15:00,2019-02-26 12:45:00,LONG,26637.99525,26977.27333333333,-93.39993,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-5603.9901960042,-0.56039901960042
943,,,,,,,27179.25,2019-02-27 10:45:00,,,26989.6,,2019-02-27 11:15:00,,-189.65000000000143,,180.0,-35112.039300000266,-0.5852000697993492,2019,2,,,,,2019-02-27 10:45:00,2019-02-27 10:15:00,LONG,26771.56125,27026.28666666667,-195.06688500000143,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-11704.001395986985,-1.1704001395986985
16,2019-02-27,Wednesday,2019-02-28,1.0,10900.0,C,22.65,12:30:00,68.6,0.0,0.05,2019-02-28,15:25:00,EOD exit,22.6,0.227,435.25571273122966,9737.9760609358,0.48689880304679,2019,2,31.7,0.05,0.983677910772579,59.30359085963004,2019-02-27 12:30:00,,,,,,,,,,,,,
944,,,,,,,10814.6,2019-02-27 13:15:00,,,10808.65,,2019-02-27 14:15:00,,-5.950000000000728,,450.0,-4623.592500000327,-0.07705979794013045,2019,2,,,,,2019-02-27 13:15:00,2019-02-27 12:15:00,LONG,10743.22364,10743.22364,-10.274650000000728,MACD Reversal,5.0,NIFTY,1000000.0,333333.0,149.99985,-1541.1959588026093,-0.1541195958802609
945,,,,,,,35944.8,2019-02-27 13:15:00,,,35911.98,,2019-02-27 14:15:00,,-32.81999999999971,,220.0,-8801.249159999936,-0.1466873393125129,2019,2,,,,,2019-02-27 13:15:00,2019-02-27 12:15:00,LONG,35729.1312,35805.130000000005,-40.00567799999971,MACD Reversal,8.0,SENSEX,1000000.0,333333.0,73.33326,-2933.7467862502585,-0.2933746786250258
946,,,,,,,27027.4,2019-03-01 09:45:00,,,27528.8,,2019-03-06 13:45:00,,501.3999999999978,,180.0,89269.98839999961,1.4878316521668535,2019,3,,,,,2019-03-01 09:45:00,2019-03-01 09:15:00,LONG,26621.989,27544.3,495.9443799999978,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,29756.633043337068,2.975663304333707
18,2019-03-01,Friday,2019-03-07,6.0,10850.0,C,76.95,12:30:00,98.5,0.0,98.5,2019-03-05,13:20:00,SL hit,-21.55,1.7545,928.0742459396752,-21628.30626450116,-1.0814153132250581,2019,3,99.5,40.0,3.4292343387471003,125.87006960556847,2019-03-01 12:30:00,,,,,,,,,,,,,
947,,,,,,,10840.95,2019-03-01 14:15:00,,,11453.95,,2019-03-22 14:15:00,,613.0,,450.0,273843.459,4.56405308594235,2019,3,,,,,2019-03-01 14:15:00,2019-03-01 13:15:00,LONG,10769.39973,11458.9975,608.54102,TSL Hit,5.0,NIFTY,1000000.0,333333.0,149.99985,91281.061718847,9.1281061718847
948,,,,,,,36024.43,2019-03-01 14:15:00,,,37849.3,,2019-03-25 09:15:00,,1824.8700000000024,,220.0,399846.17794000055,6.66409630156371,2019,3,,,,,2019-03-01 14:15:00,2019-03-01 13:15:00,LONG,35808.28342,37945.685333333335,1817.4826270000024,TSL Hit,8.0,SENSEX,1000000.0,333333.0,73.33326,133281.9260312742,13.32819260312742
17,2019-03-01,Friday,2019-03-07,6.0,10800.0,P,44.35,15:00:00,68.65,0.0775,0.05,2019-03-07,15:20:00,EOD exit,44.3,0.444,823.0452674897118,36095.4732510288,1.80477366255144,2019,3,55.0,0.05,3.646090534979424,111.1111111111111,2019-03-01 15:00:00,,,,,,,,,,,,,
19,2019-03-06,Wednesday,2019-03-07,1.0,11050.0,C,19.05,14:05:00,34.5,0.0,18.6,2019-03-07,09:15:00,Gap SL hit,0.4499999999999993,0.3765,1294.498381877023,95.14563106796015,0.004757281553398,2019,3,38.0,17.35,0.2200647249190937,178.80258899676377,2019-03-06 14:05:00,,,,,,,,,,,,,
949,,,,,,,27550.3,2019-03-06 14:15:00,,,27578.55,,2019-03-07 09:15:00,,28.25,,180.0,4092.6807,0.068211276788655,2019,3,,,,,2019-03-06 14:15:00,2019-03-06 13:45:00,LONG,27137.0455,27584.84,22.737115,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,1364.2255357731,0.13642255357731
950,,,,,,,27634.95,2019-03-07 10:15:00,,,27573.4,,2019-03-07 10:45:00,,-61.54999999999927,,180.0,-12072.75029999987,-0.2012123037874928,2019,3,,,,,2019-03-07 10:15:00,2019-03-07 09:45:00,LONG,27220.42575,27588.246666666662,-67.07083499999928,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-4024.246075749856,-0.4024246075749856
951,,,,,,,27625.9,2019-03-07 11:45:00,,,27587.15,,2019-03-07 12:15:00,,-38.75,,180.0,-7968.8349,-0.13281378218608494,2019,3,,,,,2019-03-07 11:45:00,2019-03-07 11:15:00,LONG,27211.5115,27592.38333333333,-44.271305,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,-2656.2756437216995,-0.2656275643721699
952,,,,,,,27611.25,2019-03-07 13:15:00,,,27692.55,,2019-03-08 12:15:00,,81.29999999999927,,180.0,13638.531599999867,0.2273086326911378,2019,3,,,,,2019-03-07 13:15:00,2019-03-07 12:45:00,LONG,27197.08125,27709.306666666664,75.76961999999926,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,4546.172653822756,0.4546172653822756
21,2019-03-08,Friday,2019-03-14,6.0,11000.0,P,58.4,12:50:00,65.65,0.0525,0.05,2019-03-14,15:25:00,EOD exit,58.35,0.5845,1454.5454545454545,84022.54545454546,4.201127272727273,2019,3,62.4,0.05,8.487272727272728,200.0,2019-03-08 12:50:00,,,,,,,,,,,,,
953,,,,,,,27719.1,2019-03-08 13:15:00,,,28913.45,,2019-03-14 15:15:00,,1194.3500000000022,,180.0,213963.6141000004,3.5660566689397717,2019,3,,,,,2019-03-08 13:15:00,2019-03-08 12:45:00,LONG,27303.3135,28919.53,1188.6867450000022,TSL Hit,5.0,BANKNIFTY,1000000.0,333333.0,59.99994,71321.13337879544,7.132113337879543
20,2019-03-08,Friday,2019-03-14,6.0,11050.0,C,46.8,13:20:00,62.25,0.0,74.4,2019-03-11,09:15:00,Gap SL hit,-27.60000000000001,1.212,1294.4983818770224,-37297.08737864078,-1.8648543689320392,2019,3,74.7,44.85,0.2524271844660188,178.80258899676372,2019-03-08 13:20:00,,,,,,,,,,,,,
