,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
10,finnifty,18600,C,2023-04-11,2023-04-11 14:00:00,BUY,2023-04-11 14:05:00,13.95,7.85,9.125,2023-04-11 14:25:00,7.85,-6.1,0.3269999999999999,-6.427,-26340.16393442623,Initial SL hit,4098.360655737705,-1.0536065573770492,2023,4
46,finnifty,18750,P,2023-04-18,2023-04-18 14:00:00,BUY,2023-04-18 14:05:00,29.8,11.7,23.86,2023-04-18 14:10:00,22.45,-7.350000000000001,0.78375,-8.133750000000001,-11234.461325966851,TSL Hit,1381.2154696132595,-0.449378453038674,2023,4
47,finnifty,19000,P,2023-04-25,2023-04-25 15:00:00,BUY,2023-04-25 15:05:00,25.65,5.7,20.965,2023-04-25 15:20:00,39.25,13.6,0.9735,12.626500000000002,15822.681704260656,EOD Exit,1253.1328320802006,0.6329072681704262,2023,4
48,finnifty,19250,P,2023-05-02,2023-05-02 14:45:00,BUY,2023-05-02 14:50:00,33.5,7.35,20.045,2023-05-02 14:55:00,14.9,-18.6,0.726,-19.326,-18476.099426386238,TSL Hit,956.0229445506692,-0.7390439770554493,2023,5
49,finnifty,19250,P,2023-05-02,2023-05-02 15:05:00,BUY,2023-05-02 15:10:00,27.55,7.05,28.26,2023-05-02 15:20:00,45.0,17.45,1.08825,16.36175,19953.353658536587,EOD Exit,1219.5121951219512,0.7981341463414634,2023,5
50,finnifty,19300,P,2023-05-09,2023-05-09 14:10:00,BUY,2023-05-09 14:15:00,31.5,17.5,23.42,2023-05-09 14:25:00,17.5,-14.0,0.735,-14.735,-26312.5,Initial SL hit,1785.7142857142858,-1.0525,2023,5
51,finnifty,19300,P,2023-05-09,2023-05-09 15:00:00,BUY,2023-05-09 15:05:00,23.85,7.0,22.47,2023-05-09 15:20:00,28.0,4.149999999999999,0.7777499999999999,3.3722499999999984,5003.338278931748,EOD Exit,1483.6795252225518,0.2001335311572699,2023,5
52,finnifty,19500,P,2023-05-16,2023-05-16 14:05:00,BUY,2023-05-16 14:10:00,27.1,12.3,22.285,2023-05-16 14:35:00,21.1,-6.0,0.723,-6.723,-11356.418918918918,TSL Hit,1689.1891891891892,-0.4542567567567567,2023,5
53,finnifty,19500,P,2023-05-16,2023-05-16 14:50:00,BUY,2023-05-16 14:55:00,38.35,10.5,39.15,2023-05-16 15:20:00,63.65,25.3,1.53,23.77,21337.5224416517,EOD Exit,897.6660682226211,0.8535008976660682,2023,5
11,finnifty,19500,C,2023-05-23,2023-05-23 13:30:00,BUY,2023-05-23 13:35:00,9.9,7.75,8.787500000000001,2023-05-23 13:40:00,7.75,-2.1500000000000004,0.26475,-2.41475,-28078.48837209302,Initial SL hit,11627.906976744183,-1.1231395348837208,2023,5
12,finnifty,19500,C,2023-05-23,2023-05-23 13:50:00,BUY,2023-05-23 13:55:00,9.3,7.6,7.6,2023-05-23 13:55:00,7.6,-1.700000000000001,0.2534999999999999,-1.953500000000001,-28727.941176470584,Initial SL Hit,14705.882352941167,-1.1491176470588234,2023,5
54,finnifty,19450,P,2023-05-23,2023-05-23 13:55:00,BUY,2023-05-23 14:00:00,33.2,25.55,25.55,2023-05-23 14:00:00,25.55,-7.650000000000002,0.88125,-8.531250000000002,-27879.90196078431,Initial SL Hit,3267.9738562091493,-1.1151960784313724,2023,5
55,finnifty,19450,P,2023-05-23,2023-05-23 14:30:00,BUY,2023-05-23 14:35:00,28.2,16.65,42.35,2023-05-23 15:20:00,56.35,28.15,1.26825,26.881750000000004,58185.606060606064,EOD Exit,2164.5021645021643,2.3274242424242426,2023,5
13,finnifty,19600,C,2023-05-30,2023-05-30 14:05:00,BUY,2023-05-30 14:10:00,6.1,3.15,3.15,2023-05-30 14:25:00,3.15,-2.95,0.1387499999999999,-3.08875,-26175.847457627115,Initial SL Hit,8474.57627118644,-1.0470338983050846,2023,5
14,finnifty,19600,C,2023-05-30,2023-05-30 14:30:00,BUY,2023-05-30 14:35:00,12.35,2.7,7.271875,2023-05-30 15:00:00,2.7,-9.65,0.22575,-9.875749999999998,-25584.844559585494,Initial SL hit,2590.673575129534,-1.0233937823834198,2023,5
15,finnifty,19600,C,2023-05-30,2023-05-30 15:05:00,BUY,2023-05-30 15:10:00,10.7,0.5,8.353125,2023-05-30 15:20:00,7.9,-2.799999999999999,0.279,-3.078999999999999,-7546.568627450978,TSL Hit,2450.9803921568628,-0.3018627450980391,2023,5
56,finnifty,19450,P,2023-06-06,2023-06-06 14:00:00,BUY,2023-06-06 14:05:00,38.15,26.0,37.825,2023-06-06 14:45:00,34.0,-4.149999999999999,1.08225,-5.232249999999999,-10765.946502057612,TSL Hit,2057.61316872428,-0.4306378600823045,2023,6
16,finnifty,19450,C,2023-06-06,2023-06-06 15:05:00,BUY,2023-06-06 15:10:00,22.75,5.8,16.36875,2023-06-06 15:20:00,34.15,11.4,0.8534999999999999,10.546499999999998,15555.309734513272,EOD Exit,1474.9262536873157,0.6222123893805309,2023,6
57,finnifty,19400,P,2023-06-13,2023-06-13 14:00:00,BUY,2023-06-13 14:05:00,17.6,5.05,15.105,2023-06-13 14:35:00,10.5,-7.100000000000001,0.4215,-7.521500000000001,-14983.067729083668,TSL Hit,1992.03187250996,-0.5993227091633466,2023,6
17,finnifty,19450,C,2023-06-20,2023-06-20 13:35:00,BUY,2023-06-20 13:40:00,7.65,4.9,5.69375,2023-06-20 13:55:00,4.9,-2.75,0.18825,-2.93825,-26711.363636363632,Initial SL hit,9090.90909090909,-1.068454545454545,2023,6
58,finnifty,19400,P,2023-06-20,2023-06-20 13:55:00,BUY,2023-06-20 14:00:00,39.7,19.25,19.25,2023-06-20 14:00:00,19.25,-20.450000000000003,0.88425,-21.334250000000004,-26080.9902200489,Initial SL Hit,1222.4938875305622,-1.043239608801956,2023,6
18,finnifty,19450,C,2023-06-20,2023-06-20 14:20:00,BUY,2023-06-20 14:25:00,6.2,3.5,22.06875,2023-06-20 15:20:00,52.2,46.0,0.876,45.124,417814.8148148148,EOD Exit,9259.25925925926,16.712592592592593,2023,6
19,finnifty,19700,C,2023-06-27,2023-06-27 13:30:00,BUY,2023-06-27 13:35:00,7.2,4.7,60.1375,2023-06-27 15:20:00,88.15,80.95,1.43025,79.51975,795197.5,EOD Exit,10000.0,31.8079,2023,6
20,finnifty,20600,C,2023-07-04,2023-07-04 13:35:00,BUY,2023-07-04 13:40:00,21.9,15.75,15.75,2023-07-04 13:40:00,15.75,-6.149999999999999,0.56475,-6.714749999999999,-27295.731707317074,Initial SL Hit,4065.040650406505,-1.091829268292683,2023,7
21,finnifty,20600,C,2023-07-04,2023-07-04 13:55:00,BUY,2023-07-04 14:00:00,13.75,8.8,8.8,2023-07-04 14:00:00,8.8,-4.949999999999999,0.33825,-5.28825,-26708.333333333336,Initial SL Hit,5050.505050505051,-1.0683333333333334,2023,7
59,finnifty,20500,P,2023-07-04,2023-07-04 14:00:00,BUY,2023-07-04 14:05:00,56.45,33.65,80.0,2023-07-04 14:35:00,59.4,2.949999999999996,1.73775,1.2122499999999958,1329.2214912280656,TSL Hit,1096.491228070175,0.0531688596491226,2023,7
60,finnifty,20500,P,2023-07-04,2023-07-04 14:45:00,BUY,2023-07-04 14:50:00,96.5,41.85,77.31,2023-07-04 15:20:00,89.0,-7.5,2.7825,-10.2825,-4703.796889295517,EOD Exit,457.4565416285453,-0.1881518755718206,2023,7
61,finnifty,20100,P,2023-07-11,2023-07-11 14:00:00,BUY,2023-07-11 14:05:00,46.6,33.05,107.89,2023-07-11 15:20:00,130.4,83.80000000000001,2.655,81.14500000000001,149714.02214022138,EOD Exit,1845.0184501845013,5.988560885608855,2023,7
62,finnifty,20350,P,2023-07-18,2023-07-18 14:10:00,BUY,2023-07-18 14:15:00,96.6,53.65,93.555,2023-07-18 14:25:00,90.4,-6.199999999999989,2.805,-9.004999999999988,-5241.55995343422,TSL Hit,582.0721769499419,-0.2096623981373688,2023,7
22,finnifty,20500,C,2023-07-25,2023-07-25 14:30:00,BUY,2023-07-25 14:35:00,70.55,28.0,45.25,2023-07-25 15:00:00,43.8,-26.75,1.71525,-28.46525,-16724.588719153937,TSL Hit,587.5440658049354,-0.6689835487661575,2023,7
63,finnifty,20300,P,2023-08-01,2023-08-01 14:00:00,BUY,2023-08-01 14:05:00,51.8,22.3,34.43,2023-08-01 14:20:00,22.3,-29.5,1.1115,-30.6115,-25941.949152542373,Initial SL hit,847.4576271186442,-1.0376779661016948,2023,8
64,finnifty,20100,P,2023-08-08,2023-08-08 14:45:00,BUY,2023-08-08 14:50:00,37.0,8.3,23.62,2023-08-08 15:00:00,19.85,-17.15,0.85275,-18.00275,-15681.837979094076,TSL Hit,871.0801393728224,-0.6272735191637631,2023,8
23,finnifty,19650,C,2023-08-14,2023-08-14 13:30:00,BUY,2023-08-14 13:35:00,18.0,8.85,19.590625,2023-08-14 14:20:00,19.5,1.5,0.5625,0.9375,2561.4754098360654,TSL Hit,2732.24043715847,0.1024590163934426,2023,8
24,finnifty,19650,C,2023-08-14,2023-08-14 14:25:00,BUY,2023-08-14 14:30:00,23.65,15.15,26.44375,2023-08-14 15:00:00,24.9,1.25,0.72825,0.52175,1534.5588235294124,TSL Hit,2941.176470588236,0.0613823529411765,2023,8
65,finnifty,19600,P,2023-08-22,2023-08-22 14:40:00,BUY,2023-08-22 14:45:00,31.65,19.0,34.8,2023-08-22 15:20:00,47.8,16.15,1.19175,14.95825,29561.75889328064,EOD Exit,1976.2845849802372,1.1824703557312255,2023,8
66,finnifty,19800,P,2023-08-29,2023-08-29 13:55:00,BUY,2023-08-29 14:00:00,26.15,15.25,15.25,2023-08-29 14:00:00,15.25,-10.9,0.621,-11.521,-26424.311926605504,Initial SL Hit,2293.5779816513764,-1.0569724770642202,2023,8
67,finnifty,19800,P,2023-08-29,2023-08-29 14:10:00,BUY,2023-08-29 14:15:00,23.9,13.55,20.485,2023-08-29 14:30:00,17.35,-6.549999999999997,0.61875,-7.1687499999999975,-17315.821256038646,TSL Hit,2415.4589371980683,-0.6926328502415457,2023,8
