,index,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Index,Final PnL,Final ROI%,DD%
0,826,2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,240521.73425000167,TSL Hit,508.3333333333333,5x,9.620869370000069,2017,NIFTY,80173.91141666722,3.206956456666689,0.0
1,186,2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.236111111117,2017-01-19 09:15:00,19071.85,401.0,397.22573,214501.8942,TSL Hit,180.0,5x,8.580075768,2017,BNF,71500.6314,2.8600252559999997,0.0
2,1260,2017-01-17 12:15:00,LONG,2017-01-17 13:15:00,7622.55,7590.5,7590.5,2017-01-20 09:15:00,7575.95,-46.60000000000037,-49.63970000000037,-81409.1080000006,Gap Open Outside ISL,546.6666666666666,5x,-3.2563643200000243,2017,FINNIFTY,-27136.369333333532,-1.0854547733333413,-1.0854547733333408
3,187,2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-60669.265125000005,Gap Open Outside ISL,175.0,5x,-2.426770605,2017,BNF,-20223.088375,-0.8089235349999999,-1.8943783083333408
4,1261,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,7572.1,7553.65,7553.65,2017-01-20 12:15:00,7553.65,-18.450000000000728,-21.475150000000728,-35219.24600000119,Initial SL hit,546.6666666666666,5x,-1.4087698400000477,2017,FINNIFTY,-11739.748666667063,-0.4695899466666825,-2.363968255000023
5,188,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-29030.89875,Initial SL Hit,175.0,5x,-1.16123595,2017,BNF,-9676.966250000001,-0.38707865,-2.751046905000023
6,1262,2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,7509.9,7494.55,7494.55,2017-01-23 12:15:00,7494.55,-15.349999999999454,-18.350889999999456,-30829.495199999088,Initial SL Hit,560.0,5x,-1.2331798079999634,2017,FINNIFTY,-10276.498399999695,-0.4110599359999878,-3.1621068410000106
7,1263,2017-01-23 13:15:00,LONG,2017-01-23 14:15:00,7511.3,7486.0,8146.24375,2017-02-16 09:15:00,8126.9,615.5999999999995,612.4723599999994,1028953.564799999,TSL Hit,560.0,5x,41.15814259199996,2017,FINNIFTY,342984.5215999997,13.719380863999987,0.0
8,189,2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-19289.68387500038,Initial SL hit,175.0,5x,-0.7715873550000152,2017,BNF,-6429.894625000127,-0.25719578500000506,-0.25719578500000395
9,827,2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-28651.74224999893,Initial SL hit,491.6666666666667,5x,-1.1460696899999572,2017,NIFTY,-9550.580749999643,-0.38202322999998567,-0.6392190149999895
