Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-02-17 11:15:00,2017-02-17,0.9320245385,,17/02/2017,26/04/2017,-0.051932115,0,0,-0.0259660575
2017-02-17 15:15:00,2017-02-17,1.471159398,,17/02/2017,27/04/2017,0.1885582125,-3.28019251,-4.920288765,-2.365865276
2017-02-20 09:15:00,2017-02-20,0.8531023815,,20/02/2017,28/04/2017,0.082092015,0,0,0.0410460075
2017-02-22 14:45:00,2017-02-22,-0.249954144,,22/02/2017,02/05/2017,0.3079299921,0,0,0.153964996
2017-03-01 12:15:00,2017-03-01,-0.8403768467,,01/03/2017,03/05/2017,-0.444051104,0,0,-0.222025552
2017-03-01 12:15:00,2017-03-01,-0.7921292885,,01/03/2017,04/05/2017,-1.402115036,0.05031282943,0.07546924415,-0.6633228961
2017-03-01 11:45:00,2017-03-01,-0.07634244,,01/03/2017,05/05/2017,-0.2122110081,0,0,-0.106105504
2017-03-01 13:15:00,2017-03-01,-0.9906967884,,01/03/2017,08/05/2017,-0.8789999992,0,0,-0.4394999996
2017-03-01 14:15:00,2017-03-01,-0.2389934434,,01/03/2017,09/05/2017,-0.4452920189,0,0,-0.2226460095
2017-03-06 10:15:00,2017-03-06,-0.9782747905,,06/03/2017,10/05/2017,1.329851235,0,0,0.6649256176
2017-03-06 10:15:00,2017-03-06,-0.9905207279,,06/03/2017,11/05/2017,-0.6225660188,4.180979167,6.27146875,2.824451366
2017-03-06 10:15:00,2017-03-06,-0.3247316226,,06/03/2017,15/05/2017,-1.355988836,0,0,-0.6779944178
2017-03-06 14:15:00,2017-03-06,-0.09621225336,,06/03/2017,16/05/2017,-0.0532531344,0,0,-0.0266265672
2017-03-07 10:45:00,2017-03-07,-0.1245303072,,07/03/2017,17/05/2017,0.0495683724,0,0,0.0247841862
2017-03-07 15:15:00,2017-03-07,-0.280785431,,07/03/2017,18/05/2017,0,-0.3664124668,-0.5496187003,-0.2748093501
2017-03-07 15:15:00,2017-03-07,-0.2299918212,,07/03/2017,19/05/2017,-0.285656787,0,0,-0.1428283935
2017-03-08 14:45:00,2017-03-08,-0.0842140929,,08/03/2017,22/05/2017,-1.213511669,0,0,-0.6067558345
2017-03-08 15:15:00,2017-03-08,2.309829304,,08/03/2017,25/05/2017,14.63410316,18.22077254,27.33115881,20.98263099
2017-03-09 09:15:00,2017-03-09,-0.185824496,,09/03/2017,29/05/2017,0.2052420084,0,0,0.1026210042
2017-03-09 13:45:00,2017-03-09,0.1422901578,,09/03/2017,30/05/2017,-0.07626499272,0,0,-0.03813249636
2017-03-10 12:15:00,2017-03-10,-0.5954267453,,10/03/2017,01/06/2017,0,-1.105,-1.6575,-0.82875
2017-03-10 12:15:00,2017-03-10,-0.5214700505,,10/03/2017,02/06/2017,0.04642109277,0,0,0.02321054638
