time,open,high,low,close,Shapes,MA
2016-07-08T14:15:00+05:30,27109.37,27149.61,27080.12,27116.16,1,27095.781249999894
2016-07-08T15:15:00+05:30,27115.87,27144.91,27113.26,27139.28,1,27105.25999999989
2016-07-11T09:15:00+05:30,27372,27607.99,27370.93,27591.36,1,27125.327291666556
2016-07-11T10:15:00+05:30,27591.4,27612.86,27568.62,27583.6,1,27144.818333333224
2016-07-11T11:15:00+05:30,27583.33,27605.01,27565.6,27598.84,1,27164.630416666554
2016-07-11T12:15:00+05:30,27598.19,27622.73,27585.1,27588.39,1,27183.028541666557
2016-07-11T13:15:00+05:30,27588.92,27609.28,27559.81,27602.66,1,27201.06499999989
2016-07-11T14:15:00+05:30,27603.32,27628.2,27543.37,27623.15,1,27219.388749999885
2016-07-11T15:15:00+05:30,27623.36,27647.48,27618.27,27632.01,1,27232.897708333225
2016-07-12T09:15:00+05:30,27726.21,27760.81,27677.57,27695.43,1,27248.356666666554
2016-07-12T10:15:00+05:30,27695.02,27720.2,27683.47,27691.23,1,27264.75833333322
2016-07-12T11:15:00+05:30,27689.85,27735.37,27689.85,27730.94,1,27281.464374999883
2016-07-12T12:15:00+05:30,27731.58,27761.18,27709.22,27710.13,1,27295.012708333215
2016-07-12T13:15:00+05:30,27710.04,27755.45,27675.22,27754.91,1,27310.488749999884
2016-07-12T14:15:00+05:30,27754.95,27828.74,27724.44,27813.14,1,27327.419374999885
2016-07-12T15:15:00+05:30,27814.99,27823.95,27791.95,27797.35,1,27339.83437499989
2016-07-13T09:15:00+05:30,27928.76,27928.76,27818.02,27843.5,1,27352.822291666555
2016-07-13T10:15:00+05:30,27843.42,27873.83,27769.67,27812.59,1,27365.191041666552
2016-07-13T11:15:00+05:30,27812.57,27818.34,27752.14,27816.44,1,27378.45604166655
2016-07-13T12:15:00+05:30,27815.94,27816.75,27759.33,27783.81,1,27390.666666666555
2016-07-13T13:15:00+05:30,27783.46,27836.65,27775.71,27828.31,1,27405.011041666552
2016-07-13T14:15:00+05:30,27828.6,27849.58,27767.34,27820.89,1,27419.11083333322
2016-07-13T15:15:00+05:30,27818.57,27825.92,27779.77,27796.96,1,27429.201874999886
2016-07-14T09:15:00+05:30,27860.51,27866.11,27763.15,27796.7,1,27438.255624999885
2016-07-14T10:15:00+05:30,27797.12,27801.24,27764.59,27784.35,1,27447.043749999884
2016-07-14T11:15:00+05:30,27783.7,27877.62,27765.12,27868.62,1,27458.691874999884
2016-07-14T12:15:00+05:30,27868.27,27907.61,27853.7,27869.84,1,27470.304999999888
2016-07-14T13:15:00+05:30,27871.92,27899.62,27869.71,27891.28,1,27483.249374999883
2016-07-14T14:15:00+05:30,27890.2,27958.52,27854.64,27952.79,1,27497.04770833322
2016-07-14T15:15:00+05:30,27953.23,27967.77,27929.86,27943.08,1,27511.760833333217
2016-07-15T09:15:00+05:30,27975.37,28048.7,27823.99,27853.22,1,27525.02541666655
2016-07-15T10:15:00+05:30,27854.43,27869.17,27742.26,27797.42,1,27537.145833333216
2016-07-15T11:15:00+05:30,27798.2,27811.08,27735.87,27776.97,1,27548.963749999883
2016-07-15T12:15:00+05:30,27776.94,27889.98,27744.07,27888.6,1,27564.190208333213
2016-07-15T13:15:00+05:30,27888.84,27904.7,27842.03,27872.43,1,27578.721041666548
2016-07-15T14:15:00+05:30,27873,27885.12,27786.94,27842.73,1,27593.063958333212
2016-07-15T15:15:00+05:30,27840.16,27855.13,27815.88,27833.7,1,27605.976249999887
2016-07-18T09:15:00+05:30,27978.98,28013.5,27918.48,27972.08,1,27622.53458333322
2016-07-18T10:15:00+05:30,27972.33,28009.94,27956.78,28003.39,1,27640.044999999885
2016-07-18T11:15:00+05:30,28003.48,28004.66,27976.22,27987.34,1,27656.504999999885
2016-07-18T12:15:00+05:30,27987.57,28009.85,27941.27,27949.89,1,27670.362499999883
2016-07-18T13:15:00+05:30,27950.73,27957.44,27842.63,27902.84,1,27685.81604166655
2016-07-18T14:15:00+05:30,27903.01,27903.52,27745.48,27755.63,1,27696.968124999883
2016-07-18T15:15:00+05:30,27755.98,27768.53,27697.69,27701.58,1,27709.318333333216
2016-07-19T09:15:00+05:30,27804.73,27804.73,27689.96,27759.37,1,27723.039583333215
2016-07-19T10:15:00+05:30,27759.06,27796.22,27733.31,27757.67,1,27736.770833333216
2016-07-19T11:15:00+05:30,27758.14,27763.78,27710.29,27721.26,1,27749.24562499988
2016-07-19T12:15:00+05:30,27721.56,27824.5,27718.37,27719.08,1,27761.93624999988
2016-07-19T13:15:00+05:30,27719.06,27720.91,27637.98,27676.52,1,27773.610416666546
2016-07-19T14:15:00+05:30,27676.43,27822.62,27646.95,27817.75,1,27787.745208333206
2016-07-19T15:15:00+05:30,27818.68,27826.69,27795.4,27812.19,1,27792.34583333321
2016-07-20T09:15:00+05:30,27777.11,27908.22,27759.71,27874.25,1,27798.401041666544
2016-07-20T10:15:00+05:30,27874.04,27889.52,27842.55,27859.7,1,27803.83562499988
2016-07-20T11:15:00+05:30,27858.98,27910.63,27855.85,27890.87,1,27810.137291666546
2016-07-20T12:15:00+05:30,27890.7,27903.12,27847.53,27855.2,1,27815.398541666542
2016-07-20T13:15:00+05:30,27854.88,27896.81,27845.42,27873.82,1,27820.620833333214
2016-07-20T14:15:00+05:30,27873.91,27924.92,27873.91,27914.29,1,27826.501666666547
2016-07-20T15:15:00+05:30,27914.02,27935.18,27904.94,27922.63,1,27831.23499999988
2016-07-21T09:15:00+05:30,27976.96,27988.76,27861.97,27869.61,1,27834.95124999988
2016-07-21T10:15:00+05:30,27869.67,27918.18,27869.38,27895.78,1,27838.38541666654
2016-07-21T11:15:00+05:30,27895.2,27909.11,27820.01,27832.37,1,27840.932083333206
2016-07-21T12:15:00+05:30,27831.45,27860.72,27760.81,27765.9,1,27841.16104166654
2016-07-21T13:15:00+05:30,27765.95,27854.12,27739.07,27785.27,1,27840.580416666544
2016-07-21T14:15:00+05:30,27785.41,27805.14,27693.53,27717.98,1,27838.926874999877
2016-07-21T15:15:00+05:30,27717.27,27725.58,27687.54,27698,1,27835.895624999877
