time,open,high,low,close,MA,MA,EMA
2021-10-01T09:15:00+05:30,37183.3,37183.3,36876.35,37126.75,NaN,NaN,NaN
2021-10-01T09:30:00+05:30,37130.5,37179.3,37055.2,37104.9,NaN,NaN,NaN
2021-10-01T09:45:00+05:30,37107.6,37107.6,36987.15,37036.2,NaN,NaN,NaN
2021-10-01T10:00:00+05:30,37038.2,37094.1,37015.25,37084.9,NaN,NaN,NaN
2021-10-01T10:15:00+05:30,37085.9,37259.2,37084,37225.2,NaN,NaN,NaN
2021-10-01T10:30:00+05:30,37228.7,37231.3,37133.75,37213.4,NaN,NaN,37131.89166666667
2021-10-01T10:45:00+05:30,37214.05,37299.4,37203.9,37241.7,NaN,NaN,37163.26547619048
2021-10-01T11:00:00+05:30,37241.25,37265,37155.15,37213.2,NaN,NaN,37177.5324829932
2021-10-01T11:15:00+05:30,37216.1,37263.8,37183.55,37185.05,NaN,NaN,37179.68034499514
2021-10-01T11:30:00+05:30,37186.7,37246.75,37160.1,37224.65,NaN,NaN,37192.52881785367
2021-10-01T11:45:00+05:30,37228.45,37228.6,37111.25,37117.65,NaN,NaN,37171.13486989548
2021-10-01T12:00:00+05:30,37117.05,37132.05,37058.55,37088.3,NaN,NaN,37147.46776421106
2021-10-01T12:15:00+05:30,37088.65,37162.5,37058.6,37146.9,NaN,NaN,37147.30554586504
2021-10-01T12:30:00+05:30,37146.35,37161.2,37051.4,37077.75,NaN,NaN,37127.432532760744
2021-10-01T12:45:00+05:30,37080.2,37165.55,37057.6,37156.05,NaN,NaN,37135.60895197196
2021-10-01T13:00:00+05:30,37155.85,37208.45,37120.75,37153.95,NaN,NaN,37140.849251408545
2021-10-01T13:15:00+05:30,37154,37195.2,37111.35,37169.65,NaN,NaN,37149.07803672039
2021-10-01T13:30:00+05:30,37170.2,37206,37100.4,37124.7,NaN,NaN,37142.11288337171
2021-10-01T13:45:00+05:30,37126.15,37150.25,37083.75,37110.1,NaN,NaN,37132.96634526551
2021-10-01T14:00:00+05:30,37110.25,37173.7,37094.5,37167.05,NaN,NaN,37142.70453233251
2021-10-01T14:15:00+05:30,37168.2,37184.75,37133.6,37168.4,NaN,NaN,37150.04609452322
2021-10-01T14:30:00+05:30,37168.8,37213.3,37139.8,37163.75,NaN,NaN,37153.96149608801
2021-10-01T14:45:00+05:30,37164.15,37204.3,37147.9,37191.95,NaN,NaN,37164.81535434858
2021-10-01T15:00:00+05:30,37193,37284.95,37191.5,37204.45,NaN,NaN,37176.13953882042
2021-10-01T15:15:00+05:30,37206,37243.3,37168.6,37229.05,NaN,NaN,37191.25681344316
2021-10-04T09:15:00+05:30,37407.3,37540.6,37355.6,37479.65,37109.213461538464,37214.786538461536,37273.65486674511
2021-10-04T09:30:00+05:30,37479.1,37571.65,37478.65,37514.35,37132.37884615384,37229.72307692308,37342.42490481794
2021-10-04T09:45:00+05:30,37513.85,37596.3,37489.75,37578,37149.092307692306,37245.76153846154,37409.73207486996
2021-10-04T10:00:00+05:30,37580.1,37613.1,37543.3,37556,37170.48269230769,37265.20384615385,37451.522910621396
2021-10-04T10:15:00+05:30,37559.7,37610.75,37540.2,37584.05,37190.67307692308,37285.075,37489.387793301
2021-10-04T10:30:00+05:30,37586.55,37622.7,37562.4,37611.9,37209.07307692308,37299.05576923077,37524.39128092929
2021-10-04T10:45:00+05:30,37610.4,37670.7,37607.75,37653.9,37227.303846153845,37315.95576923077,37561.39377209235
2021-10-04T11:00:00+05:30,37650.9,37656.05,37582.9,37590.55,37241.88076923077,37329.67307692308,37569.72412292311
2021-10-04T11:15:00+05:30,37597.35,37611.1,37557.9,37563.35,37257.37115384616,37342.984615384616,37567.902944945075
2021-10-04T11:30:00+05:30,37563.1,37588.8,37538.8,37547.8,37271.03461538462,37355.484615384616,37562.15924638934
2021-10-04T11:45:00+05:30,37548.8,37583.5,37522.4,37575,37284.96923076923,37368.43653846154,37565.82803313524
2021-10-04T12:00:00+05:30,37572.25,37622.65,37572.25,37615.3,37302.700000000004,37383.592307692306,37579.96288081089
2021-10-04T12:15:00+05:30,37614.15,37617.95,37499.25,37510.75,37319.65000000001,37402.28076923077,37560.187772007775
2021-10-04T12:30:00+05:30,37509.3,37576.1,37474.45,37545.5,37335.644230769234,37418.188461538455,37555.99126571984
2021-10-04T12:45:00+05:30,37545.95,37552,37510.7,37529.05,37353.30961538462,37433.21923076923,37548.29376122846
2021-10-04T13:00:00+05:30,37529.2,37546.65,37505.05,37535.55,37370.519230769234,37447.87692307692,37544.652686591755
2021-10-04T13:15:00+05:30,37535.25,37584.6,37534.85,37582,37386.446153846155,37462.34423076923,37555.323347565536
2021-10-04T13:30:00+05:30,37577.3,37625.4,37575.5,37610.3,37404.29807692308,37478.890384615384,37571.030962546814
2021-10-04T13:45:00+05:30,37610.2,37625.1,37585.2,37613.65,37422.94423076924,37495.00961538462,37583.20783039058
2021-10-04T14:00:00+05:30,37613.8,37653.65,37570.25,37631,37441.65576923078,37514.37115384616,37596.86273599327
2021-10-04T14:15:00+05:30,37632.2,37649.65,37603.85,37622.35,37461.246153846165,37532.67692307693,37604.144811423765
2021-10-04T14:30:00+05:30,37623.35,37637.65,37550.1,37630,37477.2653846154,37550.096153846156,37611.53200815983
