datetime,open,high,low,close,volume
2017-01-02T09:15:00.000000,7442.4,7443.1,7262.95,7304.25,0
2017-01-03T09:15:00.000000,7316.5,7347.5,7249.85,7318.85,0
2017-01-04T09:15:00.000000,7325.1,7336.75,7255.85,7264.1,0
2017-01-05T09:15:00.000000,7303.15,7348.25,7284.45,7333.55,0
2017-01-06T09:15:00.000000,7353.5,7403.9,7347.65,7368.35,0
2017-01-09T09:15:00.000000,7386.15,7400.25,7362.85,7371.75,0
2017-01-10T09:15:00.000000,7391.85,7416.6,7370.7,7404.4,0
2017-01-11T09:56:00.000000,7444.6,7534.4,7428.45,7515.75,0
2017-01-12T09:15:00.000000,7540.0,7576.6,7504.95,7520.55,0
2017-01-13T09:15:00.000000,7550.65,7583.45,7517.55,7577.4,0
2017-01-16T09:15:00.000000,7572.0,7658.7,7560.85,7649.1,0
2017-01-17T09:15:00.000000,7660.7,7679.75,7590.5,7625.5,0
2017-01-18T09:15:00.000000,7627.65,7702.9,7627.65,7645.45,0
2017-01-19T09:15:00.000000,7649.0,7652.7,7605.45,7626.7,0
2017-01-20T09:15:00.000000,7574.55,7591.15,7494.55,7505.5,0
2017-01-23T09:15:00.000000,7485.7,7555.0,7476.1,7538.8,0
2017-01-24T09:15:00.000000,7569.45,7637.85,7559.25,7627.95,0
2017-01-25T09:15:00.000000,7658.6,7871.05,7658.4,7853.3,0
2017-01-27T09:15:00.000000,7880.8,8006.85,7874.1,7980.5,0
2017-01-30T09:15:00.000000,7979.8,7998.5,7941.4,7957.75,0
2017-01-31T09:15:00.000000,7943.8,7978.35,7894.6,7917.45,0
2017-02-01T09:15:00.000000,7920.95,8137.65,7914.95,8130.1,0
2017-02-02T09:15:00.000000,8140.45,8153.5,8084.8,8138.3,0
2017-02-03T09:15:00.000000,8137.4,8155.45,8108.95,8146.1,0
2017-02-06T09:15:00.000000,8182.9,8245.3,8182.0,8227.95,0
2017-02-07T09:15:00.000000,8225.5,8235.75,8183.85,8203.2,0
2017-02-08T09:15:00.000000,8209.85,8211.45,8103.6,8168.4,0
2017-02-09T09:15:00.000000,8193.55,8247.45,8092.8,8139.45,0
2017-02-10T09:15:00.000000,8174.55,8200.05,8125.25,8141.2,0
2017-02-13T09:15:00.000000,8176.1,8188.55,8099.8,8158.3,0
2017-02-14T09:15:00.000000,8181.45,8185.4,8121.1,8162.6,0
2017-02-15T09:15:00.000000,8171.15,8205.6,8119.6,8147.35,0
2017-02-16T09:15:00.000000,8166.3,8183.3,8116.35,8176.65,0
2017-02-17T09:15:00.000000,8434.75,8469.3,8252.7,8281.55,0
2017-02-20T09:15:00.000000,8263.95,8324.8,8250.1,8313.75,0
2017-02-21T09:15:00.000000,8318.3,8413.4,8288.35,8399.55,0
2017-02-22T09:15:00.000000,8429.85,8431.0,8371.55,8390.35,0
2017-02-23T09:15:00.000000,8404.45,8435.5,8370.1,8383.2,0
2017-02-27T09:15:00.000000,8378.2,8378.2,8291.7,8302.75,0
2017-02-28T09:15:00.000000,8309.8,8325.95,8272.5,8286.9,0
2017-03-01T09:15:00.000000,8317.35,8394.5,8312.75,8377.35,0
2017-03-02T09:15:00.000000,8411.4,8428.6,8295.9,8310.9,0
2017-03-03T09:15:00.000000,8305.1,8307.45,8221.2,8252.85,0
2017-03-06T09:15:00.000000,8277.25,8351.35,8269.45,8293.0,0
2017-03-07T09:15:00.000000,8314.0,8317.05,8273.25,8283.45,0
2017-03-08T09:15:00.000000,8288.75,8314.1,8242.55,8299.45,0
2017-03-09T09:15:00.000000,8275.9,8339.85,8269.9,8320.45,0
2017-03-10T09:15:00.000000,8355.55,8376.45,8294.5,8320.65,0
2017-03-14T09:15:00.000000,8516.7,8539.4,8473.1,8509.5,0
2017-03-15T09:15:00.000000,8509.75,8575.0,8498.8,8544.55,0
2017-03-16T09:15:00.000000,8573.95,8610.0,8568.4,8601.15,0
2017-03-17T09:15:00.000000,8629.2,8638.35,8571.85,8592.65,0
2017-03-20T09:15:00.000000,8600.5,8600.5,8560.0,8583.6,0
2017-03-21T09:15:00.000000,8577.15,8608.85,8533.25,8561.95,0
2017-03-22T09:15:00.000000,8485.65,8514.15,8461.8,8472.6,0
2017-03-23T09:15:00.000000,8501.45,8531.9,8466.4,8520.9,0
2017-03-24T09:15:00.000000,8548.7,8609.75,8531.2,8591.4,0
2017-03-27T09:15:00.000000,8602.85,8602.85,8529.9,8569.3,0
2017-03-28T09:15:00.000000,8624.85,8684.95,8605.85,8670.95,0
2017-03-29T09:15:00.000000,8706.8,8763.25,8679.3,8747.5,0
2017-03-30T09:15:00.000000,8737.65,8825.25,8724.4,8806.15,0
2017-03-31T09:15:00.000000,8788.35,8790.85,8722.3,8734.3,0
2017-04-03T09:15:00.000000,8775.5,8831.2,8737.15,8825.8,0
2017-04-05T09:15:00.000000,8828.25,8833.25,8774.15,8804.1,0
2017-04-06T09:15:00.000000,8774.7,8801.0,8734.95,8789.95,0
