time,open,high,low,close,RSI,RSI
2024-12-19T09:15:00+05:30,112.35,138.35,91,120.15,89.19319442002437,89.4416804864566
2024-12-19T09:20:00+05:30,115.2,130.15,111.05,116.8,85.87589768023098,86.61670235546038
2024-12-19T09:25:00+05:30,115.85,122.25,112.65,122.2,86.73249275545145,87.29674796747966
2024-12-19T09:30:00+05:30,123.15,125.3,113,113.6,78.56083475386536,80.58161350844276
2024-12-19T09:35:00+05:30,114.65,114.65,100.7,101.5,68.74670404714956,73.51305091998287
2024-12-19T09:40:00+05:30,100.6,101.35,83.55,86.7,59.03267803101688,65.77335375191424
2024-12-19T09:45:00+05:30,86.6,104,86.45,99.85,63.91199444911119,68.87186629526462
2024-12-19T09:50:00+05:30,100,101.4,88,90.05,58.335757083889206,63.871395425919786
2024-12-19T09:55:00+05:30,89,99.2,83.85,95.9,60.548528545431694,66.44993498049415
2024-12-19T10:00:00+05:30,96.7,102.1,91.3,91.4,57.996890282578136,64.26751592356686
2024-12-19T10:05:00+05:30,91.45,94.5,87.4,92.8,58.58169124559356,64.66498103666245
2024-12-19T10:10:00+05:30,92.85,104.6,92.85,100.75,61.83148413425087,66.83843588966353
2024-12-19T10:15:00+05:30,100.95,104.9,97.6,102,62.3319381350479,67.49394673123487
2024-12-19T10:20:00+05:30,101.85,101.85,91.7,93.35,56.78348743148432,64.33929601846508
2024-12-19T10:25:00+05:30,93.3,93.7,86.1,86.75,52.913246341001695,33.849129593810446
2024-12-19T10:30:00+05:30,85.85,87.5,81.25,85.7,52.302489464568694,34.619188921859546
2024-12-19T10:35:00+05:30,85.8,86.85,84,84.85,51.78142403822292,30.657690315898478
2024-12-19T10:40:00+05:30,85.05,85.1,81.75,83.9,51.16786472303141,33.29583802024746
2024-12-19T10:45:00+05:30,83.65,88.2,81.3,88.2,53.834302766286164,41.80024660912453
2024-12-19T10:50:00+05:30,88.55,90.6,86.2,88.5,54.02293006924346,51.351351351351326
2024-12-19T10:55:00+05:30,88.6,90.7,86.6,87.95,53.590615354309165,38.98148148148145
2024-12-19T11:00:00+05:30,87.55,90.85,87.45,87.75,53.42319673966727,47.40990990990987
2024-12-19T11:05:00+05:30,88,89,84.7,89,54.382403217174556,41.33165829145721
2024-12-19T11:10:00+05:30,88.95,91.6,88.25,89.2,54.543705724740015,46.90140845070415
2024-12-19T11:15:00+05:30,89.5,89.5,84.25,85.9,51.31924142760778,40.77540106951866
2024-12-19T11:20:00+05:30,85.85,87.35,84.5,85.2,50.63543021220348,24.21227197346589
2024-12-19T11:25:00+05:30,85,85.8,81.9,85.6,51.03691711337943,22.013651877132972
2024-12-19T11:30:00+05:30,85.6,86.35,84.5,85.05,50.429581470358805,30.42452830188664
2024-12-19T11:35:00+05:30,84.9,84.9,71.65,76.7,42.21604246373382,28.104575163398536
2024-12-19T11:40:00+05:30,76.65,82.85,76.65,80.7,46.6949444588145,40.347490347490236
2024-12-19T11:45:00+05:30,80.8,81.35,76.75,76.75,43.13899115670207,36.034482758620584
