Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,Trade Month
2022-05-30 12:15:00,2022-05-30 13:15:00,6797.65,6772.8,6851.54375,2022-05-31 14:15:00,6838.35,40.7,36.63,706.1263819,2.586540937,2022,5
2022-06-01 10:15:00,2022-06-01 11:15:00,6898.25,6879.75,6879.75,2022-06-01 12:15:00,6879.75,-18.5,-20.35,695.8286522,-1.416011307,2022,6
2022-06-01 14:15:00,2022-06-01 15:15:00,6861.85,6825.5,6825.5,2022-06-02 11:15:00,6825.5,-36.35,-39.985,699.5198088,-2.797029955,2022,6
2022-06-02 13:15:00,2022-06-02 14:15:00,6853.3,6835.9,6868.4625,2022-06-03 12:15:00,6837.65,-15.65,-17.215,700.3925116,-1.205725709,2022,6
2022-06-24 10:15:00,2022-06-24 11:15:00,6350.7,6325.55,6439.9875,2022-06-27 15:15:00,6437.95,87.25,78.525,755.8221928,5.935093769,2022,6
2022-06-28 10:15:00,2022-06-28 11:15:00,6402.9,6385.9,6385.9,2022-06-30 14:15:00,6385.9,-17,-18.7,749.6603102,-1.40186478,2022,6
2022-07-05 09:15:00,2022-07-05 10:15:00,6467.15,6447.3,6447.3,2022-07-05 13:15:00,6447.3,-19.85,-21.835,742.2125666,-1.620621139,2022,7
2022-07-06 10:15:00,2022-07-06 11:15:00,6446.9,6425,6558.1,2022-07-07 13:15:00,6551,104.1,93.69,744.5438893,6.975631699,2022,7
2022-07-07 14:15:00,2022-07-07 15:15:00,6606.85,6546.5,6594.50625,2022-07-08 11:15:00,6589.85,-17,-18.7,726.5186889,-1.358589948,2022,7
2022-07-08 12:15:00,2022-07-08 13:15:00,6607.7,6584.7,6584.7,2022-07-08 14:15:00,6584.7,-23,-25.3,726.4252312,-1.837855835,2022,7
2022-07-11 11:15:00,2022-07-11 12:15:00,6588.8,6563.5,6605.325,2022-07-12 11:15:00,6601,12.2,10.98,728.5089849,0.7999028655,2022,7
2022-07-12 12:15:00,2022-07-12 13:15:00,6601.05,6580.5,6580.5,2022-07-12 14:15:00,6580.5,-20.55,-22.605,727.1570432,-1.643738496,2022,7
2022-07-13 11:15:00,2022-07-13 12:15:00,6639.45,6624.65,6624.65,2022-07-13 13:15:00,6624.65,-14.8,-16.28,722.9514493,-1.176964959,2022,7
2022-07-15 12:15:00,2022-07-15 13:15:00,6638.25,6620,6777.68125,2022-07-19 12:15:00,6769.9,131.65,118.485,723.0821376,8.567438707,2022,7
2022-07-19 13:15:00,2022-07-19 14:15:00,6786.6,6767.2,6853.4,2022-07-20 15:15:00,6841.25,54.65,49.185,707.2761029,3.478737512,2022,7
2022-07-21 09:15:00,2022-07-21 10:15:00,6914.3,6838.35,6942.01875,2022-07-22 15:15:00,6929.3,15,13.5,694.2134417,0.9371881463,2022,7
2022-07-25 12:15:00,2022-07-25 13:15:00,6923.3,6907.7,6907.7,2022-07-26 10:15:00,6907.7,-15.6,-17.16,693.3109933,-1.189721665,2022,7
2022-07-28 13:15:00,2022-07-28 14:15:00,6946.9,6923.1,7166.35,2022-08-03 09:15:00,7152.3,205.4,184.86,690.9556781,12.77300666,2022,7
2022-08-03 12:15:00,2022-08-03 13:15:00,7110.2,7083.55,7143.9375,2022-08-04 13:15:00,7141.9,31.7,28.53,675.0864955,1.926021772,2022,8
2022-08-05 11:15:00,2022-08-05 12:15:00,7188.9,7168.05,7168.05,2022-08-05 13:15:00,7168.05,-20.85,-22.935,667.6960314,-1.531360848,2022,8
2022-08-05 15:15:00,2022-08-08 09:15:00,7176.4,7161.55,7217.96875,2022-08-10 09:15:00,7198.7,22.3,20.07,668.859038,1.342400089,2022,8
2022-08-10 10:15:00,2022-08-10 11:15:00,7221.1,7196.25,7314.5625,2022-08-12 14:15:00,7309.65,88.55,79.695,664.7186717,5.297475454,2022,8
2022-08-16 13:15:00,2022-08-16 14:15:00,7365.3,7345.55,7465.88125,2022-08-18 11:15:00,7457.55,92.25,83.025,651.7046149,5.410777565,2022,8
2022-08-18 13:15:00,2022-08-18 14:15:00,7460.8,7447.2,7475.06875,2022-08-19 10:15:00,7467,6.2,5.58,643.3626421,0.3589963543,2022,8
2022-08-19 12:15:00,2022-08-19 13:15:00,7453.4,7384.05,7384.05,2022-08-19 15:15:00,7384.05,-69.35,-76.285,644.0013953,-4.912764644,2022,8
