time,open,high,low,close,Volume,MA,MA,Shapes
2012-01-02T09:15:00+05:30,8015.6,8028.45,7918.55,7939.05,0,NaN,NaN,0
2012-01-02T10:15:00+05:30,7938.6,7972.05,7913.6,7946.35,0,NaN,NaN,0
2012-01-02T11:15:00+05:30,7948.15,7950.9,7897.55,7899.7,0,NaN,NaN,0
2012-01-02T12:15:00+05:30,7898.55,7966.7,7888.25,7960.65,0,NaN,NaN,0
2012-01-02T13:15:00+05:30,7960.4,7989.3,7932.45,7940.45,0,NaN,NaN,0
2012-01-02T14:15:00+05:30,7938.7,8010.7,7936.8,7991.15,0,NaN,NaN,0
2012-01-02T15:15:00+05:30,7989.65,8008.75,7987.4,7997.95,0,NaN,NaN,0
2012-01-03T09:15:00+05:30,8075.1,8185.95,8075.1,8177.05,0,NaN,NaN,0
2012-01-03T10:15:00+05:30,8178.05,8205.85,8176.55,8197,0,NaN,NaN,0
2012-01-03T11:15:00+05:30,8195.65,8231.65,8184.55,8226.15,0,NaN,NaN,0
2012-01-03T12:15:00+05:30,8225.7,8277.1,8217.3,8272.25,0,NaN,NaN,0
2012-01-03T13:15:00+05:30,8275.05,8276.75,8240.9,8273.45,0,NaN,NaN,0
2012-01-03T14:15:00+05:30,8273.8,8355.85,8267.5,8344.65,0,NaN,NaN,0
2012-01-03T15:15:00+05:30,8344.2,8356.35,8329.5,8329.95,0,NaN,NaN,0
2012-01-04T09:15:00+05:30,8385.4,8386.3,8294.35,8384.95,0,NaN,NaN,0
2012-01-04T10:15:00+05:30,8385.2,8419.95,8341.15,8363.55,0,NaN,NaN,0
2012-01-04T11:15:00+05:30,8364.45,8374,8317.1,8342.85,0,NaN,NaN,0
2012-01-04T12:15:00+05:30,8340.95,8373.1,8323.55,8353.3,0,8163.358333333333,NaN,0
2012-01-04T13:15:00+05:30,8352.95,8453.4,8352.7,8370.15,0,8187.3083333333325,NaN,0
2012-01-04T14:15:00+05:30,8364.75,8427.6,8340.1,8407.8,0,8212.944444444445,NaN,0
2012-01-04T15:15:00+05:30,8405.85,8410.05,8389.35,8392.75,0,8240.33611111111,NaN,0
2012-01-05T09:15:00+05:30,8425.5,8455.4,8398.1,8438.15,0,8266.863888888889,NaN,0
2012-01-05T10:15:00+05:30,8439,8447.65,8417.75,8438.45,0,8294.530555555555,NaN,0
2012-01-05T11:15:00+05:30,8437.8,8495.95,8426.45,8483.9,0,8321.905555555555,NaN,0
2012-01-05T12:15:00+05:30,8484.4,8516.15,8456,8499.2,0,8349.752777777778,NaN,0
2012-01-05T13:15:00+05:30,8496.65,8512.75,8430.1,8433.5,0,8364,NaN,0
2012-01-05T14:15:00+05:30,8438.3,8468.15,8394.25,8462.8,0,8378.766666666666,NaN,0
2012-01-05T15:15:00+05:30,8463.25,8478,8448.3,8459.2,0,8391.71388888889,NaN,0
2012-01-06T09:15:00+05:30,8381.8,8416.6,8341.6,8364.9,0,8396.861111111111,NaN,0
2012-01-06T10:15:00+05:30,8364.2,8364.2,8297.55,8331.1,0,8400.063888888888,NaN,0
2012-01-06T11:15:00+05:30,8331.3,8347.9,8327.35,8332.5,0,8399.388888888889,NaN,0
2012-01-06T12:15:00+05:30,8330.25,8385.45,8320.8,8346.5,0,8400.308333333332,NaN,0
2012-01-06T13:15:00+05:30,8346.35,8403.3,8345.1,8391.85,0,8400.691666666666,NaN,0
2012-01-06T14:15:00+05:30,8391.9,8586.65,8391.9,8480.1,0,8407.166666666666,NaN,0
2012-01-06T15:15:00+05:30,8478.9,8505.85,8472.8,8501.35,0,8415.972222222223,NaN,0
2012-01-09T09:15:00+05:30,8441.45,8441.45,8329.9,8361.35,0,8416.419444444444,NaN,0
2012-01-09T10:15:00+05:30,8361.45,8391.95,8358.1,8378.1,0,8416.861111111111,NaN,0
2012-01-09T11:15:00+05:30,8377.1,8432,8373,8418.35,0,8417.447222222221,NaN,0
2012-01-09T12:15:00+05:30,8417.4,8462.3,8414.5,8454.65,0,8420.886111111111,NaN,0
2012-01-09T13:15:00+05:30,8454.55,8495.05,8451.7,8486.35,0,8423.563888888888,NaN,0
2012-01-09T14:15:00+05:30,8486.4,8517.8,8440.3,8483.05,0,8426.041666666664,NaN,0
2012-01-09T15:15:00+05:30,8483.85,8490.4,8468.2,8483.1,0,8425.99722222222,NaN,0
2012-01-10T09:15:00+05:30,8540.45,8653.45,8540.45,8649.35,0,8434.338888888888,NaN,0
2012-01-10T10:15:00+05:30,8648.1,8686.6,8643.55,8670.05,0,8447.480555555554,NaN,0
2012-01-10T11:15:00+05:30,8669.65,8694.5,8668.15,8686.7,0,8459.919444444444,NaN,0
2012-01-10T12:15:00+05:30,8686.9,8704.75,8648.1,8692.4,0,8472.874999999998,NaN,0
2012-01-10T13:15:00+05:30,8691.7,8736.6,8666.25,8732.3,0,8493.286111111109,NaN,0
2012-01-10T14:15:00+05:30,8737.05,8748.8,8715.15,8730.6,0,8515.480555555554,8360.4375,0
2012-01-10T15:15:00+05:30,8730.55,8747.55,8723.55,8747.55,0,8538.538888888888,8377.28125,1
2012-01-11T09:15:00+05:30,8756.15,8800.5,8736.25,8769.2,0,8562.022222222222,8394.423958333333,1
2012-01-11T10:15:00+05:30,8772.05,8800.8,8759.2,8780.4,0,8583.608333333332,8412.771875,1
2012-01-11T11:15:00+05:30,8779.65,8828.05,8762.45,8823.65,0,8602.694444444445,8430.751041666666,1
2012-01-11T12:15:00+05:30,8823.45,8835.45,8763.55,8792.85,0,8618.888888888889,8448.509375,1
2012-01-11T13:15:00+05:30,8793.55,8822.75,8774,8786.55,0,8642.511111111111,8465.080208333333,1
2012-01-11T14:15:00+05:30,8786.6,8856.5,8753.15,8822.7,0,8667.21111111111,8482.262499999999,1
2012-01-11T15:15:00+05:30,8824.35,8858.95,8821.45,8850.8,0,8691.236111111111,8496.298958333333,1
