time,open,high,low,close,MA,Shapes
2013-01-01T09:15:00+05:30,5937.9,5952.3,5935.2,5950.05,NaN,0
2013-01-01T10:15:00+05:30,5950.3,5951.85,5944.6,5947.25,NaN,0
2013-01-01T11:15:00+05:30,5947.05,5953.4,5944.7,5947.7,NaN,0
2013-01-01T12:15:00+05:30,5948.35,5963.9,5946.6,5958.15,NaN,0
2013-01-01T13:15:00+05:30,5959.15,5960.35,5947.85,5951.25,NaN,0
2013-01-01T14:15:00+05:30,5951.1,5957.85,5948.75,5949.9,NaN,0
2013-01-01T15:15:00+05:30,5950.15,5952.45,5947.45,5951.05,NaN,0
2013-01-02T09:15:00+05:30,5984.75,5997.75,5982,5990.65,NaN,0
2013-01-02T10:15:00+05:30,5990.55,5998.3,5986.4,5998.2,NaN,0
2013-01-02T11:15:00+05:30,5998.15,6006.05,5996.8,6003.6,NaN,0
2013-01-02T12:15:00+05:30,6003.75,6005.95,5988.35,6002.15,NaN,0
2013-01-02T13:15:00+05:30,6002,6004.35,5990.15,5993.8,NaN,0
2013-01-02T14:15:00+05:30,5993.55,5999.15,5986.9,5992.2,NaN,0
2013-01-02T15:15:00+05:30,5992.3,5995.05,5990.3,5991.85,NaN,0
2013-01-03T09:15:00+05:30,6017,6017,5986.55,5998.05,NaN,0
2013-01-03T10:15:00+05:30,5998,6006.85,5997.5,6005.75,NaN,0
2013-01-03T11:15:00+05:30,6005.5,6011.9,6003.05,6004.95,NaN,0
2013-01-03T12:15:00+05:30,6005.05,6006.85,5993.2,5995.8,NaN,0
2013-01-03T13:15:00+05:30,5995.5,6006.8,5994.8,6002.6,NaN,0
2013-01-03T14:15:00+05:30,6002.3,6014.85,5999,6010.15,NaN,0
2013-01-03T15:15:00+05:30,6010.25,6011.15,6004.35,6005,NaN,0
2013-01-04T09:15:00+05:30,6006.05,6007.35,5982.7,5996.05,NaN,0
2013-01-04T10:15:00+05:30,5996.25,5996.85,5985.5,5989.95,NaN,0
2013-01-04T11:15:00+05:30,5989.85,5999.35,5989.85,5996.3,NaN,0
2013-01-04T12:15:00+05:30,5996.25,5996.35,5981.55,5988.85,NaN,0
2013-01-04T13:15:00+05:30,5989.1,6004.35,5986.05,6003.6,NaN,0
2013-01-04T14:15:00+05:30,6003.65,6020.35,5996.9,6019.75,NaN,0
2013-01-04T15:15:00+05:30,6020.05,6020.75,6010.4,6012.75,NaN,0
2013-01-07T09:15:00+05:30,6038.9,6039.25,6012.5,6022.25,NaN,0
2013-01-07T10:15:00+05:30,6022.3,6026.45,6012.9,6012.9,NaN,0
2013-01-07T11:15:00+05:30,6012.75,6016.55,6005.75,6011.6,NaN,0
2013-01-07T12:15:00+05:30,6011.7,6013.65,6008,6011.2,NaN,0
2013-01-07T13:15:00+05:30,6011.3,6011.75,6001.35,6007.8,NaN,1
2013-01-07T14:15:00+05:30,6007.7,6008.1,5988.25,5988.55,NaN,1
2013-01-07T15:15:00+05:30,5988.2,5988.55,5977.15,5977.9,NaN,1
2013-01-08T09:15:00+05:30,5985.9,5990.65,5973,5981.2,NaN,1
2013-01-08T10:15:00+05:30,5981.1,5983.75,5967.7,5974,NaN,1
2013-01-08T11:15:00+05:30,5973.95,5980.35,5964.4,5968.55,NaN,1
2013-01-08T12:15:00+05:30,5968.25,5973.95,5964.9,5971.3,NaN,1
2013-01-08T13:15:00+05:30,5971.25,5995,5970.8,5991.55,5989.4037499999995,1
2013-01-08T14:15:00+05:30,5991.5,6007.05,5984,6001.9,5990.7,1
2013-01-08T15:15:00+05:30,6001.7,6003.6,5999.7,6002.3,5992.07625,0
2013-01-09T09:15:00+05:30,6007.45,6015.55,6005.2,6011.15,5993.6625,1
2013-01-09T10:15:00+05:30,6011.1,6017.75,6008.15,6013.45,5995.045,1
2013-01-09T11:15:00+05:30,6013.6,6020.1,5993.75,5998.45,5996.225,1
2013-01-09T12:15:00+05:30,5998.35,6000.65,5989.1,5993.6,5997.3175,1
2013-01-09T13:15:00+05:30,5993.8,6004.65,5989.35,5994.3,5998.39875,0
2013-01-09T14:15:00+05:30,5993.85,5997.5,5958.45,5967.8,5997.8275,0
2013-01-09T15:15:00+05:30,5967.85,5979.05,5967.85,5972.45,5997.18375,0
2013-01-10T09:15:00+05:30,6001.55,6005.15,5980.55,5984.35,5996.7025,0
2013-01-10T10:15:00+05:30,5983.95,5986.35,5969.35,5978.25,5996.1050000000005,0
2013-01-10T11:15:00+05:30,5978.3,5978.95,5964.9,5974.8,5995.63,0
2013-01-10T12:15:00+05:30,5974.95,5979.9,5968.85,5973.45,5995.16125,0
2013-01-10T13:15:00+05:30,5973.55,5974.7,5947.3,5954.55,5994.22875,0
2013-01-10T14:15:00+05:30,5954.5,5977.3,5953.8,5968.15,5993.48125,0
2013-01-10T15:15:00+05:30,5968.45,5968.45,5959.85,5962,5992.387500000001,0
2013-01-11T09:15:00+05:30,6014.85,6018.85,5975.55,5980.3,5991.771250000001,0
2013-01-11T10:15:00+05:30,5980.25,5988.15,5977,5981.85,5991.422500000001,0
2013-01-11T11:15:00+05:30,5982.1,5991.5,5970.55,5974.35,5990.71625,0
2013-01-11T12:15:00+05:30,5974.2,5974.2,5960.55,5965.9,5989.610000000001,0
2013-01-11T13:15:00+05:30,5965.85,5975.15,5950.6,5958.45,5988.446250000001,0
2013-01-11T14:15:00+05:30,5958.7,5961.6,5940.6,5959.05,5987.521250000001,0
2013-01-11T15:15:00+05:30,5959,5960.95,5940.8,5942.7,5986.340000000001,0
2013-01-14T09:15:00+05:30,5969.55,5994.75,5962.15,5986.9,5986.105000000001,0
2013-01-14T10:15:00+05:30,5986.85,6002.45,5980.25,5985.1,5986.011250000001,0
2013-01-14T11:15:00+05:30,5985.2,5995.5,5978.25,5988.9,5985.643750000001,1
2013-01-14T12:15:00+05:30,5988.75,6008.4,5988.5,6002.15,5985.2037500000015,1
2013-01-14T13:15:00+05:30,6002.05,6005.35,5995.2,6001.85,5984.9312500000015,1
2013-01-14T14:15:00+05:30,6002.25,6024.85,5996.05,6023.55,5984.963750000001,1
2013-01-14T15:15:00+05:30,6023.35,6036.9,6021.3,6033.9,5985.488750000001,1
2013-01-15T09:15:00+05:30,6039.5,6044.6,6023.2,6029.4,5985.933750000002,1
2013-01-15T10:15:00+05:30,6029.35,6040.3,6026.65,6037.9,5986.6012500000015,1
2013-01-15T11:15:00+05:30,6037.95,6041.15,6031.6,6037.25,5987.3375000000015,1
2013-01-15T12:15:00+05:30,6037.15,6038.1,6018.6,6020.05,5988.125000000002,1
2013-01-15T13:15:00+05:30,6020.1,6060.15,6020.1,6055.5,5990.065000000001,1
2013-01-15T14:15:00+05:30,6055.6,6068.5,6046.2,6056.4,5991.9450000000015,1
2013-01-15T15:15:00+05:30,6056.45,6060.1,6054.9,6059.3,5994.077500000001,1
2013-01-16T09:15:00+05:30,6052.85,6055.95,6038.3,6052.4,5996.173750000001,1
2013-01-16T10:15:00+05:30,6052.35,6055.3,6039.3,6043.75,5997.985000000001,1
2013-01-16T11:15:00+05:30,6043.65,6044,6031.25,6037.9,5999.143750000001,1
2013-01-16T12:15:00+05:30,6037.7,6039.75,6018.85,6022.4,5999.656250000001,1
2013-01-16T13:15:00+05:30,6022.35,6036.3,6020.45,6031.85,6000.395000000001,1
2013-01-16T14:15:00+05:30,6031.6,6035.5,5999,6000.1,6000.1187500000015,1
2013-01-16T15:15:00+05:30,5999.5,6005.7,5992.05,5998.55,5999.746250000002,1
2013-01-17T09:15:00+05:30,6003.15,6023.7,5988.1,6011.45,6000.071250000001,1
2013-01-17T10:15:00+05:30,6011.4,6022.35,6000.35,6021.1,6000.758750000001,1
2013-01-17T11:15:00+05:30,6021.15,6029.45,6014.45,6020.6,6001.41625,1
