datetime,open,high,low,close,volume
2017-01-02T09:15:00.000000,15.46,16.37,14.64,15.83,0
2017-01-03T09:15:00.000000,15.83,16.41,14.9,15.95,0
2017-01-04T09:15:00.000000,15.95,16.1,14.89,15.89,0
2017-01-05T09:15:00.000000,15.89,15.89,14.44,15.05,0
2017-01-06T09:15:00.000000,15.05,15.08,13.92,14.91,0
2017-01-09T09:15:00.000000,14.91,15.63,13.82,15.48,0
2017-01-10T09:15:00.000000,15.48,15.48,14.02,15.19,0
2017-01-11T09:56:00.000000,15.19,15.19,13.53,14.8,0
2017-01-12T09:15:00.000000,14.8,14.86,13.46,14.61,0
2017-01-13T09:15:00.000000,14.61,14.65,13.37,14.38,0
2017-01-16T09:15:00.000000,14.38,15.25,13.42,15.06,0
2017-01-17T09:15:00.000000,15.06,15.62,13.98,15.39,0
2017-01-18T09:15:00.000000,15.39,15.39,13.61,15.18,0
2017-01-19T09:15:00.000000,15.18,15.27,14.03,15.02,0
2017-01-20T09:15:00.000000,15.02,15.86,13.85,15.79,0
2017-01-23T09:15:00.000000,15.79,16.37,15.5,15.9,0
2017-01-24T09:15:00.000000,15.9,15.96,14.38,15.28,0
2017-01-25T09:15:00.000000,15.28,15.42,14.41,15.17,0
2017-01-27T09:15:00.000000,15.17,16.12,14.93,16.0,0
2017-01-30T09:15:00.000000,16.0,16.85,15.39,16.67,0
2017-01-31T09:15:00.000000,16.67,17.09,15.71,16.82,0
2017-02-01T09:15:00.000000,16.82,17.42,13.8,13.97,0
2017-02-02T09:15:00.000000,13.97,13.97,12.64,13.52,0
2017-02-03T09:15:00.000000,13.52,13.59,11.78,13.12,0
2017-02-06T09:15:00.000000,13.12,13.61,11.06,13.39,0
2017-02-07T09:15:00.000000,13.39,13.72,12.24,13.5,0
2017-02-08T09:15:00.000000,13.5,13.75,11.43,13.35,0
2017-02-09T09:15:00.000000,13.35,13.78,11.39,13.23,0
2017-02-10T09:15:00.000000,13.23,13.33,11.37,13.17,0
2017-02-13T09:15:00.000000,13.17,13.76,11.57,13.69,0
2017-02-14T09:15:00.000000,13.69,14.01,12.09,13.8,0
2017-02-15T09:15:00.000000,13.8,14.46,11.72,14.21,0
2017-02-16T09:15:00.000000,14.21,14.21,11.43,13.73,0
2017-02-17T09:15:00.000000,13.73,13.77,12.46,13.43,0
2017-02-20T09:15:00.000000,13.43,13.84,12.41,13.61,0
2017-02-21T09:15:00.000000,13.61,14.28,11.89,13.52,0
2017-02-22T09:15:00.000000,13.52,14.04,12.72,13.7,0
2017-02-23T09:15:00.000000,13.7,13.96,12.91,13.4,0
2017-02-27T09:15:00.000000,13.4,14.27,13.4,13.67,0
2017-02-28T09:15:00.000000,13.67,14.02,13.16,13.79,0
2017-03-01T09:15:00.000000,13.79,13.79,13.2,13.57,0
2017-03-02T09:15:00.000000,13.57,13.61,13.03,13.36,0
2017-03-03T09:15:00.000000,13.36,13.6,12.56,13.35,0
2017-03-06T09:15:00.000000,13.35,13.72,12.81,13.64,0
2017-03-07T09:15:00.000000,13.64,14.0,13.09,13.87,0
2017-03-08T09:15:00.000000,13.87,14.28,12.68,14.07,0
