Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates,,,,Combined ROI,100
2017-01-02 13:15:00,2017-01-02,1.121089498,,02/01/2017,,2.120799274,0,1.060399637,101.0603996
2017-01-02 13:15:00,2017-01-02,0.9997097769,,02/01/2017,,-2.315997069,0,-1.157998534,99.9024011
2017-01-03 10:15:00,2017-01-03,-0.518445351,,03/01/2017,,11.45217672,-1.65225,4.899963361,104.8023645
2017-01-03 10:45:00,2017-01-03,-0.7424855952,,03/01/2017,,7.1547207,0,3.57736035,108.3797248
2017-01-03 14:15:00,2017-01-03,-0.5184219954,,03/01/2017,,0.8613497025,0,0.4306748513,108.8103997
2017-01-03 14:15:00,2017-01-03,-0.145077114,,03/01/2017,,0.6238597838,0,0.3119298919,109.1223296
2017-01-03 14:15:00,2017-01-03,-0.3915670133,,03/01/2017,,-0.5430073158,0,-0.2715036579,108.8508259
2017-01-05 10:45:00,2017-01-05,1.383721699,,05/01/2017,,-0.3400848792,0,-0.1700424396,108.6807835
2017-01-05 11:15:00,2017-01-05,6.110515082,,05/01/2017,,-0.03604725,0,-0.018023625,108.6627598
2017-01-05 13:15:00,2017-01-05,3.95793994,,05/01/2017,,18.70229448,0,9.351147242,118.0139071
2017-01-10 09:15:00,2017-01-10,3.000463421,,10/01/2017,,0,59.50312713,29.75156356,147.7654706
2017-01-10 11:15:00,2017-01-10,1.968014129,,10/01/2017,,-1.125113613,0,-0.5625568065,147.2029138
2017-01-10 13:15:00,2017-01-10,2.18624315,,10/01/2017,,3.277686467,0,1.638843233,148.8417571
2017-01-13 10:45:00,2017-01-13,0.8613497025,,13/01/2017,,0,-3.1399531,-1.56997655,147.2717805
2017-01-17 12:45:00,2017-01-17,0.6238597838,,17/01/2017,,1.096156839,0,0.5480784194,147.8198589
2017-01-18 14:15:00,2017-01-18,-0.5430073158,,18/01/2017,,-0.3476729808,0,-0.1738364904,147.6460224
2017-01-19 13:45:00,2017-01-19,-0.2159799273,,19/01/2017,,-0.258367035,0,-0.1291835175,147.5168389
2017-01-19 14:45:00,2017-01-19,-0.1241049519,,19/01/2017,,-0.8279177373,0,-0.4139588687,147.1028801
2017-01-20 11:15:00,2017-01-20,-0.03604725,,20/01/2017,,-0.7898091322,0,-0.3949045661,146.7079755
2017-01-24 10:15:00,2017-01-24,2.057583114,,24/01/2017,,-1.494095192,0,-0.7470475962,145.9609279
2017-01-24 10:15:00,2017-01-24,3.513766687,,24/01/2017,,-0.8823754123,0,-0.4411877062,145.5197402
2017-01-24 12:15:00,2017-01-24,7.630224643,,24/01/2017,,-0.9433550856,0,-0.4716775428,145.0480626
2017-01-24 12:15:00,2017-01-24,2.234579841,,24/01/2017,,3.22825874,-1.569230769,0.8295139855,145.8775766
2017-01-24 12:15:00,2017-01-24,3.266140199,,24/01/2017,,2.960871263,0,1.480435631,147.3580123
2017-01-30 10:15:00,2017-01-30,-1.125113613,,30/01/2017,,0.8531023815,0,0.4265511908,147.7845635
2017-02-01 10:15:00,2017-02-01,-0.4016810745,,01/02/2017,,-0.249954144,0,-0.124977072,147.6595864
2017-02-01 11:15:00,2017-02-01,-0.5190567529,,01/02/2017,,0,-1.405,-0.7025,146.9570864
2017-02-01 13:15:00,2017-02-01,1.76360778,,01/02/2017,,-2.938538807,0,-1.469269403,145.487817
2017-02-01 13:15:00,2017-02-01,1.217487854,,01/02/2017,,0,41.76321429,20.88160714,166.3694241
2017-02-01 13:45:00,2017-02-01,0.479739038,,01/02/2017,,-2.389739394,0,-1.194869697,165.1745544
2017-02-01 14:15:00,2017-02-01,0.737589622,,01/02/2017,,-0.6353075594,0,-0.3176537797,164.8569006
2017-02-03 09:15:00,2017-02-03,1.096156839,,03/02/2017,,2.225615211,0,1.112807605,165.9697083
2017-02-07 10:45:00,2017-02-07,-0.3476729808,,07/02/2017,,-0.0435343382,0,-0.0217671691,165.9479411
2017-02-08 09:15:00,2017-02-08,-0.258367035,,08/02/2017,,5.422471325,0,2.711235662,168.6591767
2017-02-09 15:15:00,2017-02-09,-0.2434041775,,09/02/2017,,-0.188053815,0,-0.09402690752,168.5651498
2017-02-09 15:15:00,2017-02-09,-0.5845135598,,09/02/2017,,0.1809384084,0,0.0904692042,168.655619
2017-02-10 10:15:00,2017-02-10,-0.475507422,,10/02/2017,,-0.1897912163,0,-0.09489560813,168.5607234
2017-02-10 14:15:00,2017-02-10,-0.3143017103,,10/02/2017,,-2.738091865,0,-1.369045932,167.1916775
2017-02-13 10:15:00,2017-02-13,-0.4169552892,,13/02/2017,,6.116250653,0,3.058125326,170.2498028
2017-02-13 14:15:00,2017-02-13,-0.687890763,,13/02/2017,,2.736864909,0,1.368432454,171.6182353
2017-02-13 15:15:00,2017-02-13,-0.3892491402,,13/02/2017,,-0.3047717648,0,-0.1523858824,171.4658494
2017-02-14 09:15:00,2017-02-14,-0.4280259042,,14/02/2017,,0.6396073724,0,0.3198036862,171.7856531
2017-02-14 09:15:00,2017-02-14,-0.3234717763,,14/02/2017,,-0.1920374379,-1.933125,-1.062581219,170.7230719
2017-02-14 14:45:00,2017-02-14,-0.1308777318,,14/02/2017,,-0.727596517,0,-0.3637982585,170.3592736
2017-02-15 09:15:00,2017-02-15,-0.2953893318,,15/02/2017,,-1.33293875,0,-0.6664693749,169.6928042
2017-02-15 09:15:00,2017-02-15,-0.12943448,,15/02/2017,,0.0772337643,0,0.03861688215,169.7314211
2017-02-15 09:15:00,2017-02-15,-0.5185312738,,15/02/2017,,-0.14949577,0,-0.07474788502,169.6566732
2017-02-16 13:15:00,2017-02-16,1.780529047,,16/02/2017,,-1.382018911,0,-0.6910094556,168.9656638
2017-02-16 13:15:00,2017-02-16,1.447729693,,16/02/2017,,-0.301073051,0,-0.1505365255,168.8151273
2017-02-17 11:15:00,2017-02-17,-0.5182641261,,17/02/2017,,-1.890872202,0,-0.9454361011,167.8696911
2017-02-17 11:15:00,2017-02-17,1.075951453,,17/02/2017,,9.387713521,0,4.693856761,172.5635479
2017-02-17 11:15:00,2017-02-17,0.9320245385,,17/02/2017,,-0.051932115,0,-0.0259660575,172.5375819
2017-02-17 15:15:00,2017-02-17,1.471159398,,17/02/2017,,0.1885582125,-4.920288765,-2.365865276,170.1717166
2017-02-20 09:15:00,2017-02-20,0.8531023815,,20/02/2017,,0.082092015,0,0.0410460075,170.2127626
2017-02-22 14:45:00,2017-02-22,-0.249954144,,22/02/2017,,0.3079299921,0,0.153964996,170.3667276
2017-03-01 12:15:00,2017-03-01,-0.8403768467,,01/03/2017,,-0.444051104,0,-0.222025552,170.144702
2017-03-01 12:15:00,2017-03-01,-0.7921292885,,01/03/2017,,-1.402115036,0.07546924415,-0.6633228961,169.4813791
2017-03-01 11:45:00,2017-03-01,-0.07634244,,01/03/2017,,-0.2122110081,0,-0.106105504,169.3752736
2017-03-01 13:15:00,2017-03-01,-0.9906967884,,01/03/2017,,-0.8789999992,0,-0.4394999996,168.9357736
2017-03-01 14:15:00,2017-03-01,-0.2389934434,,01/03/2017,,-0.4452920189,0,-0.2226460095,168.7131276
2017-03-06 10:15:00,2017-03-06,-0.9782747905,,06/03/2017,,1.329851235,0,0.6649256176,169.3780532
2017-03-06 10:15:00,2017-03-06,-0.9905207279,,06/03/2017,,-0.6225660188,6.27146875,2.824451366,172.2025046
2017-03-06 10:15:00,2017-03-06,-0.3247316226,,06/03/2017,,-1.355988836,0,-0.6779944178,171.5245102
