time,open,high,low,close,Long Signal,Short Signal,MA 25,MA 50,MA 100,MA,MA,MA
2024-01-29T09:15:00+05:30,45171.55,45291.9,45110.9,45244.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:20:00+05:30,45249.05,45315.3,45230.9,45277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:25:00+05:30,45278.2,45347.95,45278.2,45334.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:30:00+05:30,45329.4,45421.15,45256.4,45410.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:35:00+05:30,45413.7,45434.85,45342.45,45350.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:40:00+05:30,45355.75,45397.95,45325.1,45344.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:45:00+05:30,45350.3,45402.35,45325.45,45329.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:50:00+05:30,45331.9,45378.7,45330.45,45347.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T09:55:00+05:30,45346.7,45470.9,45341.75,45460.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:00:00+05:30,45459.6,45481.85,45425.95,45458.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:05:00+05:30,45461.7,45472.5,45433.7,45450.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:10:00+05:30,45449.15,45499.45,45412.5,45463.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:15:00+05:30,45464.8,45573.85,45454.25,45556.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:20:00+05:30,45557.5,45654.15,45544.25,45647.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:25:00+05:30,45650.1,45660.35,45590.85,45618.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:30:00+05:30,45608.05,45635.7,45571.55,45599.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:35:00+05:30,45595.4,45606.1,45552.55,45595.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:40:00+05:30,45593.1,45638.9,45574.25,45577.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:45:00+05:30,45575.1,45601.6,45553.3,45573.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:50:00+05:30,45575.45,45592.6,45508.35,45531.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T10:55:00+05:30,45532.6,45614,45523.35,45580.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:00:00+05:30,45584.35,45593.3,45559.65,45587.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:05:00+05:30,45586.75,45590.4,45557.35,45570.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:10:00+05:30,45568.85,45568.85,45524.75,45546.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:15:00+05:30,45545.95,45556.15,45433.15,45457.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:20:00+05:30,45465.35,45474.7,45323.35,45353.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:25:00+05:30,45351.25,45484.3,45329,45473.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:30:00+05:30,45479.65,45549.9,45430.2,45442.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:35:00+05:30,45441.45,45495.85,45441.4,45479.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:40:00+05:30,45481.05,45504.4,45443.25,45471.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:45:00+05:30,45471.75,45486.95,45440.4,45471.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:50:00+05:30,45471.85,45494.15,45447.05,45490.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T11:55:00+05:30,45494.75,45494.75,45447.95,45469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:00:00+05:30,45466.4,45476.1,45449.05,45463.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:05:00+05:30,45461.85,45495.65,45455.05,45481.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:10:00+05:30,45481.55,45519.5,45473.7,45497.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:15:00+05:30,45500.35,45527.3,45487.75,45527.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:20:00+05:30,45527.15,45540.05,45514.15,45516.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:25:00+05:30,45513.55,45516.2,45424.05,45461.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:30:00+05:30,45464.05,45495.6,45461.4,45481.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:35:00+05:30,45484.05,45519.1,45484,45496.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:40:00+05:30,45498.3,45510.2,45487.9,45495.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:45:00+05:30,45493.3,45510.5,45484.3,45485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:50:00+05:30,45485.6,45496.75,45468,45485.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T12:55:00+05:30,45485.05,45523.15,45470.55,45516.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:00:00+05:30,45520.8,45554.85,45472.1,45485.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:05:00+05:30,45489.45,45498.5,45383.65,45432.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:10:00+05:30,45428.6,45467.6,45408.7,45449.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:15:00+05:30,45449.05,45464.65,45399.95,45406.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:20:00+05:30,45409.05,45440.1,45396.25,45426.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:25:00+05:30,45425.9,45448.95,45404.35,45410.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:30:00+05:30,45411,45413.25,45341.65,45385.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:35:00+05:30,45388.25,45435.25,45388.25,45421.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:40:00+05:30,45421.9,45446.7,45411.6,45418.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:45:00+05:30,45419.7,45459.7,45402,45451.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:50:00+05:30,45450.6,45511.9,45442.2,45477.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T13:55:00+05:30,45477.3,45501.25,45450.75,45462.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T14:00:00+05:30,45464.4,45504.25,45463.35,45493.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024-01-29T14:05:00+05:30,45491.85,45503.5,45470.75,45474.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
