Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,SL %
2022-03-25 15:15:00,2022-03-28 09:15:00,7204.75,7224.3,7168.416667,2022-03-28 12:15:00,7177.45,27.3,24.57,666.2271418,1.636920087,2022,-0.27%
2022-04-12 14:15:00,2022-04-12 15:15:00,7504.4,7543.25,7543.25,2022-04-13 09:15:00,7543.25,-38.85,-42.735,639.6247535,-2.733436384,2022,-0.52%
2022-04-13 11:15:00,2022-04-13 12:15:00,7507.2,7544.05,7354.941667,2022-04-18 14:15:00,7371.35,135.85,122.265,639.3861893,7.817455243,2022,-0.49%
2022-04-19 11:15:00,2022-04-19 12:15:00,7451.65,7479.35,7381.583333,2022-04-20 09:15:00,7410.9,40.75,36.675,644.1526373,2.362429797,2022,-0.37%
2022-04-20 10:15:00,2022-04-20 11:15:00,7369.45,7415.1,7415.1,2022-04-21 14:15:00,7415.1,-45.65,-50.215,651.3376168,-3.270691843,2022,-0.62%
2022-04-25 10:15:00,2022-04-25 11:15:00,7228.7,7268.75,7268.75,2022-04-26 12:15:00,7268.75,-40.05,-44.055,664.0198099,-2.925339273,2022,-0.55%
2022-04-27 10:15:00,2022-04-27 11:15:00,7216.7,7242.8,7242.8,2022-04-27 13:15:00,7242.8,-26.1,-28.71,665.1239486,-1.909570856,2022,-0.36%
2022-04-27 14:15:00,2022-04-27 15:15:00,7239,7269.75,7269.75,2022-04-28 09:15:00,7269.75,-30.75,-33.825,663.0750104,-2.242851223,2022,-0.42%
2022-04-29 12:15:00,2022-04-29 13:15:00,7317.65,7335.2,7177.108333,2022-05-02 14:15:00,7194.65,123,110.7,655.9482894,7.261347564,2022,-0.24%
2022-05-04 09:15:00,2022-05-04 10:15:00,7198.15,7254.55,7088.391667,2022-05-05 09:15:00,7121.2,76.95,69.255,666.838007,4.618186617,2022,-0.78%
2022-05-05 10:15:00,2022-05-05 11:15:00,7097.6,7134.25,7134.25,2022-05-05 12:15:00,7134.25,-36.65,-40.315,676.2849414,-2.726442741,2022,-0.52%
2022-05-05 13:15:00,2022-05-05 14:15:00,7034.4,7120.65,6915.625,2022-05-06 13:15:00,6923.75,110.65,99.585,682.360969,6.795291709,2022,-1.23%
2022-05-09 10:15:00,2022-05-09 11:15:00,6735.5,6774.4,6774.4,2022-05-09 12:15:00,6774.4,-38.9,-42.79,712.6419716,-3.049394997,2022,-0.58%
2022-05-09 13:15:00,2022-05-09 14:15:00,6698.6,6768.45,6530.991667,2022-05-11 13:15:00,6556.95,141.65,127.485,716.567641,9.135162571,2022,-1.04%
2022-05-12 10:15:00,2022-05-12 11:15:00,6378.75,6445.9,6382.65,2022-05-12 15:15:00,6385.5,-6.75,-7.425,752.4985303,-0.5587301587,2022,-1.05%
2022-05-13 12:15:00,2022-05-13 13:15:00,6531.6,6579.45,6491.483333,2022-05-16 10:15:00,6506.6,25,22.5,734.8888481,1.653499908,2022,-0.73%
2022-05-16 11:15:00,2022-05-16 12:15:00,6447.9,6509.55,6509.55,2022-05-16 13:15:00,6509.55,-61.65,-67.815,744.4284186,-5.04834132,2022,-0.96%
2022-05-25 10:15:00,2022-05-25 11:15:00,6545.05,6564.95,6463.608333,2022-05-26 12:15:00,6494.95,50.1,45.09,733.3786602,3.306804379,2022,-0.30%
2022-06-07 10:15:00,2022-06-07 11:15:00,6648.45,6694.2,6657.758333,2022-06-07 14:15:00,6669.55,-21.1,-23.21,721.9727907,-1.675698847,2022,-0.69%
2022-06-07 15:15:00,2022-06-08 09:15:00,6658.1,6673.4,6673.4,2022-06-08 10:15:00,6673.4,-15.3,-16.83,720.9263904,-1.213319115,2022,-0.23%
2022-06-08 11:15:00,2022-06-08 12:15:00,6680.5,6703.45,6652.475,2022-06-09 10:15:00,6656.7,23.8,21.42,718.5090936,1.539046479,2022,-0.34%
2022-06-10 10:15:00,2022-06-10 11:15:00,6635.7,6656.35,6429.641667,2022-06-14 09:15:00,6429.8,205.9,185.31,723.3600072,13.40458429,2022,-0.31%
2022-06-14 11:15:00,2022-06-14 12:15:00,6451.35,6488,6429.191667,2022-06-15 09:15:00,6450.25,1.1,0.99,744.0303192,0.0736590016,2022,-0.57%
2022-06-15 13:15:00,2022-06-15 14:15:00,6462.9,6479.1,6479.1,2022-06-16 09:15:00,6479.1,-16.2,-17.82,742.7006452,-1.32349255,2022,-0.25%
2022-06-16 10:15:00,2022-06-16 11:15:00,6445.65,6488.65,6234.533333,2022-06-17 13:15:00,6237.75,207.9,187.11,744.6882781,13.93386237,2022,-0.67%
2022-06-17 15:15:00,2022-06-20 09:15:00,6215.9,6253.75,6123.425,2022-06-20 15:15:00,6139.45,76.45,68.805,772.2131952,5.31321289,2022,-0.61%
2022-06-21 10:15:00,2022-06-21 11:15:00,6227,6255.4,6255.4,2022-06-21 12:15:00,6255.4,-28.4,-31.24,770.836679,-2.408093785,2022,-0.46%
2022-06-22 11:15:00,2022-06-22 12:15:00,6180.1,6214,6214,2022-06-23 10:15:00,6214,-33.9,-37.29,776.6864614,-2.896263815,2022,-0.55%
2022-06-23 11:15:00,2022-06-23 12:15:00,6233.65,6295.25,6295.25,2022-06-24 09:15:00,6295.25,-61.6,-67.76,770.0143576,-5.217617287,2022,-0.99%
2022-08-24 11:15:00,2022-08-24 12:15:00,7316.7,7347.85,7347.85,2022-08-25 10:15:00,7347.85,-31.15,-34.265,656.0334577,-2.247898643,2022,-0.43%
2022-08-25 12:15:00,2022-08-25 13:15:00,7394.5,7407.9,7378.141667,2022-08-26 12:15:00,7382,12.5,11.25,649.131111,0.7302724998,2022,-0.18%
2022-08-26 13:15:00,2022-08-26 14:15:00,7362.65,7387.5,7259.341667,2022-08-29 14:15:00,7262.7,99.95,89.955,651.9391795,5.864518889,2022,-0.34%
2022-09-16 13:15:00,2022-09-16 14:15:00,7358.6,7461.25,7402.75,2022-09-19 13:15:00,7415.1,-56.5,-62.15,652.2979915,-4.054032017,2022,-1.39%
2022-09-20 10:15:00,2022-09-20 11:15:00,7537.4,7554.3,7515.133333,2022-09-21 09:15:00,7517.6,19.8,17.82,636.8243691,1.134821026,2022,-0.22%
2022-09-21 10:15:00,2022-09-21 11:15:00,7505.75,7532.05,7489.316667,2022-09-21 13:15:00,7495.85,9.9,8.91,639.5097092,0.5698031509,2022,-0.35%
2022-09-21 14:15:00,2022-09-21 15:15:00,7455.05,7500.15,7064.816667,2022-09-27 11:15:00,7068.3,386.75,348.075,643.8588608,22.4111173,2022,-0.60%
2022-09-27 13:15:00,2022-09-27 14:15:00,7082.65,7112.55,7112.55,2022-09-28 11:15:00,7112.55,-29.9,-32.89,677.7124381,-2.228996209,2022,-0.42%
2022-09-28 12:15:00,2022-09-28 13:15:00,7091.9,7118.65,7060.8,2022-09-29 14:15:00,7067.35,24.55,22.095,676.8284945,1.495452559,2022,-0.38%
2022-09-29 15:15:00,2022-09-30 09:15:00,7064.4,7083.1,7083.1,2022-09-30 10:15:00,7083.1,-18.7,-20.57,679.4632241,-1.397655852,2022,-0.26%
2022-09-30 15:15:00,2022-10-03 09:15:00,7195.2,7222.65,7222.65,2022-10-04 13:15:00,7222.65,-27.45,-30.195,667.1114076,-2.014342895,2022,-0.38%
2022-10-12 15:15:00,2022-10-13 09:15:00,7262.25,7272.65,7197.091667,2022-10-13 14:15:00,7203.9,58.35,52.515,660.9521842,3.470990396,2022,-0.14%
2022-10-14 09:15:00,2022-10-14 10:15:00,7282.75,7324.7,7203.633333,2022-10-17 11:15:00,7205.65,77.1,69.39,659.0916893,4.573437232,2022,-0.58%
2022-10-27 13:15:00,2022-10-27 14:15:00,7312.1,7327.55,7327.55,2022-10-27 15:15:00,7327.55,-15.45,-16.995,656.4461646,-1.115630257,2022,-0.21%
2022-10-28 11:15:00,2022-10-28 12:15:00,7292.55,7310.95,7310.95,2022-10-31 10:15:00,7310.95,-18.4,-20.24,658.2059773,-1.332208898,2022,-0.25%
2022-11-10 10:15:00,2022-11-10 11:15:00,7359.7,7394.9,7350.283333,2022-11-11 10:15:00,7360.9,-1.2,-1.32,652.2004973,-0.08609046564,2022,-0.48%
2022-11-11 11:15:00,2022-11-11 12:15:00,7354.55,7378.1,7322.966667,2022-11-14 14:15:00,7325.6,28.95,26.055,652.6571986,1.700498331,2022,-0.32%
2022-11-14 15:15:00,2022-11-15 09:15:00,7314.4,7328,7310.083333,2022-11-15 12:15:00,7310.5,3.9,3.51,656.2397463,0.2303401509,2022,-0.19%
2022-11-15 15:15:00,2022-11-16 09:15:00,7314,7325.35,7235.45,2022-11-17 12:15:00,7240.7,73.3,65.97,656.2756358,4.329450369,2022,-0.16%
2022-11-17 13:15:00,2022-11-17 14:15:00,7234.05,7250.75,7250.75,2022-11-18 09:15:00,7250.75,-16.7,-18.37,663.5287287,-1.218902275,2022,-0.23%
2022-11-18 12:15:00,2022-11-18 13:15:00,7184.4,7198.35,7170.275,2022-11-21 14:15:00,7170.6,13.8,12.42,668.1142475,0.8297978954,2022,-0.19%
2022-11-22 10:15:00,2022-11-22 11:15:00,7179.35,7193.1,7193.1,2022-11-22 12:15:00,7193.1,-13.75,-15.125,668.5842033,-1.011233607,2022,-0.19%
2022-11-23 09:15:00,2022-11-23 10:15:00,7243.7,7272.65,7272.65,2022-11-24 09:15:00,7272.65,-28.95,-31.845,662.644781,-2.110192305,2022,-0.40%
2022-12-09 12:15:00,2022-12-09 13:15:00,7370.4,7429.9,7393.775,2022-12-12 09:15:00,7398.8,-28.4,-31.24,651.2536633,-2.034516444,2022,-0.81%
2022-12-12 10:15:00,2022-12-12 11:15:00,7399.45,7422.75,7422.75,2022-12-13 09:15:00,7422.75,-23.3,-25.63,648.6968626,-1.662610059,2022,-0.31%
2022-12-13 13:15:00,2022-12-13 14:15:00,7405.55,7424.1,7424.1,2022-12-14 09:15:00,7424.1,-18.55,-20.405,648.1625268,-1.322575636,2022,-0.25%
2022-12-16 12:15:00,2022-12-16 13:15:00,7321.45,7364.65,7307.175,2022-12-19 10:15:00,7310.85,10.6,9.54,655.6078372,0.6254498767,2022,-0.59%
2022-12-19 11:15:00,2022-12-19 12:15:00,7304.7,7322.6,7322.6,2022-12-19 13:15:00,7322.6,-17.9,-19.69,657.111175,-1.293851904,2022,-0.25%
2022-12-20 10:15:00,2022-12-20 11:15:00,7266.25,7287.75,7287.75,2022-12-20 12:15:00,7287.75,-21.5,-23.65,660.5883365,-1.562291416,2022,-0.30%
2022-12-21 11:15:00,2022-12-21 12:15:00,7352.55,7373.15,7158.633333,2022-12-22 13:15:00,7167.5,185.05,166.545,652.8347308,10.87263602,2022,-0.28%
2022-12-23 10:15:00,2022-12-23 11:15:00,6996.3,7030.65,7030.65,2022-12-26 13:15:00,7030.65,-34.35,-37.785,686.0769264,-2.592341666,2022,-0.49%
2022-12-27 11:15:00,2022-12-27 12:15:00,7110.15,7127.6,7127.6,2022-12-27 14:15:00,7127.6,-17.45,-19.195,675.0912428,-1.295837641,2022,-0.25%
2022-12-28 11:15:00,2022-12-28 12:15:00,7158.1,7171.5,7171.5,2022-12-28 13:15:00,7171.5,-13.4,-14.74,670.5690057,-0.9884187145,2022,-0.19%
2023-01-05 11:15:00,2023-01-05 12:15:00,7119,7145.95,7145.95,2023-01-05 14:15:00,7145.95,-26.95,-29.645,674.2520017,-1.998820059,2023,-0.38%
2023-01-05 15:15:00,2023-01-06 09:15:00,7160.35,7171,7153.425,2023-01-09 12:15:00,7157.65,2.7,2.43,670.3582925,0.1628970651,2023,-0.15%
2023-01-09 15:15:00,2023-01-10 09:15:00,7158.55,7172.7,7128.166667,2023-01-10 14:15:00,7134.8,23.75,21.375,670.5268525,1.433251147,2023,-0.20%
2023-01-10 15:15:00,2023-01-11 09:15:00,7129.9,7138,7138,2023-01-11 10:15:00,7138,-8.1,-8.91,673.2212233,-0.59984011,2023,-0.11%
2023-01-11 11:15:00,2023-01-11 12:15:00,7113.6,7141,7044.6,2023-01-13 12:15:00,7051.7,61.9,55.71,674.7638327,3.759109312,2023,-0.39%
2023-01-13 13:15:00,2023-01-13 14:15:00,7048.35,7070.8,7070.8,2023-01-16 09:15:00,7070.8,-22.45,-24.695,681.0104493,-1.681755304,2023,-0.32%
2023-01-16 10:15:00,2023-01-16 11:15:00,7029.75,7041.3,6983.808333,2023-01-17 14:15:00,6997.4,32.35,29.115,682.8123333,1.988008108,2023,-0.16%
2023-01-17 15:15:00,2023-01-18 09:15:00,6994.8,7001.9,7001.9,2023-01-18 10:15:00,7001.9,-7.1,-7.81,686.2240522,-0.5359409847,2023,-0.10%
2023-01-18 13:15:00,2023-01-18 14:15:00,7037.6,7054.5,6997.241667,2023-01-23 09:15:00,7008.95,28.65,25.785,682.0506991,1.758667728,2023,-0.24%
2023-01-25 13:15:00,2023-01-25 14:15:00,6938.1,6952.35,6797.133333,2023-01-27 14:15:00,6809.65,128.45,115.605,691.8320578,7.997924504,2023,-0.21%
2023-01-27 15:15:00,2023-01-30 09:15:00,6808.05,6824.35,6824.35,2023-01-30 10:15:00,6824.35,-16.3,-17.93,705.0477009,-1.264150528,2023,-0.24%
2023-01-30 11:15:00,2023-01-30 12:15:00,6798.95,6849.05,6810.991667,2023-01-30 14:15:00,6823.8,-24.85,-27.335,705.9913663,-1.9298274,2023,-0.74%
2023-01-30 15:15:00,2023-01-31 09:15:00,6820.55,6831.55,6831.55,2023-01-31 10:15:00,6831.55,-11,-12.1,703.7555622,-0.8515442303,2023,-0.16%
2023-01-31 12:15:00,2023-01-31 13:15:00,6907.3,6932.2,6932.2,2023-01-31 14:15:00,6932.2,-24.9,-27.39,694.9169719,-1.903377586,2023,-0.36%
2023-02-01 15:15:00,2023-02-02 09:15:00,6923.2,6949.7,6949.7,2023-02-02 10:15:00,6949.7,-26.5,-29.15,693.3210076,-2.021030737,2023,-0.38%
2023-02-02 11:15:00,2023-02-02 12:15:00,6916.4,6951.75,6925.658333,2023-02-02 14:15:00,6939.75,-23.35,-25.685,694.0026603,-1.782545833,2023,-0.51%
2023-02-02 15:15:00,2023-02-03 09:15:00,6935.1,6943,6903.791667,2023-02-03 13:15:00,6922.1,13,11.7,692.1313319,0.8097936583,2023,-0.11%
2023-02-17 11:15:00,2023-02-17 12:15:00,7008.4,7019.6,6849.25,2023-02-23 13:15:00,6854.65,153.75,138.375,684.8924148,9.47719879,2023,-0.16%
2023-02-23 15:15:00,2023-02-24 09:15:00,6833.95,6852.55,6852.55,2023-02-24 10:15:00,6852.55,-18.6,-20.46,702.3756393,-1.437060558,2023,-0.27%
2023-02-24 11:15:00,2023-02-24 12:15:00,6838.95,6859.7,6724.85,2023-02-27 14:15:00,6758.8,80.15,72.135,701.862128,5.06288246,2023,-0.30%
2023-02-28 12:15:00,2023-02-28 13:15:00,6803.85,6818.65,6818.65,2023-03-01 12:15:00,6818.65,-14.8,-16.28,705.4829251,-1.148526202,2023,-0.22%
2023-03-01 15:15:00,2023-03-02 09:15:00,6870.05,6879.4,6879.4,2023-03-02 10:15:00,6879.4,-9.35,-10.285,698.6848713,-0.7185973901,2023,-0.14%
2023-03-13 11:15:00,2023-03-13 12:15:00,6824.65,6845.25,6716.833333,2023-03-14 14:15:00,6743.65,81,72.9,703.3327716,5.127295905,2023,-0.30%
2023-03-15 11:15:00,2023-03-15 12:15:00,6770.15,6787.55,6734.125,2023-03-16 10:15:00,6750.5,19.65,17.685,708.9946308,1.253857005,2023,-0.26%
2023-03-16 11:15:00,2023-03-16 12:15:00,6727.6,6760.45,6760.45,2023-03-16 13:15:00,6760.45,-32.85,-36.135,713.4788037,-2.578155657,2023,-0.49%
2023-03-17 09:15:00,2023-03-17 10:15:00,6816.65,6851.25,6808.758333,2023-03-17 13:15:00,6820.85,-4.2,-4.62,704.1582009,-0.3253210888,2023,-0.51%
2023-03-17 15:15:00,2023-03-20 09:15:00,6810.35,6824.9,6728.508333,2023-03-20 14:15:00,6754.6,55.75,50.175,704.8095913,3.536382124,2023,-0.21%
2023-03-24 11:15:00,2023-03-24 12:15:00,6724.95,6742.75,6681.066667,2023-03-27 11:15:00,6700.7,24.25,21.825,713.7599536,1.557781099,2023,-0.26%
2023-03-27 14:15:00,2023-03-27 15:15:00,6651.8,6700.55,6618.641667,2023-03-28 14:15:00,6625.45,26.35,23.715,721.6091885,1.711296191,2023,-0.73%
2023-06-09 14:15:00,2023-06-09 15:15:00,7831.85,7852.4,7852.4,2023-06-12 09:15:00,7852.4,-20.55,-22.605,612.8820138,-1.385419792,2023,-0.26%
2023-06-23 14:15:00,2023-06-23 15:15:00,7995.95,8020.55,8020.55,2023-06-26 09:15:00,8020.55,-24.6,-27.06,600.3039039,-1.624422364,2023,-0.31%
2023-06-26 11:15:00,2023-06-26 12:15:00,8008.05,8020.6,8020.6,2023-06-26 13:15:00,8020.6,-12.55,-13.805,599.3968569,-0.827467361,2023,-0.16%
2023-08-08 15:15:00,2023-08-09 09:15:00,8563.55,8576.9,8548.791667,2023-08-09 12:15:00,8557.55,6,5.4,560.5152069,0.3026782117,2023,-0.16%
2023-08-18 11:15:00,2023-08-18 12:15:00,8553.6,8566.7,8566.7,2023-08-18 13:15:00,8566.7,-13.1,-14.41,561.1672278,-0.8086419753,2023,-0.15%
2023-08-18 14:15:00,2023-08-18 15:15:00,8570.4,8584.55,8584.55,2023-08-21 09:15:00,8584.55,-14.15,-15.565,560.0672081,-0.8717446094,2023,-0.17%
2023-09-12 14:15:00,2023-09-12 15:15:00,8962.45,8993.5,8993.5,2023-09-13 09:15:00,8993.5,-31.05,-34.155,535.5678414,-1.829231962,2023,-0.35%
2023-09-28 13:15:00,2023-09-28 14:15:00,9041.45,9078.55,9078.55,2023-09-29 13:15:00,9078.55,-37.1,-40.81,530.8882978,-2.166555143,2023,-0.41%
2023-10-04 10:15:00,2023-10-04 11:15:00,9012.55,9049.75,9001.991667,2023-10-04 14:15:00,9017,-4.45,-4.895,532.5906652,-0.2607031306,2023,-0.41%
2023-10-05 09:15:00,2023-10-05 10:15:00,9059.2,9102.7,9045.45,2023-10-06 09:15:00,9076.45,-17.25,-18.975,529.8481102,-1.005386789,2023,-0.48%
2023-10-09 14:15:00,2023-10-09 15:15:00,9019.65,9050.05,9050.05,2023-10-10 09:15:00,9050.05,-30.4,-33.44,532.1714257,-1.779581248,2023,-0.34%
2023-10-18 13:15:00,2023-10-18 14:15:00,9082.6,9108.4,9061.775,2023-10-19 12:15:00,9067.2,15.4,13.86,528.4830335,0.7324774844,2023,-0.28%
2023-10-19 14:15:00,2023-10-19 15:15:00,9058.8,9075.9,8863.825,2023-10-25 09:15:00,8870,188.8,169.92,529.8715062,9.003576633,2023,-0.19%
2023-10-25 10:15:00,2023-10-25 11:15:00,8844.2,8886.75,8607.775,2023-10-26 14:15:00,8629.55,214.65,193.185,542.7285679,10.48470184,2023,-0.48%
2023-10-27 11:15:00,2023-10-27 12:15:00,8744.45,8768.2,8768.2,2023-10-30 09:15:00,8768.2,-23.75,-26.125,548.9196004,-1.434052456,2023,-0.27%
2023-10-31 09:15:00,2023-10-31 10:15:00,8740.5,8784.65,8784.65,2023-11-02 12:15:00,8784.65,-44.15,-48.565,549.1676678,-2.667032778,2023,-0.51%
2023-12-21 12:15:00,2023-12-21 13:15:00,10066.4,10109.05,10109.05,2023-12-21 14:15:00,10109.05,-42.65,-46.915,476.8338234,-2.237065883,2023,-0.42%
2023-12-22 12:15:00,2023-12-22 13:15:00,10203.35,10250.05,10250.05,2023-12-22 14:15:00,10250.05,-46.7,-51.37,470.4337301,-2.416618072,2023,-0.46%
2024-01-12 10:15:00,2024-01-12 11:15:00,10487.35,10518.75,10518.75,2024-01-12 13:15:00,10518.75,-31.4,-34.54,457.6942698,-1.580876008,2024,-0.30%
2024-01-23 10:15:00,2024-01-23 11:15:00,10504.3,10589.2,10407.75833,2024-01-24 09:15:00,10452.3,52,46.8,456.9557229,2.138552783,2024,-0.81%
2024-01-24 10:15:00,2024-01-24 11:15:00,10444.55,10495.35,10495.35,2024-01-24 14:15:00,10495.35,-50.8,-55.88,459.5698235,-2.568076174,2024,-0.49%
2024-02-12 12:15:00,2024-02-12 13:15:00,10696.05,10724.75,10724.75,2024-02-12 14:15:00,10724.75,-28.7,-31.57,448.763796,-1.416747304,2024,-0.27%
2024-02-12 15:15:00,2024-02-13 09:15:00,10648.7,10673.35,10673.35,2024-02-13 10:15:00,10673.35,-24.65,-27.115,450.7592476,-1.2222337,2024,-0.23%
2024-02-13 11:15:00,2024-02-13 12:15:00,10576.85,10685.8,10685.8,2024-02-13 14:15:00,10685.8,-108.95,-119.845,453.8213173,-5.438821577,2024,-1.03%
