Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,SL %
2022-01-31 14:15:00,2022-01-31 15:15:00,7511.35,7540.35,7540.35,2022-02-01 09:15:00,7540.35,-29,-31.9,639.0329302,-2.038515047,2022,-0.39%
2022-02-04 15:15:00,2022-02-07 09:15:00,7492.45,7509.8,7373.233333,2022-02-08 14:15:00,7399.3,93.15,83.835,640.6449159,5.370846652,2022,-0.23%
2022-02-09 15:15:00,2022-02-10 09:15:00,7505.7,7516.05,7516.05,2022-02-10 10:15:00,7516.05,-10.35,-11.385,639.5139694,-0.7280866541,2022,-0.14%
2022-02-10 12:15:00,2022-02-10 13:15:00,7548.05,7570.05,7073.65,2022-02-15 10:15:00,7079.35,468.7,421.83,635.9258351,26.8252595,2022,-0.29%
2022-02-16 09:15:00,2022-02-16 10:15:00,7326.05,7389.55,7313.316667,2022-02-17 10:15:00,7318.9,7.15,6.435,655.1961835,0.4216187441,2022,-0.87%
2022-02-17 12:15:00,2022-02-17 13:15:00,7314.5,7337.65,7195.283333,2022-02-21 11:15:00,7215.95,98.55,88.695,656.2307745,5.820438854,2022,-0.32%
2022-02-23 09:15:00,2022-02-23 10:15:00,7139.85,7184,6764.458333,2022-02-25 09:15:00,6958.3,181.55,163.395,672.2830312,10.98476859,2022,-0.62%
2022-02-25 10:15:00,2022-02-25 11:15:00,6943.65,6977.75,6922.266667,2022-02-28 10:15:00,6926.7,16.95,15.255,691.2790823,1.05454624,2022,-0.49%
2022-03-03 09:15:00,2022-03-03 10:15:00,6983.85,7083.65,6545.675,2022-03-07 14:15:00,6576.95,406.9,366.21,687.299985,25.16961275,2022,-1.43%
2022-03-08 10:15:00,2022-03-08 11:15:00,6589,6650.95,6650.95,2022-03-09 10:15:00,6650.95,-61.95,-68.145,728.4868721,-4.96427379,2022,-0.94%
2022-03-10 10:15:00,2022-03-10 11:15:00,6981.85,7009.55,6890.025,2022-03-11 11:15:00,6895,86.85,78.165,687.4968669,5.37381926,2022,-0.40%
