Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio,Variation
-4.5572327106272414,2,0.0,,-2.2786163553136207,-2.2406779661016945,-2.0338633126097374,"0, 0.25, 10:00:00, 11:00:00, 11:30:00"
-2.1518632298581215,4,50.0,1.2368930013994928,-2.3128246163285535,-2.6443213304167807,-0.8137676783475323,"0, 0.25, 10:00:00, 11:00:00, 11:30:00"
-5.80708547893258,14,35.714285714285715,1.6848734735522761,-2.3719088077823267,-11.757666843894974,-0.49389777377029853,"0, 0.25, 10:00:00, 11:00:00, 11:30:00"
1.963629242819844,2,50.0,1.963629242819844,,0.0,inf,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
2.1678856152512975,2,50.0,2.1678856152512975,,0.0,inf,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
1.4289357622243528,2,50.0,1.4289357622243528,,0.0,inf,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
-2.434838709677419,2,0.0,,-2.434838709677419,0.0,-inf,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
-2.2490847457627123,2,0.0,,-2.2490847457627123,0.0,-inf,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
1.520508174988953,4,50.0,0.7602540874944765,,0.0,inf,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
2.397035339844316,14,35.714285714285715,1.4161917590568895,-2.341961727720066,-4.683923455440132,0.5117580085687107,"0, 0.25, 10:00:00, 11:15:00, 11:30:00"
1.9511948051948056,2,50.0,1.9511948051948056,,0.0,inf,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
-2.3202797202797196,2,0.0,,-2.3202797202797196,0.0,-inf,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
0.0,4,0.0,,,,,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
-0.36908491508491403,14,7.142857142857142,1.9511948051948056,-2.3202797202797196,-2.3202797202797196,-0.15906914664599978,"0, 0.25, 10:00:00, 11:30:00, 11:45:00"
0.7159499999999999,2,50.0,0.7159499999999999,,0.0,inf,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
0.0,2,0.0,,,,,"0, 0.25, 10:00:00, 11:45:00, 12:00:00"
