Day,Time,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2019-02-11,09:15:00,11050,2019-02-14,3,CE,16.9,25.349999999999998,7.55,2019-02-11 15:29:00,15.0,4.8,9.349999999999998,1809.9547511312219,16923.076923076922,0.2445,16480.542986425335,250.0,1.6480542986425333,2019
2019-02-11,09:15:00,10800,2019-02-14,3,PE,34.8,52.199999999999996,16.25,2019-02-11 15:30:00,39.6,15.1,18.549999999999997,1149.4252873563219,21321.839080459766,0.5105,20735.057471264365,155.17241379310346,2.0735057471264366,2019
2019-02-12,09:15:00,11000,2019-02-14,2,CE,13.75,20.625,5.15,2019-02-12 15:29:00,19.55,5.15,8.6,1818.181818181818,15636.363636363634,0.189,15292.72727272727,250.0,1.5292727272727271,2019
2019-02-12,09:15:00,10750,2019-02-14,2,PE,7.15,10.725000000000001,10.725000000000001,2019-02-12 09:57:00,17.75,5.0,-3.575000000000001,1860.4651162790697,-6651.162790697676,0.17875,-6983.72093023256,250.0,-0.6983720930232561,2019
2019-02-13,09:15:00,11000,2019-02-14,1,CE,8.25,12.375,0.95,2019-02-13 15:29:00,8.8,0.9,7.3,1818.181818181818,13272.727272727272,0.092,13105.454545454544,250.0,1.3105454545454545,2019
2019-02-13,09:15:00,10750,2019-02-14,1,PE,7.05,10.575,10.575,2019-02-13 10:13:00,17.9,4.25,-3.5249999999999995,1860.4651162790697,-6558.1395348837195,0.17625,-6886.046511627906,250.0,-0.6886046511627906,2019
2019-02-14,09:15:00,10900,2019-02-14,0,CE,1.15,1.7249999999999999,0.05,2019-02-14 15:29:00,1.2,0.05,1.0999999999999999,1834.8623853211009,2018.3486238532107,0.012,1996.3302752293575,250.0,0.19963302752293577,2019
2019-02-14,09:15:00,10700,2019-02-14,0,PE,3.65,5.475,5.475,2019-02-14 09:19:00,7.85,0.05,-1.8249999999999997,1869.1588785046729,-3411.2149532710273,0.09125,-3581.775700934579,250.0,-0.3581775700934579,2019
2019-02-15,09:15:00,10900,2019-02-21,6,CE,20.8,31.200000000000003,17.9,2019-02-15 15:29:00,24.15,11.2,2.900000000000002,1834.8623853211009,5321.100917431197,0.387,4611.00917431193,250.0,0.46110091743119297,2019
2019-02-15,09:15:00,10650,2019-02-21,6,PE,45.65,68.475,68.475,2019-02-15 10:59:00,101.7,39.9,-22.824999999999996,876.2322015334065,-20000.0,1.14125,-21000.0,116.64841182913474,-2.1,2019
2019-02-18,09:15:00,10850,2019-02-21,3,CE,28.0,42.0,8.0,2019-02-18 15:30:00,28.95,8.0,20.0,1428.5714285714287,28571.428571428572,0.36,28057.14285714286,193.75000000000003,2.805714285714286,2019
2019-02-18,09:15:00,10650,2019-02-21,3,PE,43.0,64.5,64.5,2019-02-18 09:41:00,76.9,40.55,-21.5,930.2325581395348,-20000.0,1.075,-20999.999999999996,123.83720930232558,-2.0999999999999996,2019
2019-02-19,09:15:00,10750,2019-02-21,2,CE,31.35,47.025000000000006,47.025000000000006,2019-02-19 13:03:00,48.0,5.8,-15.675000000000004,1275.9170653907493,-20000.0,0.7837500000000001,-21000.0,171.45135566188193,-2.1,2019
2019-02-19,09:15:00,10550,2019-02-21,2,PE,31.0,46.5,33.75,2019-02-19 15:29:00,40.2,8.55,-2.75,1290.3225806451612,-3548.387096774193,0.6475,-4383.870967741936,170.16129032258064,-0.4383870967741936,2019
2019-02-20,09:15:00,10750,2019-02-21,1,CE,11.35,17.025,17.025,2019-02-20 09:22:00,33.3,7.0,-5.674999999999999,1860.4651162790697,-10558.139534883718,0.28375,-11086.046511627905,250.0,-1.1086046511627903,2019
2019-02-20,09:15:00,10550,2019-02-21,1,PE,14.1,21.15,3.7,2019-02-20 15:29:00,14.25,3.05,10.399999999999999,1895.7345971563982,19715.63981042654,0.17800000000000002,19378.1990521327,250.0,1.9378199052132699,2019
2019-02-21,09:15:00,10850,2019-02-21,0,CE,0.9,1.35,1.35,2019-02-21 11:38:00,2.4,0.05,-0.45000000000000007,1843.3179723502303,-829.4930875576038,0.0225,-870.967741935484,250.0,-0.0870967741935484,2019
2019-02-21,09:15:00,10650,2019-02-21,0,PE,3.9,5.85,0.05,2019-02-21 15:29:00,4.55,0.05,3.85,1877.9342723004695,7230.046948356808,0.0395,7155.8685446009395,250.0,0.7155868544600938,2019
2019-02-22,09:15:00,10900,2019-02-28,6,CE,28.85,43.275000000000006,28.7,2019-02-22 15:30:00,33.55,24.85,0.15000000000000213,1386.4818024263427,207.97227036395435,0.5755,-589.9480069324059,188.9081455805892,-0.05899480069324058,2019
2019-02-22,09:15:00,10650,2019-02-28,6,PE,33.45,50.175000000000004,22.0,2019-02-22 15:30:00,34.35,20.85,11.450000000000003,1195.8146487294468,13692.07772795217,0.5545,13028.99850523169,159.1928251121076,1.3028998505231688,2019
2019-02-25,09:15:00,10900,2019-02-28,3,CE,33.25,49.875,43.45,2019-02-25 15:30:00,48.95,22.35,-10.200000000000003,1203.0075187969924,-12270.676691729326,0.767,-13193.383458646618,163.9097744360902,-1.3193383458646617,2019
2019-02-25,09:15:00,10700,2019-02-28,3,PE,22.1,33.150000000000006,10.55,2019-02-25 15:29:00,27.65,10.55,11.55,1809.954751131221,20904.977375565602,0.32650000000000007,20314.02714932126,242.0814479638008,2.031402714932126,2019
2019-02-26,09:15:00,10900,2019-02-28,2,CE,23.75,35.625,35.625,2019-02-26 11:52:00,50.0,14.15,-11.875,1684.2105263157894,-20000.0,0.59375,-21000.0,229.47368421052627,-2.1,2019
2019-02-26,09:15:00,10650,2019-02-28,2,PE,23.0,34.5,34.5,2019-02-26 09:21:00,56.0,11.6,-11.5,1739.1304347826087,-20000.0,0.5750000000000001,-21000.0,231.52173913043475,-2.1,2019
2019-02-27,09:15:00,11000,2019-02-28,1,CE,8.8,13.200000000000001,13.200000000000001,2019-02-27 09:55:00,20.7,1.5,-4.4,1818.181818181818,-8000.0,0.22,-8400.0,250.0,-0.84,2019
2019-02-27,09:15:00,10750,2019-02-28,1,PE,10.25,15.375,15.375,2019-02-27 11:15:00,85.45,6.2,-5.125,1860.4651162790697,-9534.883720930233,0.25625,-10011.627906976742,250.0,-1.0011627906976743,2019
2019-02-28,09:15:00,10950,2019-02-28,0,CE,2.25,3.375,3.375,2019-02-28 09:18:00,3.85,0.05,-1.125,1826.4840182648402,-2054.794520547945,0.05625,-2157.5342465753424,250.0,-0.21575342465753425,2019
2019-02-28,09:15:00,10750,2019-02-28,0,PE,9.1,13.649999999999999,0.05,2019-02-28 15:29:00,13.15,0.05,9.049999999999999,1860.4651162790697,16837.20930232558,0.09150000000000001,16666.976744186042,250.0,1.6666976744186042,2019
2019-03-01,09:15:00,10950,2019-03-07,6,CE,45.85,68.775,33.0,2019-03-01 15:29:00,48.35,29.65,12.850000000000001,872.410032715376,11210.468920392583,0.7885,10522.57360959651,119.41112322791709,1.052257360959651,2019
2019-03-01,09:15:00,10750,2019-03-07,6,PE,49.15,73.725,26.35,2019-03-01 15:29:00,50.0,25.75,22.799999999999997,813.8351983723297,18555.442522889116,0.755,17940.99694811801,109.35910478128181,1.7940996948118009,2019
2019-03-05,09:15:00,10950,2019-03-07,2,CE,17.1,25.650000000000002,25.650000000000002,2019-03-05 10:35:00,76.35,14.65,-8.55,1826.4840182648402,-15616.438356164384,0.4275,-16397.260273972606,250.0,-1.6397260273972605,2019
2019-03-05,09:15:00,10750,2019-03-07,2,PE,29.75,44.625,8.55,2019-03-05 15:29:00,31.15,6.5,21.2,1344.5378151260504,28504.201680672268,0.383,27989.243697478993,180.672268907563,2.7989243697478994,2019
2019-03-06,09:15:00,11150,2019-03-07,1,CE,3.9,5.85,5.85,2019-03-06 09:29:00,6.25,1.75,-1.9499999999999997,1793.7219730941704,-3497.757847533632,0.0975,-3672.6457399103138,250.0,-0.3672645739910314,2019
2019-03-06,09:15:00,10900,2019-03-07,1,PE,9.8,14.700000000000001,3.35,2019-03-06 15:30:00,13.05,3.15,6.450000000000001,1834.8623853211009,11834.862385321103,0.1315,11593.577981651379,250.0,1.159357798165138,2019
2019-03-07,09:15:00,11200,2019-03-07,0,CE,0.4,0.6000000000000001,0.05,2019-03-07 15:28:00,0.45,0.05,0.35000000000000003,1785.7142857142858,625.0000000000001,0.0045000000000000005,616.9642857142858,250.0,0.06169642857142858,2019
2019-03-07,09:15:00,10950,2019-03-07,0,PE,1.65,2.4749999999999996,0.05,2019-03-07 15:25:00,2.0,0.05,1.5999999999999999,1826.4840182648402,2922.374429223744,0.017,2891.324200913242,250.0,0.28913242009132417,2019
2019-03-08,09:15:00,11150,2019-03-14,6,CE,20.05,30.075000000000003,19.6,2019-03-08 15:29:00,24.65,14.8,0.4499999999999993,1793.7219730941704,807.1748878923754,0.3965000000000001,95.9641255605367,250.0,0.00959641255605367,2019
2019-03-08,09:15:00,10950,2019-03-14,6,PE,41.85,62.775000000000006,30.1,2019-03-08 15:29:00,45.55,27.9,11.75,955.7945041816008,11230.58542413381,0.7195,10542.891278375148,130.8243727598566,1.0542891278375148,2019
2019-03-11,09:15:00,11200,2019-03-14,3,CE,12.2,18.299999999999997,18.299999999999997,2019-03-11 09:35:00,38.0,11.7,-6.099999999999998,1785.7142857142858,-10892.85714285714,0.305,-11437.499999999996,250.0,-1.1437499999999996,2019
2019-03-11,09:15:00,10950,2019-03-14,3,PE,20.2,30.299999999999997,6.9,2019-03-11 15:29:00,20.0,6.15,13.299999999999999,1826.4840182648402,24292.23744292237,0.271,23797.2602739726,250.0,2.3797260273972602,2019
2019-03-12,09:15:00,11350,2019-03-14,2,CE,9.0,13.5,13.5,2019-03-12 10:36:00,25.6,6.5,-4.5,1762.1145374449338,-7929.515418502202,0.225,-8325.991189427312,250.0,-0.8325991189427312,2019
2019-03-12,09:15:00,11100,2019-03-14,2,PE,9.7,14.549999999999999,7.4,2019-03-12 15:30:00,10.65,6.1,2.299999999999999,1801.8018018018017,4144.144144144142,0.171,3836.036036036034,250.0,0.38360360360360346,2019
2019-03-13,09:15:00,11450,2019-03-14,1,CE,3.2,4.800000000000001,4.800000000000001,2019-03-13 09:36:00,7.85,2.4,-1.6000000000000005,1746.7248908296942,-2794.759825327512,0.08,-2934.4978165938874,250.0,-0.29344978165938873,2019
2019-03-13,09:15:00,11200,2019-03-14,1,PE,15.3,22.950000000000003,3.9,2019-03-13 15:30:00,18.2,3.45,11.4,1785.7142857142858,20357.14285714286,0.192,20014.285714285714,250.0,2.0014285714285713,2019
2019-03-14,09:15:00,11500,2019-03-14,0,CE,0.25,0.375,0.375,2019-03-14 09:22:00,0.4,0.05,-0.125,1739.1304347826087,-217.3913043478261,0.00625,-228.2608695652174,250.0,-0.02282608695652174,2019
2019-03-14,09:15:00,11250,2019-03-14,0,PE,1.0,1.5,1.5,2019-03-14 10:29:00,2.1,0.05,-0.5,1777.7777777777778,-888.8888888888889,0.025,-933.3333333333334,250.0,-0.09333333333333334,2019
2019-03-15,09:15:00,11500,2019-03-20,5,CE,26.1,39.150000000000006,39.150000000000006,2019-03-15 09:56:00,78.0,25.5,-13.050000000000004,1532.5670498084287,-20000.0,0.6525,-21000.0,220.30651340996164,-2.1,2019
2019-03-15,09:15:00,11250,2019-03-20,5,PE,23.2,34.8,15.0,2019-03-15 15:29:00,23.6,11.65,8.2,1724.137931034483,14137.931034482759,0.38200000000000006,13479.310344827587,242.45689655172418,1.3479310344827586,2019
2019-03-18,09:15:00,11600,2019-03-20,2,CE,30.0,45.0,16.8,2019-03-18 15:30:00,35.8,7.05,13.2,1333.3333333333333,17599.999999999996,0.46799999999999997,16975.999999999996,193.33333333333334,1.6975999999999996,2019
2019-03-18,09:15:00,11350,2019-03-20,2,PE,14.1,21.15,21.15,2019-03-18 10:40:00,34.55,11.75,-7.049999999999999,1762.1145374449338,-12422.907488986782,0.3525,-13044.052863436122,250.0,-1.3044052863436122,2019
2019-03-19,09:15:00,11600,2019-03-20,1,CE,12.85,19.275,9.25,2019-03-19 15:30:00,12.95,5.0,3.5999999999999996,1724.1379310344828,6206.896551724138,0.22100000000000003,5825.862068965516,250.0,0.5825862068965516,2019
2019-03-19,09:15:00,11400,2019-03-20,1,PE,19.25,28.875,3.5,2019-03-19 15:30:00,24.4,3.3,15.75,1754.3859649122808,27631.578947368424,0.2275,27232.45614035088,250.0,2.723245614035088,2019
2019-03-20,09:15:00,11650,2019-03-20,0,CE,0.6,0.8999999999999999,0.05,2019-03-20 15:26:00,0.7,0.05,0.5499999999999999,1716.7381974248926,944.2060085836908,0.006500000000000001,933.0472103004291,250.0,0.09330472103004292,2019
2019-03-20,09:15:00,11450,2019-03-20,0,PE,2.2,3.3000000000000003,0.05,2019-03-20 15:30:00,2.35,0.05,2.1500000000000004,1746.7248908296942,3755.458515283843,0.0225,3716.1572052401752,250.0,0.37161572052401753,2019
2019-03-22,09:15:00,11650,2019-03-28,6,CE,38.7,58.050000000000004,12.5,2019-03-22 15:29:00,46.05,11.0,26.200000000000003,1033.5917312661497,27080.103359173125,0.512,26550.904392764856,150.51679586563307,2.655090439276486,2019
2019-03-22,09:15:00,11450,2019-03-28,6,PE,36.95,55.425000000000004,55.425000000000004,2019-03-22 14:10:00,70.45,25.5,-18.475,1082.5439783491204,-20000.0,0.9237500000000001,-21000.0,154.93910690121785,-2.1,2019
2019-03-25,09:15:00,11500,2019-03-28,3,CE,26.0,39.0,14.2,2019-03-25 15:29:00,25.75,12.6,11.8,1538.4615384615386,18153.846153846156,0.402,17535.384615384617,221.15384615384616,1.7535384615384617,2019
2019-03-25,09:15:00,11250,2019-03-28,3,PE,25.25,37.875,19.4,2019-03-25 15:29:00,28.85,18.5,5.850000000000001,1584.1584158415842,9267.32673267327,0.4465,8560.000000000002,222.77227722772275,0.8560000000000002,2019
2019-03-26,09:15:00,11500,2019-03-28,2,CE,16.4,24.599999999999998,24.599999999999998,2019-03-26 14:27:00,60.75,10.2,-8.2,1739.1304347826087,-14260.86956521739,0.41000000000000003,-14973.91304347826,250.0,-1.497391304347826,2019
2019-03-26,09:15:00,11250,2019-03-28,2,PE,11.65,17.475,3.4,2019-03-26 15:30:00,15.05,3.15,8.25,1777.7777777777778,14666.666666666668,0.15050000000000002,14399.111111111113,250.0,1.4399111111111111,2019
2019-03-27,09:15:00,11650,2019-03-28,1,CE,8.7,13.049999999999999,13.049999999999999,2019-03-27 12:24:00,15.7,1.15,-4.35,1716.7381974248926,-7467.811158798282,0.2175,-7841.201716738197,250.0,-0.7841201716738198,2019
2019-03-27,09:15:00,11400,2019-03-28,1,PE,7.5,11.25,11.25,2019-03-27 11:32:00,36.5,4.7,-3.75,1754.3859649122808,-6578.9473684210525,0.1875,-6907.894736842106,250.0,-0.6907894736842105,2019
2019-03-28,09:15:00,11600,2019-03-28,0,CE,1.05,1.5750000000000002,1.5750000000000002,2019-03-28 09:47:00,7.5,0.05,-0.5250000000000001,1724.1379310344828,-905.1724137931037,0.02625,-950.4310344827588,250.0,-0.09504310344827588,2019
2019-03-28,09:15:00,11350,2019-03-28,0,PE,1.55,2.325,2.325,2019-03-28 09:17:00,2.55,0.05,-0.7750000000000001,1762.1145374449338,-1365.638766519824,0.03875,-1433.920704845815,250.0,-0.1433920704845815,2019
2019-03-29,09:15:00,11750,2019-04-04,6,CE,42.0,63.0,39.05,2019-03-29 15:30:00,47.9,33.9,2.950000000000003,952.3809523809524,2809.5238095238124,0.8105,2037.6190476190502,139.88095238095238,0.20376190476190503,2019
2019-03-29,09:15:00,11500,2019-04-04,6,PE,42.05,63.074999999999996,31.0,2019-03-29 15:30:00,53.5,31.0,11.049999999999997,951.2485136741974,10511.29607609988,0.7305,9816.409036860878,136.74197384066588,0.9816409036860878,2019
2019-04-01,09:15:00,11800,2019-04-04,3,CE,32.45,48.675000000000004,18.4,2019-04-01 15:30:00,45.5,16.75,14.050000000000004,1232.6656394453003,17318.952234206474,0.5085000000000001,16692.14175654854,181.81818181818178,1.669214175654854,2019
2019-04-01,09:15:00,11550,2019-04-04,3,PE,30.7,46.05,20.15,2019-04-01 15:30:00,31.0,11.1,10.55,1302.9315960912054,13745.928338762218,0.5085,13083.38762214984,188.11074918566777,1.308338762214984,2019
2019-04-02,09:15:00,11850,2019-04-04,2,CE,9.1,13.649999999999999,10.85,2019-04-02 15:30:00,11.9,5.6,-1.75,1687.7637130801688,-2953.5864978902955,0.1995,-3290.2953586497893,250.0,-0.3290295358649789,2019
2019-04-02,09:15:00,11600,2019-04-04,2,PE,26.1,39.150000000000006,39.150000000000006,2019-04-02 09:26:00,40.0,12.0,-13.050000000000004,1532.5670498084287,-20000.0,0.6525,-21000.0,222.22222222222214,-2.1,2019
2019-04-03,09:15:00,11850,2019-04-04,1,CE,11.6,17.4,1.15,2019-04-03 15:29:00,13.5,0.95,10.45,1687.7637130801688,17637.130801687763,0.1275,17421.940928270044,250.0,1.7421940928270043,2019
2019-04-03,09:15:00,11600,2019-04-04,1,PE,10.15,15.225000000000001,15.225000000000001,2019-04-03 14:33:00,16.75,5.0,-5.075000000000001,1724.1379310344828,-8750.000000000002,0.25375000000000003,-9187.500000000002,250.0,-0.9187500000000002,2019
2019-04-04,09:15:00,11800,2019-04-04,0,CE,1.2,1.7999999999999998,0.05,2019-04-04 15:27:00,1.3,0.05,1.15,1694.915254237288,1949.152542372881,0.0125,1927.966101694915,250.0,0.1927966101694915,2019
2019-04-04,09:15:00,11550,2019-04-04,0,PE,5.45,8.175,0.05,2019-04-04 15:29:00,5.35,0.05,5.4,1731.6017316017317,9350.649350649352,0.055,9255.411255411256,250.0,0.9255411255411257,2019
2019-04-05,09:15:00,11750,2019-04-11,6,CE,30.3,45.45,44.15,2019-04-05 15:29:00,45.4,21.05,-13.849999999999998,1320.13201320132,-18283.828382838277,0.7445,-19266.66666666666,193.89438943894385,-1.926666666666666,2019
2019-04-05,09:15:00,11500,2019-04-11,6,PE,24.7,37.05,9.5,2019-04-05 15:29:00,25.35,9.0,15.2,1619.433198380567,24615.384615384617,0.342,24061.538461538465,232.79352226720653,2.4061538461538463,2019
2019-04-08,09:15:00,11800,2019-04-11,3,CE,22.6,33.900000000000006,8.75,2019-04-08 15:29:00,24.55,5.9,13.850000000000001,1694.915254237288,23474.57627118644,0.3135,22943.220338983054,250.0,2.2943220338983052,2019
2019-04-08,09:15:00,11600,2019-04-11,3,PE,27.1,40.650000000000006,40.650000000000006,2019-04-08 09:41:00,76.05,24.25,-13.550000000000004,1476.014760147601,-20000.0,0.6775,-21000.0,214.02214022140217,-2.1,2019
2019-04-09,09:15:00,11750,2019-04-11,2,CE,9.1,13.649999999999999,13.649999999999999,2019-04-09 09:49:00,21.95,7.8,-4.549999999999999,1702.127659574468,-7744.6808510638275,0.2275,-8131.9148936170195,250.0,-0.813191489361702,2019
2019-04-09,09:15:00,11500,2019-04-11,2,PE,20.4,30.599999999999998,5.05,2019-04-09 15:30:00,23.0,4.85,15.349999999999998,1739.1304347826087,26695.65217391304,0.2545,26253.043478260865,250.0,2.6253043478260865,2019
2019-04-10,09:15:00,11750,2019-04-11,1,CE,13.25,19.875,1.5,2019-04-10 15:30:00,18.0,1.5,11.75,1702.127659574468,20000.0,0.1475,19748.936170212764,250.0,1.9748936170212763,2019
2019-04-10,09:15:00,11550,2019-04-11,1,PE,10.85,16.275,16.275,2019-04-10 13:39:00,16.5,5.6,-5.424999999999999,1731.6017316017317,-9393.939393939392,0.27125,-9863.636363636362,250.0,-0.9863636363636362,2019
2019-04-11,09:15:00,11700,2019-04-11,0,CE,1.45,2.175,0.05,2019-04-11 15:28:00,1.65,0.05,1.4,1709.4017094017092,2393.1623931623926,0.015,2367.521367521367,249.99999999999994,0.23675213675213672,2019
2019-04-11,09:15:00,11500,2019-04-11,0,PE,2.9,4.35,0.05,2019-04-11 15:28:00,3.0,0.05,2.85,1739.1304347826087,4956.521739130435,0.0295,4905.217391304348,250.0,0.4905217391304348,2019
2019-04-12,09:15:00,11750,2019-04-18,6,CE,21.7,32.55,32.55,2019-04-12 14:17:00,38.15,13.75,-10.849999999999998,1702.127659574468,-18468.085106382976,0.5425,-19391.489361702123,250.0,-1.9391489361702123,2019
2019-04-12,09:15:00,11500,2019-04-18,6,PE,25.5,38.25,14.95,2019-04-12 15:29:00,29.1,11.5,10.55,1568.6274509803923,16549.01960784314,0.4045,15914.50980392157,225.49019607843138,1.591450980392157,2019
2019-04-15,09:15:00,11800,2019-04-18,3,CE,11.75,17.625,8.25,2019-04-15 15:29:00,14.4,6.15,3.5,1694.915254237288,5932.203389830508,0.2,5593.22033898305,250.0,0.559322033898305,2019
2019-04-15,09:15:00,11550,2019-04-18,3,PE,15.45,23.174999999999997,8.15,2019-04-15 15:30:00,18.1,8.15,7.299999999999999,1731.6017316017317,12640.69264069264,0.23600000000000002,12232.03463203463,250.0,1.223203463203463,2019
