Day,Time,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2019-01-01,09:15:00,11000,2019-01-03,2,CE,,,,,,,,,,,,,,2019
2019-01-01,09:15:00,10750,2019-01-03,2,PE,,,,,,,,,,,,,,2019
2019-01-02,09:15:00,11000,2019-01-03,1,CE,,,,,,,,,,,,,,2019
2019-01-02,09:15:00,10750,2019-01-03,1,PE,,,,,,,,,,,,,,2019
2019-01-03,09:15:00,10900,2019-01-03,0,CE,,,,,,,,,,,,,,2019
2019-01-03,09:15:00,10700,2019-01-03,0,PE,,,,,,,,,,,,,,2019
2019-01-04,09:15:00,10800,2019-01-10,6,CE,,,,,,,,,,,,,,2019
2019-01-04,09:15:00,10600,2019-01-10,6,PE,,,,,,,,,,,,,,2019
2019-01-07,09:15:00,10900,2019-01-10,3,CE,,,,,,,,,,,,,,2019
2019-01-07,09:15:00,10700,2019-01-10,3,PE,,,,,,,,,,,,,,2019
2019-01-08,09:15:00,10900,2019-01-10,2,CE,,,,,,,,,,,,,,2019
2019-01-08,09:15:00,10700,2019-01-10,2,PE,,,,,,,,,,,,,,2019
2019-01-09,09:15:00,10950,2019-01-10,1,CE,,,,,,,,,,,,,,2019
2019-01-09,09:15:00,10750,2019-01-10,1,PE,,,,,,,,,,,,,,2019
2019-01-10,09:15:00,10950,2019-01-10,0,CE,,,,,,,,,,,,,,2019
2019-01-10,09:15:00,10750,2019-01-10,0,PE,,,,,,,,,,,,,,2019
2019-01-11,09:15:00,10950,2019-01-17,6,CE,,,,,,,,,,,,,,2019
2019-01-11,09:15:00,10750,2019-01-17,6,PE,,,,,,,,,,,,,,2019
2019-01-14,09:15:00,10900,2019-01-17,3,CE,,,,,,,,,,,,,,2019
2019-01-14,09:15:00,10700,2019-01-17,3,PE,,,,,,,,,,,,,,2019
2019-01-15,09:15:00,10900,2019-01-17,2,CE,,,,,,,,,,,,,,2019
2019-01-15,09:15:00,10650,2019-01-17,2,PE,,,,,,,,,,,,,,2019
2019-01-16,09:15:00,11000,2019-01-17,1,CE,,,,,,,,,,,,,,2019
2019-01-16,09:15:00,10800,2019-01-17,1,PE,,,,,,,,,,,,,,2019
2019-01-17,09:15:00,11050,2019-01-17,0,CE,,,,,,,,,,,,,,2019
2019-01-17,09:15:00,10800,2019-01-17,0,PE,,,,,,,,,,,,,,2019
2019-01-18,09:15:00,11000,2019-01-24,6,CE,,,,,,,,,,,,,,2019
2019-01-18,09:15:00,10800,2019-01-24,6,PE,,,,,,,,,,,,,,2019
2019-01-21,09:15:00,11050,2019-01-24,3,CE,,,,,,,,,,,,,,2019
2019-01-21,09:15:00,10800,2019-01-24,3,PE,,,,,,,,,,,,,,2019
2019-01-22,09:15:00,11050,2019-01-24,2,CE,,,,,,,,,,,,,,2019
2019-01-22,09:15:00,10850,2019-01-24,2,PE,,,,,,,,,,,,,,2019
2019-01-23,09:15:00,11050,2019-01-24,1,CE,,,,,,,,,,,,,,2019
2019-01-23,09:15:00,10800,2019-01-24,1,PE,,,,,,,,,,,,,,2019
2019-01-24,09:15:00,10950,2019-01-24,0,CE,,,,,,,,,,,,,,2019
2019-01-24,09:15:00,10750,2019-01-24,0,PE,,,,,,,,,,,,,,2019
2019-01-25,09:15:00,10950,2019-01-31,6,CE,66.45,99.67500000000001,22.1,2019-01-25 15:30:00,78.95,22.1,44.35,601.956358164033,26696.764484574862,0.8855000000000002,26163.732129420612,82.39277652370201,2.616373212942061,2019
2019-01-25,09:15:00,10750,2019-01-31,6,PE,25.3,37.95,37.95,2019-01-25 14:01:00,82.7,20.05,-12.650000000000002,1581.0276679841895,-20000.0,0.6325000000000001,-21000.0,212.4505928853755,-2.1,2019
2019-01-28,09:15:00,10900,2019-01-31,3,CE,32.4,48.599999999999994,13.85,2019-01-28 15:30:00,41.3,11.35,18.549999999999997,1234.5679012345681,22901.234567901236,0.4625,22330.24691358025,168.2098765432099,2.2330246913580245,2019
2019-01-28,09:15:00,10700,2019-01-31,3,PE,50.0,75.0,75.0,2019-01-28 09:51:00,112.7,35.2,-25.0,800.0,-20000.0,1.25,-21000.0,107.0,-2.1,2019
2019-01-29,09:15:00,10750,2019-01-31,2,CE,31.3,46.95,36.05,2019-01-29 15:30:00,45.5,17.85,-4.7499999999999964,1277.955271565495,-6070.287539936096,0.6735,-6930.990415335457,171.72523961661338,-0.6930990415335457,2019
2019-01-29,09:15:00,10550,2019-01-31,2,PE,38.2,57.300000000000004,12.45,2019-01-29 15:29:00,49.2,11.6,25.750000000000004,1047.1204188481674,26963.350785340317,0.5065000000000001,26432.98429319372,138.0890052356021,2.6432984293193718,2019
2019-01-30,09:15:00,10800,2019-01-31,1,CE,16.65,24.974999999999998,2.6,2019-01-30 15:30:00,19.35,2.5,14.049999999999999,1851.851851851852,26018.51851851852,0.1925,25662.037037037036,250.0,2.566203703703704,2019
2019-01-30,09:15:00,10600,2019-01-31,1,PE,16.05,24.075000000000003,24.075000000000003,2019-01-30 10:28:00,45.1,10.2,-8.025000000000002,1886.7924528301887,-15141.509433962268,0.40125,-15898.58490566038,250.0,-1.589858490566038,2019
2019-01-31,09:15:00,10800,2019-01-31,0,CE,2.6,3.9000000000000004,3.9000000000000004,2019-01-31 11:26:00,44.0,0.45,-1.3000000000000003,1851.851851851852,-2407.407407407408,0.065,-2527.7777777777783,250.0,-0.2527777777777778,2019
2019-01-31,09:15:00,10600,2019-01-31,0,PE,3.8,5.699999999999999,0.05,2019-01-31 15:29:00,4.55,0.05,3.75,1886.7924528301887,7075.471698113208,0.0385,7002.830188679245,250.0,0.7002830188679244,2019
2019-02-01,09:15:00,10950,2019-02-07,6,CE,,,,,,,,,,,,,,2019
2019-02-01,09:15:00,10750,2019-02-07,6,PE,,,,,,,,,,,,,,2019
2019-02-04,09:15:00,11000,2019-02-07,3,CE,,,,,,,,,,,,,,2019
2019-02-04,09:15:00,10750,2019-02-07,3,PE,,,,,,,,,,,,,,2019
2019-02-05,09:15:00,11000,2019-02-07,2,CE,,,,,,,,,,,,,,2019
2019-02-05,09:15:00,10800,2019-02-07,2,PE,,,,,,,,,,,,,,2019
2019-02-06,09:15:00,11050,2019-02-07,1,CE,,,,,,,,,,,,,,2019
2019-02-06,09:15:00,10850,2019-02-07,1,PE,,,,,,,,,,,,,,2019
2019-02-07,09:15:00,11200,2019-02-07,0,CE,,,,,,,,,,,,,,2019
2019-02-07,09:15:00,10950,2019-02-07,0,PE,,,,,,,,,,,,,,2019
2019-02-08,09:15:00,11150,2019-02-14,6,CE,,,,,,,,,,,,,,2019
2019-02-08,09:15:00,10900,2019-02-14,6,PE,,,,,,,,,,,,,,2019
