,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Allocation,Portfolio,ROI% PF,Strategy,Qty apAlloc,PnL apAlloc
1704,2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,26540.57,26381.32658,26381.32658,2017-01-09 15:15:00,26711.96,171.38999999999942,166.0647469999994,49819.42409999982,MACD Reversal,300,8.0,4.981942409999983,2017,1,SENSEX,500000.0,1000000.0,0.24909712049999908,WAVE,150.0,24909.712049999907
1705,2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,8166.55,8112.65077,8223.091250000001,2017-01-09 14:15:00,8235.2,68.65000000000055,65.36965000000055,39221.79000000033,MACD Reversal,600,5.0,3.9221790000000327,2017,1,NIFTY,500000.0,1000000.0,0.19610895000000164,WAVE,300.0,19610.895000000164
0,2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,906885.2275000064,TSL Hit,5750,6.333,12.091803033333418,2017,1,NIFTY,7500000.0,22500000.0,0.40306010111111396,MTREND,,
1706,2017-01-10 10:15:00,LONG,2017-01-10 11:15:00,26863.63,26702.44822,27177.240833333333,2017-01-20 10:15:00,27199.24,335.6100000000006,330.20371300000056,99061.11390000016,MACD Reversal,300,8.0,9.906111390000016,2017,1,SENSEX,500000.0,1000000.0,0.4953055695000009,WAVE,150.0,49530.556950000086
1707,2017-01-10 12:15:00,LONG,2017-01-10 13:15:00,8274.9,8220.28566,8410.596249999999,2017-01-20 10:15:00,8407.6,132.70000000000073,129.36350000000073,77618.10000000044,TSL Hit,600,5.0,7.761810000000044,2017,1,NIFTY,500000.0,1000000.0,0.38809050000000234,WAVE,300.0,38809.05000000022
1,2017-01-11 10:15:00,LONG,2017-01-11 11:15:00,18670.85,18612.35,19125.23611111112,2017-01-19 09:15:00,19071.85,401.0,397.22573,810340.4892,TSL Hit,2040,5.066,10.804539856,2017,1,BANKNIFTY,7500000.0,22500000.0,0.36015132853333337,MTREND,,
2,2017-01-16 11:15:00,LONG,2017-01-16 12:15:00,27284.29,27245.95,27245.95,2017-01-17 10:15:00,27245.95,-38.34000000000015,-43.79302400000015,-84082.60608000027,Initial SL hit,1920,7.0,-1.1211014144000035,2017,1,SENSEX,7500000.0,22500000.0,-0.03737004714666678,MTREND,,
3,2017-01-17 13:15:00,LONG,2017-01-17 14:15:00,27239.94,27197.43,27197.43,2017-01-17 14:15:00,27197.43,-42.5099999999984,-47.9537369999984,-92550.71240999692,Initial SL hit,1930,7.0,-1.2340094987999588,2017,1,SENSEX,7500000.0,22500000.0,-0.04113364995999863,MTREND,,
4,2017-01-18 15:15:00,LONG,2017-01-19 09:15:00,27281.86,27223.92,27223.92,2017-01-19 09:15:00,27223.92,-57.94000000000233,-63.39057800000233,-121709.90976000448,Initial SL hit,1920,7.0,-1.6227987968000597,2017,1,SENSEX,7500000.0,22500000.0,-0.05409329322666865,MTREND,,
5,2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,19108.4,19063.75,19063.75,2017-01-20 09:15:00,18996.65,-111.75,-115.560505,-230543.207475,Gap Open Outside ISL,1995,5.066,-3.0739094330000003,2017,1,BANKNIFTY,7500000.0,22500000.0,-0.10246364776666664,MTREND,,
6,2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,27301.11,27244.71,27246.72270833333,2017-01-20 09:15:00,27238.21,-62.900000000001455,-68.35393200000145,-131239.5494400028,Gap Open Outside ISL,1920,7.0,-1.7498606592000372,2017,1,SENSEX,7500000.0,22500000.0,-0.05832868864000125,MTREND,,
8,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,19010.5,18959.0,18959.0,2017-01-20 12:15:00,18959.0,-51.5,-55.29695,-110317.41525,Initial SL Hit,1995,5.066,-1.47089887,2017,1,BANKNIFTY,7500000.0,22500000.0,-0.04902996233333333,MTREND,,
1708,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,8411.9,8356.381459999999,8356.381459999999,2017-01-20 11:15:00,8413.1,1.2000000000007276,-2.1649999999992726,-1298.9999999995637,MACD Reversal,600,5.0,-0.1298999999999563,2017,1,NIFTY,500000.0,1000000.0,-0.00649499999999781,WAVE,300.0,-649.4999999997818
7,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,27229.13,27176.32,27176.32,2017-01-20 12:15:00,27176.32,-52.81000000000131,-58.25054500000131,-112423.55185000252,Initial SL Hit,1930,7.0,-1.498980691333367,2017,1,SENSEX,7500000.0,22500000.0,-0.049966023044445564,MTREND,,
9,2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,27039.24,27009.81,28322.39625,2017-02-13 11:15:00,28265.36,1226.119999999999,1220.589539999999,2367943.707599998,TSL Hit,1940,7.0,31.57258276799997,2017,1,SENSEX,7500000.0,22500000.0,1.0524194255999992,MTREND,,
1709,2017-01-24 09:15:00,LONG,2017-01-24 10:15:00,8434.35,8378.683289999999,8528.711249999998,2017-01-31 11:15:00,8561.7,127.35000000000036,123.95079000000035,74370.47400000022,MACD Reversal,600,5.0,7.437047400000021,2017,1,NIFTY,500000.0,1000000.0,0.37185237000000104,WAVE,300.0,37185.2370000001
10,2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,18977.75,18944.8,18944.8,2017-01-24 12:15:00,18944.8,-32.95000000000073,-36.742255000000725,-73300.79872500144,Initial SL hit,1995,5.066,-0.9773439830000192,2017,1,BANKNIFTY,7500000.0,22500000.0,-0.0325781327666673,MTREND,,
1710,2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,27268.5,27104.889,27476.67133333333,2017-02-01 09:15:00,27655.32,386.8199999999997,381.3276179999997,110585.0092199999,MACD Reversal,290,8.0,11.05850092199999,2017,1,SENSEX,500000.0,1000000.0,0.5529250460999996,WAVE,145.0,55292.50460999995
11,2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-109265.1187499959,Initial SL hit,5625,6.333,-1.4568682499999457,2017,1,NIFTY,7500000.0,22500000.0,-0.04856227499999818,MTREND,,
12,2017-01-24 13:15:00,LONG,2017-01-24 14:15:00,19013.15,18935.05,19601.18888888889,2017-01-30 15:15:00,19590.3,577.1499999999978,573.2896549999978,1143712.8617249955,TSL Hit,1995,5.066,15.24950482299994,2017,1,BANKNIFTY,7500000.0,22500000.0,0.5083168274333313,MTREND,,
13,2017-01-24 14:15:00,LONG,2017-01-24 15:15:00,8476.1,8454.5,8563.572499999998,2017-02-01 11:15:00,8547.1,71.0,67.59536,378534.016,TSL Hit,5600,6.333,5.047120213333334,2017,1,NIFTY,7500000.0,22500000.0,0.16823734044444444,MTREND,,
14,2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,19492.3,19442.9,19442.9,2017-01-31 12:15:00,19442.9,-49.39999999999782,-53.29351999999782,-103922.36399999577,Initial SL Hit,1950,5.066,-1.3856315199999434,2017,1,BANKNIFTY,7500000.0,22500000.0,-0.046187717333331456,MTREND,,
15,2017-01-31 15:15:00,LONG,2017-02-01 09:15:00,19543.45,19488.85,19488.85,2017-02-01 11:15:00,19488.85,-54.60000000000218,-58.50323000000218,-114081.29850000424,Initial SL Hit,1950,5.066,-1.5210839800000568,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.05070279933333523,MTREND,,
1711,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,28003.13,27835.111220000003,28123.293,2017-02-09 11:15:00,28221.6,218.46999999999755,212.8475269999975,61725.78282999928,MACD Reversal,290,8.0,6.172578282999928,2017,2,SENSEX,500000.0,1000000.0,0.3086289141499964,WAVE,145.0,30862.89141499964
16,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,19941.7,19470.95,20334.152777777777,2017-02-07 15:15:00,20308.3,366.59999999999854,362.57499999999857,690705.3749999973,TSL Hit,1905,5.066,9.209404999999965,2017,2,BANKNIFTY,7500000.0,22500000.0,0.3069801666666655,MTREND,,
17,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,8658.8,8540.7,8755.213749999999,2017-02-09 10:15:00,8742.1,83.30000000000109,79.81982000000109,437013.5145000059,TSL Hit,5475,6.333,5.826846860000079,2017,2,NIFTY,7500000.0,22500000.0,0.19422822866666928,MTREND,,
1712,2017-02-01 13:15:00,LONG,2017-02-01 14:15:00,8692.8,8635.42752,8755.213749999999,2017-02-09 10:15:00,8742.1,49.30000000000109,45.81302000000109,26342.486500000625,TSL Hit,575,5.0,2.6342486500000626,2017,2,NIFTY,500000.0,1000000.0,0.1317124325000031,WAVE,287.5,13171.243250000312
18,2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,20297.3,20268.35,20268.35,2017-02-08 13:15:00,20268.35,-28.950000000000728,-33.00656500000073,-61887.309375001365,Initial SL Hit,1875,5.066,-0.8251641250000182,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.02750547083333394,MTREND,,
19,2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,20300.1,20070.15,20070.15,2017-02-09 10:15:00,20070.15,-229.9499999999971,-233.9870249999971,-438725.6718749945,Initial SL Hit,1875,5.066,-5.849675624999927,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.1949891874999976,MTREND,,
20,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,8755.55,8724.1,8780.695,2017-02-13 11:15:00,8770.25,14.700000000000728,11.194840000000728,60732.00700000395,TSL Hit,5425,6.333,0.8097600933333859,2017,2,NIFTY,7500000.0,22500000.0,0.026992003111112862,MTREND,,
21,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,20108.3,20000.35,20221.766666666663,2017-02-10 14:15:00,20196.75,88.45000000000073,84.41949500000072,159552.84555000137,TSL Hit,1890,5.066,2.1273712740000184,2017,2,BANKNIFTY,7500000.0,22500000.0,0.07091237580000062,MTREND,,
1713,2017-02-09 14:15:00,LONG,2017-02-09 15:15:00,28334.77,28164.76138,28258.359333333334,2017-02-13 12:15:00,28236.79,-97.97999999999956,-103.63715599999956,-29018.40367999988,TSL Hit,280,8.0,-2.901840367999988,2017,2,SENSEX,500000.0,1000000.0,-0.14509201839999938,WAVE,140.0,-14509.20183999994
1714,2017-02-09 14:15:00,LONG,2017-02-09 15:15:00,8782.0,8724.0388,8780.695,2017-02-13 11:15:00,8770.25,-11.75,-15.26045,-8774.75875,TSL Hit,575,5.0,-0.877475875,2017,2,NIFTY,500000.0,1000000.0,-0.04387379375,WAVE,287.5,-4387.379375
22,2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,20194.2,20116.9,20235.38888888889,2017-02-14 11:15:00,20196.3,2.099999999998545,-1.939050000001456,-3635.7187500027294,TSL Hit,1875,5.066,-0.0484762500000363,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.00161587500000121,MTREND,,
23,2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,28264.45,28197.38,28340.41625,2017-02-14 11:15:00,28316.92,52.469999999997526,46.81186299999753,87070.0651799954,TSL Hit,1860,7.0,1.1609342023999387,2017,2,SENSEX,7500000.0,22500000.0,0.03869780674666462,MTREND,,
24,2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8763.65,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-233623.278,TSL Hit,5400,6.333,-3.1149770400000003,2017,2,NIFTY,7500000.0,22500000.0,-0.103832568,MTREND,,
1715,2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8745.694919999998,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-24876.552750000003,TSL Hit,575,5.0,-2.4876552750000003,2017,2,NIFTY,500000.0,1000000.0,-0.12438276374999999,WAVE,287.5,-12438.276375
1716,2017-02-13 14:15:00,LONG,2017-02-13 15:15:00,28360.7,28190.5358,28320.881666666664,2017-02-14 15:15:00,28297.35,-63.35000000000218,-69.01580500000219,-19324.42540000061,TSL Hit,280,8.0,-1.932442540000061,2017,2,SENSEX,500000.0,1000000.0,-0.09662212700000306,WAVE,140.0,-9662.212700000306
26,2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,20228.75,20158.85,20233.041666666668,2017-02-15 11:15:00,20158.85,-69.90000000000146,-73.93876000000145,-138635.17500000272,Initial SL hit,1875,5.066,-1.8484690000000363,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.061615633333334544,MTREND,,
25,2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,28352.03,28284.07,28284.07,2017-02-15 09:15:00,28284.07,-67.95999999999913,-73.62360999999913,-136203.6784999984,Initial SL Hit,1850,7.0,-1.8160490466666448,2017,2,SENSEX,7500000.0,22500000.0,-0.06053496822222152,MTREND,,
1717,2017-02-14 15:15:00,LONG,2017-02-15 09:15:00,28343.33,28173.27002,28173.27002,2017-02-15 09:15:00,28296.62,-46.710000000002765,-52.373995000002765,-14664.718600000777,MACD Reversal,280,8.0,-1.4664718600000777,2017,2,SENSEX,500000.0,1000000.0,-0.07332359300000388,WAVE,140.0,-7332.3593000003875
27,2017-02-15 12:15:00,LONG,2017-02-15 13:15:00,28175.41,28107.51,28107.51,2017-02-15 13:15:00,28107.51,-67.90000000000146,-73.52829200000146,-136762.6231200027,Initial SL Hit,1860,7.0,-1.823501641600036,2017,2,SENSEX,7500000.0,22500000.0,-0.06078338805333454,MTREND,,
28,2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,28203.81,28160.76,28745.90291666667,2017-02-28 14:15:00,28727.99,524.1800000000003,518.4868200000003,964385.4852000006,TSL Hit,1860,7.0,12.858473136000006,2017,2,SENSEX,7500000.0,22500000.0,0.4286157712000002,MTREND,,
1718,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8778.47712,8896.12125,2017-02-27 14:15:00,8899.15,62.35000000000037,58.80281000000036,33811.61575000021,MACD Reversal,575,5.0,3.381161575000021,2017,2,NIFTY,500000.0,1000000.0,0.16905807875000106,WAVE,287.5,16905.807875000104
1719,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,28530.13,28358.94922,28641.086333333336,2017-02-28 14:15:00,28727.99,197.86000000000053,192.1341880000006,53797.572640000166,MACD Reversal,280,8.0,5.379757264000016,2017,2,SENSEX,500000.0,1000000.0,0.2689878632000008,WAVE,140.0,26898.786320000083
30,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8814.35,8814.35,2017-02-17 13:15:00,8814.35,-22.44999999999891,-25.980229999998908,-139643.73624999414,Initial SL hit,5375,6.333,-1.8619164833332555,2017,2,NIFTY,7500000.0,22500000.0,-0.06206388277777517,MTREND,,
29,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,20707.2,20640.4,20640.4,2017-02-17 12:15:00,20640.4,-66.79999999999927,-70.93475999999927,-129810.61079999869,Initial SL hit,1830,5.066,-1.7308081439999825,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.05769360479999941,MTREND,,
31,2017-02-20 09:15:00,LONG,2017-02-20 10:15:00,20560.8,20472.4,20859.316666666666,2017-02-23 14:15:00,20844.95,284.15000000000146,280.00942500000144,516617.38912500266,TSL Hit,1845,5.066,6.8882318550000345,2017,2,BANKNIFTY,7500000.0,22500000.0,0.2296077285000012,MTREND,,
32,2017-02-20 10:15:00,LONG,2017-02-20 11:15:00,8840.7,8827.0,8897.61875,2017-02-27 15:15:00,8896.45,55.75,52.20257,280588.81375000003,TSL Hit,5375,6.333,3.7411841833333335,2017,2,NIFTY,7500000.0,22500000.0,0.12470613944444446,MTREND,,
33,2017-02-27 10:15:00,LONG,2017-02-27 11:15:00,20730.35,20669.65,20669.65,2017-02-27 14:15:00,20669.65,-60.69999999999709,-64.83999999999709,-118657.19999999469,Initial SL Hit,1830,5.066,-1.5820959999999291,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.05273653333333097,MTREND,,
34,2017-02-27 15:15:00,LONG,2017-02-28 09:15:00,20632.25,20584.75,20584.75,2017-02-28 11:15:00,20584.75,-47.5,-51.6217,-95242.0365,Initial SL Hit,1845,5.066,-1.26989382,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.042329794,MTREND,,
35,2017-02-28 11:15:00,LONG,2017-02-28 12:15:00,8894.5,8879.2,8879.2,2017-02-28 13:15:00,8879.2,-15.299999999999272,-18.85473999999927,-100872.8589999961,Initial SL Hit,5350,6.333,-1.3449714533332813,2017,2,NIFTY,7500000.0,22500000.0,-0.04483238177777604,MTREND,,
36,2017-02-28 13:15:00,LONG,2017-02-28 14:15:00,20614.4,20560.6,20724.55277777778,2017-03-02 14:15:00,20560.6,-53.80000000000291,-57.91750000000291,-106857.78750000538,Initial SL hit,1845,5.066,-1.4247705000000717,2017,2,BANKNIFTY,7500000.0,22500000.0,-0.04749235000000239,MTREND,,
37,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8927.35,8927.35,2017-03-01 12:15:00,8927.35,-9.399999999999636,-12.972819999999636,-69080.26649999806,Initial SL hit,5325,6.333,-0.9210702199999742,2017,3,NIFTY,7500000.0,22500000.0,-0.0307023406666658,MTREND,,
1720,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8877.76745,8930.06875,2017-03-02 14:15:00,8889.7,-47.04999999999927,-50.61528999999927,-27838.4094999996,TSL Hit,550,5.0,-2.78384094999996,2017,3,NIFTY,500000.0,1000000.0,-0.13919204749999797,WAVE,275.0,-13919.2047499998
38,2017-03-01 12:15:00,LONG,2017-03-01 13:15:00,28950.23,28917.73,28917.73,2017-03-02 14:15:00,28917.73,-32.5,-38.286796,-69299.10076,Initial SL hit,1810,7.0,-0.9239880101333332,2017,3,SENSEX,7500000.0,22500000.0,-0.03079960033777777,MTREND,,
1721,2017-03-01 12:15:00,LONG,2017-03-01 13:15:00,28950.23,28776.52862,28817.6595,2017-03-03 09:15:00,28776.52862,-173.7013799999986,-179.4740558619986,-50252.73564135961,Initial SL hit,280,8.0,-5.025273564135961,2017,3,SENSEX,500000.0,1000000.0,-0.25126367820679807,WAVE,140.0,-25126.367820679807
39,2017-03-01 13:15:00,LONG,2017-03-01 14:15:00,8942.45,8927.7,8930.06875,2017-03-02 14:15:00,8927.7,-14.75,-18.32403,-97117.359,Initial SL hit,5300,6.333,-1.2948981199999998,2017,3,NIFTY,7500000.0,22500000.0,-0.04316327066666667,MTREND,,
40,2017-03-02 15:15:00,LONG,2017-03-03 09:15:00,28841.04,28784.31,28784.31,2017-03-03 09:15:00,28784.31,-56.72999999999956,-62.49253499999956,-113736.4136999992,Initial SL Hit,1820,7.0,-1.5164855159999893,2017,3,SENSEX,7500000.0,22500000.0,-0.05054951719999965,MTREND,,
41,2017-03-03 12:15:00,LONG,2017-03-03 13:15:00,28761.13,28716.21,28920.663541666665,2017-03-08 10:15:00,28866.1,104.96999999999753,99.20727699999752,181549.31690999548,TSL Hit,1830,7.0,2.4206575587999395,2017,3,SENSEX,7500000.0,22500000.0,0.08068858529333132,MTREND,,
1722,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,29050.34,28876.03796,28920.518,2017-03-08 10:15:00,28876.03796,-174.30203999999867,-180.09467779599868,-50426.50978287963,Initial SL hit,280,8.0,-5.042650978287963,2017,3,SENSEX,500000.0,1000000.0,-0.2521325489143982,WAVE,140.0,-25213.25489143981
1723,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8901.11235,8927.73125,2017-03-08 10:15:00,8901.11235,-59.137650000000576,-62.70992247000058,-34490.45735850032,Initial SL hit,550,5.0,-3.4490457358500315,2017,3,NIFTY,500000.0,1000000.0,-0.17245228679250155,WAVE,275.0,-17245.228679250158
42,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8914.0,8927.73125,2017-03-08 10:15:00,8914.0,-46.25,-49.82485,-264071.705,Initial SL hit,5300,6.333,-3.520956066666667,2017,3,NIFTY,7500000.0,22500000.0,-0.11736520222222221,MTREND,,
43,2017-03-08 11:15:00,LONG,2017-03-08 12:15:00,28867.52,28815.48,28815.48,2017-03-09 09:15:00,28815.48,-52.04000000000087,-57.80830000000087,-105211.1060000016,Initial SL Hit,1820,7.0,-1.4028147466666878,2017,3,SENSEX,7500000.0,22500000.0,-0.04676049155555626,MTREND,,
44,2017-03-08 14:15:00,LONG,2017-03-08 15:15:00,20687.15,20628.2,20634.411111111112,2017-03-09 09:15:00,20628.2,-58.95000000000073,-63.08153500000073,-115439.20905000131,Initial SL hit,1830,5.066,-1.5391894540000175,2017,3,BANKNIFTY,7500000.0,22500000.0,-0.05130631513333391,MTREND,,
45,2017-03-09 10:15:00,LONG,2017-03-09 11:15:00,20705.35,20662.45,20662.45,2017-03-09 12:15:00,20662.45,-42.89999999999782,-47.03677999999782,-86077.307399996,Initial SL hit,1830,5.066,-1.147697431999947,2017,3,BANKNIFTY,7500000.0,22500000.0,-0.03825658106666488,MTREND,,
47,2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,28892.97,28855.87,28855.87,2017-03-09 13:15:00,28855.87,-37.10000000000218,-42.87488400000218,-78032.28888000398,Initial SL Hit,1820,7.0,-1.040430518400053,2017,3,SENSEX,7500000.0,22500000.0,-0.034681017280001766,MTREND,,
46,2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,8915.2,8905.6,8905.6,2017-03-09 13:15:00,8905.6,-9.600000000000364,-13.164160000000363,-70099.15200000194,Initial SL Hit,5325,6.333,-0.9346553600000258,2017,3,NIFTY,7500000.0,22500000.0,-0.031155178666667522,MTREND,,
