Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Initial Target,Exit Time,Exit Price,Points,Slippages,Remarks,Qty,PnL,PnL w cs,ROI%,Trade Year,ROI% w cs
SHORT,2017-01-02 11:15:00,2017-01-03 09:15:00,17845.35,18559.164,16060.814999999999,2017-01-11 09:15:00,18559.164,-713.8140000000021,3.6404514,Initial SL Hit,3362.2204103590016,-2400000.0000000075,-2412240.0000000075,-24.122400000000074,2017,-24.122400000000074
LONG,2017-01-02 14:15:00,2017-01-03 09:15:00,18052.85,17330.735999999997,19858.135,2017-01-20 10:15:00,18995.6,942.75,3.7048449999999997,Trailing SL Hit,3323.5749479999004,3133300.282226906,3120986.9521986833,31.209869521986832,2017,31.209869521986832
SHORT,2017-01-12 14:15:00,2017-01-13 09:15:00,18829.6,19582.784,16946.64,2017-01-24 15:15:00,19051.3,-221.70000000000073,3.7880899999999995,Trailing SL Hit,3186.4723626630416,-706440.9228023987,-718511.5668946789,-7.185115668946789,2017,-7.185115668946789
SHORT,2017-01-27 12:15:00,2017-01-30 09:15:00,19637.05,20422.532,17673.345,2017-02-06 09:15:00,20422.532,-785.482,4.005958199999999,Initial SL Hit,3055.448756305046,-2400000.0,-2412240.0,-24.1224,2017,-24.1224
LONG,2017-01-24 09:15:00,2017-01-24 12:15:00,18996.7,18236.832,20896.370000000003,2017-02-09 10:15:00,20052.35,1055.6499999999978,3.9049050000000003,Trailing SL Hit,3158.443308574647,3334210.678696819,3321877.257628949,33.21877257628949,2017,33.21877257628949
SHORT,2017-02-06 11:15:00,2017-02-06 13:15:00,20384.15,21199.516000000003,18345.735,2017-02-10 09:15:00,20281.7,102.45000000000073,4.066585000000001,Trailing SL Hit,2943.4634262404857,301557.8280183399,289587.98380114173,2.895879838011417,2017,2.895879838011417
SHORT,2017-02-10 15:15:00,2017-02-13 12:15:00,20181.4,20988.656000000003,18163.260000000002,2017-02-15 09:15:00,20305.6,-124.19999999999709,4.0487,Trailing SL Hit,2973.034576392123,-369250.89438789303,-381287.8194773318,-3.812878194773318,2017,-3.812878194773318
SHORT,2017-02-15 11:15:00,2017-02-16 09:15:00,20116.55,20921.212,18104.895,2017-02-16 11:15:00,20260.95,-144.40000000000146,4.03775,Trailing SL Hit,2982.6187890070614,-430690.153132624,-442733.2221479372,-4.4273322214793716,2017,-4.4273322214793716
LONG,2017-02-13 13:15:00,2017-02-13 15:15:00,20274.0,19463.04,22301.4,2017-02-27 14:15:00,20623.9,349.90000000000146,4.089790000000001,Trailing SL Hit,2959.455460195324,1035513.4655223482,1023409.914175796,10.234099141757959,2017,10.234099141757959
SHORT,2017-02-23 12:15:00,2017-02-23 14:15:00,20866.55,21701.212,18779.895,2017-03-01 09:15:00,20800.85,65.70000000000073,4.16674,Trailing SL Hit,2875.4154376262486,188914.79425204662,176933.68573147184,1.7693368573147186,2017,1.7693368573147186
LONG,2017-02-28 12:15:00,2017-02-28 14:15:00,20632.75,19807.44,22696.025,2017-03-02 12:15:00,20744.65,111.90000000000146,4.13774,Trailing SL Hit,2907.998206734439,325404.99933358794,313372.45883365464,3.1337245883365465,2017,3.1337245883365465
SHORT,2017-03-01 15:15:00,2017-03-02 12:15:00,20760.1,21590.504,18684.09,2017-03-08 09:15:00,20680.75,79.34999999999854,4.1440850000000005,Trailing SL Hit,2890.159488634448,229334.15542313922,217357.08883868152,2.173570888386815,2017,2.173570888386815
LONG,2017-03-03 09:15:00,2017-03-06 09:15:00,20572.85,19749.935999999998,22630.135000000002,2017-03-21 11:15:00,21017.3,444.4500000000007,4.159014999999999,Trailing SL Hit,2916.4651470262993,1296222.9345958408,1284093.3123023813,12.840933123023813,2017,12.840933123023813
SHORT,2017-03-10 11:15:00,2017-03-10 13:15:00,20703.5,21531.64,18633.15,2017-03-24 09:15:00,21105.3,-401.7999999999993,4.18088,Trailing SL Hit,2898.0607143719662,-1164440.795034654,-1176557.2391141574,-11.765572391141575,2017,-11.765572391141575
LONG,2017-03-21 13:15:00,2017-03-21 15:15:00,21043.45,20201.712,23147.795000000002,2017-03-27 11:15:00,21026.65,-16.799999999999272,4.20701,Trailing SL Hit,2851.243498570814,-47900.8907759876,-59896.10068691,-0.5989610068691,2017,-0.5989610068691
SHORT,2017-03-24 13:15:00,2017-03-27 09:15:00,21094.9,21938.696000000004,18985.410000000003,2017-03-27 13:15:00,21099.65,-4.75,4.219455000000001,Trailing SL Hit,2844.289378001318,-13510.37454550626,-25511.72558296081,-0.2551172558296081,2017,-0.2551172558296081
LONG,2017-03-28 09:15:00,2017-03-28 12:15:00,21238.9,20389.344,23362.790000000005,2017-04-07 14:15:00,21411.25,172.34999999999854,4.265015,Trailing SL Hit,2825.0050614674014,486889.62234390253,474840.9333816681,4.748409333816681,2017,4.748409333816681
SHORT,2017-03-29 14:15:00,2017-03-30 09:15:00,21338.15,22191.676000000003,19204.335000000003,2017-04-11 09:15:00,21602.8,-264.6499999999978,4.2940949999999996,Trailing SL Hit,2811.8651335753098,-744160.1076006996,-756234.5236114598,-7.562345236114598,2017,-7.562345236114598
LONG,2017-04-10 12:15:00,2017-04-10 14:15:00,21537.0,20675.52,23690.7,2017-04-19 09:15:00,21602.95,65.95000000000073,4.313995,Trailing SL Hit,2785.9033291544783,183730.32455773986,171711.9515252841,1.717119515252841,2017,1.717119515252841
SHORT,2017-04-12 13:15:00,2017-04-13 09:15:00,21640.1,22505.703999999998,19476.09,2017-04-24 09:15:00,21729.85,-89.75,4.336995,Trailing SL Hit,2772.6304407096086,-248843.58205368737,-260868.46641189273,-2.608684664118927,2017,-2.608684664118927
LONG,2017-04-20 13:15:00,2017-04-21 09:15:00,21542.6,20680.895999999997,23696.86,2017-05-12 11:15:00,22673.75,1131.1500000000015,4.421635,Trailing SL Hit,2785.1791334379323,3150455.376788321,3138140.3312506424,31.381403312506425,2017,31.381403312506425
SHORT,2017-04-26 12:15:00,2017-04-26 14:15:00,22186.0,23073.440000000002,19967.4,2017-05-15 09:15:00,22803.0,-617.0,4.4989,Trailing SL Hit,2704.4081853421076,-1668619.8503560803,-1680786.712341116,-16.80786712341116,2017,-16.80786712341116
LONG,2017-05-15 14:15:00,2017-05-16 09:15:00,22842.85,21929.136,25127.135000000002,2017-05-18 09:15:00,22755.3,-87.54999999999927,4.5598149999999995,Trailing SL Hit,2626.6424723710047,-229962.54845607956,-241939.55220123395,-2.4193955220123393,2017,-2.4193955220123393
SHORT,2017-05-15 13:15:00,2017-05-16 09:15:00,22764.85,23675.444,20488.364999999998,2017-05-19 09:15:00,22857.95,-93.10000000000218,4.56228,Trailing SL Hit,2635.642229138343,-245378.29153278546,-257402.82936193876,-2.5740282936193877,2017,-2.5740282936193877
