Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Initial Target,Exit Time,Exit Price,Points,Slippages,Remarks,Qty,PnL,PnL w cs,ROI%,Trade Year,ROI% w cs
LONG,2017-05-18 12:15:00,2017-05-19 09:15:00,22813.1,21900.575999999997,25094.41,2017-05-19 11:15:00,22682.2,-130.89999999999782,4.549530000000001,Trailing SL Hit,2630.067811915084,-344275.87657967873,-356241.4489920208,-3.562414489920208,2017,-3.562414489920208
SHORT,2017-05-22 10:15:00,2017-05-22 12:15:00,22751.6,23661.664,20476.44,2017-05-25 12:15:00,22815.75,-64.15000000000146,4.556735,Trailing SL Hit,2637.1771655619827,-169174.91517080503,-181191.83266232212,-1.811918326623221,2017,-1.811918326623221
LONG,2017-05-23 09:15:00,2017-05-23 13:15:00,22708.2,21799.872,24979.020000000004,2017-06-12 13:15:00,23494.0,785.7999999999993,4.62022,Trailing SL Hit,2642.217348799112,2076254.3926863405,2064046.7672470717,20.64046767247072,2017,20.64046767247072
SHORT,2017-05-26 13:15:00,2017-05-29 10:15:00,23245.3,24175.112,20920.77,2017-06-13 09:15:00,23537.55,-292.25,4.678285,Trailing SL Hit,2581.1669455760953,-754346.0398446139,-766421.4744485983,-7.664214744485983,2017,-7.664214744485983
LONG,2017-06-13 09:15:00,2017-06-13 11:15:00,23588.25,22644.719999999998,25947.075,2017-06-13 14:15:00,23507.6,-80.65000000000146,4.709585,Trailing SL Hit,2543.639311945566,-205144.5105084136,-217123.99605736276,-2.1712399605736277,2017,-2.1712399605736277
SHORT,2017-06-13 09:15:00,2017-06-14 09:15:00,23447.0,24384.88,21102.3,2017-06-19 09:15:00,23567.95,-120.95000000000073,4.7014949999999995,Trailing SL Hit,2558.962767091739,-309506.5466797477,-321537.4973344156,-3.215374973344156,2017,-3.215374973344156
LONG,2017-06-14 09:15:00,2017-06-14 13:15:00,23555.3,22613.088,25910.83,2017-06-23 11:15:00,23582.85,27.549999999999272,4.713814999999999,Trailing SL Hit,2547.1974460100278,70175.28963757442,58168.272108610654,0.5816827210861065,2017,0.5816827210861065
SHORT,2017-06-20 12:15:00,2017-06-20 15:15:00,23679.85,24627.043999999998,21311.864999999998,2017-07-05 09:15:00,23305.3,374.5499999999993,4.6985149999999996,Trailing SL Hit,2533.799834036111,949034.7278382236,937129.6313110074,9.371296313110074,2017,9.371296313110074
SHORT,2017-07-11 11:15:00,2017-07-11 14:15:00,23640.8,24586.432,21276.72,2017-07-25 09:15:00,24622.9,-982.1000000000022,4.82637,Gap SL,2537.9851781665598,-2492555.243477384,-2504804.4990017316,-25.048044990017317,2017,-25.048044990017317
LONG,2017-06-29 14:15:00,2017-07-03 10:15:00,23280.7,22349.472,25608.770000000004,2017-08-03 09:15:00,24799.25,1518.5499999999993,4.807995,Trailing SL Hit,2577.2420932360283,3913670.980683569,3901279.613585501,39.012796135855005,2017,39.012796135855005
SHORT,2017-07-27 12:15:00,2017-07-27 14:15:00,24910.1,25906.504,22419.09,2017-08-07 10:15:00,24937.7,-27.600000000002183,4.984780000000001,Trailing SL Hit,2408.6615469227345,-66479.05869507273,-78485.70660094224,-0.7848570660094224,2017,-0.7848570660094224
SHORT,2017-08-07 13:15:00,2017-08-08 09:15:00,24880.05,25875.252,22392.045,2017-08-16 14:15:00,24438.9,441.1499999999978,4.931895,Trailing SL Hit,2411.570716296792,1063864.4214943245,1051970.807936474,10.51970807936474,2017,10.51970807936474
LONG,2017-08-04 09:15:00,2017-08-04 13:15:00,24739.25,23749.68,27213.175000000003,2017-08-17 10:15:00,24288.3,-450.9500000000007,4.902755000000001,Trailing SL Hit,2425.2958355649425,-1093687.1570480126,-1105577.788332308,-11.05577788332308,2017,-11.05577788332308
SHORT,2017-08-17 11:15:00,2017-08-17 14:15:00,24274.85,25245.844,21847.364999999998,2017-08-21 09:15:00,24194.9,79.94999999999709,4.8469750000000005,Trailing SL Hit,2471.69395485451,197611.9316906109,185631.69288377996,1.8563169288377996,2017,1.8563169288377996
SHORT,2017-08-21 10:15:00,2017-08-21 12:15:00,24106.5,25070.760000000002,21695.850000000002,2017-08-23 09:15:00,24132.2,-25.700000000000728,4.82387,Trailing SL Hit,2488.955261029183,-63966.150208451814,-75972.54682347266,-0.7597254682347266,2017,-0.7597254682347266
LONG,2017-08-18 11:15:00,2017-08-18 13:15:00,24077.85,23114.735999999997,26485.635000000002,2017-08-29 10:15:00,24160.8,82.95000000000073,4.823865,Trailing SL Hit,2491.916844734891,206704.50227076103,194683.83182053396,1.9468383182053395,2017,1.9468383182053395
SHORT,2017-08-24 13:15:00,2017-08-24 15:15:00,24244.75,25214.54,21820.275,2017-08-30 09:15:00,24318.8,-74.04999999999927,4.856355000000001,Trailing SL Hit,2474.7625774652242,-183256.16886129807,-195274.4944781842,-1.9527449447818421,2017,-1.9527449447818421
LONG,2017-08-30 09:15:00,2017-08-30 11:15:00,24343.4,23369.664,26777.740000000005,2017-09-04 11:15:00,24202.25,-141.15000000000146,4.854565,Trailing SL Hit,2464.733767674195,-347897.1713072162,-359862.3815900855,-3.598623815900855,2017,-3.598623815900855
SHORT,2017-08-30 12:15:00,2017-08-30 14:15:00,24319.5,25292.280000000002,21887.55,2017-09-05 09:15:00,24345.25,-25.75,4.866475,Trailing SL Hit,2467.155985937211,-63529.266637883185,-75535.61956454697,-0.7553561956454697,2017,-0.7553561956454697
LONG,2017-09-04 14:15:00,2017-09-05 09:15:00,24262.95,23292.432,26689.245000000003,2017-09-05 11:15:00,24296.15,33.20000000000073,4.855910000000001,Trailing SL Hit,2472.906221213826,82100.48654430082,70092.2764956464,0.700922764956464,2017,0.700922764956464
LONG,2017-09-06 14:15:00,2017-09-07 09:15:00,24329.8,23356.608,26762.780000000002,2017-09-07 15:15:00,24290.0,-39.79999999999927,4.861980000000001,Trailing SL Hit,2466.1115175628242,-98151.23839899861,-110141.42327515871,-1.101414232751587,2017,-1.101414232751587
LONG,2017-09-08 12:15:00,2017-09-08 14:15:00,24370.65,23395.824,26807.715000000004,2017-09-21 09:15:00,24775.15,404.5,4.914580000000001,Trailing SL Hit,2461.9778298896417,995870.0321903601,983770.4451871411,9.83770445187141,2017,9.83770445187141
LONG,2017-09-21 12:15:00,2017-09-21 14:15:00,24805.8,23813.568,27286.38,2017-09-27 14:15:00,23813.568,-992.232,4.8619368000000005,Initial SL Hit,2418.7891541494328,-2400000.0,-2411760.0,-24.1176,2017,-24.1176
SHORT,2017-09-07 12:15:00,2017-09-07 15:15:00,24309.2,25281.568000000003,21878.280000000002,2017-10-03 14:15:00,24105.9,203.29999999999927,4.84151,Trailing SL Hit,2468.2013394105934,501785.33230217185,489835.51083540206,4.89835510835402,2017,4.89835510835402
LONG,2017-09-28 09:15:00,2017-09-28 14:15:00,23883.8,22928.447999999997,26272.18,2017-10-05 14:15:00,24040.25,156.45000000000073,4.7924050000000005,Trailing SL Hit,2512.1630561300967,393027.91013155546,380988.6073405423,3.809886073405423,2017,3.809886073405423
LONG,2017-10-06 10:15:00,2017-10-09 09:15:00,24238.6,23269.055999999997,26662.46,2017-10-11 13:15:00,24164.4,-74.19999999999709,4.8403,Trailing SL Hit,2475.3904928502475,-183673.97456948116,-195655.6071720242,-1.9565560717202422,2017,-1.9565560717202422
SHORT,2017-10-04 11:15:00,2017-10-04 14:15:00,24100.35,25064.363999999998,21690.315,2017-10-12 14:15:00,24356.9,-256.5500000000029,4.845725,Trailing SL Hit,2489.5904001394174,-638704.4171557748,-650768.2875974904,-6.507682875974903,2017,-6.507682875974903
LONG,2017-10-12 09:15:00,2017-10-12 12:15:00,24151.45,23185.392,26566.595,2017-10-18 09:15:00,24343.75,192.29999999999927,4.84952,Trailing SL Hit,2484.3228874456813,477735.29125580273,465687.5177266771,4.656875177266771,2017,4.656875177266771
SHORT,2017-10-13 15:15:00,2017-10-16 10:15:00,24646.35,25632.203999999998,22181.715,2017-10-25 09:15:00,24661.45,-15.100000000002183,4.93078,Trailing SL Hit,2434.4375536337025,-36760.007059874224,-48763.6830605802,-0.48763683060580204,2017,-0.48763683060580204
LONG,2017-10-23 11:15:00,2017-10-23 15:15:00,24115.05,23150.447999999997,26526.555,2017-11-07 13:15:00,25344.9,1229.8500000000022,4.945995,Trailing SL Hit,2488.0728010101575,3059956.334322348,3047650.338688915,30.476503386889153,2017,30.476503386889153
SHORT,2017-10-26 10:15:00,2017-10-27 09:15:00,24868.35,25863.084,22381.515,2017-11-10 13:15:00,25490.85,-622.5,5.03592,Trailing SL Hit,2412.7053061421448,-1501909.0530734851,-1514059.2439787926,-15.140592439787925,2017,-15.140592439787925
LONG,2017-11-08 09:15:00,2017-11-08 11:15:00,25384.95,24369.552,27923.445000000003,2017-11-13 14:15:00,25384.65,-0.2999999999992724,5.076960000000001,Trailing SL Hit,2363.605207022271,-709.0815621049616,-12709.010653948751,-0.12709010653948752,2017,-0.12709010653948752
SHORT,2017-11-13 11:15:00,2017-11-13 13:15:00,25454.55,26472.732,22909.095,2017-11-16 09:15:00,25368.35,86.20000000000073,5.0822899999999995,Trailing SL Hit,2357.1424362245652,203185.67800255923,191205.99657035948,1.9120599657035946,2017,1.9120599657035946
LONG,2017-11-15 10:15:00,2017-11-15 13:15:00,25311.8,24299.327999999998,27842.980000000003,2017-11-27 10:15:00,25729.4,417.6000000000022,5.10412,Trailing SL Hit,2370.43592316627,989894.0415142396,977795.0521100882,9.777950521100882,2017,9.777950521100882
SHORT,2017-11-17 12:15:00,2017-11-17 14:15:00,25842.9,26876.616,23258.61,2017-11-27 13:15:00,25771.0,71.90000000000146,5.161390000000001,Trailing SL Hit,2321.720859501062,166931.72979812973,154948.42297110957,1.5494842297110956,2017,1.5494842297110956
LONG,2017-11-27 10:15:00,2017-11-27 13:15:00,25764.95,24734.352,28341.445000000003,2017-11-29 15:15:00,25768.55,3.599999999998545,5.1533500000000005,Trailing SL Hit,2328.7450586940786,8383.482211295293,-3617.356136925837,-0.03617356136925837,2017,-0.03617356136925837
SHORT,2017-11-28 11:15:00,2017-11-28 13:15:00,25866.9,26901.576,23280.210000000003,2017-12-08 09:15:00,25265.6,601.3000000000029,5.11325,Trailing SL Hit,2319.566704939517,1394755.4596801384,1382894.9352261063,13.828949352261063,2017,13.828949352261063
LONG,2017-12-04 15:15:00,2017-12-05 13:15:00,25139.1,24133.535999999996,27653.010000000002,2017-12-12 14:15:00,25135.5,-3.599999999998545,5.0274600000000005,Trailing SL Hit,2386.720288315811,-8592.193037933446,-20591.333818629657,-0.20591333818629656,2017,-0.20591333818629656
SHORT,2017-12-11 13:15:00,2017-12-12 09:15:00,25319.75,26332.54,22787.775,2017-12-13 10:15:00,25216.05,103.70000000000073,5.05358,Trailing SL Hit,2369.691643874841,245737.0234698227,233761.5971721697,2.3376159717216973,2017,2.3376159717216973
LONG,2017-12-12 14:15:00,2017-12-13 10:15:00,25226.85,24217.775999999998,27749.535,2017-12-13 13:15:00,24955.9,-270.9499999999971,5.018275,Trailing SL Hit,2378.418232954174,-644432.4202189265,-656367.9769769047,-6.563679769769046,2017,-6.563679769769046
SHORT,2017-12-14 09:15:00,2017-12-14 11:15:00,24944.35,25942.124,22449.915,2017-12-14 14:15:00,25164.2,-219.85000000000218,5.010855,Trailing SL Hit,2405.3543187134565,-528817.1469691587,-540870.0286838555,-5.408700286838555,2017,-5.408700286838555
LONG,2017-12-14 09:15:00,2017-12-14 13:15:00,25069.2,24066.432,27576.120000000003,2017-12-26 12:15:00,25563.1,493.8999999999978,5.063230000000001,Trailing SL Hit,2393.3751376190703,1182087.9804700536,1169969.7716720067,11.699697716720067,2017,11.699697716720067
SHORT,2017-12-15 13:15:00,2017-12-18 09:15:00,25415.75,26432.38,22874.175,2018-01-04 14:15:00,25466.65,-50.900000000001455,5.088240000000001,Trailing SL Hit,2360.740879179249,-120161.71075022721,-132173.72692130224,-1.3217372692130223,2017,-1.3217372692130223
SHORT,2018-01-09 13:15:00,2018-01-10 09:15:00,25629.85,26655.043999999998,23066.864999999998,2018-01-18 09:15:00,26762.25,-1132.4000000000015,5.23921,Gap SL,2341.0203337124485,-2650971.42589598,-2663236.52303857,-26.632365230385698,2018,-26.632365230385698
LONG,2017-12-28 09:15:00,2017-12-28 14:15:00,25540.45,24518.832,28094.495000000003,2018-01-31 10:15:00,27186.55,1646.0999999999985,5.2727,Trailing SL Hit,2349.214677110231,3867042.279991148,3854655.575763149,38.546555757631495,2017,38.546555757631495
SHORT,2018-01-18 11:15:00,2018-01-18 14:15:00,26685.45,27752.868000000002,24016.905000000002,2018-01-31 14:15:00,27381.2,-695.75,5.406665,Trailing SL Hit,2248.416271788559,-1564335.6210968897,-1576492.0546589994,-15.764920546589995,2018,-15.764920546589995
LONG,2018-01-31 12:15:00,2018-01-31 14:15:00,27243.25,26153.52,29967.575,2018-02-01 14:15:00,27200.2,-43.04999999999927,5.444345,Trailing SL Hit,2202.3804061556534,-94812.47648499928,-106802.99523735077,-1.0680299523735077,2018,-1.0680299523735077
SHORT,2018-02-01 09:15:00,2018-02-01 11:15:00,27334.85,28428.244,24601.364999999998,2018-02-23 10:15:00,25189.35,2145.5,5.25242,Trailing SL Hit,2195.000155479178,4709372.833580576,4697843.770863934,46.97843770863934,2018,46.97843770863934
LONG,2018-02-07 12:15:00,2018-02-07 14:15:00,25813.95,24781.392,28395.345000000005,2018-02-28 09:15:00,25071.25,-742.7000000000007,5.08852,Trailing SL Hit,2324.3246384222484,-1726275.9089562057,-1738103.28136531,-17.3810328136531,2018,-17.3810328136531
LONG,2018-02-28 10:15:00,2018-02-28 14:15:00,25142.4,24136.704,27656.640000000003,2018-03-07 11:15:00,24136.704,-1005.6959999999999,4.927910400000001,Initial SL Hit,2386.407025582283,-2399999.9999999995,-2411759.9999999995,-24.117599999999992,2018,-24.117599999999992
SHORT,2018-02-27 10:15:00,2018-02-27 13:15:00,25429.15,26446.316000000003,22886.235,2018-03-12 14:15:00,24685.25,743.9000000000015,5.01144,Trailing SL Hit,2359.4968766160096,1755229.7265146528,1743405.2494873044,17.434052494873043,2018,17.434052494873043
LONG,2018-03-07 13:15:00,2018-03-08 09:15:00,24276.8,23305.728,26704.48,2018-03-16 14:15:00,24468.25,191.45000000000073,4.874505,Trailing SL Hit,2471.495419495156,473167.79806234944,461120.4812825432,4.611204812825433,2018,4.611204812825433
SHORT,2018-03-13 11:15:00,2018-03-13 13:15:00,24867.35,25862.043999999998,22380.614999999998,2018-03-26 14:15:00,24261.45,605.8999999999978,4.91288,Trailing SL Hit,2412.802329158515,1461916.931237139,1450063.1229302627,14.500631229302627,2018,14.500631229302627
LONG,2018-03-20 09:15:00,2018-03-20 11:15:00,24269.6,23298.816,26696.56,2018-04-02 09:15:00,24136.25,-133.34999999999854,4.840585,Trailing SL Hit,2472.22863170386,-329671.68803770613,-341638.7208689024,-3.416387208689024,2018,-3.416387208689024
LONG,2018-04-02 13:15:00,2018-04-02 15:15:00,24349.5,23375.52,26784.45,2018-04-04 14:15:00,24148.45,-201.04999999999927,4.849795,Trailing SL Hit,2464.1163062896567,-495410.58337953367,-507361.0423211957,-5.0736104232119565,2018,-5.0736104232119565
SHORT,2018-03-28 09:15:00,2018-03-28 14:15:00,24229.8,25198.992,21806.82,2018-04-05 09:15:00,24470.15,-240.35000000000218,4.869995,Trailing SL Hit,2476.289527771587,-595176.1879999064,-607235.7056187063,-6.072357056187062,2018,-6.072357056187062
LONG,2018-04-05 10:15:00,2018-04-05 13:15:00,24521.7,23540.832,26973.870000000003,2018-04-18 14:15:00,25121.95,600.25,4.964365000000001,Trailing SL Hit,2446.812415126194,1468699.152179498,1456552.28226428,14.5655228226428,2018,14.5655228226428
SHORT,2018-04-10 13:15:00,2018-04-11 09:15:00,25166.9,26173.576,22650.210000000003,2018-04-26 15:15:00,25017.6,149.3000000000029,5.0184500000000005,Trailing SL Hit,2384.083856176168,355943.71972710884,343979.3140990815,3.4397931409908153,2018,3.4397931409908153
SHORT,2018-05-02 09:15:00,2018-05-02 14:15:00,25508.0,26528.32,22957.2,2018-05-14 10:15:00,26528.32,-1020.3199999999997,5.203632,Initial SL Hit,2352.203230359103,-2399999.9999999995,-2412239.9999999995,-24.122399999999995,2018,-24.122399999999995
LONG,2018-04-19 12:15:00,2018-04-19 15:15:00,25152.8,24146.688,27668.08,2018-05-16 09:15:00,26172.7,1019.9000000000015,5.13255,Trailing SL Hit,2385.4203110588087,2432890.1752488823,2420646.8862313577,24.206468862313578,2018,24.206468862313578
SHORT,2018-05-16 09:15:00,2018-05-16 14:15:00,26112.1,27156.584,23500.89,2018-05-24 14:15:00,26020.1,92.0,5.21322,Trailing SL Hit,2297.785317917747,211396.24924843272,199417.38887335753,1.9941738887335752,2018,1.9941738887335752
LONG,2018-05-18 14:15:00,2018-05-21 09:15:00,25949.6,24911.615999999998,28544.56,2018-06-04 12:15:00,26391.5,441.90000000000146,5.23411,Trailing SL Hit,2312.1743687763974,1021749.8535622933,1009647.6785769372,10.096476785769372,2018,10.096476785769372
SHORT,2018-05-29 09:15:00,2018-05-29 11:15:00,26429.5,27486.68,23786.55,2018-06-07 09:15:00,26619.05,-189.54999999999927,5.304855000000001,Trailing SL Hit,2270.190506820031,-430314.61056773516,-442357.64202879195,-4.42357642028792,2018,-4.42357642028792
LONG,2018-06-05 14:15:00,2018-06-06 09:15:00,26278.05,25226.928,28905.855000000003,2018-06-08 09:15:00,26368.55,90.5,5.26466,Trailing SL Hit,2283.274443879968,206636.33717113713,194615.67353742,1.9461567353742,2018,1.9461567353742
SHORT,2018-06-08 09:15:00,2018-06-08 12:15:00,26291.05,27342.692,23661.945,2018-06-11 09:15:00,26607.55,-316.5,5.28986,Trailing SL Hit,2282.145444932781,-722299.0333212252,-734371.2632245573,-7.343712632245573,2018,-7.343712632245573
LONG,2018-06-08 14:15:00,2018-06-11 09:15:00,26480.6,25421.375999999997,29128.66,2018-06-11 14:15:00,26438.55,-42.04999999999927,5.2919149999999995,Trailing SL Hit,2265.8096870916825,-95277.2973422036,-107267.76961246939,-1.072677696124694,2018,-1.072677696124694
LONG,2018-06-12 10:15:00,2018-06-12 12:15:00,26600.3,25536.287999999997,29260.33,2018-06-15 11:15:00,26493.3,-107.0,5.30936,Trailing SL Hit,2255.6136584925734,-241350.66145870535,-253326.5263925595,-2.533265263925595,2018,-2.533265263925595
SHORT,2018-06-11 11:15:00,2018-06-11 14:15:00,26538.5,27600.04,23884.65,2018-06-20 14:15:00,26557.45,-18.950000000000728,5.309595,Trailing SL Hit,2260.866288599582,-42843.41616896372,-54847.700510580624,-0.5484770051058062,2018,-0.5484770051058062
LONG,2018-06-19 14:15:00,2018-06-20 09:15:00,26350.75,25296.719999999998,28985.825,2018-06-21 11:15:00,26480.5,129.75,5.283125,Trailing SL Hit,2276.9750386611386,295437.5112662827,283407.9675151561,2.834079675151561,2018,2.834079675151561
SHORT,2018-06-21 11:15:00,2018-06-21 14:15:00,26474.35,27533.324,23826.915,2018-06-22 12:15:00,26504.65,-30.30000000000291,5.2979,Trailing SL Hit,2266.3445939182643,-68670.24119573,-80677.10821984957,-0.8067710821984957,2018,-0.8067710821984957
LONG,2018-06-22 09:15:00,2018-06-22 13:15:00,26524.6,25463.615999999998,29177.06,2018-06-27 11:15:00,26440.9,-83.69999999999709,5.29655,Trailing SL Hit,2262.0510771133213,-189333.6751543784,-201314.74178686296,-2.0131474178686295,2018,-2.0131474178686295
SHORT,2018-06-25 14:15:00,2018-06-26 09:15:00,26573.05,27635.972,23915.745,2018-07-04 14:15:00,26451.05,122.0,5.30241,Trailing SL Hit,2257.926734040692,275467.0615529644,263494.60825911973,2.6349460825911972,2018,2.6349460825911972
LONG,2018-06-27 14:15:00,2018-06-28 09:15:00,26483.2,25423.872,29131.520000000004,2018-07-16 09:15:00,26778.7,295.5,5.32619,Trailing SL Hit,2265.587240212663,669481.0294828418,657414.0813798936,6.574140813798936,2018,6.574140813798936
SHORT,2018-07-05 14:15:00,2018-07-06 09:15:00,26482.15,27541.436,23833.935,2018-07-17 13:15:00,26895.3,-413.1499999999978,5.337745,Trailing SL Hit,2265.6770692711884,-936064.4811693865,-948158.0876175035,-9.481580876175034,2018,-9.481580876175034
LONG,2018-07-16 12:15:00,2018-07-17 09:15:00,26795.0,25723.2,29474.500000000004,2018-07-18 14:15:00,26877.1,82.09999999999854,5.36721,Trailing SL Hit,2239.223735771599,183840.268706845,171821.88467997432,1.7182188467997432,2018,1.7182188467997432
SHORT,2018-07-18 14:15:00,2018-07-19 09:15:00,26835.9,27909.336000000003,24152.31,2018-07-23 13:15:00,26970.4,-134.5,5.380630000000001,Trailing SL Hit,2235.810984539367,-300716.57742054487,-312746.6490782869,-3.1274664907828686,2018,-3.1274664907828686
LONG,2018-07-20 12:15:00,2018-07-20 14:15:00,26875.05,25800.048,29562.555,2018-08-02 09:15:00,27416.9,541.8500000000022,5.429195,Trailing SL Hit,2232.5539859460728,1209709.3772848845,1197588.4063471558,11.97588406347156,2018,11.97588406347156
