,Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI,Datetime
0,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000CE,09:16:00,15:22:00,58.0,105.3,-166.6666667,-7883.333333,-47.3,-0.007883333333,2017-01-05 09:16:00
1,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000PE,09:16:00,15:22:00,50.0,0.05,-166.6666667,8325.0,49.95,0.008325,2017-01-05 09:16:00
2,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900PE,09:16:00,15:22:00,18.35,0.05,-167.5977654,3067.039106,18.3,0.003067039106,2017-01-05 09:16:00
3,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200PE,09:16:00,15:22:00,192.55,73.45,-164.8351648,19631.86813,119.1,0.01963186813,2017-01-05 09:16:00
4,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900CE,09:16:00,15:22:00,117.65,195.0,-167.5977654,-12963.68715,-77.35,-0.01296368715,2017-01-05 09:16:00
5,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800PE,09:16:00,13:56:00,4.95,0.1,-168.5393258,817.4157303,4.85,0.0008174157303,2017-01-05 09:16:00
6,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200CE,09:16:00,15:22:00,7.35,0.05,-164.8351648,1203.296703,7.3,0.001203296703,2017-01-05 09:16:00
7,2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,18300CE,09:16:00,15:22:00,2.3,0.05,819.6721311,-1844.262295,-2.25,-0.001844262295,2017-01-05 09:16:00
8,2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,17700PE,09:16:00,15:22:00,1.1,0.05,847.4576271,-889.8305085,-1.05,-0.0008898305084999999,2017-01-05 09:16:00
9,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100PE,09:16:00,15:22:00,111.4,0.2,-165.7458564,18430.93923,111.2,0.01843093923,2017-01-05 09:16:00
10,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100CE,09:16:00,15:22:00,22.65,8.6,-165.7458564,2328.729282,14.05,0.0023287292819999996,2017-01-05 09:16:00
11,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800CE,09:16:00,13:56:00,200.0,302.65,-168.5393258,-17300.5618,-102.65,-0.0173005618,2017-01-05 09:16:00
12,2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300CE,13:56:00,15:22:00,0.6,0.05,-163.9344262,90.16393443,0.55,9.016393443e-05,2017-01-05 13:56:00
13,2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300PE,13:56:00,15:22:00,170.0,174.3,-163.9344262,-704.9180328,-4.3,-0.0007049180328,2017-01-05 13:56:00
14,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000CE,09:16:00,,10.55,10000.0,-157.8947368,0.0,-9989.45,0.0,2017-01-12 09:16:00
