,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,DD%,Prof Loss Remark,Max High,Max Unrealised Profit,Value At Risk,Max nR,Booked nR,Booked nR w CS
52,LONG,2019-05-20 17:00:00+05:30,2019-05-20 21:00:00+05:30,31536,31062.96,2019-07-01 09:00:00+05:30,33693.0,Trailing SL Hit,2157.0,2137.4313,211.39861322509685,10,455986.8087265339,451850.012683916,45.59868087265339,45.1850012683916,2019,0.0,Profitable,34893.0,709665.1445966501,100000.0,7.0966514459665015,4.559868087265339,4.51850012683916
53,LONG,2019-07-01 13:00:00+05:30,2019-07-01 17:00:00+05:30,33817,33309.745,2019-07-25 17:00:00+05:30,34905.0,Trailing SL Hit,1088.0,1067.3834,197.13950577126005,10,214487.78227913094,210423.43594444715,21.448778227913092,21.042343594444713,2019,0.0,Profitable,35409.0,313846.093187846,100000.0,3.13846093187846,2.144877822791309,2.1042343594444715
54,LONG,2019-07-26 21:00:00+05:30,2019-07-29 09:00:00+05:30,34798,34276.03,2019-09-06 09:00:00+05:30,38553.0,Trailing SL Hit,3755.0,3732.9947,191.58189167959802,10,719390.0032568906,715174.1862559136,71.93900032568907,71.51741862559135,2019,0.0,Profitable,39885.0,974577.0829741152,100000.0,9.74577082974115,7.193900032568907,7.151741862559135
55,LONG,2019-09-12 13:00:00+05:30,2019-09-12 17:00:00+05:30,37950,37380.75,2019-09-24 09:00:00+05:30,37863.0,RSI Overbought,-87.0,-109.7439,175.66974088713218,10,-15283.2674571805,-19278.682476943344,-1.52832674571805,-1.9278682476943345,2019,-1.9278682476943345,Lossy,38228.0,48836.18796662275,99999.99999999999,0.4883618796662275,-0.152832674571805,-0.19278682476943346
56,LONG,2019-10-10 21:00:00+05:30,2019-10-11 09:00:00+05:30,38180,37607.3,2019-10-11 17:00:00+05:30,37756.0,Trailing SL Hit,-424.0,-446.7808,174.61148943600577,10,-74035.27152086644,-78013.0609394102,-7.403527152086644,-7.801306093941021,2019,-9.729174341635371,Lossy,38350.0,29683.953204120982,100000.0,0.29683953204120983,-0.7403527152086644,-0.7801306093941021
57,LONG,2019-10-28 21:00:00+05:30,2019-10-29 09:00:00+05:30,37964,37394.54,2019-11-05 17:00:00+05:30,38020.0,Trailing SL Hit,56.0,33.204800000000006,175.6049590840448,10,9833.877708706508,5830.927545393892,0.9833877708706508,0.5830927545393891,2019,-9.146081587095978,Profitable,38603.0,112211.56885470463,100000.0,1.1221156885470462,0.09833877708706508,0.058309275453938915
58,LONG,2019-11-06 09:00:00+05:30,2019-11-06 13:00:00+05:30,38049,37478.265,2019-11-08 17:00:00+05:30,37478.265,Initial SL Hit,-570.7350000000006,-593.3931795000005,175.21266437138058,10,-100000.0,-103969.99999999999,-10.0,-10.396999999999998,2019,-19.54308158709597,Lossy,38286.0,41525.4014560172,100000.0,0.415254014560172,-1.0,-1.0396999999999998
59,LONG,2019-12-09 13:00:00+05:30,2019-12-09 17:00:00+05:30,37675,37109.875,2019-12-12 17:00:00+05:30,37493.0,RSI Overbought,-182.0,-204.5504,176.95200176952002,10,-32205.264322052644,-36195.602742756026,-3.2205264322052645,-3.6195602742756026,2019,-23.162641861371583,Lossy,38068.0,69542.13669542137,100000.0,0.6954213669542137,-0.32205264322052646,-0.3619560274275603
60,LONG,2020-01-01 13:00:00+05:30,2020-01-02 09:00:00+05:30,39110,38523.35,2020-01-13 21:00:00+05:30,39548.0,Trailing SL Hit,438.0,414.4026,170.45938805079646,10,74661.21196624885,70638.813602659,7.4661211966248855,7.063881360265899,2020,-16.098760501105687,Profitable,41293.0,372112.8441148887,100000.0,3.721128441148887,0.7466121196624885,0.7063881360265899
61,LONG,2020-01-14 13:00:00+05:30,2020-01-14 17:00:00+05:30,39484,38891.74,2020-01-15 17:00:00+05:30,39549.0,RSI Overbought,65.0,41.2901,168.84476412386394,10,10974.909668051156,6971.617195150755,1.0974909668051156,0.6971617195150754,2020,-15.401598781590621,Profitable,39708.0,37821.22716374552,100000.0,0.3782122716374552,0.10974909668051155,0.06971617195150755
62,LONG,2020-02-12 09:00:00+05:30,2020-02-12 13:00:00+05:30,40438,39831.43,2020-02-28 21:00:00+05:30,41300.0,Trailing SL Hit,862.0,837.4786,164.8614339647527,10,142110.55607761684,138067.92291079354,14.211055607761685,13.806792291079354,2020,-1.594806490511246,Profitable,43788.0,552285.8037819215,100000.0,5.522858037819215,1.4211055607761685,1.3806792291079355
63,LONG,2020-03-13 13:00:00+05:30,2020-03-13 17:00:00+05:30,41960,41330.6,2020-03-13 21:00:00+05:30,41330.6,Initial SL Hit,-629.4000000000015,-654.3871800000014,158.88147442008224,10,-100000.0,-103969.99999999999,-10.0,-10.396999999999998,2020,-11.991806490511237,Lossy,42039.0,12551.636479186496,100000.0,0.12551636479186495,-1.0,-1.0396999999999998
64,LONG,2020-05-19 13:00:00+05:30,2020-05-19 17:00:00+05:30,46778,46076.33,2020-05-26 17:00:00+05:30,46357.0,Trailing SL Hit,-421.0,-448.9405,142.51713768580709,10,-59999.71496572479,-63981.71505123507,-5.999971496572479,-6.398171505123507,2020,-18.38997799563475,Lossy,47354.0,82089.87130702488,100000.00000000001,0.8208987130702486,-0.5999971496572478,-0.6398171505123507
65,LONG,2020-05-27 13:00:00+05:30,2020-05-27 17:00:00+05:30,46185,45492.225,2020-05-28 21:00:00+05:30,46302.0,RSI Overbought,117.0,89.2539,144.34701021255066,10,16888.600194868428,12883.533614809976,1.6888600194868426,1.2883533614809977,2020,-17.10162463415378,Profitable,46860.0,97434.23189347169,99999.99999999999,0.974342318934717,0.16888600194868425,0.12883533614809978
66,LONG,2020-06-03 21:00:00+05:30,2020-06-04 09:00:00+05:30,46039,45348.415,2020-06-05 09:00:00+05:30,46364.0,RSI Overbought,325.0,297.2791,144.80476697292895,10,47061.54926620191,43047.430801422044,4.706154926620191,4.304743080142205,2020,-12.796881554011577,Profitable,46750.0,102956.18931775248,100000.00000000001,1.0295618931775246,0.4706154926620191,0.4304743080142205
67,LONG,2020-06-25 21:00:00+05:30,2020-06-26 09:00:00+05:30,47998,47278.03,2020-07-06 09:00:00+05:30,48040.0,Trailing SL Hit,42.0,13.188600000000001,138.8946761670623,10,5833.576399016617,1831.826326096918,0.5833576399016617,0.18318263260969178,2020,-12.613698921401863,Profitable,48982.0,136672.3613483893,100000.0,1.366723613483893,0.05833576399016617,0.018318263260969178
