Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Slippage,Rollover Slippage,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,Duration
LONG,2015-03-03 13:00:00+05:30,2015-03-03 17:00:00+05:30,26533,26135.005,2015-03-06 21:00:00+05:30,26135.005,Initial SL Hit,-397.994999999999,31.600803,0.0,-429.59580299999897,251.25943793263798,6,-100000.0,-107940.00000000001,-10.0,-10.794000000000002,2015,3 days
LONG,2015-03-11 21:00:00+05:30,2015-03-12 09:00:00+05:30,25750,25363.75,2015-04-09 09:00:00+05:30,26506.0,Trailing SL Hit,756.0,31.353599999999997,261.28000000000003,463.36639999999994,258.8996763754045,6,195728.15533980582,187610.7184466019,19.57281553398058,11.996541100323624,2015,28 days
LONG,2015-06-04 21:00:00+05:30,2015-06-05 09:00:00+05:30,26868,26464.98,2015-06-11 13:00:00+05:30,26853.0,Trailing SL Hit,-15.0,32.2326,0.0,-47.2326,248.12664383901517,6,-3721.8996575852275,-11719.666517790667,-0.37218996575852276,-1.1719666517790668,2015,6 days
LONG,2015-06-17 13:00:00+05:30,2015-06-17 17:00:00+05:30,26892,26488.62,2015-06-22 13:00:00+05:30,26915.0,Trailing SL Hit,23.0,32.2842,0.0,-9.284199999999998,247.90520105111742,6,5701.8196241757005,-2301.601467598784,0.57018196241757,-0.23016014675987842,2015,5 days
LONG,2015-07-30 13:00:00+05:30,2015-07-30 17:00:00+05:30,24640,24270.4,2015-08-27 21:00:00+05:30,26291.0,Trailing SL Hit,1651.0,30.5586,254.655,1365.7864,270.5627705627716,6,446699.13419913594,438431.1147186164,44.66991341991359,36.95309523809538,2015,28 days
LONG,2015-09-03 21:00:00+05:30,2015-09-04 09:00:00+05:30,26430,26033.55,2015-09-09 21:00:00+05:30,26033.55,Initial SL Hit,-396.4500000000007,31.47813,0.0,-427.92813000000075,252.23861773237437,6,-100000.0,-107939.99999999999,-10.0,-10.793999999999999,2015,5 days
LONG,2015-09-22 21:00:00+05:30,2015-09-23 09:00:00+05:30,26280,25885.8,2015-09-30 09:00:00+05:30,26291.0,Trailing SL Hit,11.0,31.542599999999997,0.0,-20.542599999999997,253.67833587011623,6,2790.4616945712787,-5211.212582445449,0.27904616945712785,-0.5211212582445448,2015,7 days
LONG,2015-10-01 13:00:00+05:30,2015-10-01 17:00:00+05:30,26054,25663.19,2015-10-22 21:00:00+05:30,26855.0,Trailing SL Hit,801.0,31.745399999999997,0.0,769.2546,255.87881579283965,6,204958.93145006456,196835.95609119453,20.495893145006455,19.683595609119454,2015,21 days
LONG,2015-10-22 21:00:00+05:30,2015-10-23 09:00:00+05:30,26923,26519.155,2015-10-23 17:00:00+05:30,26767.0,Trailing SL Hit,-156.0,32.214,0.0,-188.214,247.61975510406148,6,-38628.68179623359,-46605.504587155825,-3.8628681796233595,-4.660550458715583,2015,0 days
LONG,2015-11-17 13:00:00+05:30,2015-11-17 17:00:00+05:30,25300,24920.5,2015-12-01 21:00:00+05:30,25240.0,Trailing SL Hit,-60.0,30.323999999999998,0.0,-90.324,263.5046113306983,6,-15810.276679841898,-23800.790513833992,-1.5810276679841897,-2.3800790513833996,2015,14 days
