,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
0,LONG,2022-01-10 12:15:00+05:30,2022-01-10 13:15:00+05:30,7730.7,7707.65,2022-01-11 14:15:00+05:30,7773.8,Reversed,43.100000000000364,36.898200000000365,517.4175689135525,4,22300.6972201743,19091.776941286233,2.23006972201743,1.9091776941286231,2022
1,SHORT,2022-01-11 13:15:00+05:30,2022-01-11 14:15:00+05:30,7773.8,7794.8,2022-01-12 09:15:00+05:30,7812.85,Gap Outside Initial SL,-39.05000000000018,-45.28466000000018,514.5488692788598,4,-20093.133345339567,-23301.170598677705,-2.0093133345339567,-2.3301170598677703,2022
2,SHORT,2022-01-12 10:15:00+05:30,2022-01-12 11:15:00+05:30,7815.65,7837.85,2022-01-12 12:15:00+05:30,7837.85,Initial SL Hit,-22.200000000000728,-28.46140000000073,511.7936448024157,4,-11361.818914614001,-14566.363642179847,-1.1361818914614001,-1.4566363642179847,2022
3,LONG,2022-01-13 10:15:00+05:30,2022-01-13 11:15:00+05:30,7895.45,7840.05,2022-01-13 13:15:00+05:30,7888.55,Reversed,-6.899999999999636,-13.213599999999637,506.62090191186064,4,-3495.684223191654,-6694.285949502378,-0.34956842231916535,-0.6694285949502378,2022
4,LONG,2022-01-13 12:15:00+05:30,2022-01-13 13:15:00+05:30,7888.55,7921.35,2022-01-13 13:15:00+05:30,7921.35,Initial SL Hit,32.80000000000018,26.476040000000182,507.06403584942734,4,16631.70037586131,13425.047695710964,1.663170037586131,1.3425047695710963,2022
5,SHORT,2022-01-13 12:15:00+05:30,2022-01-13 13:15:00+05:30,7888.55,7921.35,2022-01-13 13:15:00+05:30,7921.35,Initial SL Hit,-32.80000000000018,-39.12396000000018,507.06403584942734,4,-16631.70037586131,-19838.353056011652,-1.663170037586131,-1.983835305601165,2022
6,LONG,2022-01-14 12:15:00+05:30,2022-01-14 13:15:00+05:30,7931.5,7899.55,2022-01-17 11:15:00+05:30,7936.65,Reversed,5.149999999999636,-1.1972600000003641,504.3182247998487,4,2597.2388577190372,-603.8000378240505,0.25972388577190375,-0.06038000378240505,2022
7,SHORT,2022-01-17 10:15:00+05:30,2022-01-17 11:15:00+05:30,7936.65,7977.0,2022-01-17 14:15:00+05:30,7953.85,Reversed,-17.200000000000728,-23.55620000000073,503.99097856148376,4,-8668.644831257887,-11872.11228919039,-0.8668644831257887,-1.187211228919039,2022
8,LONG,2022-01-17 13:15:00+05:30,2022-01-17 14:15:00+05:30,7953.85,7927.9,2022-01-18 09:15:00+05:30,7935.95,Reversed,-17.900000000000546,-24.255920000000547,502.9011107828284,4,-9001.929883012903,-12198.329111059698,-0.9001929883012904,-1.21983291110597,2022
9,SHORT,2022-01-17 15:15:00+05:30,2022-01-18 09:15:00+05:30,7935.95,7958.35,2022-01-18 09:15:00+05:30,7969.8,Gap Outside Initial SL,-33.850000000000364,-40.21230000000036,504.0354336909885,4,-17061.599430440143,-20268.42407021232,-1.7061599430440142,-2.026842407021232,2022
