,index,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,Index,DD%
15,15,LONG,2017-01-23 14:15:00+05:30,2017-01-23 15:15:00+05:30,18836.15,18738.1,2017-01-27 15:15:00+05:30,19691.55,Reversed,855.3999999999978,851.5472299999979,212.3576208513948,4,181650.70887628265,180832.54380539505,18.165070887628264,9.041627190269752,2017,BANKNIFTY,0.0
16,16,SHORT,2017-01-27 14:15:00+05:30,2017-01-27 15:15:00+05:30,19691.55,19794.95,2017-01-30 11:15:00+05:30,19689.8,Reversed,1.75,-2.188135,203.13281585248492,4,355.48242774184865,-444.48202401537714,0.0355482427741848,-0.02222410120076885,2017,BANKNIFTY,-0.022224101200770008
17,17,LONG,2017-01-30 10:15:00+05:30,2017-01-30 11:15:00+05:30,19689.8,19623.35,2017-01-30 12:15:00+05:30,19623.35,Initial SL Hit,-66.45000000000073,-70.38131500000073,203.1508699936008,4,-13499.375311074918,-14298.025373543813,-1.3499375311074917,-0.7149012686771905,2017,BANKNIFTY,-0.7371253698779618
18,18,SHORT,2017-01-30 12:15:00+05:30,2017-01-30 13:15:00+05:30,19603.5,19690.3,2017-02-01 10:15:00+05:30,19614.75,Reversed,-11.25,-15.171825,204.0451960109164,4,-2295.5084551228097,-3095.738005968322,-0.2295508455122809,-0.1547869002984161,2017,BANKNIFTY,-0.8919122701763769
19,19,LONG,2017-02-01 09:15:00+05:30,2017-02-01 10:15:00+05:30,19614.75,19488.85,2017-02-01 11:15:00+05:30,19488.85,Initial SL Hit,-125.90000000000146,-129.81036000000145,203.92816630341963,4,-25674.55613760083,-26471.988681987063,-2.567455613760083,-1.323599434099353,2017,BANKNIFTY,-2.2155117042757304
20,20,LONG,2017-02-01 13:15:00+05:30,2017-02-01 14:15:00+05:30,19974.2,19470.95,2017-02-02 15:15:00+05:30,20069.4,Reversed,95.20000000000071,91.19564000000072,200.2583332498924,4,19064.5933253899,18262.68686605736,1.9064593325389896,0.913134343302868,2017,BANKNIFTY,-1.3023773609728622
21,21,SHORT,2017-02-02 14:15:00+05:30,2017-02-02 15:15:00+05:30,20069.4,20146.9,2017-02-03 09:15:00+05:30,20146.9,Initial SL Hit,-77.5,-81.52163,199.30839985251177,4,-15446.40098856966,-16247.94562866852,-1.5446400988569662,-0.812397281433426,2017,BANKNIFTY,-2.1147746424062888
22,22,SHORT,2017-02-06 10:15:00+05:30,2017-02-06 11:15:00+05:30,20412.25,20462.45,2017-02-07 11:15:00+05:30,20364.7,Reversed,47.54999999999927,43.47230499999928,195.96075885803867,4,9317.934083699596,8518.865877107966,0.9317934083699596,0.4259432938553983,2017,BANKNIFTY,-1.6888313485508917
23,23,LONG,2017-02-07 10:15:00+05:30,2017-02-07 11:15:00+05:30,20364.7,20281.5,2017-02-08 09:15:00+05:30,20281.5,Initial SL Hit,-83.20000000000073,-87.26462000000073,196.41831207923516,4,-16342.003564992508,-17140.369364636008,-1.6342003564992509,-0.8570184682318004,2017,BANKNIFTY,-2.5458498167826917
24,24,LONG,2017-02-08 15:15:00+05:30,2017-02-09 09:15:00+05:30,20360.4,20070.15,2017-02-09 10:15:00+05:30,20070.15,Initial SL Hit,-290.25,-294.293055,196.45979450305487,4,-57022.455354511694,-57816.75310897624,-5.702245535451169,-2.8908376554488115,2017,BANKNIFTY,-5.436687472231503
25,25,SHORT,2017-02-09 10:15:00+05:30,2017-02-09 11:15:00+05:30,20041.2,20406.6,2017-02-09 13:15:00+05:30,20146.35,Reversed,-105.14999999999782,-109.16875499999782,199.588846975231,4,-20986.767259445103,-21788.86593617105,-2.09867672594451,-1.0894432968085526,2017,BANKNIFTY,-6.526130769040055
26,26,LONG,2017-02-09 12:15:00+05:30,2017-02-09 13:15:00+05:30,20146.35,20000.35,2017-02-10 12:15:00+05:30,20264.9,Reversed,118.55000000000292,114.50887500000292,198.54713136622763,4,23537.762423466866,22735.40864722452,2.353776242346686,1.1367704323612258,2017,BANKNIFTY,-5.389360336678829
27,27,SHORT,2017-02-10 11:15:00+05:30,2017-02-10 12:15:00+05:30,20264.9,20310.0,2017-02-14 09:15:00+05:30,20314.05,Gap Outside Initial SL,-49.14999999999782,-53.20789499999782,197.38562736554337,4,-9701.503585016026,-10502.473735374528,-0.9701503585016026,-0.5251236867687264,2017,BANKNIFTY,-5.914484023447555
28,28,SHORT,2017-02-14 10:15:00+05:30,2017-02-14 11:15:00+05:30,20221.6,20314.05,2017-02-14 14:15:00+05:30,20243.8,Reversed,-22.200000000000728,-26.246540000000728,197.8082842109428,4,-4391.343909483073,-5191.783043874021,-0.4391343909483073,-0.25958915219370104,2017,BANKNIFTY,-6.174073175641256
29,29,LONG,2017-02-14 13:15:00+05:30,2017-02-14 14:15:00+05:30,20243.8,20158.85,2017-02-15 11:15:00+05:30,20158.85,Initial SL Hit,-84.95000000000073,-88.99026500000073,197.59136130568373,4,-16785.386142917978,-17583.707604303687,-1.678538614291798,-0.8791853802151844,2017,BANKNIFTY,-7.053258555856441
30,30,LONG,2017-02-15 12:15:00+05:30,2017-02-15 13:15:00+05:30,20178.25,20115.85,2017-02-15 15:15:00+05:30,20146.45,Reversed,-31.799999999999272,-35.83246999999928,198.2332461933022,4,-6303.817228946866,-7103.186847223971,-0.6303817228946866,-0.35515934236119856,2017,BANKNIFTY,-7.408417898217641
31,31,SHORT,2017-02-15 14:15:00+05:30,2017-02-15 15:15:00+05:30,20146.45,20228.85,2017-02-16 09:15:00+05:30,20259.35,Gap Outside Initial SL,-112.89999999999782,-116.94057999999782,198.5461458470351,4,-22415.859866129827,-23218.101452116443,-2.2415859866129826,-1.1609050726058223,2017,BANKNIFTY,-8.569322970823464
32,32,LONG,2017-02-16 10:15:00+05:30,2017-02-16 11:15:00+05:30,20175.95,20088.2,2017-02-16 13:15:00+05:30,20215.45,Reversed,39.5,35.46086,198.25584421055763,4,7831.105846317027,7030.322735732394,0.7831105846317026,0.35151613678661975,2017,BANKNIFTY,-8.217806834036844
33,33,LONG,2017-02-16 12:15:00+05:30,2017-02-16 13:15:00+05:30,20215.45,20276.3,2017-02-16 13:15:00+05:30,20276.3,Initial SL Hit,60.84999999999855,56.80082499999855,197.86846199317847,4,12040.295912284622,11239.091882693394,1.2040295912284622,0.5619545941346697,2017,BANKNIFTY,-7.655852239902174
34,34,SHORT,2017-02-16 12:15:00+05:30,2017-02-16 13:15:00+05:30,20215.45,20276.3,2017-02-16 13:15:00+05:30,20276.3,Initial SL Hit,-60.84999999999855,-64.89917499999855,197.86846199317847,4,-12040.295912284622,-12841.49994187585,-1.2040295912284622,-0.6420749970937926,2017,BANKNIFTY,-8.297927236995967
35,35,SHORT,2017-02-16 14:15:00+05:30,2017-02-16 15:15:00+05:30,20239.1,20295.55,2017-02-17 09:15:00+05:30,21011.35,Gap Outside Initial SL,-772.25,-776.375045,197.63724671551603,4,-152625.36377605726,-153440.62631243485,-15.262536377605723,-7.672031315621742,2017,BANKNIFTY,-15.969958552617708
36,36,LONG,2017-02-21 11:15:00+05:30,2017-02-21 12:15:00+05:30,20692.2,20619.25,2017-02-22 13:15:00+05:30,20831.15,Reversed,138.95000000000073,134.79766500000073,193.3095562579136,4,26860.36284203724,26057.676805753035,2.686036284203724,1.302883840287652,2017,BANKNIFTY,-14.667074712330058
37,37,SHORT,2017-02-22 12:15:00+05:30,2017-02-22 13:15:00+05:30,20831.15,20958.25,2017-02-23 12:15:00+05:30,20958.25,Initial SL Hit,-127.09999999999854,-131.27893999999856,192.0201237089647,4,-24405.757723409133,-25208.19829918148,-2.4405757723409134,-1.2604099149590737,2017,BANKNIFTY,-15.92748462728913
38,38,SHORT,2017-02-27 12:15:00+05:30,2017-02-27 13:15:00+05:30,20696.55,20746.35,2017-03-01 09:15:00+05:30,20746.35,Initial SL Hit,-49.79999999999927,-53.94428999999927,193.2689264635893,4,-9624.792537886608,-10425.755017140396,-0.9624792537886608,-0.5212877508570198,2017,BANKNIFTY,-16.44877237814615
39,39,SHORT,2017-03-01 10:15:00+05:30,2017-03-01 11:15:00+05:30,20771.0,20833.75,2017-03-02 09:15:00+05:30,20900.05,Gap Outside Initial SL,-129.04999999999927,-133.21710499999926,192.57618795435943,4,-24851.95705550995,-25654.442251215496,-2.4851957055509946,-1.2827221125607748,2017,BANKNIFTY,-17.731494490706925
40,40,SHORT,2017-03-02 10:15:00+05:30,2017-03-02 11:15:00+05:30,20832.75,20905.0,2017-03-03 14:15:00+05:30,20484.0,Reversed,348.75,344.618325,192.0053761505322,4,66961.8749324981,66168.57111999136,6.69618749324981,3.3084285559995683,2017,BANKNIFTY,-14.423065934707356
41,41,LONG,2017-03-03 13:15:00+05:30,2017-03-03 14:15:00+05:30,20484.0,20423.35,2017-03-06 11:15:00+05:30,20668.1,Reversed,184.09999999999852,179.98478999999855,195.27436047646944,4,35950.00976371774,35146.41476274137,3.595000976371774,1.7573207381370683,2017,BANKNIFTY,-12.665745196570288
42,42,SHORT,2017-03-06 10:15:00+05:30,2017-03-06 11:15:00+05:30,20668.1,20727.5,2017-03-07 15:15:00+05:30,20638.7,Reversed,29.399999999997817,25.269319999997816,193.5349645105259,4,5689.927956609039,4890.496949404699,0.5689927956609039,0.24452484747023495,2017,BANKNIFTY,-12.421220349100054
43,43,LONG,2017-03-07 14:15:00+05:30,2017-03-07 15:15:00+05:30,20638.7,20585.95,2017-03-08 10:15:00+05:30,20585.95,Initial SL Hit,-52.75,-56.872465,193.81065667895749,4,-10223.512139815008,-11022.489788601026,-1.0223512139815008,-0.5511244894300513,2017,BANKNIFTY,-12.972344838530105
44,44,SHORT,2017-03-08 10:15:00+05:30,2017-03-08 11:15:00+05:30,20582.35,20711.5,2017-03-08 15:15:00+05:30,20711.5,Initial SL Hit,-129.15000000000146,-133.27938500000147,194.34126812535985,4,-25099.17477839051,-25901.68469586835,-2.5099174778390507,-1.2950842347934175,2017,BANKNIFTY,-14.267429073323523
45,45,LONG,2017-03-09 10:15:00+05:30,2017-03-09 11:15:00+05:30,20705.35,20603.9,2017-03-09 13:15:00+05:30,20657.45,Reversed,-47.89999999999782,-52.03627999999782,193.1867850579681,4,-9253.647004276252,-10052.721639575824,-0.9253647004276252,-0.5026360819787912,2017,BANKNIFTY,-14.770065155302314
46,46,SHORT,2017-03-09 12:15:00+05:30,2017-03-09 13:15:00+05:30,20657.45,20734.65,2017-03-09 14:15:00+05:30,20734.65,Initial SL Hit,-77.20000000000073,-81.33921000000073,193.63474194539984,4,-14948.60207818501,-15750.096938392828,-1.494860207818501,-0.7875048469196414,2017,BANKNIFTY,-15.557570002221956
47,47,SHORT,2017-03-10 10:15:00+05:30,2017-03-10 11:15:00+05:30,20734.05,20876.95,2017-03-10 15:15:00+05:30,20746.65,Reversed,-12.600000000002185,-16.748070000002183,192.91937658103456,4,-2430.784144921457,-3231.027223335949,-0.2430784144921457,-0.16155136116679744,2017,BANKNIFTY,-15.719121363388753
48,48,LONG,2017-03-10 14:15:00+05:30,2017-03-10 15:15:00+05:30,20746.65,20648.8,2017-03-14 15:15:00+05:30,21072.55,Reversed,325.8999999999978,321.7180799999978,192.8022114413652,4,62834.2407087405,62027.95728466963,6.28342407087405,3.1013978642334816,2017,BANKNIFTY,-12.617723499155272
49,49,SHORT,2017-03-14 14:15:00+05:30,2017-03-14 15:15:00+05:30,21072.55,21162.05,2017-03-15 09:15:00+05:30,21162.05,Initial SL Hit,-89.5,-93.72346,189.8204061682141,4,-16988.92635205516,-17790.625244690367,-1.698892635205516,-0.8895312622345183,2017,BANKNIFTY,-13.50725476138979
50,50,LONG,2017-03-15 09:15:00+05:30,2017-03-15 10:15:00+05:30,21190.25,21059.7,2017-03-16 11:15:00+05:30,21207.15,Reversed,16.900000000001455,12.660260000001454,188.76605986243675,4,3190.1464116754555,2389.827397034288,0.3190146411675456,0.1194913698517144,2017,BANKNIFTY,-13.387763391538076
51,51,SHORT,2017-03-16 10:15:00+05:30,2017-03-16 11:15:00+05:30,21207.15,21289.8,2017-03-16 13:15:00+05:30,21272.35,Reversed,-65.19999999999709,-69.44794999999709,188.6156319920404,4,-12297.739205880487,-13098.968979801077,-1.229773920588049,-0.6549484489900538,2017,BANKNIFTY,-14.04271184052813
52,52,LONG,2017-03-16 12:15:00+05:30,2017-03-16 13:15:00+05:30,21272.35,21194.25,2017-03-17 09:15:00+05:30,21241.0,Reversed,-31.349999999998545,-35.60133499999854,188.03752288769223,4,-5894.976342528878,-6694.386844894625,-0.5894976342528878,-0.33471934224473127,2017,BANKNIFTY,-14.37743118277286
53,53,SHORT,2017-03-16 15:15:00+05:30,2017-03-17 09:15:00+05:30,21241.0,21285.4,2017-03-17 09:15:00+05:30,21313.0,Gap Outside Initial SL,-72.0,-76.2554,188.3150510804576,4,-13558.683677792947,-14360.039546160726,-1.3558683677792946,-0.7180019773080363,2017,BANKNIFTY,-15.095433160080898
54,54,SHORT,2017-03-17 10:15:00+05:30,2017-03-17 11:15:00+05:30,21144.2,21336.05,2017-03-17 13:15:00+05:30,21180.55,Reversed,-36.34999999999855,-40.58247499999855,189.17717388219936,4,-6876.590270617671,-7677.277929644733,-0.6876590270617672,-0.3838638964822367,2017,BANKNIFTY,-15.479297056563134
55,55,LONG,2017-03-17 12:15:00+05:30,2017-03-17 13:15:00+05:30,21180.55,21127.95,2017-03-20 09:15:00+05:30,21153.8,Reversed,-26.75,-30.983435,188.85250855147763,4,-5051.804603752027,-5851.299423291652,-0.5051804603752027,-0.2925649711645826,2017,BANKNIFTY,-15.771862027727716
56,56,SHORT,2017-03-17 15:15:00+05:30,2017-03-20 09:15:00+05:30,21153.8,21206.05,2017-03-20 11:15:00+05:30,21132.6,Reversed,21.200000000000728,16.97136000000073,189.0913216537927,4,4008.736019060543,3209.136892662449,0.4008736019060542,0.1604568446331224,2017,BANKNIFTY,-15.611405183094593
57,57,LONG,2017-03-20 10:15:00+05:30,2017-03-20 11:15:00+05:30,21132.6,21084.8,2017-03-20 13:15:00+05:30,21101.05,Reversed,-31.549999999999272,-35.77336499999927,189.28101606049424,4,-5971.816056708455,-6771.218875102785,-0.5971816056708454,-0.33856094375513923,2017,BANKNIFTY,-15.949966126849732
58,58,SHORT,2017-03-20 12:15:00+05:30,2017-03-20 13:15:00+05:30,21101.05,21146.3,2017-03-21 09:15:00+05:30,21146.3,Initial SL Hit,-45.25,-49.474735,189.5640264347035,4,-8577.772196170334,-9378.62997338995,-0.8577772196170333,-0.4689314986694976,2017,BANKNIFTY,-16.41889762551923
59,59,SHORT,2017-03-21 10:15:00+05:30,2017-03-21 11:15:00+05:30,21051.0,21146.5,2017-03-23 14:15:00+05:30,20849.85,Reversed,201.15000000000143,196.95991500000144,190.014726141276,4,38221.462163317934,37425.28430953427,3.8221462163317934,1.8712642154767134,2017,BANKNIFTY,-14.547633410042517
60,60,LONG,2017-03-23 13:15:00+05:30,2017-03-23 14:15:00+05:30,20849.85,20775.35,2017-03-24 15:15:00+05:30,21103.8,Reversed,253.95000000000076,249.75463500000072,191.84790298251548,4,48719.774962409945,47914.9029849137,4.871977496240995,2.395745149245685,2017,BANKNIFTY,-12.151888260796833
61,61,SHORT,2017-03-24 14:15:00+05:30,2017-03-24 15:15:00+05:30,21103.8,21174.1,2017-03-27 09:15:00+05:30,21179.2,Gap Outside Initial SL,-75.40000000000146,-79.62830000000146,189.5393246713862,4,-14291.265080222794,-15092.694206730815,-1.4291265080222797,-0.7546347103365408,2017,BANKNIFTY,-12.906522971133374
62,62,SHORT,2017-03-27 10:15:00+05:30,2017-03-27 11:15:00+05:30,21051.4,21179.2,2017-03-27 14:15:00+05:30,21101.8,Reversed,-50.39999999999782,-54.615319999997816,190.01111565026557,4,-9576.560228772967,-10377.517884795843,-0.9576560228772968,-0.5188758942397923,2017,BANKNIFTY,-13.425398865373165
63,63,LONG,2017-03-27 13:15:00+05:30,2017-03-27 14:15:00+05:30,21101.8,20979.55,2017-03-29 14:15:00+05:30,21354.5,Reversed,252.70000000000076,248.45437000000072,189.55728895165345,4,47901.12691808296,47096.33680539115,4.790112691808296,2.354816840269557,2017,BANKNIFTY,-11.070582025103608
64,64,SHORT,2017-03-29 13:15:00+05:30,2017-03-29 14:15:00+05:30,21354.5,21407.0,2017-03-29 15:15:00+05:30,21407.0,Initial SL Hit,-52.5,-56.77615,187.3141492425484,4,-9833.992835233792,-10634.976234517317,-0.9833992835233792,-0.5317488117258659,2017,BANKNIFTY,-11.602330836829474
65,65,LONG,2017-03-29 15:15:00+05:30,2017-03-30 09:15:00+05:30,21418.6,21338.15,2017-03-30 09:15:00+05:30,21338.15,Initial SL Hit,-80.44999999999709,-84.7256749999971,186.7535693275938,4,-15024.324652404375,-15822.822219939138,-1.5024324652404375,-0.791141110996957,2017,BANKNIFTY,-12.39347194782643
66,66,LONG,2017-03-30 13:15:00+05:30,2017-03-30 14:15:00+05:30,21507.5,21438.95,2017-03-30 14:15:00+05:30,21438.95,Initial SL Hit,-68.54999999999927,-72.84464499999928,185.98163431361152,4,-12749.041032197934,-13547.766128094716,-1.2749041032197934,-0.6773883064047358,2017,BANKNIFTY,-13.070860254231167
67,67,SHORT,2017-03-30 15:15:00+05:30,2017-03-31 09:15:00+05:30,21532.1,21696.0,2017-03-31 12:15:00+05:30,21494.05,Reversed,38.04999999999927,33.74738499999927,185.76915396083055,4,7068.516308209469,6269.223159840289,0.7068516308209469,0.3134611579920144,2017,BANKNIFTY,-12.757399096239151
68,68,LONG,2017-03-31 11:15:00+05:30,2017-03-31 12:15:00+05:30,21494.05,21447.2,2017-03-31 14:15:00+05:30,21465.65,Reversed,-28.399999999997817,-32.695969999997814,186.09801317108688,4,-5285.183574058461,-6084.655055701054,-0.5285183574058461,-0.3042327527850527,2017,BANKNIFTY,-13.061631849024206
69,69,SHORT,2017-03-31 13:15:00+05:30,2017-03-31 14:15:00+05:30,21465.65,21537.3,2017-04-03 09:15:00+05:30,21541.0,Gap Outside Initial SL,-75.34999999999854,-79.65066499999854,186.34422903569188,4,-14041.037657839111,-14842.441761604896,-1.404103765783911,-0.7421220880802448,2017,BANKNIFTY,-13.80375393710445
70,70,LONG,2017-04-03 10:15:00+05:30,2017-04-03 11:15:00+05:30,21493.35,21408.6,2017-04-07 12:15:00+05:30,21541.55,Reversed,48.20000000000073,43.89651000000073,186.10407405081108,4,8970.216369249229,8169.319347612305,0.8970216369249228,0.40846596738061525,2017,BANKNIFTY,-13.395287969723835
71,71,SHORT,2017-04-07 11:15:00+05:30,2017-04-07 12:15:00+05:30,21541.55,21616.85,2017-04-07 14:15:00+05:30,21589.0,Reversed,-47.45000000000073,-51.763055000000726,185.68765943026384,4,-8810.879439966155,-9611.76052791015,-0.8810879439966155,-0.4805880263955075,2017,BANKNIFTY,-13.87587599611934
72,72,SHORT,2017-04-07 13:15:00+05:30,2017-04-07 14:15:00+05:30,21589.0,21538.05,2017-04-07 14:15:00+05:30,21538.05,Initial SL Hit,50.95000000000073,46.63729500000073,185.27954050673955,4,9439.992588818515,8640.936588077397,0.9439992588818517,0.4320468294038698,2017,BANKNIFTY,-13.44382916671547
73,73,LONG,2017-04-10 10:15:00+05:30,2017-04-10 11:15:00+05:30,21498.55,21396.05,2017-04-11 09:15:00+05:30,21508.1,Reversed,9.549999999999272,5.249334999999273,186.05905979705608,4,1776.8640210617502,976.686334659644,0.177686402106175,0.0488343167329822,2017,BANKNIFTY,-13.394994849982488
74,74,LONG,2017-04-10 15:15:00+05:30,2017-04-11 09:15:00+05:30,21508.1,21552.1,2017-04-11 09:15:00+05:30,21552.1,Initial SL Hit,44.0,39.69398,185.9764460831036,4,8182.963627656558,7382.145331293791,0.8182963627656559,0.36910726656468956,2017,BANKNIFTY,-13.025887583417799
75,75,SHORT,2017-04-10 15:15:00+05:30,2017-04-11 09:15:00+05:30,21508.1,21552.1,2017-04-11 09:15:00+05:30,21552.1,Initial SL Hit,-44.0,-48.30602,185.9764460831036,4,-8182.963627656558,-8983.781924019324,-0.8182963627656559,-0.4491890962009662,2017,BANKNIFTY,-13.475076679618766
76,76,LONG,2017-04-12 10:15:00+05:30,2017-04-12 11:15:00+05:30,21661.05,21551.75,2017-04-13 15:15:00+05:30,21666.05,Reversed,5.0,0.6672899999999995,184.6632550130303,4,923.3162750651514,123.22394343764488,0.0923316275065151,0.0061611971718822,2017,BANKNIFTY,-13.468915482446883
77,77,SHORT,2017-04-13 14:15:00+05:30,2017-04-13 15:15:00+05:30,21666.05,21741.6,2017-04-17 09:15:00+05:30,21741.6,Initial SL Hit,-75.54999999999927,-79.89076499999928,184.6206392028081,4,-13948.089291772018,-14749.484100701196,-1.394808929177202,-0.7374742050350596,2017,BANKNIFTY,-14.206389687481943
78,78,LONG,2017-04-17 14:15:00+05:30,2017-04-17 15:15:00+05:30,21649.75,21597.8,2017-04-18 13:15:00+05:30,21833.4,Reversed,183.65000000000143,179.30168500000144,184.75963925680435,4,33931.10774951239,33127.71463873743,3.3931107749512397,1.6563857319368716,2017,BANKNIFTY,-12.550003955545073
79,79,SHORT,2017-04-18 12:15:00+05:30,2017-04-18 13:15:00+05:30,21833.4,21947.0,2017-04-19 09:15:00+05:30,21695.1,Reversed,138.3000000000029,133.94715000000292,183.2055474639772,4,25337.32721426858,24539.860946990008,2.533732721426857,1.2269930473495005,2017,BANKNIFTY,-11.32301090819557
80,80,SHORT,2017-04-18 15:15:00+05:30,2017-04-19 09:15:00+05:30,21695.1,21634.15,2017-04-19 09:15:00+05:30,21634.15,Initial SL Hit,60.94999999999709,56.61707499999709,184.37342994501063,4,11237.560555147862,10438.684311203377,1.123756055514786,0.5219342155601687,2017,BANKNIFTY,-10.801076692635402
81,81,LONG,2017-04-19 10:15:00+05:30,2017-04-19 11:15:00+05:30,21560.95,21706.3,2017-04-19 11:15:00+05:30,21592.35,Gap Outside Initial SL,31.399999999997817,27.084669999997818,185.520582349108,4,5825.346285761586,5024.76375113301,0.5825346285761586,0.2512381875566505,2017,BANKNIFTY,-10.549838505078752
82,82,SHORT,2017-04-19 10:15:00+05:30,2017-04-19 11:15:00+05:30,21560.95,21706.3,2017-04-19 11:15:00+05:30,21613.7,Reversed,-52.75,-57.067465,185.520582349108,4,-9786.210718915449,-10587.18933998734,-0.9786210718915446,-0.529359466999367,2017,BANKNIFTY,-11.079197972078118
83,83,LONG,2017-04-19 10:15:00+05:30,2017-04-19 11:15:00+05:30,21613.7,21482.1,2017-04-19 14:15:00+05:30,21482.1,Initial SL Hit,-131.60000000000218,-135.9095800000022,185.0678042167699,4,-24354.923034927324,-25152.487542623832,-2.4354923034927323,-1.2576243771311915,2017,BANKNIFTY,-12.33682234920931
