,index,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,Index,DD%
0,0,LONG,2017-01-02 12:15:00+05:30,2017-01-02 13:15:00+05:30,17951.15,17844.9,2017-01-03 09:15:00+05:30,17957.6,Reversed,6.44999999999709,2.8591249999970896,222.8269498054442,4,1437.2338262444666,637.0901028618422,0.1437233826244466,0.0318545051430921,2017,BANKNIFTY,0.0
1,1,LONG,2017-01-02 15:15:00+05:30,2017-01-03 09:15:00+05:30,17957.6,18052.85,2017-01-03 09:15:00+05:30,18052.85,Initial SL Hit,95.25,91.648955,222.74691495522788,4,21216.643649485457,20414.521985120507,2.1216643649485456,1.0207260992560254,2017,BANKNIFTY,0.0
2,2,SHORT,2017-01-02 15:15:00+05:30,2017-01-03 09:15:00+05:30,17957.6,18052.85,2017-01-03 09:15:00+05:30,18052.85,Initial SL Hit,-95.25,-98.851045,222.74691495522788,4,-21216.643649485457,-22018.765313850403,-2.1216643649485456,-1.1009382656925202,2017,BANKNIFTY,-1.1009382656925202
3,3,SHORT,2017-01-03 15:15:00+05:30,2017-01-04 09:15:00+05:30,18024.15,18093.55,2017-01-04 13:15:00+05:30,17985.75,Reversed,38.400000000001455,34.79901000000145,221.9244735535379,4,8521.899784456176,7722.751974434622,0.8521899784456176,0.3861375987217311,2017,BANKNIFTY,-0.7148006669707891
4,4,SHORT,2017-01-04 12:15:00+05:30,2017-01-04 13:15:00+05:30,17985.75,17936.05,2017-01-04 13:15:00+05:30,17936.05,Initial SL Hit,49.70000000000073,46.10782000000073,222.398287533186,4,11053.194890399503,10254.300209888546,1.1053194890399505,0.5127150104944272,2017,BANKNIFTY,-0.20208565647636179
5,5,LONG,2017-01-04 14:15:00+05:30,2017-01-04 15:15:00+05:30,17879.05,17999.0,2017-01-04 15:15:00+05:30,17890.45,Gap Outside Initial SL,11.400000000001455,7.823050000001455,223.7255335154832,4,2550.471082076834,1750.2160349686264,0.2550471082076834,0.0875108017484313,2017,BANKNIFTY,-0.1145748547279305
6,6,SHORT,2017-01-09 14:15:00+05:30,2017-01-09 15:15:00+05:30,18277.65,18348.55,2017-01-10 09:15:00+05:30,18348.55,Initial SL Hit,-70.89999999999782,-74.56261999999782,218.8465147324738,4,-15516.217894531914,-16317.769516321368,-1.5516217894531914,-0.8158884758160685,2017,BANKNIFTY,-0.930463330543999
7,7,LONG,2017-01-10 13:15:00+05:30,2017-01-10 14:15:00+05:30,18395.55,18319.65,2017-01-17 11:15:00+05:30,19064.4,Reversed,668.8500000000022,665.1040050000022,217.4438926805668,4,145437.34761939757,144622.80388463562,14.543734761939756,7.231140194231781,2017,BANKNIFTY,0.0
8,8,SHORT,2017-01-17 10:15:00+05:30,2017-01-17 11:15:00+05:30,19064.4,19202.25,2017-01-17 14:15:00+05:30,19084.85,Reversed,-20.44999999999709,-24.26492499999709,209.81515285033885,4,-4290.719875788819,-5091.148947776397,-0.4290719875788819,-0.25455744738881986,2017,BANKNIFTY,-0.25455744738881947
9,9,LONG,2017-01-17 13:15:00+05:30,2017-01-17 14:15:00+05:30,19084.85,18981.85,2017-01-18 12:15:00+05:30,19182.45,Reversed,97.60000000000218,93.7732700000022,209.5903295021968,4,20456.016159414863,19653.970557798923,2.0456016159414863,0.9826985278899462,2017,BANKNIFTY,0.0
10,10,SHORT,2017-01-18 11:15:00+05:30,2017-01-18 12:15:00+05:30,19182.45,19276.5,2017-01-19 11:15:00+05:30,19108.4,Reversed,74.04999999999927,70.22091499999927,208.52393724472108,4,15441.197552971444,14642.74167272674,1.5441197552971444,0.7321370836363371,2017,BANKNIFTY,0.0
11,11,LONG,2017-01-19 10:15:00+05:30,2017-01-19 11:15:00+05:30,19108.4,19046.1,2017-01-19 14:15:00+05:30,19099.5,Reversed,-8.900000000001455,-12.720790000001456,209.3320215193318,4,-1863.0549915223576,-2662.8686860232056,-0.1863054991522357,-0.13314343430116024,2017,BANKNIFTY,-0.13314343430116082
12,12,SHORT,2017-01-19 13:15:00+05:30,2017-01-19 14:15:00+05:30,19099.5,19185.3,2017-01-20 11:15:00+05:30,19010.5,Reversed,89.0,85.189,209.42956621901095,4,18639.231393491977,17841.095316631327,1.8639231393491975,0.8920547658315663,2017,BANKNIFTY,0.0
13,13,LONG,2017-01-20 10:15:00+05:30,2017-01-20 11:15:00+05:30,19010.5,18915.45,2017-01-20 13:15:00+05:30,18917.8,Reversed,-92.70000000000071,-96.49283000000072,210.41003655874383,4,-19505.01038899571,-20303.05988795681,-1.950501038899571,-1.0151529943978403,2017,BANKNIFTY,-1.015152994397841
14,14,SHORT,2017-01-20 12:15:00+05:30,2017-01-20 13:15:00+05:30,18917.8,19028.95,2017-01-23 15:15:00+05:30,18836.15,Reversed,81.64999999999782,77.87460499999781,211.4410766579624,4,17264.163909122166,16465.890325513075,1.7264163909122163,0.8232945162756538,2017,BANKNIFTY,-0.19185847812218704
