,date,day,expiry,DTE,trade_num,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,ROC on Entry,Opt RSI on Entry,Spot RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Cumulative ROI%,Max Cumulative ROI%,DD,is_win
4,2019-02-26,Tuesday,2019-02-28,2,2,10850,C,42.7,10:45:00,56.65,56.65,2019-02-26,11:45:00,-10.460251046025105,18.42105263157893,44.49152542372899,SL hit,-13.949999999999996,0.9934999999999999,6451.612903225807,-96409.6774193548,-0.964096774193548,2019,2,58.6,39.85,0.18387096774193562,100.0,2019-02-26 10:45:00,-0.31818246208894896,3.640614805136241,-3.95879726722519,False
709,2019-02-26,Tuesday,2019-02-28,2,2,10750,P,37.0,11:15:00,90.0,0.05,2019-02-28,15:15:00,-31.652661064425764,61.38002059732235,44.60966542750947,EOD exit,36.95,0.3705,6511.627906976744,238192.09302325585,2.3819209302325586,2019,2,85.45,0.05,2.406046511627907,100.0,2019-02-26 11:15:00,2.0637384681436095,3.640614805136241,-1.5768763369926315,True
5,2019-02-27,Wednesday,2019-02-28,1,3,10950,C,9.85,11:45:00,39.85,0.05,2019-02-28,15:15:00,-37.33766233766234,28.216374269005854,28.364076201995474,EOD exit,9.799999999999999,0.099,6392.6940639269405,62015.52511415524,0.6201552511415525,2019,2,15.25,0.05,0.6264840182648401,100.0,2019-02-27 11:45:00,2.683893719285162,3.640614805136241,-0.9567210858510791,True
710,2019-03-01,Friday,2019-03-07,6,1,10850,P,62.25,14:15:00,99.0,0.05,2019-03-07,15:15:00,-50.059928086296445,28.479657387580303,77.0635500365225,EOD exit,62.2,0.623,6451.612903225807,397270.9677419355,3.9727096774193553,2019,3,78.4,0.05,4.012903225806452,100.0,2019-03-01 14:15:00,6.656603396704517,6.656603396704517,0.0,True
6,2019-03-05,Tuesday,2019-03-07,2,1,10850,C,73.7,10:15:00,79.8,79.8,2019-03-05,11:45:00,-16.46723646723647,40.97826086956522,44.89693313222737,SL hit,-6.099999999999994,1.5350000000000001,6451.612903225807,-49258.064516129,-0.49258064516129,2019,3,84.95,70.45,0.2096774193548387,100.0,2019-03-05 10:15:00,6.164022751543227,6.656603396704517,-0.49258064516128997,False
7,2019-03-05,Tuesday,2019-03-07,2,2,10900,C,64.0,13:15:00,66.25,66.25,2019-03-05,13:45:00,-5.029585798816556,92.05955334987593,60.2843601895738,SL hit,-2.25,1.3025,6422.018348623853,-22814.22018348624,-0.2281422018348624,2019,3,67.2,59.2,0.30825688073394475,100.0,2019-03-05 13:15:00,5.935880549708364,6.656603396704517,-0.7207228469961526,False
8,2019-03-07,Thursday,2019-03-07,0,3,11100,C,1.15,12:15:00,10.0,0.05,2019-03-07,15:15:00,-46.808510638297875,23.52941176470587,31.59110597747633,EOD exit,1.0999999999999999,0.012,6306.306306306306,6861.26126126126,0.0686126126126126,2019,3,3.85,0.05,0.06936936936936937,100.0,2019-03-07 12:15:00,6.004493162320977,6.656603396704517,-0.6521102343835397,True
9,2019-03-08,Friday,2019-03-14,6,1,11050,C,47.55,09:15:00,58.95,58.95,2019-03-08,11:15:00,-39.05552010210593,16.871165644171768,61.04018912529568,SL hit,-11.400000000000006,1.065,6334.841628959276,-78963.80090497741,-0.7896380090497741,2019,3,62.25,44.6,0.18687782805429837,100.0,2019-03-08 09:15:00,5.214855153271203,6.656603396704517,-1.441748243433314,False
711,2019-03-08,Friday,2019-03-14,6,1,11000,P,62.6,09:15:00,64.7,64.7,2019-03-08,09:45:00,-17.894736842105267,76.056338028169,53.99154992217008,SL hit,-2.1000000000000014,1.2730000000000001,6363.636363636364,-21464.545454545467,-0.2146454545454547,2019,3,65.65,57.95,0.29590909090909084,100.0,2019-03-08 09:15:00,5.000209698725748,6.656603396704517,-1.6563936979787686,False
712,2019-03-08,Friday,2019-03-14,6,2,11000,P,59.75,12:15:00,65.65,0.05,2019-03-14,15:15:00,-17.510259917920653,48.054919908466815,84.51704545454558,EOD exit,59.7,0.598,6363.636363636364,376103.6363636364,3.7610363636363644,2019,3,63.9,0.05,3.7990909090909097,100.0,2019-03-08 12:15:00,8.761246062362112,8.761246062362112,0.0,True
10,2019-03-08,Friday,2019-03-14,6,2,11050,C,47.5,12:15:00,62.25,90.15,2019-03-11,09:15:00,-41.72839506172839,44.97206703910616,82.74822313159558,Gap SL hit,-42.650000000000006,1.3765,6334.841628959276,-278900.9049773756,-2.789009049773756,2019,3,95.5,41.55,0.3769230769230771,100.0,2019-03-08 12:15:00,5.972237012588356,8.761246062362112,-2.789009049773756,False
11,2019-03-14,Thursday,2019-03-14,0,3,11400,C,3.65,09:45:00,13.0,0.05,2019-03-14,15:15:00,-66.06334841628959,19.70443349753694,50.69938650306758,EOD exit,3.6,0.037,6140.350877192983,21878.0701754386,0.218780701754386,2019,3,5.0,0.05,0.2210526315789474,100.0,2019-03-14 09:45:00,6.191017714342742,8.761246062362112,-2.57022834801937,True
713,2019-03-15,Friday,2019-03-20,5,1,11400,P,57.2,09:15:00,83.2,0.05,2019-03-20,15:15:00,-60.07630939993063,0.0,53.91419725785069,EOD exit,57.150000000000006,0.5725,6140.350877192983,347405.701754386,3.47405701754386,2019,3,65.4,0.05,3.5092105263157896,100.0,2019-03-15 09:15:00,9.665074731886602,9.665074731886602,0.0,True
12,2019-03-19,Tuesday,2019-03-20,1,1,11500,C,29.8,09:15:00,52.95,52.95,2019-03-19,14:45:00,-17.146776406035674,44.23676012461059,45.564892623716084,SL hit,-23.150000000000002,0.8275,6086.95652173913,-145950.0,-1.4595,2019,3,56.7,22.7,0.43217391304347835,100.0,2019-03-19 09:15:00,8.205574731886601,9.665074731886602,-1.4595000000000002,False
13,2019-03-20,Wednesday,2019-03-20,0,2,11550,C,11.6,09:15:00,24.9,0.05,2019-03-20,15:15:00,-72.39766081871345,43.31103678929766,47.72777167947339,EOD exit,11.549999999999999,0.1165,6060.606060606061,69293.93939393939,0.692939393939394,2019,3,16.95,0.05,0.7000000000000001,100.0,2019-03-20 09:15:00,8.898514125825995,9.665074731886602,-0.7665606060606063,True
714,2019-03-22,Friday,2019-03-28,6,1,11500,P,39.5,09:15:00,55.0,55.0,2019-03-22,10:15:00,-64.17233560090703,15.625,21.404109589040885,SL hit,-15.5,0.9450000000000001,6086.95652173913,-100100.0,-1.001,2019,3,72.0,37.0,0.15217391304347824,100.0,2019-03-22 09:15:00,7.897514125825996,9.665074731886602,-1.7675606060606057,False
14,2019-03-22,Friday,2019-03-28,6,1,11550,C,60.35,10:15:00,96.95,15.0,2019-03-28,15:15:00,-26.194797338173025,27.519379844961236,42.69108841141251,EOD exit,45.35,0.7535,6060.606060606061,270281.8181818182,2.702818181818182,2019,3,71.05,1.35,3.5757575757575757,100.0,2019-03-22 10:15:00,10.600332307644178,10.600332307644178,0.0,True
715,2019-03-22,Friday,2019-03-28,6,2,11500,P,65.0,10:15:00,72.0,72.0,2019-03-22,10:45:00,-35.49522373051784,56.34285714285715,42.69108841141251,SL hit,-7.0,1.37,6086.95652173913,-50947.82608695653,-0.5094782608695653,2019,3,75.95,60.2,0.29217391304347806,100.0,2019-03-22 10:15:00,10.090854046774613,10.600332307644178,-0.5094782608695656,False
716,2019-03-22,Friday,2019-03-28,6,3,11450,P,42.4,12:15:00,54.25,54.25,2019-03-22,13:45:00,-46.51898734177215,71.1484593837535,39.46808510638298,SL hit,-11.850000000000001,0.9665,6113.53711790393,-78354.14847161573,-0.7835414847161573,2019,3,60.75,35.8,0.40349344978165946,100.0,2019-03-22 12:15:00,9.307312562058456,10.600332307644178,-1.2930197455857222,False
717,2019-03-26,Tuesday,2019-03-28,2,4,11350,P,17.8,13:15:00,42.85,0.05,2019-03-28,15:15:00,-41.90938511326861,24.43991853360488,60.2843601895738,EOD exit,17.75,0.17850000000000002,6167.400881057269,108370.4845814978,1.083704845814978,2019,3,20.5,0.05,1.0947136563876652,100.0,2019-03-26 13:15:00,10.391017407873434,10.600332307644178,-0.20931489977074413,True
718,2019-04-01,Monday,2019-04-04,3,1,11650,P,53.55,09:15:00,74.85,74.85,2019-04-04,14:15:00,-64.3,18.041634541249024,26.972566156834617,SL hit,-21.299999999999997,1.2839999999999998,6008.583690987124,-135697.8540772532,-1.3569785407725319,2019,4,83.4,7.45,2.7699570815450643,100.0,2019-04-01 09:15:00,9.034038867100902,10.600332307644178,-1.5662934405432765,False
15,2019-04-02,Tuesday,2019-04-04,2,1,11700,C,50.25,09:15:00,63.9,63.9,2019-04-02,12:15:00,-9.919571045576415,13.900000000000006,45.564892623716084,SL hit,-13.649999999999999,1.1415000000000002,5982.9059829059825,-88496.15384615383,-0.8849615384615382,2019,4,67.2,43.95,0.37692307692307675,100.0,2019-04-02 09:15:00,8.149077328639363,10.600332307644178,-2.4512549790048155,False
16,2019-04-02,Tuesday,2019-04-04,2,2,11750,C,34.1,13:15:00,41.85,41.85,2019-04-02,15:15:00,-20.094007050528784,62.35955056179774,84.14285714285643,SL hit,-7.75,0.7595000000000001,5957.446808510638,-50694.89361702127,-0.5069489361702126,2019,4,46.45,23.55,0.6285106382978723,100.0,2019-04-02 13:15:00,7.64212839246915,10.600332307644178,-2.9582039151750283,False
17,2019-04-03,Wednesday,2019-04-04,1,3,11750,C,51.75,12:45:00,53.4,0.05,2019-04-04,15:15:00,-14.581607290803653,62.99999999999999,41.033190578158596,EOD exit,51.7,0.518,5957.446808510638,304914.0425531915,3.0491404255319146,2019,4,53.0,0.05,3.08,100.0,2019-04-03 12:45:00,10.691268818001065,10.691268818001065,0.0,True
18,2019-04-05,Friday,2019-04-11,6,1,11700,C,46.0,10:45:00,62.0,62.0,2019-04-05,15:15:00,-66.48331499816648,54.56521739130436,74.10666666666681,SL hit,-16.0,1.08,5982.9059829059825,-102188.03418803417,-1.0218803418803417,2019,4,71.85,36.4,0.5743589743589744,100.0,2019-04-05 10:45:00,9.669388476120723,10.691268818001065,-1.0218803418803422,False
19,2019-04-08,Monday,2019-04-11,3,2,11700,C,46.05,09:15:00,75.0,0.05,2019-04-11,15:15:00,-36.4256480218281,45.61717352415027,47.10424710424706,EOD exit,46.0,0.46099999999999997,5982.9059829059825,272455.55555555556,2.724555555555556,2019,4,51.8,0.05,2.752136752136752,100.0,2019-04-08 09:15:00,12.112261628242802,12.112261628242802,0.0,True
719,2019-04-08,Monday,2019-04-11,3,2,11650,P,57.65,09:15:00,61.15,61.15,2019-04-08,09:45:00,-29.04434728294816,48.192771084337345,67.83796974133705,SL hit,-3.5,1.188,6008.583690987124,-28168.240343347636,-0.2816824034334764,2019,4,62.0,50.0,0.45965665236051495,100.0,2019-04-08 09:15:00,9.387706072687246,10.691268818001065,-1.303562745313819,False
720,2019-04-09,Tuesday,2019-04-11,2,3,11550,P,14.4,13:45:00,39.0,0.05,2019-04-11,15:15:00,-46.3821892393321,17.274472168905973,47.10424710424706,EOD exit,14.35,0.14450000000000002,6060.606060606061,86093.93939393939,0.8609393939393939,2019,4,16.5,0.05,0.8696969696969697,100.0,2019-04-09 13:45:00,12.973201022182195,12.973201022182195,0.0,True
20,2019-04-12,Friday,2019-04-18,6,1,11650,C,45.75,11:15:00,62.0,62.0,2019-04-12,13:15:00,-55.420515313563435,0.0,41.11801242236023,SL hit,-16.25,1.0775000000000001,6008.583690987124,-104113.7339055794,-1.041137339055794,2019,4,63.7,43.5,0.13519313304721028,100.0,2019-04-12 11:15:00,11.932063683126401,12.973201022182195,-1.041137339055794,False
721,2019-04-12,Friday,2019-04-18,6,1,11600,P,50.85,12:45:00,64.0,0.05,2019-04-18,15:15:00,-20.560747663551403,45.00000000000001,59.34032059186208,EOD exit,50.800000000000004,0.509,6034.482758620689,303480.1724137931,3.034801724137931,2019,4,55.45,0.05,3.06551724137931,100.0,2019-04-12 12:45:00,14.966865407264333,14.966865407264333,0.0,True
21,2019-04-12,Friday,2019-04-18,6,2,11600,C,100.45,13:45:00,102.7,102.7,2019-04-12,14:15:00,-4.610266159695826,100.0,74.10666666666681,SL hit,-2.25,2.0315000000000003,6034.482758620689,-25836.637931034482,-0.25836637931034484,2019,4,123.7,100.45,0.0,100.0,2019-04-12 13:45:00,14.708499027953987,14.966865407264333,-0.25836637931034545,False
22,2019-04-18,Thursday,2019-04-18,0,3,11850,C,2.95,09:15:00,20.7,0.05,2019-04-18,15:15:00,-39.17525773195876,34.319526627218934,52.19193020719725,EOD exit,2.9000000000000004,0.03,5907.172995780591,16953.5864978903,0.16953586497890302,2019,4,2.95,0.05,0.17130801687763716,100.0,2019-04-18 09:15:00,14.87803489293289,14.966865407264333,-0.08883051433144296,True
