,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year,Cumulative_PnL,ROI% w cs
0,0,0,2017-01-05 11:15:00+05:30,2017-01-20 12:15:00+05:30,Long,8264.3,8205.13125,8380.95,Trailing SL Hit,116.65000000000146,3.32905,113.32095000000146,9680.190699756786,1096968.406277618,10.96968406277618,2017,113.32095000000146,10.96968406277618
1,1,1,2017-01-24 09:15:00+05:30,2017-02-15 11:15:00+05:30,Long,8431.85,8366.925,8739.65,Trailing SL Hit,307.7999999999993,3.4343000000000004,304.36569999999926,9487.83481679584,2887771.48549843,28.8777148549843,2017,417.6866500000007,28.8777148549843
2,2,2,2017-02-17 09:15:00+05:30,2017-02-28 14:15:00+05:30,Long,8815.05,8755.45625,8872.7,Trailing SL Hit,57.650000000001455,3.53755,54.11245000000145,9075.38811464484,491091.4855843264,4.910914855843264,2017,471.79910000000217,4.910914855843264
3,3,3,2017-03-02 09:15:00+05:30,2017-03-02 14:15:00+05:30,Long,8984.15,8932.199999999999,8932.199999999999,Initial SL Hit,-51.95000000000073,3.5832699999999997,-55.533270000000726,8904.570827512898,-494499.9359984037,-4.944999359984037,2017,416.2658300000014,-4.944999359984037
4,4,4,2017-03-06 09:15:00+05:30,2017-03-08 10:15:00+05:30,Long,8951.9,8875.48125,8908.05,Trailing SL Hit,-43.850000000000364,3.5719899999999996,-47.42199000000036,8936.65032004379,-423793.74211061664,-4.2379374211061664,2017,368.843840000001,-4.2379374211061664
5,5,5,2017-03-14 09:15:00+05:30,2017-03-22 09:15:00+05:30,Long,9078.95,8942.475,9041.1,Trailing SL Hit,-37.850000000000364,3.6240100000000006,-41.47401000000036,8811.591648814014,-365452.0401588321,-3.6545204015883206,2017,327.36983000000066,-3.6545204015883206
6,6,6,2017-03-24 09:15:00+05:30,2017-03-27 09:15:00+05:30,Long,9123.4,9064.225,9064.225,Initial SL Hit,-59.17499999999927,3.637525,-62.81252499999927,8768.660806278362,-550781.7261108734,-5.507817261108734,2017,264.5573050000014,-5.507817261108734
7,7,7,2017-04-18 09:15:00+05:30,2017-04-18 12:15:00+05:30,Long,9213.5,9132.9125,9177.65,Trailing SL Hit,-35.850000000000364,3.6782300000000006,-39.52823000000036,8682.910945894611,-343220.1009388429,-3.4322010093884288,2017,225.02907500000106,-3.4322010093884288
8,8,8,2017-04-24 12:15:00+05:30,2017-05-05 11:15:00+05:30,Long,9199.4,9127.13125,9296.5,Trailing SL Hit,97.10000000000036,3.6991800000000006,93.40082000000037,8696.219318651216,812234.015261868,8.12234015261868,2017,318.4298950000014,8.12234015261868
9,9,9,2017-05-10 09:15:00+05:30,2017-05-18 15:15:00+05:30,Long,9382.2,9317.325,9423.75,Trailing SL Hit,41.54999999999927,3.7611900000000005,37.78880999999927,8526.784762635629,322217.04930612666,3.2221704930612667,2017,356.2187050000007,3.2221704930612667
10,10,10,2017-05-25 13:15:00+05:30,2017-06-09 09:15:00+05:30,Long,9462.9,9383.2625,9625.3,Trailing SL Hit,162.39999999999964,3.8176399999999995,158.58235999999962,8454.067991841825,1340666.053746734,13.40666053746734,2017,514.8010650000003,13.40666053746734
