,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year,Cumulative_PnL,ROI% w cs
0,0,0,2017-01-05 10:15:00+05:30,2017-01-20 12:15:00+05:30,Long,8255.35,8196.944444444445,8380.95,Trailing SL Hit,125.60000000000036,3.3272600000000008,122.27274000000037,9690.685434294124,1184906.660529236,11.84906660529236,2017,122.27274000000037,11.84906660529236
1,1,1,2017-01-24 09:15:00+05:30,2017-02-15 11:15:00+05:30,Long,8431.85,8364.277777777777,8739.65,Trailing SL Hit,307.7999999999993,3.4343000000000004,304.36569999999926,9487.83481679584,2887771.48549843,28.8777148549843,2017,426.6384399999996,28.8777148549843
2,2,2,2017-02-17 09:15:00+05:30,2017-02-28 14:15:00+05:30,Long,8815.05,8751.494444444445,8872.7,Trailing SL Hit,57.650000000001455,3.53755,54.11245000000145,9075.38811464484,491091.4855843264,4.910914855843264,2017,480.75089000000105,4.910914855843264
3,3,3,2017-03-02 09:15:00+05:30,2017-03-02 14:15:00+05:30,Long,8984.15,8925.627777777778,8925.627777777778,Initial SL Hit,-58.5222222222219,3.5819555555555556,-62.10417777777745,8904.570827512898,-553011.0497066719,-5.530110497066718,2017,418.6467122222236,-5.530110497066718
4,4,4,2017-03-06 09:15:00+05:30,2017-03-08 10:15:00+05:30,Long,8951.9,8875.961111111112,8908.05,Trailing SL Hit,-43.850000000000364,3.5719899999999996,-47.42199000000036,8936.65032004379,-423793.74211061664,-4.2379374211061664,2017,371.22472222222325,-4.2379374211061664
5,5,5,2017-03-14 09:15:00+05:30,2017-03-22 09:15:00+05:30,Long,9078.95,8939.977777777778,9041.1,Trailing SL Hit,-37.850000000000364,3.6240100000000006,-41.47401000000036,8811.591648814014,-365452.0401588321,-3.6545204015883206,2017,329.7507122222229,-3.6545204015883206
6,6,6,2017-03-24 09:15:00+05:30,2017-03-27 09:15:00+05:30,Long,9123.4,9059.761111111111,9059.761111111111,Initial SL Hit,-63.63888888888869,3.6366322222222225,-67.2755211111109,8768.660806278362,-589916.2251889507,-5.899162251889507,2017,262.475191111112,-5.899162251889507
7,7,7,2017-04-18 09:15:00+05:30,2017-04-18 12:15:00+05:30,Long,9213.5,9134.25,9177.65,Trailing SL Hit,-35.850000000000364,3.6782300000000006,-39.52823000000036,8682.910945894611,-343220.1009388429,-3.4322010093884288,2017,222.94696111111165,-3.4322010093884288
8,8,8,2017-04-24 12:15:00+05:30,2017-05-05 11:15:00+05:30,Long,9199.4,9128.900000000001,9296.5,Trailing SL Hit,97.10000000000036,3.6991800000000006,93.40082000000037,8696.219318651216,812234.015261868,8.12234015261868,2017,316.347781111112,8.12234015261868
9,9,9,2017-05-10 09:15:00+05:30,2017-05-18 15:15:00+05:30,Long,9382.2,9316.43888888889,9423.75,Trailing SL Hit,41.54999999999927,3.7611900000000005,37.78880999999927,8526.784762635629,322217.04930612666,3.2221704930612667,2017,354.1365911111113,3.2221704930612667
10,10,10,2017-05-25 13:15:00+05:30,2017-06-09 09:15:00+05:30,Long,9462.9,9380.255555555555,9625.3,Trailing SL Hit,162.39999999999964,3.8176399999999995,158.58235999999962,8454.067991841825,1340666.053746734,13.40666053746734,2017,512.7189511111109,13.40666053746734
11,11,11,2017-07-03 09:15:00+05:30,2017-08-03 14:15:00+05:30,Long,9568.0,9488.638888888889,10020.05,Trailing SL Hit,452.0499999999993,3.9176100000000003,448.13238999999925,8361.204013377926,3746926.337792636,37.46926337792636,2017,960.8513411111101,37.46926337792636
12,12,12,2017-08-16 14:15:00+05:30,2017-08-18 09:15:00+05:30,Long,9895.55,9803.516666666666,9843.95,Trailing SL Hit,-51.599999999998545,3.9479,-55.54789999999854,8084.441996655063,-449073.775585984,-4.49073775585984,2017,905.3034411111115,-4.49073775585984
13,13,13,2017-08-23 14:15:00+05:30,2017-08-29 09:15:00+05:30,Long,9854.05,9781.255555555555,9840.4,Trailing SL Hit,-13.649999999999636,3.93889,-17.588889999999637,8118.489352093809,-142795.21618014632,-1.4279521618014632,2017,887.7145511111119,-1.4279521618014632
14,14,14,2017-08-30 11:15:00+05:30,2017-09-04 11:15:00+05:30,Long,9900.45,9823.844444444443,9881.15,Trailing SL Hit,-19.30000000000109,3.95632,-23.25632000000109,8080.440788044987,-187921.3167078352,-1.879213167078352,2017,864.4582311111108,-1.879213167078352
15,15,15,2017-09-11 13:15:00+05:30,2017-09-21 09:15:00+05:30,Long,10022.75,9956.172222222222,10089.7,Trailing SL Hit,66.95000000000073,4.02249,62.92751000000073,7981.841311017435,502277.3989174686,5.022773989174686,2017,927.3857411111115,5.022773989174686
