index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Cumulative_PnL,Trade Year,ROI% w cs
0,0,2015-03-20 17:00:00+05:30,2015-03-31 21:00:00+05:30,Long,26108.0,25711.571428571428,26230,122.0,52.338,69.662,1261.261261261258,87861.98198198175,0.8786198198198175,69.662,2015,0.8786198198198175
1,1,2015-04-06 09:00:00+05:30,2015-04-09 09:00:00+05:30,Long,26963.0,26416.10714285714,26506,-457.0,53.469,-510.469,914.2558610331065,-466699.27512570884,-4.666992751257088,-440.807,2015,-4.666992751257088
2,2,2015-04-28 21:00:00+05:30,2015-04-30 17:00:00+05:30,Long,27210.0,26804.035714285714,26804.035714285714,-405.96428571428623,54.01403571428571,-459.9783214285719,1231.6354359109687,-566525.6004222748,-5.665256004222748,-900.7853214285719,2015,-5.665256004222748
3,3,2015-05-13 17:00:00+05:30,2015-05-21 17:00:00+05:30,Long,27455.0,26888.678571428572,27141,-314.0,54.596000000000004,-368.596,882.8908368543877,-325430.0309011799,-3.2543003090117986,-1269.381321428572,2015,-3.2543003090117986
4,4,2015-08-10 17:00:00+05:30,2015-09-03 17:00:00+05:30,Long,25149.0,24780.214285714286,26365,1216.0,51.514,1164.486,1355.800890954873,1578811.1563044763,15.788111563044763,-104.89532142857183,2015,15.788111563044763
5,4,2015-08-17 17:00:00+05:30,2015-09-03 17:00:00+05:30,Add_Long,25978.0,24780.214285714286,26365,387.0,52.343,334.657,417.4369372055581,139698.19309440046,1.3969819309440046,229.76167857142815,2015,1.3969819309440046
6,4,2015-08-28 17:00:00+05:30,2015-09-03 17:00:00+05:30,Add_Long,26574.0,24780.214285714286,26365,-209.0,52.939,-261.939,278.7400947716323,-73012.9016843866,-0.730129016843866,-32.17732142857187,2015,-0.730129016843866
7,5,2015-09-18 17:00:00+05:30,2015-09-22 13:00:00+05:30,Long,26487.0,26083.14285714286,26283,-204.0,52.77,-256.77,1238.0615493456007,-317897.0640254699,-3.1789706402546987,-288.94732142857185,2015,-3.1789706402546987
8,6,2015-09-24 17:00:00+05:30,2015-09-30 09:00:00+05:30,Long,27034.0,26244.214285714286,26291,-743.0,53.325,-796.325,633.083114768925,-504139.91136836424,-5.041399113683642,-1085.272321428572,2015,-5.041399113683642
9,7,2015-10-12 09:00:00+05:30,2015-10-22 21:00:00+05:30,Long,26822.0,26342.321428571428,26855,33.0,53.677,-20.677,1042.3646787283128,-21552.974462065322,-0.21552974462065325,-1105.949321428572,2015,-0.21552974462065325
10,7,2015-10-20 17:00:00+05:30,2015-10-22 21:00:00+05:30,Add_Long,27170.0,26342.321428571428,26855,-315.0,54.025,-369.025,604.0992448759431,-222927.7238403449,-2.2292772384034487,-1474.9743214285718,2015,-2.2292772384034487
11,8,2015-12-04 17:00:00+05:30,2015-12-10 17:00:00+05:30,Long,25752.0,25137.714285714286,25413,-339.0,51.165,-390.165,813.9534883720937,-317576.16279069794,-3.1757616279069794,-1865.1393214285717,2015,-3.1757616279069794
12,8,2015-12-09 17:00:00+05:30,2015-12-10 17:00:00+05:30,Add_Long,25674.0,25137.714285714286,25413,-261.0,51.087,-312.087,932.3388385721905,-290970.8311134792,-2.9097083111347923,-2177.2263214285717,2015,-2.9097083111347923
13,9,2016-01-04 17:00:00+05:30,2016-03-09 17:00:00+05:30,Long,25440.0,25077.928571428572,29381,3941.0,54.821,3886.179,1380.9429867824067,5366591.635431067,53.665916354310674,1708.9526785714284,2016,53.665916354310674
14,9,2016-01-14 09:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,25966.0,25077.928571428572,29381,3415.0,55.347,3359.653,563.0177752754772,1891544.3577575828,18.915443577575825,5068.605678571428,2016,18.915443577575825
15,9,2016-01-20 09:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,26100.0,25077.928571428572,29381,3281.0,55.481,3225.519,489.2025997623878,1577932.2803829773,15.779322803829775,8294.124678571428,2016,15.779322803829775
16,9,2016-01-25 17:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,26399.0,25077.928571428572,29381,2982.0,55.78,2926.22,378.48067045147366,1107517.7074885112,11.075177074885111,11220.344678571428,2016,11.075177074885111
17,9,2016-02-01 17:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,26760.0,25077.928571428572,29381,2621.0,56.141,2564.859,297.25253726272894,762410.8454711457,7.624108454711457,13785.203678571428,2016,7.624108454711457
18,9,2016-02-11 09:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,28485.0,25077.928571428572,29381,896.0,57.866,838.134,146.75360070441732,122999.18237279612,1.2299918237279612,14623.337678571428,2016,1.2299918237279612
19,9,2016-02-18 21:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,29050.0,25077.928571428572,29381,331.0,58.431000000000004,272.569,125.87890449387692,34310.68711899154,0.3431068711899154,14895.906678571428,2016,0.3431068711899154
20,9,2016-03-01 09:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,29750.0,25077.928571428572,29381,-369.0,59.131,-428.131,107.01891177055148,-45818.113715237974,-0.45818113715237974,14467.775678571428,2016,-0.45818113715237974
21,9,2016-03-03 17:00:00+05:30,2016-03-09 17:00:00+05:30,Add_Long,29391.0,25077.928571428572,29381,-10.0,58.772,-68.77199999999999,115.92666810194925,-7972.508818707252,-0.07972508818707252,14399.003678571427,2016,-0.07972508818707252
22,10,2016-04-07 17:00:00+05:30,2016-04-14 17:00:00+05:30,Long,29122.0,28572.714285714286,28900,-222.0,58.022,-280.022,910.2730819245783,-254896.48894668426,-2.5489648894668426,14118.981678571427,2016,-2.5489648894668426
23,11,2016-04-29 09:00:00+05:30,2016-05-10 13:00:00+05:30,Long,29997.0,29256.678571428572,29781,-216.0,59.778,-275.778,675.3823146316764,-186255.58396449446,-1.8625558396449446,13843.203678571426,2016,-1.8625558396449446
24,11,2016-05-06 17:00:00+05:30,2016-05-10 13:00:00+05:30,Add_Long,30180.0,29256.678571428572,29781,-399.0,59.961,-458.961,541.5232274784364,-248538.04200673065,-2.4853804200673064,13384.242678571427,2016,-2.4853804200673064
25,12,2016-06-03 17:00:00+05:30,2016-06-22 21:00:00+05:30,Long,29367.0,28771.0,30091,724.0,59.458,664.542,838.9261744966443,557501.677852349,5.57501677852349,14048.784678571426,2016,5.57501677852349
26,12,2016-06-08 09:00:00+05:30,2016-06-22 21:00:00+05:30,Add_Long,29499.0,28771.0,30091,592.0,59.59,532.41,686.8131868131868,365666.20879120874,3.6566620879120872,14581.194678571426,2016,3.6566620879120872
27,12,2016-06-20 21:00:00+05:30,2016-06-22 21:00:00+05:30,Add_Long,30657.0,28771.0,30091,-566.0,60.748000000000005,-626.748,265.11134676564154,-166158.0063626723,-1.6615800636267233,13954.446678571427,2016,-1.6615800636267233
28,13,2016-06-24 09:00:00+05:30,2016-06-24 09:00:00+05:30,Long,31489.0,30286.535714285714,30286.535714285714,-1202.4642857142862,61.77553571428571,-1264.239821428572,415.81276545189917,-525687.0563426297,-5.256870563426297,12690.206857142855,2016,-5.256870563426297
29,14,2016-06-24 13:00:00+05:30,2016-07-12 17:00:00+05:30,Long,31469.0,30318.571428571428,31210,-259.0,62.679,-321.679,434.62063827145124,-139808.33229852215,-1.3980833229852214,12368.527857142855,2016,-1.3980833229852214
30,14,2016-07-01 09:00:00+05:30,2016-07-12 17:00:00+05:30,Add_Long,31420.0,30318.571428571428,31210,-210.0,62.63,-272.63,453.9559014267181,-123761.99740596616,-1.2376199740596616,12095.897857142856,2016,-1.2376199740596616
31,15,2016-07-29 17:00:00+05:30,2016-08-05 17:00:00+05:30,Long,31330.0,30853.75,31274,-56.0,62.604,-118.604,1049.8687664041995,-124518.63517060368,-1.2451863517060366,11977.293857142857,2016,-1.2451863517060366
32,16,2016-09-06 21:00:00+05:30,2016-09-12 13:00:00+05:30,Long,31372.0,30833.071428571428,31115,-257.0,62.487,-319.487,927.7667329357172,-296409.4102054335,-2.964094102054335,11657.806857142858,2016,-2.964094102054335
33,17,2016-11-01 21:00:00+05:30,2016-11-07 17:00:00+05:30,Long,30295.0,29884.85714285714,30093,-202.0,60.388,-262.388,1219.0874259839732,-319873.91152908275,-3.1987391152908273,11395.418857142857,2016,-3.1987391152908273
34,18,2016-11-09 09:00:00+05:30,2016-11-09 17:00:00+05:30,Long,30894.0,30209.821428571428,30209.821428571428,-684.1785714285725,61.10382142857143,-745.2823928571439,730.8033616954627,-544654.8781124393,-5.446548781124393,10650.136464285713,2016,-5.446548781124393
35,19,2016-12-29 09:00:00+05:30,2017-01-25 21:00:00+05:30,Long,27429.0,27043.678571428572,28370,941.0,55.799,885.201,1297.617944202432,1148652.701825937,11.48652701825937,11535.337464285712,2016,11.48652701825937
36,19,2017-01-23 09:00:00+05:30,2017-01-25 21:00:00+05:30,Add_Long,28696.0,27043.678571428572,28370,-326.0,57.066,-383.06600000000003,302.60456068302193,-115917.51864260249,-1.159175186426025,11152.271464285712,2017,-1.159175186426025
37,20,2017-02-01 09:00:00+05:30,2017-03-02 21:00:00+05:30,Long,28930.0,28512.821428571428,29166,236.0,58.096000000000004,177.904,1198.5275233284792,213222.84051022975,2.1322284051022975,11330.175464285712,2017,2.1322284051022975
38,20,2017-02-16 09:00:00+05:30,2017-03-02 21:00:00+05:30,Add_Long,29173.0,28512.821428571428,29166,-7.0,58.339,-65.339,757.3708412226117,-49485.853394644226,-0.49485853394644225,11264.836464285712,2017,-0.49485853394644225
39,20,2017-02-21 21:00:00+05:30,2017-03-02 21:00:00+05:30,Add_Long,29325.0,28512.821428571428,29166,-159.0,58.491,-217.49099999999999,615.6281605910023,-133893.58427509767,-1.3389358427509768,11047.345464285712,2017,-1.3389358427509768
40,21,2017-03-21 17:00:00+05:30,2017-03-29 09:00:00+05:30,Long,28705.0,28283.75,28680,-25.0,57.385,-82.38499999999999,1186.9436201780416,-97786.35014836794,-0.9778635014836794,10964.960464285712,2017,-0.9778635014836794
