,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
10,10,10,2017-05-25 13:15:00+05:30,2017-06-09 09:15:00+05:30,Long,30612.29,30364.432222222225,31143.43,Trailing SL Hit,531.1399999999994,6.175572000000001,524.9644279999994,2613.329483027895,1371905.0172332732,13.719050172332734,2017
11,11,11,2017-06-22 10:15:00+05:30,2017-06-23 09:15:00+05:30,Long,31480.77,31253.66333333333,31253.66333333333,Initial SL Hit,-227.1066666666702,6.273443333333334,-233.38011000000355,2541.233902474431,-593073.447695221,-5.930734476952211,2017
12,12,12,2017-07-03 09:15:00+05:30,2017-07-18 12:15:00+05:30,Long,31088.85,30814.01666666667,31780.11,Trailing SL Hit,691.260000000002,6.2868960000000005,684.9731040000021,2573.269837900083,1762620.628296002,17.626206282960023,2017
13,13,13,2017-07-24 10:15:00+05:30,2017-08-03 09:15:00+05:30,Long,32223.26,31961.060000000005,32307.52,Trailing SL Hit,84.26000000000204,6.4530780000000005,77.80692200000203,2482.6786613148392,193169.58495199317,1.9316958495199315,2017
14,14,14,2017-08-16 14:15:00+05:30,2017-08-17 10:15:00+05:30,Long,31758.83,31489.36,31746.65,Trailing SL Hit,-12.180000000000291,6.350548000000001,-18.53054800000029,2518.9844840001974,-46678.162892021624,-0.4667816289202162,2017
15,15,15,2017-09-01 09:15:00+05:30,2017-09-04 11:15:00+05:30,Long,31883.46,31618.296666666665,31618.296666666665,Initial SL Hit,-265.16333333333387,6.350175666666667,-271.5135090000005,2509.13796683296,-681264.8539399438,-6.812648539399437,2017
16,16,16,2017-09-12 10:15:00+05:30,2017-09-22 09:15:00+05:30,Long,32066.3,31875.475555555553,32089.93,Trailing SL Hit,23.63000000000102,6.415623,17.21437700000102,2494.831021976343,42946.96176359859,0.42946961763598596,2017
17,17,17,2017-10-12 14:15:00+05:30,2017-11-07 13:15:00+05:30,Long,32178.87,31872.886666666665,33414.26,Trailing SL Hit,1235.390000000003,6.559313,1228.830687000003,2486.1034585739026,3055000.2209524526,30.550002209524525,2017
18,18,18,2017-11-16 15:15:00+05:30,2017-11-30 09:15:00+05:30,Long,33139.54,32915.71444444444,33378.1,Trailing SL Hit,238.55999999999767,6.651764,231.90823599999766,2414.034715026219,559834.5324044875,5.598345324044875,2017
19,19,19,2017-12-08 09:15:00+05:30,2017-12-13 13:15:00+05:30,Long,33163.91,32780.09,33106.49,Trailing SL Hit,-57.42000000000553,6.62704,-64.04704000000552,2412.2607979577797,-154498.16381724717,-1.5449816381724717,2017
20,20,20,2017-12-15 09:15:00+05:30,2017-12-18 09:15:00+05:30,Long,33570.02,33062.313333333324,33062.313333333324,Initial SL Hit,-507.7066666666724,6.663233333333332,-514.3699000000057,2383.0787113025253,-1225783.9584248224,-12.257839584248224,2017
21,21,21,2018-01-05 09:15:00+05:30,2018-02-02 09:15:00+05:30,Long,34146.38,33875.80777777777,35563.46,Trailing SL Hit,1417.0800000000017,6.970984,1410.1090160000017,2342.8544987784944,3303680.2519037197,33.0368025190372,2018
22,22,22,2018-02-23 11:15:00+05:30,2018-02-28 14:15:00+05:30,Long,34036.91,33785.35666666667,34161.57,Trailing SL Hit,124.65999999999622,6.819848000000001,117.84015199999621,2350.3896211495107,276970.27021547186,2.769702702154719,2018
23,23,23,2018-03-12 09:15:00+05:30,2018-03-14 11:15:00+05:30,Long,33645.17,33367.294444444444,33633.79,Trailing SL Hit,-11.37999999999738,6.727895999999999,-18.107895999997382,2377.7558561897595,-43056.1557572689,-0.430561557572689,2018
24,24,24,2018-03-26 14:15:00+05:30,2018-03-28 09:15:00+05:30,Long,33084.77,32611.103333333333,32947.74,Trailing SL Hit,-137.02999999999884,6.603251,-143.63325099999884,2418.031015479328,-347309.65577212436,-3.473096557721244,2018
25,25,25,2018-04-05 14:15:00+05:30,2018-05-16 09:15:00+05:30,Long,33621.9,33272.39888888889,35276.8,Trailing SL Hit,1654.9000000000015,6.889870000000002,1648.0101300000015,2379.4015210324224,3921277.809998844,39.212778099988434,2018
26,26,26,2018-05-25 10:15:00+05:30,2018-05-25 11:15:00+05:30,Long,34860.3,34546.64888888889,34828.67,Trailing SL Hit,-31.630000000004657,6.968897,-38.598897000004655,2294.874111812004,-88579.6094698087,-0.885796094698087,2018
27,27,27,2018-05-25 13:15:00+05:30,2018-05-30 09:15:00+05:30,Long,34965.88,34673.793333333335,34829.55,Trailing SL Hit,-136.32999999999447,6.979543,-143.30954299999448,2287.944704952371,-327884.3100759815,-3.278843100759815,2018
28,28,28,2018-05-31 14:15:00+05:30,2018-06-04 14:15:00+05:30,Long,35286.91,34945.47555555556,35032.18,Trailing SL Hit,-254.7300000000032,7.031909,-261.7619090000032,2267.129652327166,-593448.1857436724,-5.934481857436724,2018
29,29,29,2018-06-07 09:15:00+05:30,2018-06-15 12:15:00+05:30,Long,35458.16,35041.79111111111,35451.1,Trailing SL Hit,-7.060000000004948,7.090926000000001,-14.150926000004949,2256.180241727151,-31927.039643354194,-0.31927039643354194,2018
30,30,30,2018-06-22 14:15:00+05:30,2018-06-25 14:15:00+05:30,Long,35718.29,35425.81444444444,35475.77,Trailing SL Hit,-242.52000000000407,7.119406,-249.63940600000407,2239.7488793556467,-559129.5798315185,-5.591295798315184,2018
31,31,31,2018-06-29 13:15:00+05:30,2018-07-02 09:15:00+05:30,Long,35393.56,35127.73333333334,35238.49,Trailing SL Hit,-155.0699999999997,7.063204999999999,-162.13320499999972,2260.2982011416766,-366469.3916068341,-3.664693916068341,2018
32,32,32,2018-07-04 14:15:00+05:30,2018-08-02 13:15:00+05:30,Long,35650.91,35384.69777777778,37192.77,Trailing SL Hit,1541.8599999999933,7.284368,1534.5756319999932,2243.9819909225316,3443560.081916547,34.435600819165465,2018
33,33,33,2018-08-06 09:15:00+05:30,2018-08-13 09:15:00+05:30,Long,37669.17,37419.77777777778,37609.07,Trailing SL Hit,-60.099999999998545,7.527824,-67.62782399999854,2123.7526603320434,-143624.7711324641,-1.436247711324641,2018
34,34,34,2018-08-20 09:15:00+05:30,2018-09-03 13:15:00+05:30,Long,38243.08,37906.40777777778,38565.62,Trailing SL Hit,322.5400000000009,7.680870000000001,314.85913000000085,2091.881720823741,658648.0586814678,6.586480586814678,2018
35,35,35,2018-09-14 12:15:00+05:30,2018-09-17 09:15:00+05:30,Long,38005.13,37673.00777777777,37746.39,Trailing SL Hit,-258.73999999999796,7.575151999999999,-266.31515199999797,2104.978985731663,-560587.7985419295,-5.605877985419294,2018
36,36,36,2018-10-16 09:15:00+05:30,2018-10-17 14:15:00+05:30,Long,35146.32,34686.62777777777,34791.44,Trailing SL Hit,-354.8799999999974,6.993776000000001,-361.8737759999974,2276.198475402261,-823696.5372192534,-8.236965372192532,2018
