,Contract,Strike,Trade Type,Expiry Date,DTE,Entry Date,Entry Time,Entry Price,Initial SL,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Remarks,Qty,ROI%,Trade Year,Trade Month
1,BANKNIFTY1721620300PE,20300,PE,2017-02-16,3 days,2017-02-13,09:18:00,131.05,163.8125,2017-02-13,09:22:00,163.8125,-32.76249999999999,-35.71112499999999,SL Hit,296.0820936951785,-1.0573424658210226,2017,2
2,BANKNIFTY1721620200PE,20200,PE,2017-02-16,3 days,2017-02-13,09:23:00,116.7,160.4625,2017-02-13,12:21:00,160.4625,-43.7625,-46.534125,SL Hit,296.0820936951785,-1.377792115827315,2017,2
3,BANKNIFTY1721620100PE,20100,PE,2017-02-16,3 days,2017-02-13,12:22:00,108.45,149.11875,2017-02-13,15:22:00,62.8,45.650000000000006,43.93750000000001,EOD,296.0820936951785,1.3009106991731907,2017,2
0,BANKNIFTY1721620200CE,20200,CE,2017-02-16,1 days,2017-02-15,09:18:00,153.0,191.25,2017-02-15,09:38:00,191.25,-38.25,-41.6925,SL Hit,295.82079176434917,-1.233350836063513,2017,2
1,BANKNIFTY1721620400PE,20400,PE,2017-02-16,1 days,2017-02-15,09:18:00,142.0,177.5,2017-02-15,11:14:00,177.5,-35.5,-38.695,SL Hit,295.82079176434917,-1.144678553732149,2017,2
2,BANKNIFTY1721620300PE,20300,PE,2017-02-16,1 days,2017-02-15,11:15:00,114.85,157.91875,2017-02-15,11:31:00,157.91875,-43.068749999999994,-45.796437499999996,SL Hit,295.82079176434917,-1.354753840123653,2017,2
3,BANKNIFTY1721620200PE,20200,PE,2017-02-16,1 days,2017-02-15,11:32:00,94.1,129.3875,2017-02-15,11:41:00,129.3875,-35.287499999999994,-37.522375,SL Hit,295.82079176434917,-1.109989868137882,2017,2
0,BANKNIFTY1721619900CE,19900,CE,2017-02-16,0 days,2017-02-16,09:18:00,300.0,375.0,2017-02-16,13:58:00,375.0,-75.0,-81.75,SL Hit,296.1595510221207,-2.4211043296058365,2017,2
1,BANKNIFTY1721620000CE,20000,CE,2017-02-16,0 days,2017-02-16,13:59:00,276.05,379.56875,2017-02-16,15:22:00,226.55,49.5,44.474,EOD,296.1595510221207,1.3171399872157796,2017,2
2,BANKNIFTY1721620600PE,20600,PE,2017-02-16,0 days,2017-02-16,09:19:00,375.85,469.8125,2017-02-16,10:14:00,469.8125,-93.96249999999998,-102.41912499999998,SL Hit,296.1595510221207,-3.033240207607845,2017,2
