Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI
2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,17700PE,09:16:00,15:22:00,1.1,0.05,847.4576271,-889.8305085,-1.05,-0.08898305085
2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,18300CE,09:16:00,15:22:00,2.3,0.05,819.6721311,-1844.262295,-2.25,-0.1844262295
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800CE,09:16:00,13:56:00,200,302.65,-168.5393258,-17300.5618,-102.65,-1.73005618
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800PE,09:16:00,13:56:00,4.95,0.1,-168.5393258,817.4157303,4.85,0.08174157303
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900CE,09:16:00,15:22:00,117.65,195,-167.5977654,-12963.68715,-77.35,-1.296368715
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900PE,09:16:00,15:22:00,18.35,0.05,-167.5977654,3067.039106,18.3,0.3067039106
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000CE,09:16:00,15:22:00,58,105.3,-166.6666667,-7883.333333,-47.3,-0.7883333333
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000PE,09:16:00,15:22:00,50,0.05,-166.6666667,8325,49.95,0.8325
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100CE,09:16:00,15:22:00,22.65,8.6,-165.7458564,2328.729282,14.05,0.2328729282
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100PE,09:16:00,15:22:00,111.4,0.2,-165.7458564,18430.93923,111.2,1.843093923
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200CE,09:16:00,15:22:00,7.35,0.05,-164.8351648,1203.296703,7.3,0.1203296703
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200PE,09:16:00,15:22:00,192.55,73.45,-164.8351648,19631.86813,119.1,1.963186813
2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300CE,13:56:00,15:22:00,0.6,0.05,-163.9344262,90.16393443,0.55,0.009016393443
2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300PE,13:56:00,15:22:00,170,174.3,-163.9344262,-704.9180328,-4.3,-0.07049180328
2017-01-12,CLOSED,HEDGE,2017-01-12,BANKNIFTY,18600PE,09:16:00,15:22:00,2.25,0.05,806.4516129,-1774.193548,-2.2,-0.1774193548
2017-01-12,CLOSED,HEDGE,2017-01-12,BANKNIFTY,19200CE,09:16:00,15:22:00,0.75,0.05,781.25,-546.875,-0.7,-0.0546875
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18700CE,09:16:00,15:22:00,136.6,162.3,-160.4278075,-4122.994652,-25.7,-0.4122994652
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18700PE,09:16:00,15:22:00,9.3,0.05,-160.4278075,1483.957219,9.25,0.1483957219
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18800CE,09:16:00,15:22:00,67.3,64.25,-159.5744681,486.7021277,3.05,0.04867021277
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18800PE,09:16:00,,34.7,10000,-159.5744681,0,-9965.3,0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18900CE,09:16:00,,29,10000,-158.7301587,0,-9971,0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18900PE,09:16:00,15:22:00,90,18,-158.7301587,11428.57143,72,1.142857143
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000CE,09:16:00,,10.55,10000,-157.8947368,0,-9989.45,0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000PE,09:16:00,15:22:00,166.9,121.5,-157.8947368,7168.421053,45.4,0.7168421053
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19100CE,09:16:00,,2.75,10000,-157.0680628,0,-9997.25,0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19100PE,,,10000,10000,-157.0680628,0,0,0
2017-01-19,CLOSED,HEDGE,2017-01-19,BANKNIFTY,18800PE,09:16:00,,1.15,10000,797.8723404,0,9998.85,0
2017-01-19,CLOSED,HEDGE,2017-01-19,BANKNIFTY,19400CE,09:16:00,15:22:00,2.45,0.05,773.1958763,-1855.670103,-2.4,-0.1855670103
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,18900CE,09:16:00,15:22:00,224.5,217.3,-158.7301587,1142.857143,7.2,0.1142857143
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,18900PE,09:16:00,15:22:00,2.8,0.05,-158.7301587,436.5079365,2.75,0.04365079365
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19000CE,09:16:00,15:22:00,138,120.25,-157.8947368,2802.631579,17.75,0.2802631579
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19000PE,09:16:00,15:22:00,12.45,0.05,-157.8947368,1957.894737,12.4,0.1957894737
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19100CE,09:16:00,15:22:00,68.05,20.55,-157.0680628,7460.732984,47.5,0.7460732984
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19100PE,09:16:00,,39.2,10000,-157.0680628,0,-9960.8,0
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19200CE,09:16:00,15:22:00,33.05,0.05,-156.25,5156.25,33,0.515625
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19200PE,09:16:00,15:22:00,89.95,70,-156.25,3117.1875,19.95,0.31171875
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19300CE,09:16:00,15:22:00,9.8,0.05,-155.4404145,1515.544041,9.75,0.1515544041
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19300PE,09:16:00,15:22:00,164.95,158.4,-155.4404145,1018.134715,6.55,0.1018134715
2017-01-25,SL CLOSED,HEDGE,2017-01-25,BANKNIFTY,18900PE,09:16:00,15:17:00,1.75,0.05,793.6507937,-1349.206349,-1.7,-0.1349206349
2017-01-25,SL CLOSED,HEDGE,2017-01-25,BANKNIFTY,19500CE,09:16:00,15:17:00,0.9,2.1,769.2307692,923.0769231,1.2,0.09230769231
