,entry_time,entry_price,exit_time,exit_price,strike,call_put,dir,exit_type,expiry,pnl,index,pnl_w_cs,qty,roi,Trade Year,ROI%
0,09:16:00,58.0,09:34:00,81.19999999999999,18000,C,short,sl,2017-01-05,-23.19999999999999,BNF,-24.591999999999988,64,-0.0015738879999999992,2017,-0.1573887999999999
1,09:16:00,7.35,09:34:00,9.35,18200,C,hedge,sl,2017-01-05,2.0,BNF,2.0,64,0.000128,2017,0.012799999999999999
2,09:16:00,50.0,13:54:00,2.500000000000002,18000,P,short,trgt,2017-01-05,47.5,BNF,46.975,64,0.0030064000000000002,2017,0.30064
3,09:16:00,4.95,13:54:00,0.1,17800,P,hedge,trgt,2017-01-05,-4.8500000000000005,BNF,-4.8500000000000005,64,-0.0003104,2017,-0.03104
4,10:15:00,64.75,12:16:00,97.125,18000,C,short,sl,2017-01-05,-32.375,BNF,-33.99375,64,-0.0021755999999999998,2017,-0.21755999999999998
5,10:15:00,4.35,12:16:00,6.5,18200,C,hedge,sl,2017-01-05,2.1500000000000004,BNF,2.1500000000000004,64,0.0001376,2017,0.013760000000000001
6,10:15:00,28.9,14:06:00,1.4450000000000012,18000,P,short,trgt,2017-01-05,27.455,BNF,27.151549999999997,64,0.0017376991999999997,2017,0.17376991999999997
7,10:15:00,1.75,14:06:00,0.15,17800,P,hedge,trgt,2017-01-05,-1.6,BNF,-1.6,64,-0.00010240000000000001,2017,-0.01024
8,11:15:00,61.5,12:16:00,98.4,18000,C,short,sl,2017-01-05,-36.900000000000006,BNF,-38.49900000000001,64,-0.0024639360000000008,2017,-0.24639360000000007
9,11:15:00,3.45,12:16:00,6.5,18200,C,hedge,sl,2017-01-05,3.05,BNF,3.05,64,0.0001952,2017,0.01952
10,11:15:00,25.7,14:06:00,1.285000000000001,18000,P,short,trgt,2017-01-05,24.415,BNF,24.145149999999997,64,0.0015452895999999998,2017,0.15452896
11,11:15:00,1.15,14:06:00,0.15,17800,P,hedge,trgt,2017-01-05,-0.9999999999999999,BNF,-0.9999999999999999,64,-6.4e-05,2017,-0.0063999999999999994
12,12:15:00,38.7,14:57:00,1.9350000000000016,18100,P,short,trgt,2017-01-05,36.765,BNF,36.35865,64,0.0023269536,2017,0.23269536
13,12:15:00,1.3,14:57:00,0.05,17900,P,hedge,trgt,2017-01-05,-1.25,BNF,-1.25,64,-8e-05,2017,-0.008
14,12:15:00,30.0,15:23:00,7.45,18100,C,short,time,2017-01-05,22.55,BNF,22.1755,64,0.0014192319999999999,2017,0.1419232
15,12:15:00,0.8,15:23:00,0.05,18300,C,hedge,time,2017-01-05,-0.75,BNF,-0.75,64,-4.8e-05,2017,-0.0048000000000000004
16,13:15:00,29.5,14:59:00,1.4750000000000014,18100,P,short,trgt,2017-01-05,28.025,BNF,27.715249999999997,64,0.001773776,2017,0.1773776
17,13:15:00,1.15,14:59:00,0.05,17900,P,hedge,trgt,2017-01-05,-1.0999999999999999,BNF,-1.0999999999999999,64,-7.039999999999999e-05,2017,-0.007039999999999999
18,13:15:00,27.35,15:23:00,7.45,18100,C,short,time,2017-01-05,19.900000000000002,BNF,19.552000000000003,64,0.0012513280000000001,2017,0.12513280000000002
19,13:15:00,0.45,15:23:00,0.05,18300,C,hedge,time,2017-01-05,-0.4,BNF,-0.4,64,-2.5600000000000002e-05,2017,-0.00256
20,14:15:00,14.75,14:19:00,28.025,18100,P,short,sl,2017-01-05,-13.274999999999999,BNF,-13.702749999999998,64,-0.0008769759999999999,2017,-0.08769759999999999
