entry_time,entry_price,exit_time,exit_price,strike,call_put,dir,exit_type,expiry,pnl,index,entry_type,num_indices,index_leverage,pnl_w_cs,qty,roi
2017-01-05 09:16,58.0,2017-01-05 09:34,81.19999999999999,18000,C,short,sl,2017-01-05,-23.19999999999999,BNF,original,1,7,-25.983999999999988,64,-0.0016629759999999992
2017-01-05 09:16,50.0,2017-01-05 13:54,2.500000000000002,18000,P,short,trgt,2017-01-05,47.5,BNF,original,1,7,46.45,64,0.0029728
2017-01-05 10:15,64.75,2017-01-05 12:16,97.125,18000,C,short,sl,2017-01-05,-32.375,BNF,original,1,7,-35.6125,64,-0.0022792
2017-01-05 10:15,28.9,2017-01-05 14:06,1.4450000000000012,18000,P,short,trgt,2017-01-05,27.455,BNF,original,1,7,26.8481,64,0.0017182783999999999
2017-01-05 11:15,61.5,2017-01-05 12:16,98.4,18000,C,short,sl,2017-01-05,-36.900000000000006,BNF,original,1,7,-40.098000000000006,64,-0.002566272
2017-01-05 11:15,25.7,2017-01-05 14:06,1.285000000000001,18000,P,short,trgt,2017-01-05,24.415,BNF,original,1,7,23.8753,64,0.0015280191999999999
2017-01-05 12:15,38.7,2017-01-05 14:57,1.9350000000000018,18100,P,short,trgt,2017-01-05,36.765,BNF,original,1,7,35.9523,64,0.0023009472
2017-01-05 12:15,30.0,2017-01-05 15:23,7.45,18100,C,short,time,2017-01-05,22.55,BNF,original,1,7,21.801000000000002,64,0.001395264
2017-01-05 13:15,29.5,2017-01-05 14:59,1.4750000000000014,18100,P,short,trgt,2017-01-05,28.025,BNF,original,1,7,27.4055,64,0.0017539519999999998
2017-01-05 13:15,27.35,2017-01-05 15:23,7.45,18100,C,short,time,2017-01-05,19.900000000000002,BNF,original,1,7,19.204,64,0.001229056
2017-01-05 14:15,14.75,2017-01-05 14:19,28.025,18100,P,short,sl,2017-01-05,-13.274999999999999,BNF,original,1,7,-14.130499999999998,64,-0.0009043519999999999
