,level_0,index,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,Index,DD%
0,0,287,SHORT,2018-01-01 10:15:00+05:30,2018-01-01 11:15:00+05:30,25541.4,25588.0,2018-01-04 12:15:00+05:30,25434.3,Reversed,107.10000000000218,102.00243000000218,117.4563649604172,3,12579.576687260938,11980.834644929664,1.2579576687260938,0.5990417322464832,2018,BANKNIFTY,0.0
1,1,2402,SHORT,2018-01-01 11:15:00+05:30,2018-01-01 12:15:00+05:30,10521.15,10537.85,2018-01-05 09:15:00+05:30,10537.85,Initial SL Hit,-16.700000000000728,-20.911800000000728,285.139932421836,3,-4761.836871444869,-5962.789238819158,-0.4761836871444869,-0.29813946194095786,2018,NIFTY,-0.29813946194095786
2,2,288,LONG,2018-01-04 11:15:00+05:30,2018-01-04 12:15:00+05:30,25434.3,25310.3,2018-01-05 11:15:00+05:30,25529.5,Reversed,95.20000000000071,90.10362000000072,117.95095599249832,3,11228.931010485929,10627.80811738488,1.1228931010485927,0.5313904058692439,2018,BANKNIFTY,0.0
3,3,289,SHORT,2018-01-05 10:15:00+05:30,2018-01-05 11:15:00+05:30,25529.5,25575.25,2018-01-05 13:15:00+05:30,25570.8,Reversed,-41.29999999999927,-46.41002999999928,117.51111459292191,3,-4853.20903268759,-5453.694353590859,-0.485320903268759,-0.27268471767954294,2018,BANKNIFTY,-0.27268471767954294
4,4,2403,SHORT,2018-01-05 10:15:00+05:30,2018-01-05 11:15:00+05:30,10544.9,10562.8,2018-01-05 13:15:00+05:30,10540.65,Reversed,4.25,0.03289,284.49771927661715,3,1209.115306925623,9.357129987007962,0.1209115306925622,0.00046785649935035,2018,NIFTY,-0.2722168611801926
5,5,290,LONG,2018-01-05 12:15:00+05:30,2018-01-05 13:15:00+05:30,25570.8,25508.4,2018-01-08 11:15:00+05:30,25717.85,Reversed,147.04999999999927,141.92113499999928,117.3213196302032,3,17252.100051621295,16650.374841616136,1.7252100051621295,0.8325187420808068,2018,BANKNIFTY,0.0
6,6,2404,LONG,2018-01-05 12:15:00+05:30,2018-01-05 13:15:00+05:30,10540.65,10520.1,2018-01-08 13:15:00+05:30,10609.75,Reversed,69.10000000000036,64.86992000000036,284.6124290247755,3,19666.718845612093,18462.78550184297,1.9666718845612088,0.9231392750921484,2018,NIFTY,0.0
7,7,291,SHORT,2018-01-08 10:15:00+05:30,2018-01-08 11:15:00+05:30,25717.85,25771.5,2018-01-09 09:15:00+05:30,25771.5,Initial SL Hit,-53.650000000001455,-58.79893500000146,116.65049761158107,3,-6258.299196861494,-6858.92502678118,-0.6258299196861494,-0.34294625133905904,2018,BANKNIFTY,-0.3429462513390591
8,8,2405,SHORT,2018-01-08 12:15:00+05:30,2018-01-08 13:15:00+05:30,10609.75,10623.2,2018-01-08 14:15:00+05:30,10623.2,Initial SL Hit,-13.450000000000728,-17.69659000000073,282.75878319470297,3,-3803.105633968961,-5003.866255095755,-0.380310563396896,-0.2501933127547878,2018,NIFTY,-0.5931395640938468
9,9,2406,SHORT,2018-01-08 15:15:00+05:30,2018-01-09 09:15:00+05:30,10614.55,10631.2,2018-01-09 09:15:00+05:30,10645.8,Gap Outside Initial SL,-31.25,-35.50207,282.6309169960102,3,-8832.21615612532,-10033.982599356546,-0.883221615612532,-0.5016991299678274,2018,NIFTY,-1.0948386940616741
10,10,293,SHORT,2018-01-09 10:15:00+05:30,2018-01-09 11:15:00+05:30,25666.75,25803.8,2018-01-09 11:15:00+05:30,25706.45,Reversed,-39.70000000000073,-44.83732000000073,116.88273739370976,3,-4640.244674530362,-5240.708698997816,-0.4640244674530362,-0.2620354349498908,2018,BANKNIFTY,-1.356874129011565
11,11,2408,SHORT,2018-01-09 10:15:00+05:30,2018-01-09 11:15:00+05:30,10625.85,10659.15,2018-01-09 11:15:00+05:30,10636.1,Reversed,-10.25,-14.50239,282.3303547480907,3,-2893.8861361679296,-4094.4649133951634,-0.2893886136167929,-0.2047232456697582,2018,NIFTY,-1.5615973746813232
12,12,2409,LONG,2018-01-09 10:15:00+05:30,2018-01-09 11:15:00+05:30,10636.1,10607.9,2018-01-09 13:15:00+05:30,10612.45,Reversed,-23.64999999999964,-27.89970999999964,282.0582732392512,3,-6670.678162108188,-7869.344026475766,-0.6670678162108188,-0.3934672013237883,2018,NIFTY,-1.9550645760051113
13,13,294,LONG,2018-01-09 10:15:00+05:30,2018-01-09 11:15:00+05:30,25706.45,25617.25,2018-01-09 13:15:00+05:30,25642.1,Reversed,-64.35000000000218,-69.48485500000218,116.70222842905184,3,-7509.788399409741,-8109.0374205698,-0.7509788399409741,-0.40545187102849,2018,BANKNIFTY,-2.3605164470336013
14,14,2407,LONG,2018-01-09 10:15:00+05:30,2018-01-09 11:15:00+05:30,10625.85,10659.15,2018-01-09 11:15:00+05:30,10629.85,Gap Outside Initial SL,4.0,-0.2511400000000003,282.3303547480907,3,1129.3214189923629,-70.90444529143561,0.1129321418992362,-0.00354522226457175,2018,NIFTY,-2.3640616692981733
15,15,292,LONG,2018-01-09 10:15:00+05:30,2018-01-09 11:15:00+05:30,25666.75,25803.8,2018-01-09 11:15:00+05:30,25698.1,Gap Outside Initial SL,31.349999999998545,26.213514999998544,116.88273739370976,3,3664.273817292631,3063.9073899109017,0.3664273817292631,0.15319536949554505,2018,BANKNIFTY,-2.2108662998026283
16,16,296,SHORT,2018-01-09 12:15:00+05:30,2018-01-09 13:15:00+05:30,25642.1,25711.55,2018-01-09 13:15:00+05:30,25711.55,Initial SL Hit,-69.45000000000073,-74.58536500000072,116.99509790539776,3,-8125.30954952996,-8726.122080484913,-0.812530954952996,-0.43630610402424563,2018,BANKNIFTY,-2.6471724038268736
17,17,2410,SHORT,2018-01-09 12:15:00+05:30,2018-01-09 13:15:00+05:30,10612.45,10636.65,2018-01-09 14:15:00+05:30,10636.65,Initial SL Hit,-24.19999999999891,-28.44981999999891,282.68684422541446,3,-6841.0216302547215,-8042.389834580772,-0.6841021630254722,-0.4021194917290386,2018,NIFTY,-3.0492918955559123
18,18,295,LONG,2018-01-09 12:15:00+05:30,2018-01-09 13:15:00+05:30,25642.1,25711.55,2018-01-09 13:15:00+05:30,25711.55,Initial SL Hit,69.45000000000073,64.31463500000073,116.99509790539776,3,8125.30954952996,7524.497018575008,0.812530954952996,0.3762248509287504,2018,BANKNIFTY,-2.673067044627162
19,19,297,SHORT,2018-01-09 14:15:00+05:30,2018-01-09 15:15:00+05:30,25684.15,25731.7,2018-01-10 13:15:00+05:30,25619.15,Reversed,65.0,59.86967,116.80355394280129,3,7592.231006282083,6992.990229382712,0.7592231006282084,0.3496495114691356,2018,BANKNIFTY,-2.3234175331580262
20,20,2411,SHORT,2018-01-10 10:15:00+05:30,2018-01-10 11:15:00+05:30,10614.25,10655.5,2018-01-10 13:15:00+05:30,10618.1,Reversed,-3.850000000000364,-8.096470000000362,282.638905245307,3,-1088.1597851945348,-2288.3774171515734,-0.1088159785194534,-0.11441887085757865,2018,NIFTY,-2.437836404015605
21,21,2412,LONG,2018-01-10 12:15:00+05:30,2018-01-10 13:15:00+05:30,10618.1,10592.7,2018-01-11 14:15:00+05:30,10647.0,Reversed,28.89999999999964,24.64697999999964,282.5364236539494,3,8165.302643599034,6963.669583070315,0.8165302643599034,0.3481834791535157,2018,NIFTY,-2.089652924862089
