,level_0,index,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,Index,DD%
22,22,298,LONG,2018-01-10 12:15:00+05:30,2018-01-10 13:15:00+05:30,25619.15,25527.5,2018-01-11 14:15:00+05:30,25625.4,Reversed,6.25,1.1255449999999998,117.0999037829124,3,731.8743986432024,131.8012112033381,0.0731874398643202,0.0065900605601669,2018,BANKNIFTY,-2.0830628643019224
23,23,300,SHORT,2018-01-11 13:15:00+05:30,2018-01-11 14:15:00+05:30,25625.4,25688.8,2018-01-11 14:15:00+05:30,25688.8,Initial SL Hit,-63.39999999999782,-68.53141999999782,117.07134327659274,3,-7422.323163735724,-8023.065396052099,-0.7422323163735725,-0.4011532698026049,2018,BANKNIFTY,-2.4842161341045275
24,24,2413,SHORT,2018-01-11 13:15:00+05:30,2018-01-11 14:15:00+05:30,10647.0,10664.6,2018-01-12 09:15:00+05:30,10685.6,Gap Outside Initial SL,-38.60000000000037,-42.86652000000037,281.7695125387433,3,-10876.303183995597,-12078.478444632392,-1.0876303183995597,-0.6039239222316196,2018,NIFTY,-3.088140056336147
25,25,299,LONG,2018-01-11 13:15:00+05:30,2018-01-11 14:15:00+05:30,25625.4,25688.8,2018-01-11 14:15:00+05:30,25688.8,Initial SL Hit,63.39999999999782,58.26857999999782,117.07134327659274,3,7422.323163735724,6821.580931419351,0.7422323163735725,0.34107904657096755,2018,BANKNIFTY,-2.7470610097651793
26,26,301,SHORT,2018-01-12 10:15:00+05:30,2018-01-12 11:15:00+05:30,25709.55,25775.15,2018-01-12 14:15:00+05:30,25713.4,Reversed,-3.850000000002183,-8.992295000002184,116.68815673553212,3,-449.24940343205344,-1049.2943283723966,-0.0449249403432053,-0.0524647164186198,2018,BANKNIFTY,-2.7995257261837994
27,27,2414,SHORT,2018-01-12 10:15:00+05:30,2018-01-12 11:15:00+05:30,10669.85,10690.25,2018-01-12 14:15:00+05:30,10660.75,Reversed,9.100000000000364,4.833880000000364,281.16608949516626,3,2558.6114144061157,1359.1231366889965,0.2558611414406115,0.0679561568344498,2018,NIFTY,-2.7315695693493494
28,28,2415,LONG,2018-01-12 13:15:00+05:30,2018-01-12 14:15:00+05:30,10660.75,10597.1,2018-01-16 14:15:00+05:30,10690.9,Reversed,30.14999999999964,25.879669999999635,281.40609244190136,3,8484.393687123224,7282.696808385799,0.8484393687123223,0.36413484041928995,2018,NIFTY,-2.3674347289300592
29,29,302,LONG,2018-01-12 13:15:00+05:30,2018-01-12 14:15:00+05:30,25713.4,25557.6,2018-01-16 09:15:00+05:30,26041.5,Reversed,328.09999999999854,322.9245099999985,116.67068532360558,3,38279.65185467482,37675.82388948935,3.827965185467482,1.8837911944744676,2018,BANKNIFTY,-0.48364353445559183
30,30,303,SHORT,2018-01-15 15:15:00+05:30,2018-01-16 09:15:00+05:30,26041.5,26091.8,2018-01-16 09:15:00+05:30,26136.4,Gap Outside Initial SL,-94.90000000000146,-100.11779000000146,115.20073728471864,3,-10932.549968319963,-11533.643223316798,-1.093254996831997,-0.5766821611658399,2018,BANKNIFTY,-1.0603256956214318
31,31,304,LONG,2018-01-16 11:15:00+05:30,2018-01-16 12:15:00+05:30,26045.35,25951.2,2018-01-16 13:15:00+05:30,25951.2,Initial SL Hit,-94.14999999999782,-99.34965499999782,115.1837084162816,3,-10844.54614739266,-11443.461692777924,-1.084454614739266,-0.5721730846388962,2018,BANKNIFTY,-1.632498780260328
32,32,2416,SHORT,2018-01-16 13:15:00+05:30,2018-01-16 14:15:00+05:30,10690.9,10747.85,2018-01-17 09:15:00+05:30,10713.8,Reversed,-22.89999999999964,-27.18093999999964,280.6124835140166,3,-6426.025872470878,-7627.311077645373,-0.6426025872470879,-0.38136555388226867,2018,NIFTY,-2.0138643341425966
33,33,2417,SHORT,2018-01-16 15:15:00+05:30,2018-01-17 09:15:00+05:30,10713.8,10687.85,2018-01-17 09:15:00+05:30,10687.85,Initial SL Hit,25.94999999999891,21.66966999999891,280.01269390879054,3,7266.329406932808,6067.782672814195,0.7266329406932809,0.3033891336407098,2018,NIFTY,-1.7104752005018868
34,34,305,LONG,2018-01-17 12:15:00+05:30,2018-01-17 13:15:00+05:30,26115.75,26035.8,2018-01-18 11:15:00+05:30,26757.3,Reversed,641.5499999999993,636.2626949999993,114.8732086959019,3,73696.90703885577,73089.53734815189,7.369690703885578,3.6544768674075945,2018,BANKNIFTY,0.0
35,35,306,SHORT,2018-01-18 10:15:00+05:30,2018-01-18 11:15:00+05:30,26757.3,26887.65,2018-01-19 14:15:00+05:30,26790.95,Reversed,-33.650000000001455,-39.00482500000145,112.1189357670617,3,-3772.8021885617895,-4373.179468780645,-0.3772802188561789,-0.2186589734390322,2018,BANKNIFTY,-0.21865897343903207
36,36,2418,LONG,2018-01-18 10:15:00+05:30,2018-01-18 11:15:00+05:30,10861.15,10887.5,2018-01-18 11:15:00+05:30,10876.6,Gap Outside Initial SL,15.450000000000728,11.102450000000728,276.21384475861214,3,4267.503901520759,3066.650400740454,0.4267503901520758,0.1533325200370227,2018,NIFTY,-0.06532645340200904
37,37,2419,SHORT,2018-01-18 12:15:00+05:30,2018-01-18 13:15:00+05:30,10883.35,10844.95,2018-01-18 13:15:00+05:30,10877.5,Gap Outside Initial SL,5.850000000000364,1.4978300000003637,275.65042013718204,3,1612.5549578026153,412.8774687941756,0.1612554957802615,0.02064387343970875,2018,NIFTY,-0.044682579962300295
38,38,2420,LONG,2018-01-19 11:15:00+05:30,2018-01-19 12:15:00+05:30,10833.25,10857.7,2018-01-19 12:15:00+05:30,10838.8,Gap Outside Initial SL,5.549999999999272,1.2155899999992723,276.92520711697784,3,1536.9348994990255,336.6275125191256,0.1536934899499025,0.01683137562595625,2018,NIFTY,-0.02785120433634436
39,39,307,LONG,2018-01-19 13:15:00+05:30,2018-01-19 14:15:00+05:30,26790.95,26617.2,2018-01-25 11:15:00+05:30,27348.25,Reversed,557.2999999999993,551.8860799999993,111.97811201170543,3,62405.40182412336,61799.16128394096,6.240540182412337,3.089958064197048,2018,BANKNIFTY,0.0
40,40,2421,SHORT,2018-01-19 13:15:00+05:30,2018-01-19 14:15:00+05:30,10843.15,10817.2,2018-01-19 14:15:00+05:30,10829.45,Gap Outside Initial SL,13.699999999998909,9.36547999999891,276.67236919160945,3,3790.411457924748,2591.1695402163327,0.3790411457924747,0.1295584770108166,2018,NIFTY,0.0
41,41,2422,LONG,2018-01-22 10:15:00+05:30,2018-01-22 11:15:00+05:30,10907.35,10881.4,2018-01-31 11:15:00+05:30,11012.5,Reversed,105.14999999999964,100.76602999999965,275.04389242116554,3,28920.865288085457,27715.08111502784,2.8920865288085458,1.385754055751392,2018,NIFTY,0.0
42,42,308,SHORT,2018-01-25 10:15:00+05:30,2018-01-25 11:15:00+05:30,27348.25,27435.35,2018-01-25 13:15:00+05:30,27435.35,Initial SL Hit,-87.09999999999854,-92.57835999999854,109.69623284853692,3,-9554.541881107409,-10155.497335295517,-0.9554541881107408,-0.5077748667647758,2018,BANKNIFTY,-0.507774866764775
43,43,309,SHORT,2018-01-29 14:15:00+05:30,2018-01-29 15:15:00+05:30,27461.45,27619.35,2018-01-31 09:15:00+05:30,27297.65,Reversed,163.79999999999927,158.32408999999927,109.24404938559326,3,17894.175289360097,17295.964706889034,1.7894175289360097,0.8647982353444515,2018,BANKNIFTY,0.0
44,44,310,LONG,2018-01-30 15:15:00+05:30,2018-01-31 09:15:00+05:30,27297.65,27242.05,2018-01-31 10:15:00+05:30,27242.05,Initial SL Hit,-55.60000000000218,-61.05397000000218,109.89957010951493,3,-6110.416098089269,-6709.805056479459,-0.611041609808927,-0.33549025282397293,2018,BANKNIFTY,-0.3354902528239734
45,45,2423,SHORT,2018-01-31 10:15:00+05:30,2018-01-31 11:15:00+05:30,11012.5,11058.5,2018-02-01 09:15:00+05:30,11058.5,Initial SL Hit,-46.0,-50.4142,272.4177071509648,3,-12531.214528944382,-13733.72077185017,-1.253121452894438,-0.6866860385925085,2018,NIFTY,-1.022176291416482
46,46,311,SHORT,2018-01-31 15:15:00+05:30,2018-02-01 09:15:00+05:30,27350.0,27455.75,2018-02-01 09:15:00+05:30,27455.75,Initial SL Hit,-105.75,-111.230575,109.68921389396708,3,-11599.63436928702,-12200.794332723948,-1.159963436928702,-0.6100397166361974,2018,BANKNIFTY,-1.632216008052679
47,47,2424,SHORT,2018-02-01 10:15:00+05:30,2018-02-01 11:15:00+05:30,11056.85,11100.7,2018-02-01 11:15:00+05:30,11100.7,Initial SL Hit,-43.85000000000037,-48.28151000000037,271.32501571424046,3,-11897.601939069544,-13099.981459457358,-1.1897601939069544,-0.6549990729728677,2018,NIFTY,-2.287215081025547
48,48,312,LONG,2018-02-01 10:15:00+05:30,2018-02-01 11:15:00+05:30,27568.65,27317.9,2018-02-01 11:15:00+05:30,27317.9,Initial SL Hit,-250.75,-256.238655,108.81925665565778,3,-27286.42860640619,-27883.699963545547,-2.728642860640619,-1.3941849981772774,2018,BANKNIFTY,-3.681400079202824
49,49,313,SHORT,2018-02-01 14:15:00+05:30,2018-02-01 15:15:00+05:30,27184.25,27613.5,2018-02-02 12:15:00+05:30,26732.55,Reversed,451.7000000000007,446.3083200000007,110.35801980926456,3,49848.71754784488,49253.702419599664,4.984871754784488,2.4626851209799834,2018,BANKNIFTY,-1.21871495822284
50,50,314,LONG,2018-02-02 11:15:00+05:30,2018-02-02 12:15:00+05:30,26732.55,26631.85,2018-02-02 13:15:00+05:30,26631.85,Initial SL Hit,-100.70000000000071,-106.03644000000072,112.22273969374416,3,-11300.829887160116,-11899.6998041714,-1.1300829887160115,-0.59498499020857,2018,BANKNIFTY,-1.8136999484314096
51,51,2425,LONG,2018-02-02 11:15:00+05:30,2018-02-02 12:15:00+05:30,10877.6,10826.5,2018-02-02 13:15:00+05:30,10826.5,Initial SL Hit,-51.10000000000037,-55.440820000000365,275.7961314995955,3,-14093.18231962943,-15290.363683165506,-1.409318231962943,-0.7645181841582752,2018,NIFTY,-2.5782181325896847
52,52,315,SHORT,2018-02-02 13:15:00+05:30,2018-02-02 14:15:00+05:30,26591.9,26793.6,2018-02-05 11:15:00+05:30,26127.95,Reversed,463.9500000000007,458.6780150000008,112.81630872558937,3,52341.12643323727,51746.3605458806,5.234112643323727,2.58731802729403,2018,BANKNIFTY,0.0
53,53,2426,SHORT,2018-02-02 13:15:00+05:30,2018-02-02 14:15:00+05:30,10806.2,10884.35,2018-02-05 11:15:00+05:30,10675.3,Reversed,130.90000000000146,126.60370000000144,277.6184042494124,3,36340.24911624849,35147.51716607173,3.6340249116248486,1.7573758583035866,2018,NIFTY,0.0
54,54,316,LONG,2018-02-05 10:15:00+05:30,2018-02-05 11:15:00+05:30,26127.95,25917.55,2018-02-06 09:15:00+05:30,25177.15,Gap Outside Initial SL,-950.7999999999992,-955.9305099999992,114.8195706130791,3,-109170.44773891552,-109759.53069414162,-10.91704477389155,-5.48797653470708,2018,BANKNIFTY,-5.48797653470708
55,55,2427,LONG,2018-02-05 10:15:00+05:30,2018-02-05 11:15:00+05:30,10675.3,10586.8,2018-02-06 09:15:00+05:30,10297.7,Gap Outside Initial SL,-377.59999999999854,-381.7945999999985,281.0225473757178,3,-106114.11388907064,-107292.8910662928,-10.611411388907063,-5.36464455331464,2018,NIFTY,-10.85262108802172
56,56,2428,LONG,2018-02-06 10:15:00+05:30,2018-02-06 11:15:00+05:30,10372.8,10276.3,2018-02-07 11:15:00+05:30,10506.4,Reversed,133.60000000000036,129.42416000000037,289.21795465062473,3,38639.51874132357,37431.7908375753,3.863951874132357,1.8715895418787647,2018,NIFTY,-8.981031546142955
57,57,317,LONG,2018-02-06 11:15:00+05:30,2018-02-06 12:15:00+05:30,25267.75,25023.85,2018-02-07 11:15:00+05:30,25740.55,Reversed,472.7999999999993,467.6991699999993,118.72841863640411,3,56134.79633129178,55529.182851658654,5.613479633129177,2.7764591425829326,2018,BANKNIFTY,-6.2045724035600225
58,58,318,SHORT,2018-02-07 10:15:00+05:30,2018-02-07 11:15:00+05:30,25740.55,26078.4,2018-02-08 10:15:00+05:30,25879.1,Reversed,-138.54999999999927,-143.71196499999928,116.54762621622304,3,-16147.67361225762,-16749.288379618847,-1.614767361225762,-0.8374644189809424,2018,BANKNIFTY,-7.042036822540965
59,59,2429,SHORT,2018-02-07 10:15:00+05:30,2018-02-07 11:15:00+05:30,10506.4,10614.0,2018-02-08 10:15:00+05:30,10575.8,Reversed,-69.39999999999964,-73.61643999999964,285.54024213812534,3,-19816.492804385794,-21020.456102946675,-1.9816492804385797,-1.051022805147334,2018,NIFTY,-8.093059627688298
60,60,319,LONG,2018-02-08 09:15:00+05:30,2018-02-08 10:15:00+05:30,25879.1,25558.05,2018-02-08 12:15:00+05:30,25938.55,Reversed,59.45000000000073,54.26823500000073,115.92366040550095,3,6891.661611107117,6290.972444946006,0.6891661611107117,0.31454862224730035,2018,BANKNIFTY,-7.778511005440999
61,61,2430,LONG,2018-02-08 09:15:00+05:30,2018-02-08 10:15:00+05:30,10575.8,10446.4,2018-02-09 09:15:00+05:30,10416.9,Gap Outside Initial SL,-158.89999999999964,-163.09853999999964,283.6664838593771,3,-45074.604285254914,-46265.58936439786,-4.507460428525492,-2.313279468219893,2018,NIFTY,-10.091790473660891
62,62,320,SHORT,2018-02-08 11:15:00+05:30,2018-02-08 12:15:00+05:30,25938.55,26049.15,2018-02-08 13:15:00+05:30,26049.15,Initial SL Hit,-110.60000000000218,-115.79877000000218,115.65796854488782,3,-12791.771321064844,-13393.050498196952,-1.2791771321064846,-0.6696525249098475,2018,BANKNIFTY,-10.76144299857074
63,63,2431,LONG,2018-02-09 12:15:00+05:30,2018-02-09 13:15:00+05:30,10464.1,10400.45,2018-02-14 09:15:00+05:30,10528.25,Reversed,64.14999999999964,59.95152999999964,286.6945078888772,3,18391.45268107137,17187.774390535153,1.839145268107137,0.8593887195267575,2018,NIFTY,-9.902054279043982
64,64,321,SHORT,2018-02-09 13:15:00+05:30,2018-02-09 14:15:00+05:30,25475.25,25583.4,2018-02-12 09:15:00+05:30,25583.4,Initial SL Hit,-108.15000000000146,-113.25586500000144,117.76135661082816,3,-12735.890717461236,-13337.164306532984,-1.2735890717461236,-0.6668582153266492,2018,BANKNIFTY,-10.56891249437063
65,65,2432,SHORT,2018-02-12 15:15:00+05:30,2018-02-14 09:15:00+05:30,10528.25,10555.5,2018-02-14 09:15:00+05:30,10590.55,Gap Outside Initial SL,-62.29999999999927,-66.52375999999927,284.94764087099,3,-17752.23802626247,-18955.78847386772,-1.7752238026262468,-0.947789423693386,2018,NIFTY,-11.516701918064017
66,66,322,SHORT,2018-02-12 15:15:00+05:30,2018-02-14 09:15:00+05:30,25668.25,25757.85,2018-02-14 09:15:00+05:30,25791.95,Gap Outside Initial SL,-123.70000000000071,-128.84602000000072,116.87590700573666,3,-14457.54969660971,-15058.99545157937,-1.445754969660971,-0.7529497725789686,2018,BANKNIFTY,-12.269651690642986
67,67,323,SHORT,2018-02-14 10:15:00+05:30,2018-02-14 11:15:00+05:30,25526.6,25800.2,2018-02-19 14:15:00+05:30,24960.25,Reversed,566.3499999999985,561.3013149999986,117.5244646760634,3,66559.98056928834,65966.63656734527,6.6559980569288335,3.2983318283672634,2018,BANKNIFTY,-8.971319862275722
68,68,2433,SHORT,2018-02-14 10:15:00+05:30,2018-02-14 11:15:00+05:30,10542.15,10590.55,2018-02-14 14:15:00+05:30,10566.9,Reversed,-24.75,-28.97181,284.5719326702807,3,-7043.155333589448,-8244.563964656165,-0.7043155333589448,-0.41222819823280826,2018,NIFTY,-9.38354806050853
69,69,2434,SHORT,2018-02-14 13:15:00+05:30,2018-02-14 14:15:00+05:30,10566.9,10527.8,2018-02-14 14:15:00+05:30,10527.8,Initial SL Hit,39.10000000000037,34.88106000000036,283.90540271981376,3,11100.70124634482,9902.92138659409,1.1100701246344822,0.4951460693297044,2018,NIFTY,-8.888401991178826
70,70,2435,LONG,2018-02-15 09:15:00+05:30,2018-02-15 10:15:00+05:30,10583.8,10456.65,2018-02-15 14:15:00+05:30,10531.6,Reversed,-52.19999999999891,-56.42307999999891,283.45206825525804,3,-14796.19796292416,-15993.238723331577,-1.479619796292416,-0.7996619361665788,2018,NIFTY,-9.688063927345405
71,71,2436,SHORT,2018-02-15 13:15:00+05:30,2018-02-15 14:15:00+05:30,10531.6,10618.1,2018-02-21 15:15:00+05:30,10404.45,Reversed,127.14999999999964,122.96278999999964,284.8570017851039,3,36219.567776975855,35026.81169053125,3.6219567776975854,1.7513405845265624,2018,NIFTY,-7.936723342818842
72,72,324,LONG,2018-02-19 13:15:00+05:30,2018-02-19 14:15:00+05:30,24960.25,24824.55,2018-02-20 14:15:00+05:30,25039.0,Reversed,78.75,73.750075,120.19110385512964,3,9465.04942859146,8864.102923648601,0.946504942859146,0.44320514618243,2018,BANKNIFTY,-7.493518196636412
73,73,325,SHORT,2018-02-20 13:15:00+05:30,2018-02-20 14:15:00+05:30,25039.0,25156.65,2018-02-23 10:15:00+05:30,25156.65,Initial SL Hit,-117.65000000000146,-122.66956500000146,119.81309157713966,3,-14096.010224050657,-14697.41982507306,-1.4096010224050657,-0.734870991253653,2018,BANKNIFTY,-8.228389187890066
74,74,2437,LONG,2018-02-21 14:15:00+05:30,2018-02-21 15:15:00+05:30,10404.45,10354.2,2018-02-22 09:15:00+05:30,10354.2,Initial SL Hit,-50.25,-54.40173,288.3381629975636,3,-14488.992690627569,-15686.094892089444,-1.448899269062757,-0.7843047446044721,2018,NIFTY,-9.012693932494537
75,75,2438,LONG,2018-02-22 10:15:00+05:30,2018-02-22 11:15:00+05:30,10364.5,10340.65,2018-02-27 09:15:00+05:30,10576.7,Reversed,212.20000000000076,208.01176000000072,289.4495634135752,3,61421.19735636086,60208.913116889584,6.142119735636086,3.0104456558444794,2018,NIFTY,-6.002248276650057
76,76,326,SHORT,2018-02-26 15:15:00+05:30,2018-02-27 09:15:00+05:30,25650.25,25722.15,2018-02-27 09:15:00+05:30,25722.15,Initial SL Hit,-71.90000000000146,-77.03724000000146,116.95792438670188,3,-8409.274763404037,-9010.115690880377,-0.8409274763404037,-0.4505057845440188,2018,BANKNIFTY,-6.452754061194076
77,77,2439,SHORT,2018-02-26 15:15:00+05:30,2018-02-27 09:15:00+05:30,10576.7,10592.95,2018-02-27 09:15:00+05:30,10615.25,Gap Outside Initial SL,-38.54999999999927,-42.78838999999928,283.6423459112956,3,-10934.412434880238,-12136.599317367216,-1.093441243488024,-0.6068299658683608,2018,NIFTY,-7.059584027062437
78,78,327,SHORT,2018-02-27 12:15:00+05:30,2018-02-27 13:15:00+05:30,25452.55,25537.1,2018-03-05 11:15:00+05:30,24789.2,Reversed,663.3499999999985,658.3258249999985,117.86638273964692,3,78186.66499034461,77594.48365684364,7.81866649903446,3.879724182842182,2018,BANKNIFTY,-3.179859844220255
79,79,2440,SHORT,2018-02-28 11:15:00+05:30,2018-02-28 12:15:00+05:30,10495.75,10507.95,2018-02-28 14:15:00+05:30,10507.95,Initial SL Hit,-12.200000000000728,-16.400740000000727,285.82997880094325,3,-3487.125741371716,-4687.82316651999,-0.3487125741371715,-0.2343911583259995,2018,NIFTY,-3.414251002546255
80,80,2441,SHORT,2018-02-28 15:15:00+05:30,2018-03-01 09:15:00+05:30,10474.9,10535.5,2018-03-01 13:15:00+05:30,10499.05,Reversed,-24.14999999999964,-28.344789999999637,286.3989155027733,3,-6916.533809391872,-8117.91711615375,-0.6916533809391872,-0.4058958558076875,2018,NIFTY,-3.820146858353942
81,81,2442,LONG,2018-03-01 12:15:00+05:30,2018-03-01 13:15:00+05:30,10499.05,10469.85,2018-03-01 14:15:00+05:30,10469.85,Initial SL Hit,-29.19999999999891,-33.39377999999891,285.7401383934737,3,-8343.612041089122,-9541.943318680904,-0.8343612041089121,-0.4770971659340452,2018,NIFTY,-4.297244024287987
82,82,2443,SHORT,2018-03-01 14:15:00+05:30,2018-03-01 15:15:00+05:30,10455.15,10514.2,2018-03-05 14:15:00+05:30,10374.35,Reversed,80.79999999999927,76.63409999999928,286.9399291258375,3,23184.746273367466,21989.38322262214,2.3184746273367463,1.099469161131107,2018,NIFTY,-3.19777486315688
