date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index leverage,qty,pnl,ROI%,Trade Year
2019-01-01,12.050000000001091,SHORT,10800,C,2019-01-31,30,09:57:00,217.85,251.85,2019-01-01 14:30:00,TSL Hit,-34.0,4.697,-38.697,10000000,8,7407.407407407408,-286644.4444444445,-2.866444444444445,2019.0
2019-01-01,12.050000000001091,LONG,10850,P,2019-01-31,30,14:30:00,153.75,132.65,2019-01-01 15:21:00,EOD Exit,21.099999999999994,2.864,18.235999999999994,10000000,8,7373.271889400921,134458.98617511516,1.3445898617511516,2019.0
2019-01-02,10.667179249542238,SHORT,10850,C,2019-01-31,29,12:27:00,194.0,170.25,2019-01-02 14:36:00,TSL Hit,23.75,3.6425,20.1075,10000000,8,7373.271889400921,148258.06451612903,1.4825806451612902,2019.0
2019-01-02,10.667179249542238,LONG,10800,P,2019-01-31,29,14:36:00,173.25,174.5,2019-01-02 15:21:00,EOD Exit,-1.25,3.4775,-4.7275,10000000,8,7407.407407407408,-35018.51851851852,-0.35018518518518515,2019.0
2019-01-03,11.736603411094201,LONG,10800,P,2019-01-31,28,10:15:00,158.6,192.2,2019-01-03 10:48:00,TSL Hit,-33.599999999999994,3.5079999999999996,-37.108,10000000,8,7407.407407407408,-274874.07407407404,-2.7487407407407405,2019.0
2019-01-03,11.736603411094201,SHORT,10750,C,2019-01-31,28,10:48:00,209.75,166.45,2019-01-03 15:21:00,EOD Exit,43.30000000000001,3.762,39.53800000000001,10000000,8,7441.860465116279,294236.2790697675,2.942362790697675,2019.0
2019-01-04,10.72199652197121,SHORT,10700,C,2019-01-31,27,09:39:00,196.4,203.8,2019-01-04 11:03:00,TSL Hit,-7.400000000000006,4.002000000000001,-11.402000000000006,10000000,8,7476.6355140186915,-85248.59813084117,-0.8524859813084118,2019.0
2019-01-04,10.72199652197121,LONG,10700,P,2019-01-31,27,11:03:00,162.2,166.05,2019-01-04 14:09:00,TSL Hit,-3.8500000000000227,3.2825,-7.132500000000023,10000000,8,7476.6355140186915,-53327.10280373849,-0.5332710280373849,2019.0
2019-01-04,10.72199652197121,SHORT,10700,C,2019-01-31,27,14:09:00,197.85,210.75,2019-01-04 14:42:00,TSL Hit,-12.900000000000006,4.086,-16.986000000000004,10000000,8,7476.6355140186915,-126998.13084112153,-1.2699813084112153,2019.0
2019-01-04,10.72199652197121,LONG,10700,P,2019-01-31,27,14:42:00,150.7,142.45,2019-01-04 15:21:00,EOD Exit,8.25,2.9314999999999998,5.3185,10000000,8,7476.6355140186915,39764.48598130841,0.3976448598130841,2019.0
2019-01-07,13.96330270016425,SHORT,10750,C,2019-01-31,24,14:57:00,189.2,197.45,2019-01-07 15:21:00,EOD Exit,-8.25,3.8665,-12.1165,10000000,8,7441.860465116279,-90169.30232558139,-0.9016930232558139,2019.0
2019-01-08,9.462534281842988,SHORT,10750,C,2019-01-31,23,09:15:00,184.95,207.45,2019-01-08 10:03:00,TSL Hit,-22.5,3.924,-26.424,10000000,8,7441.860465116279,-196643.72093023255,-1.9664372093023255,2019.0
2019-01-08,9.462534281842988,LONG,10800,P,2019-01-31,23,10:03:00,149.4,169.0,2019-01-08 11:54:00,TSL Hit,-19.599999999999994,3.1839999999999997,-22.783999999999995,10000000,8,7407.407407407408,-168770.37037037034,-1.6877037037037033,2019.0
2019-01-08,9.462534281842988,SHORT,10750,C,2019-01-31,23,11:54:00,190.1,224.25,2019-01-08 14:03:00,TSL Hit,-34.150000000000006,4.1435,-38.29350000000001,10000000,8,7441.860465116279,-284974.88372093026,-2.8497488372093027,2019.0
2019-01-08,9.462534281842988,LONG,10800,P,2019-01-31,23,14:03:00,129.25,141.2,2019-01-08 15:21:00,EOD Exit,-11.949999999999989,2.7045,-14.654499999999988,10000000,8,7407.407407407408,-108551.85185185177,-1.0855185185185177,2019.0
2019-01-09,10.45156726256203,SHORT,10800,C,2019-01-31,22,13:51:00,174.05,167.7,2019-01-09 14:18:00,TSL Hit,6.350000000000023,3.4175,2.9325000000000228,10000000,8,7407.407407407408,21722.222222222394,0.21722222222222393,2019.0
2019-01-09,10.45156726256203,LONG,10800,P,2019-01-31,22,14:18:00,143.25,118.9,2019-01-09 15:21:00,EOD Exit,24.349999999999994,2.6214999999999997,21.728499999999993,10000000,8,7407.407407407408,160951.85185185182,1.6095185185185183,2019.0
2019-01-11,7.692938053435176,SHORT,10800,C,2019-01-31,20,10:36:00,169.05,154.5,2019-01-11 14:42:00,TSL Hit,14.550000000000011,3.2355,11.314500000000011,10000000,8,7407.407407407408,83811.1111111112,0.8381111111111119,2019.0
2019-01-11,7.692938053435176,LONG,10800,P,2019-01-31,20,14:42:00,133.1,135.0,2019-01-11 15:21:00,EOD Exit,-1.9000000000000057,2.6810000000000005,-4.581000000000007,10000000,8,7407.407407407408,-33933.33333333339,-0.3393333333333339,2019.0
2019-01-14,10.513092219405374,SHORT,10750,C,2019-01-31,17,09:18:00,158.05,150.25,2019-01-14 15:21:00,EOD Exit,7.800000000000011,3.083,4.717000000000011,10000000,8,7441.860465116279,35103.25581395357,0.3510325581395357,2019.0
2019-01-15,7.7030182937436384,LONG,10800,P,2019-01-31,16,09:30:00,109.0,81.2,2019-01-15 15:21:00,EOD Exit,27.799999999999997,1.902,25.897999999999996,10000000,8,7407.407407407408,191837.03703703702,1.91837037037037,2019.0
2019-01-16,6.602495628457507,SHORT,10900,C,2019-01-31,15,11:03:00,141.0,150.5,2019-01-16 12:00:00,TSL Hit,-9.5,2.915,-12.415,10000000,8,7339.4495412844035,-91119.26605504587,-0.9111926605504588,2019.0
