date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index leverage,qty,pnl,ROI%,Trade Year
2019-01-01,50.80000000000109,LONG,10900,P,2019-01-31,30,15:15:00,148.8,1,150.0,2019-01-01 15:25:00,EOD Exit,-1.1999999999999886,2.988,-4.187999999999988,10000000,8,7339.4495412844035,-30737.614678898994,-0.30737614678898995,2019.0
2019-01-02,20.170257176895355,LONG,10900,P,2019-01-31,29,10:15:00,168.6,1,184.9,2019-01-02 12:15:00,TSL Hit,-16.30000000000001,3.535,-19.83500000000001,10000000,8,7339.4495412844035,-145577.98165137623,-1.4557798165137623,2019.0
2019-01-02,20.170257176895355,SHORT,10850,C,2019-01-31,29,12:15:00,201.55,2,167.1,2019-01-02 14:25:00,TSL Hit,34.45000000000002,3.6864999999999997,30.76350000000002,10000000,8,7373.271889400921,226827.64976958538,2.268276497695854,2019.0
2019-01-02,20.170257176895355,LONG,10800,P,2019-01-31,29,14:25:00,176.05,3,174.95,2019-01-02 15:25:00,EOD Exit,1.1000000000000227,3.5100000000000002,-2.4099999999999775,10000000,8,7407.407407407408,-17851.851851851687,-0.17851851851851686,2019.0
2019-01-03,20.391801928595925,SHORT,10750,C,2019-01-31,28,09:15:00,208.45,1,235.55,2019-01-03 09:35:00,TSL Hit,-27.100000000000023,4.44,-31.540000000000024,10000000,8,7441.860465116279,-234716.2790697676,-2.3471627906976757,2019.0
2019-01-03,20.391801928595925,LONG,10800,P,2019-01-31,28,09:35:00,161.0,2,184.35,2019-01-03 10:35:00,TSL Hit,-23.349999999999994,3.4535000000000005,-26.803499999999996,10000000,8,7407.407407407408,-198544.44444444444,-1.9854444444444443,2019.0
2019-01-03,20.391801928595925,SHORT,10750,C,2019-01-31,28,10:35:00,217.65,3,168.95,2019-01-03 15:25:00,EOD Exit,48.70000000000002,3.866,44.83400000000002,10000000,8,7441.860465116279,333648.3720930234,3.336483720930234,2019.0
2019-01-04,20.010187350921885,SHORT,10700,C,2019-01-31,27,09:35:00,194.0,1,201.35,2019-01-04 10:55:00,TSL Hit,-7.349999999999994,3.9535000000000005,-11.303499999999994,10000000,8,7476.6355140186915,-84512.14953271023,-0.8451214953271023,2019.0
2019-01-04,20.010187350921885,LONG,10650,P,2019-01-31,27,10:55:00,145.0,2,143.0,2019-01-04 13:45:00,TSL Hit,2.0,2.88,-0.8799999999999999,10000000,8,7511.737089201878,-6610.328638497652,-0.06610328638497652,2019.0
2019-01-04,20.010187350921885,SHORT,10700,C,2019-01-31,27,13:45:00,205.4,3,210.75,2019-01-04 14:35:00,TSL Hit,-5.349999999999994,4.1615,-9.511499999999995,10000000,8,7476.6355140186915,-71114.01869158875,-0.7111401869158874,2019.0
