date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index leverage,qty,pnl,ROI%,Trade Year
2019-01-04,20.010187350921885,LONG,10700,P,2019-01-31,27,14:35:00,150.7,4,141.0,2019-01-04 15:25:00,EOD Exit,9.699999999999989,2.917,6.782999999999989,10000000,8,7476.6355140186915,50714.0186915887,0.507140186915887,2019.0
2019-01-07,25.113279051826005,SHORT,10800,C,2019-01-31,24,14:45:00,167.85,1,165.2,2019-01-07 15:25:00,EOD Exit,2.6500000000000057,3.3305,-0.6804999999999941,10000000,8,7407.407407407408,-5040.740740740697,-0.05040740740740697,2019.0
2019-01-08,16.415429761238986,SHORT,10750,C,2019-01-31,23,09:15:00,188.0,1,202.9,2019-01-08 09:45:00,TSL Hit,-14.900000000000006,3.909,-18.809000000000005,10000000,8,7441.860465116279,-139973.95348837212,-1.3997395348837212,2019.0
2019-01-08,16.415429761238986,LONG,10750,P,2019-01-31,23,09:45:00,138.6,2,146.0,2019-01-08 10:45:00,TSL Hit,-7.400000000000006,2.846,-10.246000000000006,10000000,8,7441.860465116279,-76249.30232558143,-0.7624930232558144,2019.0
2019-01-08,16.415429761238986,SHORT,10750,C,2019-01-31,23,10:45:00,191.85,3,207.0,2019-01-08 13:45:00,TSL Hit,-15.150000000000006,3.9885,-19.138500000000008,10000000,8,7441.860465116279,-142426.04651162797,-1.4242604651162796,2019.0
2019-01-08,16.415429761238986,LONG,10800,P,2019-01-31,23,13:45:00,145.75,4,144.2,2019-01-08 15:25:00,EOD Exit,1.5500000000000114,2.8994999999999997,-1.3494999999999884,10000000,8,7407.407407407408,-9996.29629629621,-0.0999629629629621,2019.0
2019-01-09,17.85183160002187,SHORT,10850,C,2019-01-31,22,11:15:00,158.4,1,169.0,2019-01-09 13:15:00,TSL Hit,-10.599999999999994,3.274,-13.873999999999995,10000000,8,7373.271889400921,-102296.77419354835,-1.0229677419354835,2019.0
2019-01-09,17.85183160002187,LONG,10850,P,2019-01-31,22,13:15:00,132.9,2,153.0,2019-01-09 13:45:00,TSL Hit,-20.099999999999994,2.859,-22.958999999999996,10000000,8,7373.271889400921,-169282.94930875572,-1.6928294930875574,2019.0
2019-01-09,17.85183160002187,SHORT,10850,C,2019-01-31,22,13:45:00,152.3,3,137.0,2019-01-09 14:05:00,TSL Hit,15.300000000000011,2.8930000000000002,12.40700000000001,10000000,8,7373.271889400921,91480.18433179731,0.9148018433179731,2019.0
2019-01-09,17.85183160002187,LONG,10800,P,2019-01-31,22,14:05:00,149.2,4,119.0,2019-01-09 15:25:00,EOD Exit,30.19999999999999,2.682,27.51799999999999,10000000,8,7407.407407407408,203837.03703703696,2.03837037037037,2019.0
2019-01-10,20.16810743045845,SHORT,10800,C,2019-01-31,21,12:15:00,177.2,1,174.5,2019-01-10 15:25:00,EOD Exit,2.6999999999999886,3.517,-0.8170000000000113,10000000,8,7407.407407407408,-6051.851851851936,-0.06051851851851935,2019.0
2019-01-11,13.801459462468632,SHORT,10800,C,2019-01-31,20,10:15:00,174.0,1,154.5,2019-01-11 14:35:00,TSL Hit,19.5,3.285,16.215,10000000,8,7407.407407407408,120111.11111111112,1.2011111111111112,2019.0
2019-01-11,13.801459462468632,LONG,10750,P,2019-01-31,20,14:35:00,114.0,2,117.0,2019-01-11 15:25:00,EOD Exit,-3.0,2.31,-5.3100000000000005,10000000,8,7441.860465116279,-39516.27906976744,-0.3951627906976744,2019.0
2019-01-14,19.058985136508735,SHORT,10750,C,2019-01-31,17,09:15:00,149.95,1,144.65,2019-01-14 14:35:00,TSL Hit,5.299999999999983,2.946,2.3539999999999828,10000000,8,7441.860465116279,17518.13953488359,0.1751813953488359,2019.0
2019-01-14,19.058985136508735,LONG,10750,P,2019-01-31,17,14:35:00,134.85,2,131.4,2019-01-14 15:25:00,EOD Exit,3.4499999999999886,2.6625,0.7874999999999885,10000000,8,7441.860465116279,5860.465116278984,0.058604651162789845,2019.0
2019-01-15,13.280830752878838,LONG,10800,P,2019-01-31,16,09:25:00,105.4,1,84.0,2019-01-15 15:25:00,EOD Exit,21.400000000000006,1.8940000000000001,19.506000000000007,10000000,8,7407.407407407408,144488.88888888896,1.4448888888888896,2019.0
2019-01-16,12.669585814630011,LONG,10900,P,2019-01-31,15,09:15:00,107.35,1,112.0,2019-01-16 10:25:00,TSL Hit,-4.650000000000006,2.1935,-6.843500000000006,10000000,8,7339.4495412844035,-50227.52293577986,-0.5022752293577986,2019.0
2019-01-16,12.669585814630011,SHORT,10900,C,2019-01-31,15,10:25:00,146.35,2,148.35,2019-01-16 11:45:00,TSL Hit,-2.0,2.947,-4.947,10000000,8,7339.4495412844035,-36308.25688073394,-0.3630825688073394,2019.0
2019-01-16,12.669585814630011,LONG,10900,P,2019-01-31,15,11:45:00,108.5,3,118.1,2019-01-16 13:45:00,TSL Hit,-9.599999999999994,2.266,-11.865999999999994,10000000,8,7339.4495412844035,-87089.90825688069,-0.870899082568807,2019.0
2019-01-16,12.669585814630011,SHORT,10900,C,2019-01-31,15,13:45:00,138.25,4,137.3,2019-01-16 15:25:00,EOD Exit,0.9499999999999886,2.7555,-1.8055000000000114,10000000,8,7339.4495412844035,-13251.376146789074,-0.13251376146789073,2019.0
2019-01-17,13.211772915718464,SHORT,10900,C,2019-01-31,14,11:55:00,129.15,1,112.05,2019-01-17 14:05:00,TSL Hit,17.10000000000001,2.412,14.68800000000001,10000000,8,7339.4495412844035,107801.83486238538,1.0780183486238537,2019.0
2019-01-17,13.211772915718464,LONG,10850,P,2019-01-31,14,14:05:00,102.6,2,91.5,2019-01-17 15:15:00,TSL Hit,11.099999999999994,1.941,9.158999999999994,10000000,8,7373.271889400921,67531.797235023,0.67531797235023,2019.0
2019-01-17,13.211772915718464,SHORT,10900,C,2019-01-31,14,15:15:00,123.7,3,121.9,2019-01-17 15:25:00,EOD Exit,1.7999999999999972,2.4560000000000004,-0.6560000000000032,10000000,8,7339.4495412844035,-4814.678899082593,-0.048146788990825924,2019.0
2019-01-18,15.659327875749074,SHORT,10900,C,2019-01-31,13,09:25:00,116.05,1,124.35,2019-01-18 10:45:00,TSL Hit,-8.299999999999997,2.404,-10.703999999999997,10000000,8,7339.4495412844035,-78561.46788990824,-0.7856146788990823,2019.0
2019-01-18,15.659327875749074,LONG,10900,P,2019-01-31,13,10:45:00,103.55,2,120.2,2019-01-18 12:55:00,TSL Hit,-16.650000000000006,2.2375000000000003,-18.887500000000006,10000000,8,7339.4495412844035,-138623.8532110092,-1.386238532110092,2019.0
2019-01-18,15.659327875749074,SHORT,10850,C,2019-01-31,13,12:55:00,138.9,3,123.7,2019-01-18 13:55:00,TSL Hit,15.200000000000003,2.6260000000000003,12.574000000000002,10000000,8,7373.271889400921,92711.5207373272,0.927115207373272,2019.0
2019-01-18,15.659327875749074,LONG,10900,P,2019-01-31,13,13:55:00,100.55,4,95.75,2019-01-18 15:25:00,EOD Exit,4.799999999999997,1.963,2.836999999999997,10000000,8,7339.4495412844035,20822.01834862383,0.2082201834862383,2019.0
2019-01-21,15.280825821900535,LONG,10900,P,2019-01-31,10,09:25:00,101.0,1,84.6,2019-01-21 15:15:00,TSL Hit,16.400000000000006,1.8559999999999999,14.544000000000006,10000000,8,7339.4495412844035,106744.95412844041,1.067449541284404,2019.0
2019-01-21,15.280825821900535,SHORT,10950,C,2019-01-31,10,15:15:00,116.1,2,115.0,2019-01-21 15:25:00,EOD Exit,1.0999999999999943,2.311,-1.2110000000000056,10000000,8,7305.936073059361,-8847.488584474928,-0.08847488584474929,2019.0
2019-01-22,11.56628111594215,SHORT,10950,C,2019-01-31,9,09:15:00,99.3,1,88.95,2019-01-22 12:25:00,TSL Hit,10.349999999999994,1.8825,8.467499999999994,10000000,8,7305.936073059361,61863.01369863009,0.6186301369863009,2019.0
2019-01-22,11.56628111594215,LONG,10900,P,2019-01-31,9,12:25:00,106.6,2,97.45,2019-01-22 14:45:00,TSL Hit,9.149999999999991,2.0405,7.109499999999992,10000000,8,7339.4495412844035,52179.816513761405,0.521798165137614,2019.0
2019-01-22,11.56628111594215,SHORT,10900,C,2019-01-31,9,14:45:00,118.35,3,124.5,2019-01-22 14:55:00,TSL Hit,-6.150000000000006,2.4285,-8.578500000000005,10000000,8,7339.4495412844035,-62961.467889908294,-0.629614678899083,2019.0
2019-01-22,11.56628111594215,LONG,10900,P,2019-01-31,9,14:55:00,91.55,4,93.0,2019-01-22 15:25:00,EOD Exit,-1.4500000000000028,1.8455000000000001,-3.295500000000003,10000000,8,7339.4495412844035,-24187.155963302775,-0.24187155963302776,2019.0
2019-01-23,14.280142870815338,SHORT,10900,C,2019-01-31,8,10:45:00,119.9,1,132.35,2019-01-23 12:05:00,TSL Hit,-12.449999999999989,2.5225,-14.97249999999999,10000000,8,7339.4495412844035,-109889.90825688065,-1.0988990825688063,2019.0
2019-01-23,14.280142870815338,LONG,10950,P,2019-01-31,8,12:05:00,100.25,2,110.6,2019-01-23 13:25:00,TSL Hit,-10.349999999999994,2.1085,-12.458499999999994,10000000,8,7305.936073059361,-91021.00456621,-0.9102100456621001,2019.0
2019-01-23,14.280142870815338,SHORT,10900,C,2019-01-31,8,13:25:00,118.5,3,76.6,2019-01-23 15:25:00,EOD Exit,41.900000000000006,1.951,39.949000000000005,10000000,8,7339.4495412844035,293203.66972477065,2.9320366972477063,2019.0
2019-01-24,15.434732384087214,SHORT,10800,C,2019-01-31,7,09:25:00,116.7,1,129.75,2019-01-24 09:45:00,TSL Hit,-13.049999999999997,2.4645,-15.514499999999998,10000000,8,7407.407407407408,-114922.22222222222,-1.1492222222222221,2019.0
2019-01-24,15.434732384087214,LONG,10850,P,2019-01-31,7,09:45:00,96.65,2,98.85,2019-01-24 11:35:00,TSL Hit,-2.1999999999999886,1.955,-4.154999999999989,10000000,8,7373.271889400921,-30635.944700460746,-0.30635944700460743,2019.0
2019-01-24,15.434732384087214,SHORT,10850,C,2019-01-31,7,11:35:00,92.0,3,88.0,2019-01-24 14:15:00,TSL Hit,4.0,1.8,2.2,10000000,8,7373.271889400921,16221.198156682029,0.1622119815668203,2019.0
2019-01-24,15.434732384087214,LONG,10850,P,2019-01-31,7,14:15:00,94.5,4,71.95,2019-01-24 15:25:00,EOD Exit,22.549999999999997,1.6644999999999999,20.885499999999997,10000000,8,7373.271889400921,153994.47004608292,1.5399447004608293,2019.0
2019-01-25,17.98850037614266,LONG,10900,P,2019-01-31,6,09:15:00,55.8,1,68.2,2019-01-25 11:25:00,TSL Hit,-12.400000000000006,1.24,-13.640000000000006,10000000,8,7339.4495412844035,-100110.09174311931,-1.0011009174311931,2019.0
2019-01-25,17.98850037614266,SHORT,10900,C,2019-01-31,6,11:25:00,85.05,2,34.0,2019-01-25 15:25:00,EOD Exit,51.05,1.1905,49.8595,10000000,8,7339.4495412844035,365941.2844036697,3.6594128440366966,2019.0
2019-01-28,21.88236540611848,SHORT,10750,C,2019-01-31,3,09:25:00,83.9,1,47.1,2019-01-28 15:25:00,EOD Exit,36.800000000000004,1.31,35.49,10000000,8,7441.860465116279,264111.62790697673,2.641116279069767,2019.0
2019-01-28,21.88236540611848,LONG,10700,P,2019-01-31,3,15:25:00,80.0,2,,,,,,,10000000,8,7476.6355140186915,,,
2019-01-29,21.067977827160515,LONG,10650,P,2019-01-31,2,09:45:00,56.95,1,69.5,2019-01-29 10:45:00,TSL Hit,-12.549999999999997,1.2645,-13.814499999999997,10000000,8,7511.737089201878,-103770.89201877933,-1.0377089201877934,2019.0
2019-01-29,21.067977827160515,SHORT,10650,C,2019-01-31,2,10:45:00,71.05,2,57.0,2019-01-29 14:55:00,TSL Hit,14.049999999999997,1.2805000000000002,12.769499999999997,10000000,8,7511.737089201878,95921.12676056336,0.9592112676056337,2019.0
2019-01-29,21.067977827160515,LONG,10650,P,2019-01-31,2,14:55:00,68.65,3,34.45,2019-01-29 15:25:00,EOD Exit,34.2,1.0310000000000001,33.169000000000004,10000000,8,7511.737089201878,249156.80751173713,2.4915680751173714,2019.0
2019-01-30,21.035915508063802,SHORT,10650,C,2019-01-31,1,10:25:00,46.45,1,62.45,2019-01-30 12:55:00,TSL Hit,-16.0,1.0890000000000002,-17.089,10000000,8,7511.737089201878,-128368.07511737088,-1.2836807511737087,2019.0
2019-01-30,21.035915508063802,LONG,10650,P,2019-01-31,1,12:55:00,29.8,2,45.15,2019-01-30 14:35:00,TSL Hit,-15.349999999999998,0.7495,-16.0995,10000000,8,7511.737089201878,-120935.21126760563,-1.2093521126760562,2019.0
2019-01-30,21.035915508063802,SHORT,10650,C,2019-01-31,1,14:35:00,35.95,3,39.15,2019-01-30 15:15:00,TSL Hit,-3.1999999999999957,0.751,-3.9509999999999956,10000000,8,7511.737089201878,-29678.873239436587,-0.2967887323943659,2019.0
2019-01-30,21.035915508063802,LONG,10650,P,2019-01-31,1,15:15:00,32.85,4,47.35,2019-01-30 15:25:00,EOD Exit,-14.5,0.802,-15.302,10000000,8,7511.737089201878,-114944.60093896714,-1.1494460093896712,2019.0
2019-01-31,23.9136985036453,LONG,10750,P,2019-01-31,0,10:35:00,36.25,1,0.05,2019-01-31 15:25:00,EOD Exit,36.2,0.363,35.837,10000000,8,7441.860465116279,266693.9534883721,2.6669395348837206,2019.0
2019-02-01,18.94703060001592,LONG,10850,P,2019-02-14,13,09:55:00,,1,,,TSL Hit,,,,10000000,8,7373.271889400921,,,
2019-02-01,18.94703060001592,SHORT,10950,C,2019-02-14,13,13:35:00,,2,,,TSL Hit,,,,10000000,8,7305.936073059361,,,
2019-02-01,18.94703060001592,LONG,10850,P,2019-02-14,13,14:15:00,,3,,,EOD Exit,,,,10000000,8,7373.271889400921,,,
2019-02-06,19.297878467771064,LONG,11000,P,2019-02-14,8,09:15:00,,1,,,EOD Exit,,,,10000000,8,7272.727272727273,,,
2019-02-07,13.31546678760235,LONG,11100,P,2019-02-14,7,09:15:00,,1,,,TSL Hit,,,,10000000,8,7207.207207207207,,,
2019-02-07,13.31546678760235,SHORT,11100,C,2019-02-14,7,11:55:00,,2,,,TSL Hit,,,,10000000,8,7207.207207207207,,,
2019-02-07,13.31546678760235,LONG,11050,P,2019-02-14,7,12:55:00,,3,,,TSL Hit,,,,10000000,8,7239.819004524887,,,
2019-02-07,13.31546678760235,SHORT,11100,C,2019-02-14,7,15:05:00,,4,,,EOD Exit,,,,10000000,8,7207.207207207207,,,
2019-02-08,17.115057899673584,SHORT,11000,C,2019-02-14,6,10:25:00,,1,,,TSL Hit,,,,10000000,8,7272.727272727273,,,
2019-02-08,17.115057899673584,LONG,11000,P,2019-02-14,6,13:35:00,,2,,,TSL Hit,,,,10000000,8,7272.727272727273,,,
2019-02-08,17.115057899673584,SHORT,11000,C,2019-02-14,6,14:55:00,,3,,,EOD Exit,,,,10000000,8,7272.727272727273,,,
2019-02-11,19.782031098179157,SHORT,10900,C,2019-02-14,3,09:25:00,55.0,1,58.25,2019-02-11 12:15:00,TSL Hit,-3.25,1.1325,-4.3825,10000000,8,7339.4495412844035,-32165.1376146789,-0.321651376146789,2019.0
2019-02-11,19.782031098179157,LONG,10900,P,2019-02-14,3,12:15:00,60.55,2,63.25,2019-02-11 14:55:00,TSL Hit,-2.700000000000003,1.238,-3.938000000000003,10000000,8,7339.4495412844035,-28902.752293578003,-0.28902752293578005,2019.0
2019-02-11,19.782031098179157,SHORT,10900,C,2019-02-14,3,14:55:00,47.05,3,59.9,2019-02-11 15:25:00,EOD Exit,-12.850000000000001,1.0695,-13.919500000000001,10000000,8,7339.4495412844035,-102161.46788990826,-1.0216146788990828,2019.0
2019-02-12,16.64863763905687,SHORT,10900,C,2019-02-14,2,09:45:00,44.15,1,25.2,2019-02-12 15:25:00,EOD Exit,18.95,0.6935,18.2565,10000000,8,7339.4495412844035,133992.6605504587,1.339926605504587,2019.0
2019-02-13,18.07874286225611,SHORT,10850,C,2019-02-14,1,09:55:00,49.5,1,54.55,2019-02-13 10:55:00,TSL Hit,-5.049999999999997,1.0405,-6.090499999999997,10000000,8,7373.271889400921,-44906.912442396286,-0.44906912442396285,2019.0
2019-02-13,18.07874286225611,LONG,10850,P,2019-02-14,1,10:55:00,25.05,2,39.55,2019-02-13 13:35:00,TSL Hit,-14.499999999999996,0.6459999999999999,-15.145999999999997,10000000,8,7373.271889400921,-111675.57603686633,-1.1167557603686633,2019.0
2019-02-13,18.07874286225611,SHORT,10850,C,2019-02-14,1,13:35:00,34.7,3,10.0,2019-02-13 15:25:00,EOD Exit,24.700000000000003,0.44700000000000006,24.253000000000004,10000000,8,7373.271889400921,178823.96313364056,1.7882396313364055,2019.0
2019-02-14,16.8088180583937,SHORT,10750,C,2019-02-14,0,09:55:00,28.85,1,20.8,2019-02-14 13:55:00,TSL Hit,8.05,0.49650000000000005,7.5535000000000005,10000000,8,7441.860465116279,56212.09302325582,0.5621209302325582,2019.0
2019-02-14,16.8088180583937,LONG,10750,P,2019-02-14,0,13:55:00,7.6,2,9.0,2019-02-14 14:25:00,TSL Hit,-1.4000000000000004,0.166,-1.5660000000000003,10000000,8,7441.860465116279,-11653.953488372095,-0.11653953488372096,2019.0
2019-02-14,16.8088180583937,SHORT,10750,C,2019-02-14,0,14:25:00,12.45,3,0.05,2019-02-14 15:25:00,EOD Exit,12.399999999999999,0.125,12.274999999999999,10000000,8,7441.860465116279,91348.8372093023,0.913488372093023,2019.0
2019-02-15,17.692483748581427,SHORT,10750,C,2019-02-21,6,09:15:00,76.7,1,49.15,2019-02-15 13:25:00,TSL Hit,27.550000000000004,1.2585,26.291500000000003,10000000,8,7441.860465116279,195657.67441860467,1.9565767441860467,2019.0
2019-02-15,17.692483748581427,LONG,10650,P,2019-02-21,6,13:25:00,81.0,2,62.0,2019-02-15 14:45:00,TSL Hit,19.0,1.43,17.57,10000000,8,7511.737089201878,131981.220657277,1.3198122065727702,2019.0
2019-02-15,17.692483748581427,SHORT,10700,C,2019-02-21,6,14:45:00,83.05,3,97.5,2019-02-15 15:05:00,TSL Hit,-14.450000000000003,1.8055,-16.2555,10000000,8,7476.6355140186915,-121536.44859813085,-1.2153644859813084,2019.0
2019-02-15,17.692483748581427,LONG,10700,P,2019-02-21,6,15:05:00,63.1,4,62.6,2019-02-15 15:25:00,EOD Exit,0.5,1.2570000000000001,-0.7570000000000001,10000000,8,7476.6355140186915,-5659.81308411215,-0.056598130841121495,2019.0
2019-02-18,23.01059556566811,SHORT,10700,C,2019-02-21,3,09:15:00,80.95,1,46.0,2019-02-18 15:25:00,EOD Exit,34.95,1.2695,33.6805,10000000,8,7476.6355140186915,251816.82242990655,2.5181682242990653,2019.0
2019-02-19,16.325043537482657,LONG,10650,P,2019-02-21,2,09:25:00,54.8,1,36.6,2019-02-19 14:05:00,TSL Hit,18.199999999999996,0.914,17.285999999999994,10000000,8,7511.737089201878,129847.88732394362,1.2984788732394361,2019.0
2019-02-19,16.325043537482657,SHORT,10700,C,2019-02-21,2,14:05:00,52.45,2,17.4,2019-02-19 15:25:00,EOD Exit,35.050000000000004,0.6985,34.3515,10000000,8,7476.6355140186915,256833.6448598131,2.5683364485981306,2019.0
2019-02-20,22.431533126061613,SHORT,10650,C,2019-02-21,1,14:05:00,38.55,1,45.0,2019-02-20 14:55:00,TSL Hit,-6.450000000000003,0.8355,-7.2855000000000025,10000000,8,7511.737089201878,-54726.7605633803,-0.547267605633803,2019.0
2019-02-20,22.431533126061613,LONG,10700,P,2019-02-21,1,14:55:00,26.7,2,18.9,2019-02-20 15:25:00,EOD Exit,7.800000000000001,0.45599999999999996,7.344000000000001,10000000,8,7476.6355140186915,54908.41121495328,0.5490841121495328,2019.0
2019-02-21,19.033901682889176,LONG,10750,P,2019-02-21,0,11:15:00,16.5,1,0.05,2019-02-21 15:25:00,EOD Exit,16.45,0.1655,16.284499999999998,10000000,8,7441.860465116279,121186.97674418602,1.2118697674418601,2019.0
2019-02-22,13.971137475193595,LONG,10800,P,2019-02-28,6,10:05:00,67.95,1,62.0,2019-02-22 15:25:00,EOD Exit,5.950000000000003,1.2994999999999999,4.650500000000003,10000000,8,7407.407407407408,34448.14814814817,0.34448148148148167,2019.0
2019-02-25,12.82516913850371,SHORT,10800,C,2019-02-28,3,09:25:00,68.65,1,75.2,2019-02-25 12:05:00,TSL Hit,-6.549999999999997,1.4385000000000003,-7.9884999999999975,10000000,8,7407.407407407408,-59174.07407407406,-0.5917407407407406,2019.0
2019-02-25,12.82516913850371,LONG,10800,P,2019-02-28,3,12:05:00,42.45,2,23.3,2019-02-25 15:25:00,EOD Exit,19.150000000000002,0.6575,18.492500000000003,10000000,8,7407.407407407408,136981.48148148152,1.369814814814815,2019.0
2019-02-26,16.840864819173103,SHORT,10800,C,2019-02-28,2,09:15:00,66.8,1,61.0,2019-02-26 10:25:00,TSL Hit,5.799999999999997,1.278,4.521999999999997,10000000,8,7407.407407407408,33496.29629629627,0.3349629629629627,2019.0
2019-02-26,16.840864819173103,LONG,10750,P,2019-02-28,2,10:25:00,59.5,2,33.55,2019-02-26 14:45:00,TSL Hit,25.950000000000003,0.9305,25.019500000000004,10000000,8,7441.860465116279,186191.62790697676,1.8619162790697674,2019.0
2019-02-26,16.840864819173103,SHORT,10850,C,2019-02-28,2,14:45:00,53.3,3,42.45,2019-02-26 15:25:00,EOD Exit,10.849999999999994,0.9575,9.892499999999995,10000000,8,7373.271889400921,72940.09216589858,0.7294009216589857,2019.0
2019-02-27,20.93144264622869,LONG,10900,P,2019-02-28,1,09:55:00,37.8,1,53.6,2019-02-27 11:15:00,TSL Hit,-15.800000000000004,0.914,-16.714000000000006,10000000,8,7339.4495412844035,-122671.55963302756,-1.2267155963302756,2019.0
2019-02-27,20.93144264622869,SHORT,10900,C,2019-02-28,1,11:15:00,41.75,2,22.35,2019-02-27 12:55:00,TSL Hit,19.4,0.6409999999999999,18.759,10000000,8,7339.4495412844035,137680.73394495412,1.3768073394495413,2019.0
2019-02-27,20.93144264622869,LONG,10800,P,2019-02-28,1,12:55:00,62.2,3,61.15,2019-02-27 14:35:00,TSL Hit,1.0500000000000043,1.2335,-0.18349999999999578,10000000,8,7407.407407407408,-1359.259259259228,-0.013592592592592278,2019.0
2019-02-27,20.93144264622869,SHORT,10800,C,2019-02-28,1,14:35:00,57.8,4,50.95,2019-02-27 15:25:00,EOD Exit,6.849999999999994,1.0875000000000001,5.762499999999994,10000000,8,7407.407407407408,42685.185185185146,0.4268518518518515,2019.0
2019-02-28,25.475802953719594,SHORT,10800,C,2019-02-28,0,11:55:00,32.4,1,0.05,2019-02-28 15:25:00,EOD Exit,32.35,0.32449999999999996,32.0255,10000000,8,7407.407407407408,237225.92592592596,2.3722592592592595,2019.0
2019-03-01,18.310674900403605,SHORT,10850,C,2019-03-07,6,12:45:00,71.85,1,82.15,2019-03-01 14:45:00,TSL Hit,-10.300000000000011,1.54,-11.84000000000001,10000000,8,7373.271889400921,-87299.53917050699,-0.8729953917050699,2019.0
2019-03-01,18.310674900403605,LONG,10850,P,2019-03-07,6,14:45:00,62.95,2,57.0,2019-03-01 15:25:00,EOD Exit,5.950000000000003,1.1995,4.750500000000002,10000000,8,7373.271889400921,35026.72811059909,0.35026728110599087,2019.0
2019-03-05,12.933702465133926,LONG,10850,P,2019-03-07,2,09:15:00,62.1,1,14.1,2019-03-05 15:25:00,EOD Exit,48.0,0.762,47.238,10000000,8,7373.271889400921,348298.61751152074,3.4829861751152076,2019.0
2019-03-06,14.551695111472982,SHORT,11000,C,2019-03-07,1,10:15:00,35.65,1,54.1,2019-03-06 10:45:00,TSL Hit,-18.450000000000003,0.8975,-19.347500000000004,10000000,8,7272.727272727273,-140709.09090909094,-1.4070909090909094,2019.0
2019-03-06,14.551695111472982,LONG,11050,P,2019-03-07,1,10:45:00,51.1,2,56.9,2019-03-06 13:45:00,TSL Hit,-5.799999999999997,1.08,-6.879999999999997,10000000,8,7239.819004524887,-49809.9547511312,-0.49809954751131197,2019.0
2019-03-06,14.551695111472982,SHORT,11000,C,2019-03-07,1,13:45:00,39.95,3,54.0,2019-03-06 14:25:00,TSL Hit,-14.049999999999997,0.9395,-14.989499999999998,10000000,8,7272.727272727273,-109014.54545454544,-1.0901454545454545,2019.0
2019-03-06,14.551695111472982,LONG,11050,P,2019-03-07,1,14:25:00,38.6,4,30.3,2019-03-06 15:25:00,EOD Exit,8.3,0.6890000000000001,7.611000000000001,10000000,8,7239.819004524887,55102.262443438914,0.5510226244343892,2019.0
2019-03-07,15.472682902410432,SHORT,11050,C,2019-03-07,0,11:05:00,12.85,1,16.9,2019-03-07 13:35:00,TSL Hit,-4.049999999999999,0.2975,-4.347499999999999,10000000,8,7239.819004524887,-31475.11312217194,-0.31475113122171944,2019.0
2019-03-07,15.472682902410432,LONG,11050,P,2019-03-07,0,13:35:00,6.35,2,0.2,2019-03-07 15:05:00,TSL Hit,6.1499999999999995,0.0655,6.084499999999999,10000000,8,7239.819004524887,44050.678733031666,0.4405067873303167,2019.0
