date,high level,low level,atr_multiplier,Morning ATR,side,strike,type,expiry,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index leverage,qty,pnl,ROI%,Trade Year
2019-01-01,10881.900000000005,10824.349999999995,5,12.050000000001091,SHORT,10800,CE,2019-01-31,2019-01-01 09:57:00,217.85,254.65,2019-01-01 14:33:00,TSL Hit,-36.80000000000001,4.7250000000000005,-41.52500000000001,10000000,8,7407.407407407408,-307592.5925925927,-3.075925925925927,2019
2019-01-01,10867.900000000005,10824.349999999995,5,12.050000000001091,LONG,10850,PE,2019-01-31,2019-01-01 14:30:00,153.75,132.65,2019-01-01 15:21:00,EOD Exit,21.099999999999994,2.864,18.235999999999994,10000000,8,7373.271889400921,134458.98617511516,1.3445898617511516,2019
2019-01-02,10893.58589624771,10841.81410375229,5,10.667179249542238,SHORT,10850,CE,2019-01-31,2019-01-02 12:27:00,194.0,175.0,2019-01-02 14:39:00,TSL Hit,19.0,3.69,15.31,10000000,8,7373.271889400921,112884.79262672811,1.1288479262672813,2019
2019-01-02,10789.13589624771,10841.81410375229,5,10.667179249542238,LONG,10800,PE,2019-01-31,2019-01-02 14:36:00,173.25,168.65,2019-01-02 14:39:00,TSL Hit,4.599999999999994,3.419,1.1809999999999943,10000000,8,7407.407407407408,8748.148148148106,0.08748148148148106,2019
2019-01-03,10809.133017055472,10751.616982944528,5,11.736603411094201,LONG,10800,PE,2019-01-31,2019-01-03 10:15:00,158.6,192.2,2019-01-03 10:48:00,TSL Hit,-33.599999999999994,3.5079999999999996,-37.108,10000000,8,7407.407407407408,-274874.07407407404,-2.7487407407407405,2019
2019-01-03,10809.033017055472,10755.26698294453,5,11.736603411094201,SHORT,10750,CE,2019-01-31,2019-01-03 10:51:00,211.9,166.45,2019-01-03 15:21:00,EOD Exit,45.45000000000002,3.7835,41.66650000000001,10000000,8,7441.860465116279,310076.2790697675,3.1007627906976754,2019
2019-01-04,10727.909982609855,10675.740017390144,5,10.72199652197121,SHORT,10700,CE,2019-01-31,2019-01-04 09:39:00,196.4,202.0,2019-01-04 11:06:00,TSL Hit,-5.599999999999994,3.984,-9.583999999999994,10000000,8,7476.6355140186915,-71656.0747663551,-0.716560747663551,2019
2019-01-04,10682.409982609855,10675.740017390144,5,10.72199652197121,LONG,10700,PE,2019-01-31,2019-01-04 11:03:00,162.2,166.05,2019-01-04 14:09:00,TSL Hit,-3.8500000000000227,3.2825,-7.132500000000023,10000000,8,7476.6355140186915,-53327.10280373849,-0.5332710280373849,2019
2019-01-04,10723.059982609857,10687.190017390143,5,10.72199652197121,SHORT,10700,CE,2019-01-31,2019-01-04 14:12:00,190.3,216.6,2019-01-04 14:45:00,TSL Hit,-26.299999999999983,4.069,-30.368999999999982,10000000,8,7476.6355140186915,-227057.9439252335,-2.2705794392523346,2019
2019-01-04,10712.409982609855,10687.190017390143,5,10.72199652197121,LONG,10700,PE,2019-01-31,2019-01-04 14:42:00,150.7,142.45,2019-01-04 15:21:00,EOD Exit,8.25,2.9314999999999998,5.3185,10000000,8,7476.6355140186915,39764.48598130841,0.3976448598130841,2019
