Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
0,250000,2018-01-04,33935.6,33915.0,-20.599999999998545,23.9778338247318,6.7850600000000005,-656.634417960275,-0.26265376718411,MIDCPNIFTY
1,250000,2018-01-04,33969.66,33980.91,11.25,20.947575201793686,0.9761545714285715,215.21214972660428,0.08608485989064171,MIDCPNIFTY
1,250000,2018-01-05,33980.91,34172.14,191.22999999999593,20.947575201793686,0.9761545714285715,3985.3567345453466,1.5941426938181387,MIDCPNIFTY
1,250000,2018-01-08,34172.14,34331.51,159.37000000000262,20.947575201793686,0.9761545714285715,3317.96698861634,1.327186795446536,MIDCPNIFTY
1,250000,2018-01-09,34331.51,34431.05,99.54000000000087,20.947575201793686,0.9761545714285715,2064.673564292987,0.8258694257171948,MIDCPNIFTY
1,250000,2018-01-10,34431.05,34405.63,-25.42000000000553,20.947575201793686,0.9761545714285715,-552.935432923286,-0.22117417316931443,MIDCPNIFTY
1,250000,2018-01-11,34405.63,34499.54,93.91000000000349,20.947575201793686,0.9761545714285715,1946.7387159069438,0.7786954863627775,MIDCPNIFTY
1,250000,2018-01-12,34499.54,34361.16,-138.37999999999738,20.947575201793686,0.9761545714285715,-2919.17352771773,-1.167669411087092,MIDCPNIFTY
2,250000,2018-01-12,34582.33,34558.16,-24.169999999998254,22.28156637761076,0.5429163846153847,-550.6424868081133,-0.22025699472324534,MIDCPNIFTY
2,250000,2018-01-15,34558.16,34818.97,260.8099999999977,22.28156637761076,0.5429163846153847,5799.15829948331,2.319663319793324,MIDCPNIFTY
2,250000,2018-01-16,34818.97,34794.2,-24.770000000004075,22.28156637761076,0.5429163846153847,-564.0114266348094,-0.22560457065392375,MIDCPNIFTY
2,250000,2018-01-17,34794.2,35076.53,282.33000000000175,22.28156637761076,0.5429163846153847,6278.657607929584,2.511463043171833,MIDCPNIFTY
2,250000,2018-01-18,35076.53,35325.19,248.6600000000035,22.28156637761076,0.5429163846153847,5528.437267995469,2.2113749071981874,MIDCPNIFTY
2,250000,2018-01-19,35325.19,35501.84,176.64999999999418,22.28156637761076,0.5429163846153847,3923.941673143511,1.5695766692574042,MIDCPNIFTY
2,250000,2018-01-22,35501.84,35780.71,278.8700000000026,22.28156637761076,0.5429163846153847,6201.56338826307,2.4806253553052278,MIDCPNIFTY
2,250000,2018-01-23,35780.71,36144.85,364.1399999999994,22.28156637761076,0.5429163846153847,8101.512553281868,3.240605021312747,MIDCPNIFTY
