index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
12,12,2018-02-21 14:15:00+05:30,2018-02-21 14:45:00+05:30,short,24897.05,24930.023076923077,25022.421153846153,24931.05,Trailing SL Hit,-34.0,4.98281,-38.98281,199.407911892381,-7773.48074179743,-0.7773480741797429,2018
13,13,2018-02-22 09:15:00+05:30,2018-02-22 14:45:00+05:30,short,24849.05,24923.93269230769,25003.219230769235,24974.3,Trailing SL Hit,-125.25,4.982335,-130.232335,162.15946512323612,-21118.405785350104,-2.1118405785350105,2018
14,14,2018-02-27 13:45:00+05:30,2018-03-06 09:15:00+05:30,short,25431.35,25480.617307692308,25554.57115384616,25002.85,Trailing SL Hit,428.5,5.04342,423.45658,202.88724151384127,85913.93741708524,8.591393741708524,2018
15,15,2018-03-06 11:15:00+05:30,2018-03-08 12:15:00+05:30,short,24789.05,24851.803846153845,24924.751923076925,24308.1,Trailing SL Hit,480.9500000000007,4.909714999999999,476.0402850000007,184.2273081555978,87699.62027917373,8.769962027917375,2018
16,16,2018-03-08 12:45:00+05:30,2018-03-08 13:15:00+05:30,short,24209.2,24265.403846153848,24345.048076923078,24298.85,Trailing SL Hit,-89.64999999999782,4.850805,-94.50080499999781,184.02910491074536,-17390.898557494485,-1.7390898557494485,2018
17,17,2018-03-14 09:15:00+05:30,2018-03-14 12:45:00+05:30,short,24547.4,24613.417307692307,24721.35576923077,24657.3,Trailing SL Hit,-109.89999999999782,4.92047,-114.82046999999781,143.71469316913107,-16501.388615585103,-1.6501388615585102,2018
18,18,2018-03-16 13:45:00+05:30,2018-03-21 09:15:00+05:30,short,24678.6,24750.686538461538,24830.667307692307,24358.85,Trailing SL Hit,319.75,4.903745,314.846255,164.400885235535,51761.00303509298,5.176100303509298,2018
19,19,2018-03-22 11:45:00+05:30,2018-03-22 13:45:00+05:30,short,24177.8,24245.115384615383,24314.569230769233,24258.75,Trailing SL Hit,-80.95000000000073,4.843655000000001,-85.79365500000073,182.7896512935838,-15682.192280652165,-1.5682192280652165,2018
20,20,2018-03-22 14:15:00+05:30,2018-03-26 11:45:00+05:30,short,24163.2,24236.669230769232,24313.559615384613,23818.65,Trailing SL Hit,344.5499999999993,4.798185000000001,339.7518149999993,166.26804967578107,56489.87165385666,5.648987165385666,2018
21,21,2018-03-28 14:15:00+05:30,2018-03-28 15:15:00+05:30,short,24248.45,24293.478846153845,24385.21346153846,24306.1,Trailing SL Hit,-57.64999999999782,4.855455000000001,-62.505454999997816,182.79736209345432,-11425.832290450717,-1.1425832290450717,2018
22,22,2018-04-02 09:15:00+05:30,2018-04-02 12:45:00+05:30,short,24188.1,24307.848076923077,24381.826923076922,24254.6,Trailing SL Hit,-66.5,4.84427,-71.34427,129.04762850165756,-9206.808850681951,-0.9206808850681951,2018
23,23,2018-04-04 13:15:00+05:30,2018-04-05 09:15:00+05:30,short,24197.95,24392.99423076923,24470.809615384616,24384.5,Trailing SL Hit,-186.54999999999927,4.858245,-191.40824499999928,91.62220640368737,-17537.245730757495,-1.7537245730757494,2018
24,24,2018-04-11 09:15:00+05:30,2018-04-11 13:15:00+05:30,short,25022.1,25092.19230769231,25168.071153846155,25128.75,Trailing SL Hit,-106.65000000000146,5.015085,-111.66508500000145,171.26671497266057,-19124.512285093162,-1.9124512285093163,2018
25,25,2018-04-12 09:15:00+05:30,2018-04-12 11:45:00+05:30,short,25028.5,25101.851923076923,25159.255769230767,25110.6,Trailing SL Hit,-82.09999999999854,5.01391,-87.11390999999854,191.1961525451177,-16655.844425161376,-1.6655844425161377,2018
26,26,2018-04-18 13:45:00+05:30,2018-04-20 15:15:00+05:30,short,25235.9,25292.851923076923,25356.575000000004,25009.7,Trailing SL Hit,226.20000000000073,5.024560000000001,221.17544000000072,207.16801325874786,45820.47648642954,4.582047648642955,2018
27,27,2018-04-23 09:15:00+05:30,2018-04-23 10:15:00+05:30,short,24855.2,24992.840384615385,25049.386538461542,25049.386538461542,Initial SL Hit,-194.1865384615412,4.990458653846155,-199.17699711538737,128.74218881527295,-25642.482570288277,-2.564248257028828,2018
28,28,2018-04-25 09:45:00+05:30,2018-04-26 13:45:00+05:30,short,24900.4,24981.62115384615,25051.542307692307,24863.7,Trailing SL Hit,36.70000000000073,4.9764100000000004,31.723590000000726,165.4070285263529,5247.304756088443,0.5247304756088443,2018
29,29,2018-05-03 09:15:00+05:30,2018-05-03 12:45:00+05:30,short,25514.25,25543.613461538465,25607.56730769231,25542.0,Trailing SL Hit,-27.75,5.105625,-32.855625,267.90314270994094,-8802.125193199305,-0.8802125193199305,2018
30,30,2018-05-10 15:15:00+05:30,2018-05-11 09:15:00+05:30,short,26062.7,26120.228846153845,26179.39038461538,26179.39038461538,Initial SL Hit,-116.69038461538003,5.224209038461538,-121.91459365384156,214.2421595609768,-26119.245826397975,-2.6119245826397974,2018
31,31,2018-05-15 15:15:00+05:30,2018-05-21 09:15:00+05:30,short,26444.6,26511.76538461538,26618.771153846155,26049.2,Trailing SL Hit,395.3999999999978,5.24938,390.15061999999784,143.53697181154456,56001.03854519632,5.600103854519633,2018
32,32,2018-05-21 09:45:00+05:30,2018-05-22 09:45:00+05:30,short,25853.75,25970.492307692304,26037.626923076925,25860.45,Trailing SL Hit,-6.700000000000728,5.17142,-11.871420000000729,135.96050870147124,-1614.044302208919,-0.1614044302208919,2018
33,33,2018-05-22 10:45:00+05:30,2018-05-22 12:15:00+05:30,short,25735.1,25799.215384615385,25876.026923076923,25824.05,Trailing SL Hit,-88.95000000000073,5.155914999999999,-94.10591500000072,177.39690510630035,-16694.098073196696,-1.6694098073196695,2018
34,34,2018-05-23 14:45:00+05:30,2018-05-24 12:15:00+05:30,short,25676.1,25767.05769230769,25848.794230769232,25781.1,Trailing SL Hit,-105.0,5.14572,-110.14572,144.76453491609004,-15945.193928797877,-1.5945193928797876,2018
35,35,2018-05-29 13:15:00+05:30,2018-05-30 12:45:00+05:30,short,26411.1,26438.078846153847,26526.311538461538,26389.8,Trailing SL Hit,21.299999999999272,5.2800899999999995,16.01990999999927,216.99215489901414,3476.1947921881074,0.34761947921881076,2018
36,36,2018-05-30 13:45:00+05:30,2018-05-30 14:45:00+05:30,short,26161.0,26320.51730769231,26395.68269230769,26332.85,Trailing SL Hit,-171.84999999999854,5.249385,-177.09938499999853,106.52681607735524,-18865.833613307568,-1.886583361330757,2018
37,37,2018-06-04 09:15:00+05:30,2018-06-06 10:45:00+05:30,short,26531.85,26611.48461538462,26748.326923076922,26294.75,Trailing SL Hit,237.09999999999854,5.28266,231.81733999999855,115.48575083505064,26771.599566484052,2.677159956648405,2018
38,38,2018-06-08 09:15:00+05:30,2018-06-08 14:15:00+05:30,short,26344.85,26431.83846153846,26518.578846153843,26452.45,Trailing SL Hit,-107.60000000000218,5.279730000000001,-112.87973000000218,143.90241202581512,-16243.665415823078,-1.6243665415823079,2018
39,39,2018-06-14 09:45:00+05:30,2018-06-18 14:15:00+05:30,short,26542.9,26593.705769230768,26660.296153846153,26452.8,Trailing SL Hit,90.10000000000218,5.29957,84.80043000000218,212.95416571110695,18058.60482259359,1.8058604822593587,2018
40,40,2018-06-19 09:15:00+05:30,2018-06-20 09:15:00+05:30,short,26353.05,26409.776923076926,26470.33653846154,26345.75,Trailing SL Hit,7.299999999999272,5.269880000000001,2.030119999999272,213.15319155913127,432.72655724786836,0.043272655724786835,2018
41,41,2018-06-22 09:15:00+05:30,2018-06-22 12:45:00+05:30,short,26427.25,26473.905769230772,26541.603846153845,26504.65,Trailing SL Hit,-77.40000000000146,5.29319,-82.69319000000145,218.61966904345775,-18078.357829948087,-1.8078357829948086,2018
42,42,2018-06-26 09:45:00+05:30,2018-06-26 10:45:00+05:30,short,26533.7,26563.284615384615,26644.457692307693,26644.457692307693,Initial SL Hit,-110.7576923076922,5.317815769230769,-116.07550807692297,225.7179567316042,-26200.326509705872,-2.620032650970587,2018
43,43,2018-06-26 13:15:00+05:30,2018-06-26 13:45:00+05:30,short,26582.6,26613.080769230768,26690.80769230769,26636.45,Trailing SL Hit,-53.85000000000218,5.321905,-59.171905000002184,231.0371792137614,-13670.910019905168,-1.367091001990517,2018
44,44,2018-06-26 14:45:00+05:30,2018-06-29 09:15:00+05:30,short,26594.2,26621.553846153845,26690.380769230767,26433.45,Trailing SL Hit,160.75,5.302765000000001,155.447235,259.9272203783012,40404.967709042576,4.040496770904258,2018
45,45,2018-07-02 09:15:00+05:30,2018-07-02 14:15:00+05:30,short,26265.55,26333.701923076922,26414.16346153846,26264.1,Trailing SL Hit,1.4500000000007276,5.252965,-3.802964999999272,168.2216384787586,-639.7410033772497,-0.06397410033772498,2018
46,46,2018-07-02 15:15:00+05:30,2018-07-03 10:45:00+05:30,short,26214.4,26261.42307692307,26336.39615384615,26286.1,Trailing SL Hit,-71.69999999999709,5.25005,-76.95004999999709,204.9244932059709,-15768.949998423524,-1.5768949998423525,2018
47,47,2018-07-11 12:15:00+05:30,2018-07-12 09:15:00+05:30,short,26785.5,26824.884615384617,26878.19807692308,26936.05,Gap,-150.54999999999927,5.372155,-155.92215499999926,269.6927577121681,-42051.07597037392,-4.205107597037392,2018
48,48,2018-07-13 13:45:00+05:30,2018-07-17 11:15:00+05:30,short,26923.05,26972.598076923074,27044.309615384616,26790.7,Trailing SL Hit,132.34999999999854,5.3713750000000005,126.97862499999854,206.16921734992974,26179.08373641992,2.617908373641992,2018
49,49,2018-07-19 09:15:00+05:30,2018-07-19 10:45:00+05:30,short,26818.5,26893.74615384615,26982.259615384617,26982.259615384617,Initial SL Hit,-163.75961538461706,5.380075961538462,-169.13969134615553,152.66279138042236,-25821.33741412717,-2.582133741412717,2018
50,50,2018-07-19 13:15:00+05:30,2018-07-20 14:15:00+05:30,short,26850.6,26934.669230769232,27029.55192307692,26905.95,Trailing SL Hit,-55.35000000000218,5.375655000000001,-60.725655000002185,139.70232658105508,-8483.515286658785,-0.8483515286658785,2018
51,51,2018-08-01 10:45:00+05:30,2018-08-03 09:15:00+05:30,short,27684.75,27715.232692307694,27781.54423076923,27519.05,Trailing SL Hit,165.70000000000073,5.52038,160.17962000000074,258.27985615799435,41371.16921304238,4.137116921304239,2018
52,52,2018-08-10 14:45:00+05:30,2018-08-14 09:15:00+05:30,short,28129.6,28196.540384615386,28284.084615384618,28012.1,Trailing SL Hit,117.5,5.61417,111.88583,161.82841208982316,18106.306204251898,1.8106306204251899,2018
53,53,2018-08-16 14:15:00+05:30,2018-08-17 09:15:00+05:30,short,27813.95,27913.26923076923,27978.261538461542,28003.75,Gap,-189.79999999999927,5.58177,-195.38176999999928,152.1499964888437,-29727.335619483958,-2.9727335619483957,2018
54,54,2018-08-23 09:15:00+05:30,2018-08-27 09:15:00+05:30,short,28174.7,28227.715384615385,28276.998076923075,28173.15,Trailing SL Hit,1.5499999999992724,5.634785000000001,-4.084785000000728,244.38387066454214,-998.2555691326398,-0.09982555691326397,2018
55,55,2018-08-30 09:15:00+05:30,2018-08-30 14:45:00+05:30,short,28058.55,28212.315384615387,28268.678846153845,28111.4,Trailing SL Hit,-52.85000000000218,5.616995,-58.466995000002186,118.97462179798113,-6956.088617789714,-0.6956088617789714,2018
56,56,2018-08-31 09:45:00+05:30,2018-08-31 14:45:00+05:30,short,28083.7,28121.103846153845,28182.634615384617,28077.7,Trailing SL Hit,6.0,5.616140000000001,0.3838599999999994,252.6921432181292,96.99840609571092,0.009699840609571093,2018
57,57,2018-09-03 13:45:00+05:30,2018-09-06 09:15:00+05:30,short,27964.25,27998.838461538464,28067.328846153847,27406.2,Trailing SL Hit,558.0499999999993,5.537045,552.5129549999992,242.5327885673759,134002.5076957509,13.40025076957509,2018
58,58,2018-09-06 12:15:00+05:30,2018-09-06 13:45:00+05:30,short,27290.95,27345.324999999997,27425.60384615385,27425.60384615385,Initial SL Hit,-134.65384615384755,5.471655384615386,-140.12550153846294,185.66123964581354,-26015.87432162238,-2.6015874321622383,2018
59,59,2018-09-07 09:15:00+05:30,2018-09-07 10:15:00+05:30,short,27259.0,27310.507692307696,27401.34230769231,27401.34230769231,Initial SL Hit,-142.34230769231,5.466034230769231,-147.8083419230792,175.6329541462859,-25960.015739414717,-2.5960015739414715,2018
60,60,2018-09-10 09:45:00+05:30,2018-09-11 09:15:00+05:30,short,27279.75,27353.094230769228,27432.196153846155,27288.15,Trailing SL Hit,-8.400000000001455,5.456790000000001,-13.856790000001457,163.99233020486344,-2272.4072812596887,-0.22724072812596885,2018
61,61,2018-09-11 10:15:00+05:30,2018-09-11 10:45:00+05:30,short,27228.5,27269.026923076926,27335.688461538462,27271.35,Trailing SL Hit,-42.849999999998545,5.449985,-48.29998499999854,233.23405934909562,-11265.201568050088,-1.126520156805009,2018
62,62,2018-09-11 11:45:00+05:30,2018-09-12 15:15:00+05:30,short,27221.85,27253.428846153845,27319.467307692303,26869.2,Trailing SL Hit,352.6499999999978,5.409105,347.2408949999978,256.10212564765214,88929.13132129262,8.89291313212926,2018
63,63,2018-09-17 09:15:00+05:30,2018-09-21 09:15:00+05:30,short,26828.0,26859.901923076923,26954.430769230767,26470.6,Trailing SL Hit,357.40000000000146,5.32986,352.07014000000146,197.73667559017204,69617.17905816674,6.961717905816674,2018
64,64,2018-09-21 09:45:00+05:30,2018-09-25 14:45:00+05:30,short,26441.7,26474.20576923077,26561.06153846154,25307.45,Trailing SL Hit,1134.25,5.174915,1129.075085,209.44770251981345,236482.18252561308,23.648218252561307,2018
65,65,2018-09-27 12:15:00+05:30,2018-09-28 10:45:00+05:30,short,25122.7,25198.80384615384,25349.548076923078,25156.15,Trailing SL Hit,-33.45000000000073,5.027885,-38.477885000000725,110.2059155144495,-4240.490543484783,-0.42404905434847834,2018
66,66,2018-09-28 12:15:00+05:30,2018-09-28 12:45:00+05:30,short,25123.6,25152.348076923074,25274.609615384616,25192.0,Trailing SL Hit,-68.40000000000146,5.03156,-73.43156000000145,165.55237185609494,-12156.768927093388,-1.2156768927093389,2018
67,67,2018-09-28 14:15:00+05:30,2018-09-28 14:45:00+05:30,short,25091.75,25125.64230769231,25250.490384615383,25209.35,Trailing SL Hit,-117.59999999999854,5.0301100000000005,-122.63010999999855,157.4898540190216,-19312.998122236335,-1.9312998122236336,2018
68,68,2018-10-01 09:15:00+05:30,2018-10-01 13:45:00+05:30,short,24967.75,25094.186538461538,25219.13846153846,25124.25,Trailing SL Hit,-156.5,5.0092,-161.5092,99.44768286898994,-16061.71570202427,-1.606171570202427,2018
69,69,2018-10-04 09:15:00+05:30,2018-10-05 13:15:00+05:30,short,24765.25,25056.375,25188.809615384616,24820.9,Trailing SL Hit,-55.650000000001455,4.958615,-60.60861500000146,59.023568564955305,-3577.3367430795647,-0.3577336743079565,2018
70,70,2018-10-05 14:45:00+05:30,2018-10-08 14:45:00+05:30,short,24468.05,24711.82307692308,24836.028846153848,24716.8,Trailing SL Hit,-248.75,4.918485,-253.668485,67.93868794715377,-17233.904044442257,-1.7233904044442256,2018
71,71,2018-10-11 09:15:00+05:30,2018-10-11 12:45:00+05:30,short,24633.8,24776.013461538467,24899.009615384617,24899.009615384617,Initial SL Hit,-265.2096153846178,4.953280961538462,-270.16289634615623,94.26505884314933,-25466.921321306072,-2.546692132130607,2018
72,72,2018-10-11 13:45:00+05:30,2018-10-12 09:15:00+05:30,short,24748.65,24823.155769230772,24958.923076923078,25021.15,Gap,-272.5,4.97698,-277.47698,118.8930145781129,-32990.074628230745,-3.299007462823074,2018
73,73,2018-10-17 13:15:00+05:30,2018-10-22 09:15:00+05:30,short,25482.05,25521.911538461536,25628.719230769228,25243.65,Trailing SL Hit,238.39999999999782,5.07257,233.3274299999978,170.45156553207397,39771.02572507503,3.977102572507503,2018
74,74,2018-10-22 14:45:00+05:30,2018-10-24 09:15:00+05:30,short,25060.5,25116.634615384617,25248.694230769233,25354.3,Gap,-293.7999999999993,5.041480000000001,-298.84147999999925,132.84147924096237,-39698.544261758376,-3.9698544261758375,2018
75,75,2018-10-24 13:45:00+05:30,2018-10-24 14:45:00+05:30,short,24922.05,25004.10576923077,25102.86923076923,25102.86923076923,Initial SL Hit,-180.81923076922976,5.002491923076923,-185.82172269230668,138.25963031502002,-25691.642683938488,-2.5691642683938487,2018
76,76,2018-10-25 09:15:00+05:30,2018-10-29 11:45:00+05:30,short,24948.9,24975.60576923077,25086.615384615383,24668.95,Trailing SL Hit,279.9500000000007,4.961785000000001,274.9882150000007,181.53382114729789,49919.661439424824,4.9919661439424825,2018
77,77,2018-10-31 09:15:00+05:30,2018-10-31 11:45:00+05:30,short,24706.65,24757.898076923077,24887.930769230767,24826.7,Trailing SL Hit,-120.04999999999927,4.953335000000001,-125.00333499999927,137.90762310907743,-17238.912810557646,-1.7238912810557645,2018
78,78,2018-11-06 13:45:00+05:30,2018-11-09 09:15:00+05:30,short,25627.65,25679.898076923077,25755.96153846154,25719.1,Trailing SL Hit,-91.44999999999709,5.1346750000000005,-96.58467499999709,194.83828422409536,-18818.39235934131,-1.881839235934131,2018
79,79,2018-11-12 12:45:00+05:30,2018-11-13 12:45:00+05:30,short,25637.25,25697.580769230768,25771.511538461542,25583.6,Trailing SL Hit,53.650000000001455,5.122085,48.52791500000146,186.20373553339726,9036.079050647453,0.9036079050647453,2018
80,80,2018-11-20 10:45:00+05:30,2018-11-21 11:45:00+05:30,short,26163.55,26212.421153846157,26287.830769230768,26171.25,Trailing SL Hit,-7.700000000000728,5.23348,-12.933480000000728,201.15742889858643,-2601.665583511436,-0.2601665583511436,2018
81,81,2018-11-22 13:15:00+05:30,2018-11-26 12:15:00+05:30,short,26105.0,26164.99423076923,26236.846153846152,26171.7,Trailing SL Hit,-66.70000000000073,5.22767,-71.92767000000073,189.61493582263913,-13638.560530922105,-1.3638560530922106,2018
82,82,2018-12-04 09:15:00+05:30,2018-12-07 09:15:00+05:30,short,26731.45,26832.125,26898.30769230769,26336.75,Trailing SL Hit,394.7000000000007,5.30682,389.3931800000007,149.8282737477828,58342.107968559765,5.834210796855976,2018
83,83,2018-12-10 09:15:00+05:30,2018-12-11 11:15:00+05:30,short,26224.65,26284.257692307696,26362.61923076923,26110.75,Trailing SL Hit,113.90000000000146,5.2335400000000005,108.66646000000145,181.19982158787215,19690.34316458591,1.9690343164585908,2018
84,84,2018-12-11 11:45:00+05:30,2018-12-11 12:45:00+05:30,short,25953.95,26144.742307692308,26239.246153846154,26122.8,Trailing SL Hit,-168.84999999999854,5.207675,-174.05767499999854,87.62824055974245,-15252.367816169342,-1.5252367816169343,2018
85,85,2018-12-11 13:15:00+05:30,2018-12-11 14:15:00+05:30,short,26028.5,26094.94230769231,26202.632692307696,26085.5,Trailing SL Hit,-57.0,5.2114,-62.2114,143.56867552374666,-8931.608300478012,-0.8931608300478012,2018
86,86,2018-12-21 10:15:00+05:30,2018-12-26 13:15:00+05:30,short,27105.5,27213.042307692307,27280.31730769231,26724.65,Trailing SL Hit,380.84999999999854,5.383015,375.46698499999854,143.00643528958736,53694.19509377876,5.3694195093778765,2018
87,87,2019-01-01 09:15:00+05:30,2019-01-01 14:15:00+05:30,short,27103.6,27131.86153846154,27191.826923076922,27191.826923076922,Initial SL Hit,-88.22692307692341,5.429542692307693,-93.6564657692311,283.36021622564084,-26538.516391298657,-2.653851639129866,2019
88,88,2019-01-02 13:15:00+05:30,2019-01-04 10:45:00+05:30,short,27129.65,27164.048076923078,27240.684615384616,27068.95,Trailing SL Hit,60.70000000000073,5.419860000000001,55.28014000000073,225.15501056496691,12446.600505733015,1.2446600505733014,2019
89,89,2019-01-10 14:15:00+05:30,2019-01-11 09:15:00+05:30,short,27523.8,27552.565384615384,27632.607692307694,27582.5,Trailing SL Hit,-58.70000000000073,5.510630000000001,-64.21063000000073,229.76316719688344,-14753.237716507389,-1.4753237716507388,2019
90,90,2019-01-11 10:15:00+05:30,2019-01-15 09:15:00+05:30,short,27480.7,27552.705769230768,27625.882692307692,27383.6,Trailing SL Hit,97.10000000000218,5.48643,91.61357000000218,172.19683422743327,15775.56672627373,1.5775566726273729,2019
91,91,2019-01-17 12:45:00+05:30,2019-01-17 14:15:00+05:30,short,27417.9,27448.31346153846,27502.309615384616,27502.309615384616,Initial SL Hit,-84.40961538461488,5.492020961538462,-89.90163634615334,296.1747886906814,-26626.598147768447,-2.6626598147768448,2019
92,92,2019-01-22 10:15:00+05:30,2019-01-22 13:45:00+05:30,short,27440.65,27480.096153846152,27545.153846153848,27515.9,Trailing SL Hit,-75.25,5.495655,-80.745655,239.22564498914298,-19316.431397445816,-1.9316431397445817,2019
93,93,2019-01-23 14:15:00+05:30,2019-01-24 14:45:00+05:30,short,27359.0,27454.078846153847,27507.18269230769,27292.7,Trailing SL Hit,66.29999999999927,5.46517,60.83482999999927,168.7106612160155,10263.484394263773,1.0263484394263773,2019
94,94,2019-01-25 14:15:00+05:30,2019-01-29 15:15:00+05:30,short,27208.45,27241.678846153845,27311.938461538462,26680.5,Trailing SL Hit,527.9500000000007,5.388895,522.5611050000007,241.57282491544913,126236.5623257888,12.62365623257888,2019
95,95,2019-02-01 14:45:00+05:30,2019-02-04 13:45:00+05:30,short,27054.4,27090.100000000002,27222.26538461538,27080.2,Trailing SL Hit,-25.799999999999272,5.413460000000001,-31.213459999999273,148.9288578302258,-4648.584946729332,-0.46485849467293316,2019
96,96,2019-02-08 09:15:00+05:30,2019-02-08 13:15:00+05:30,short,27304.45,27373.115384615383,27443.340384615385,27431.75,Trailing SL Hit,-127.29999999999927,5.47362,-132.77361999999928,179.99806155933734,-23898.994226215935,-2.3898994226215935,2019
97,97,2019-02-08 14:45:00+05:30,2019-02-11 15:15:00+05:30,short,27275.45,27345.08846153846,27428.16346153846,27259.95,Trailing SL Hit,15.5,5.45354,10.04646,163.7052801249211,1644.6585485638147,0.1644658548563815,2019
98,98,2019-02-12 14:15:00+05:30,2019-02-14 13:45:00+05:30,short,27096.5,27203.85576923077,27259.28269230769,26970.05,Trailing SL Hit,126.45000000000073,5.406655000000001,121.04334500000073,153.57898094439477,18589.713575200913,1.8589713575200912,2019
99,99,2019-02-15 09:15:00+05:30,2019-02-18 12:15:00+05:30,short,26860.95,26935.740384615383,27005.555769230767,26794.2,Trailing SL Hit,66.75,5.365515,61.384485,172.88383536139773,10612.385198484188,1.0612385198484187,2019
100,100,2019-02-18 14:15:00+05:30,2019-02-19 09:15:00+05:30,short,26705.3,26746.076923076922,26822.017307692306,26822.017307692306,Initial SL Hit,-116.71730769230635,5.35273173076923,-122.07003942307558,214.19274051373552,-26146.516278648294,-2.6146516278648293,2019
101,101,2019-02-19 14:45:00+05:30,2019-02-20 09:15:00+05:30,short,26697.8,26762.5,26840.98653846154,26840.98653846154,Initial SL Hit,-143.1865384615412,5.353878653846155,-148.54041711538736,174.59741864431484,-25934.773392696436,-2.5934773392696435,2019
102,102,2019-02-22 10:45:00+05:30,2019-02-25 09:15:00+05:30,short,26896.8,26924.050000000003,26990.91346153846,26990.91346153846,Initial SL Hit,-94.1134615384617,5.388771346153846,-99.50223288461555,265.6368131755855,-26431.45604732422,-2.643145604732422,2019
103,103,2019-02-26 09:15:00+05:30,2019-02-26 12:15:00+05:30,short,26813.95,26945.653846153848,26995.009615384617,26995.009615384617,Initial SL Hit,-181.05961538461634,5.380895961538463,-186.4405113461548,138.0760692929436,-25742.972963643508,-2.574297296364351,2019
104,104,2019-02-27 11:45:00+05:30,2019-03-01 09:15:00+05:30,short,26748.1,26974.10576923077,27057.169230769232,26995.15,Trailing SL Hit,-247.0500000000029,5.374325000000001,-252.4243250000029,80.88802608327664,-20418.105384653736,-2.0418105384653735,2019
105,105,2019-03-22 14:15:00+05:30,2019-03-26 09:15:00+05:30,short,29662.65,29721.98076923077,29808.713461538464,29431.3,Trailing SL Hit,231.35000000000218,5.909395,225.4406050000022,171.15847958605875,38586.071188761605,3.8586071188761606,2019
106,106,2019-04-01 14:45:00+05:30,2019-04-02 15:15:00+05:30,short,30329.1,30391.736538461533,30484.934615384616,30445.75,Trailing SL Hit,-116.65000000000146,6.077485,-122.72748500000145,160.42648764715798,-19688.7393563195,-1.96887393563195,2019
107,107,2019-04-03 14:15:00+05:30,2019-04-05 14:45:00+05:30,short,30270.0,30324.290384615386,30425.41153846154,30049.9,Trailing SL Hit,220.09999999999854,6.03199,214.06800999999854,160.86321676937033,34435.6686960175,3.44356686960175,2019
