index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,2018-01-10 09:15:00+05:30,2018-01-11 11:45:00+05:30,short,25647.8,25674.938461538462,25718.800000000003,25628.2,Trailing SL Hit,19.599999999998545,5.1276,14.472399999998544,352.11267605631997,5095.915492956972,0.5095915492956973,2018
1,1,2018-01-12 12:15:00+05:30,2018-01-12 13:15:00+05:30,short,25565.0,25621.93269230769,25668.207692307693,25668.207692307693,Initial SL Hit,-103.20769230769292,5.12332076923077,-108.3310130769237,242.23000670790643,-26241.022024297527,-2.6241022024297527,2018
2,2,2018-01-25 12:45:00+05:30,2018-01-25 13:45:00+05:30,short,27266.9,27305.492307692308,27389.176923076928,27389.176923076928,Initial SL Hit,-122.27692307692632,5.465607692307693,-127.74253076923402,204.45395067941078,-26117.465085556087,-2.611746508555609,2018
3,3,2018-01-30 09:15:00+05:30,2018-01-31 14:15:00+05:30,short,27328.55,27406.503846153846,27504.40769230769,27398.5,Trailing SL Hit,-69.95000000000073,5.472705,-75.42270500000073,142.16040067362286,-10722.121962688563,-1.0722121962688562,2018
4,4,2018-02-01 12:15:00+05:30,2018-02-01 12:45:00+05:30,short,27173.6,27272.503846153846,27364.58653846154,27364.58653846154,Initial SL Hit,-190.98653846154048,5.453818653846154,-196.44035711538663,130.89927804013436,-25713.90092435028,-2.571390092435028,2018
5,5,2018-02-01 14:45:00+05:30,2018-02-06 14:15:00+05:30,short,27200.2,27264.598076923077,27396.421153846153,25916.55,Trailing SL Hit,1283.6500000000015,5.311675,1278.3383250000015,127.4072622139471,162869.58617141313,16.286958617141313,2018
6,6,2018-02-09 09:15:00+05:30,2018-02-12 10:15:00+05:30,short,25517.25,25799.78269230769,25899.194230769233,25595.05,Trailing SL Hit,-77.79999999999927,5.111230000000001,-82.91122999999928,65.45458207249301,-5426.919908766297,-0.5426919908766297,2018
7,7,2018-02-14 11:15:00+05:30,2018-02-15 09:45:00+05:30,short,25497.7,25524.219230769228,25619.553846153845,25525.75,Trailing SL Hit,-28.049999999999272,5.102345,-33.15234499999927,205.163815415696,-6801.661590177323,-0.6801661590177323,2018
8,8,2018-02-15 10:45:00+05:30,2018-02-15 12:15:00+05:30,short,25484.0,25518.07307692308,25602.686538461538,25566.85,Trailing SL Hit,-82.84999999999854,5.105085,-87.95508499999855,210.63888393797654,-18526.760941069555,-1.8526760941069556,2018
9,9,2018-02-15 13:15:00+05:30,2018-02-16 09:15:00+05:30,short,25410.3,25495.428846153845,25585.084615384614,25585.084615384614,Initial SL Hit,-174.78461538461488,5.099538461538462,-179.88415384615334,143.0331836986185,-25729.403221547404,-2.5729403221547402,2018
10,10,2018-02-16 10:15:00+05:30,2018-02-19 15:15:00+05:30,short,25406.2,25439.167307692307,25526.680769230767,25096.9,Trailing SL Hit,309.2999999999993,5.0503100000000005,304.24968999999925,207.5019952114982,63132.41771747966,6.313241771747966,2018
11,11,2018-02-20 14:45:00+05:30,2018-02-21 13:45:00+05:30,short,24850.85,24981.815384615384,25078.671153846157,24932.35,Trailing SL Hit,-81.5,4.97832,-86.47832,109.7352005199739,-9489.715785830469,-0.9489715785830469,2018
