,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2018-01-04 13:15:00+05:30,2018-01-04 14:15:00+05:30,Long,33935.6,33884.39518518519,33831.33703703704,33915.0,Trailing SL Hit,-20.599999999998545,6.7850600000000005,-27.385059999998546,359.6675073709769,-9849.516269404123,-0.7879613015523299,2018
1,1,1,2018-01-04 14:45:00+05:30,2018-01-12 12:15:00+05:30,Long,33969.66,33899.263703703706,33850.31444444444,34361.16,Trailing SL Hit,391.5,6.833082000000001,384.666918,314.21362802690527,120867.58788670808,9.669407030936647,2018
2,2,2,2018-01-12 14:15:00+05:30,2018-01-31 09:15:00+05:30,Long,34582.33,34525.375555555554,34470.12962962963,35996.8,Trailing SL Hit,1414.4700000000012,7.057913000000001,1407.412087000001,334.2234956641614,470390.1875571332,37.631215004570656,2018
3,3,3,2018-02-01 09:15:00+05:30,2018-02-01 11:45:00+05:30,Long,36109.63,36052.03259259259,35968.902962962966,35968.902962962966,Initial SL Hit,-140.72703703703155,7.207853296296296,-147.93489033332784,266.47331450694924,-39420.70055834392,-3.1536560446675135,2018
4,4,4,2018-02-01 13:15:00+05:30,2018-02-01 14:45:00+05:30,Long,36198.55,36051.13333333333,35929.36037037037,35929.36037037037,Initial SL Hit,-269.1896296296327,7.212791037037038,-276.40242066666974,139.3070009851225,-38504.792288102006,-3.08038338304816,2018
5,5,5,2018-02-15 09:45:00+05:30,2018-02-15 13:15:00+05:30,Long,34390.48,34304.474444444444,34229.72925925926,34338.74,Trailing SL Hit,-51.74000000000524,6.872922000000001,-58.61292200000524,233.2804180385007,-13673.246946619258,-1.0938597557295406,2018
6,6,6,2018-02-16 09:15:00+05:30,2018-02-16 10:15:00+05:30,Long,34409.53,34369.90666666667,34289.37259259259,34321.78,Trailing SL Hit,-87.75,6.873131,-94.623131,312.09062186945783,-29530.991797025174,-2.362479343762014,2018
7,7,7,2018-02-23 09:15:00+05:30,2018-02-28 09:15:00+05:30,Long,33918.01,33800.79851851852,33744.903333333335,34167.76,Trailing SL Hit,249.75,6.8085770000000005,242.941423,216.62943849649554,52628.264052029604,4.210261124162368,2018
8,8,8,2018-03-12 09:15:00+05:30,2018-03-14 11:15:00+05:30,Long,33577.97,33355.52481481481,33286.18148148148,33632.95,Trailing SL Hit,54.979999999995925,6.7210920000000005,48.25890799999593,128.51773671697626,6202.125632592256,0.49617005060738045,2018
9,9,9,2018-03-21 09:45:00+05:30,2018-03-21 11:15:00+05:30,Long,33310.49,33071.55666666667,32987.26296296296,33269.85,Trailing SL Hit,-40.63999999999942,6.658034,-47.29803399999942,116.01752236989645,-5487.400717647056,-0.43899205741176445,2018
10,10,10,2018-03-26 14:15:00+05:30,2018-03-28 09:15:00+05:30,Long,32971.03,32733.60814814815,32637.24407407407,33018.32,Trailing SL Hit,47.29000000000087,6.598935000000001,40.691065000000876,112.34745711933297,4571.537680227589,0.3657230144182071,2018
11,11,11,2018-04-02 13:15:00+05:30,2018-04-04 13:15:00+05:30,Long,33191.95,33113.22148148148,33038.42444444445,33038.42444444445,Initial SL Hit,-153.52555555554864,6.623037444444445,-160.14859299999307,244.25900863411462,-39117.736560326615,-3.1294189248261293,2018
12,12,12,2018-04-05 09:15:00+05:30,2018-04-25 13:45:00+05:30,Long,33360.13,33306.107407407406,33229.13925925926,34468.06,Trailing SL Hit,1107.9300000000003,6.782819000000001,1101.1471810000003,286.2797766310955,315236.16901464056,25.218893521171246,2018
13,13,13,2018-04-26 14:45:00+05:30,2018-05-04 09:45:00+05:30,Long,34725.05,34590.154814814814,34527.984814814816,34989.63,Trailing SL Hit,264.57999999999447,6.971468,257.60853199999445,190.29236424871445,49020.93660491956,3.921674928393565,2018
14,14,14,2018-05-07 12:45:00+05:30,2018-05-16 09:15:00+05:30,Long,35141.49,35049.87962962963,34984.415925925925,35281.3,Trailing SL Hit,139.81000000000495,7.0422790000000015,132.76772100000494,238.74086300401012,31697.080290616817,2.535766423249345,2018
15,15,15,2018-05-25 09:15:00+05:30,2018-05-29 15:15:00+05:30,Long,34800.33,34588.77370370371,34512.97851851852,34947.69,Trailing SL Hit,147.36000000000058,6.974802,140.38519800000057,130.50219823702676,18320.57693894033,1.4656461551152262,2018
16,16,16,2018-05-31 11:15:00+05:30,2018-06-04 13:45:00+05:30,Long,35037.74,34999.25111111111,34909.614074074074,35064.71,Trailing SL Hit,26.970000000001164,7.010245,19.959755000001163,292.6808117014553,5841.837294762521,0.4673469835810017,2018
17,17,17,2018-06-06 11:15:00+05:30,2018-06-06 14:15:00+05:30,Long,35101.3,35058.86740740741,34969.41259259259,35048.88,Trailing SL Hit,-52.42000000000553,7.0150179999999995,-59.43501800000553,284.33343817396576,-16899.363015873114,-1.3519490412698492,2018
18,18,18,2018-06-06 14:45:00+05:30,2018-06-14 09:45:00+05:30,Long,35170.03,35035.43851851852,34953.40296296296,35550.71,Trailing SL Hit,380.6800000000003,7.072074,373.6079260000003,173.10858567293246,64674.73966605766,5.173979173284613,2018
19,19,19,2018-06-20 12:45:00+05:30,2018-06-20 13:45:00+05:30,Long,35507.32,35468.63296296296,35401.624074074076,35486.94,Trailing SL Hit,-20.37999999999738,7.099426000000001,-27.479425999997382,354.79134764647023,-9749.462583090524,-0.779957006647242,2018
20,20,20,2018-06-20 14:15:00+05:30,2018-06-21 11:15:00+05:30,Long,35511.29,35458.44666666667,35392.34925925926,35499.98,Trailing SL Hit,-11.309999999997672,7.101127000000001,-18.411126999997673,315.28305411969626,-5804.716350344867,-0.4643773080275894,2018
21,21,21,2018-06-21 12:15:00+05:30,2018-06-21 14:15:00+05:30,Long,35534.63,35474.362592592595,35420.42222222222,35461.0,Trailing SL Hit,-73.62999999999738,7.099563000000001,-80.72956299999738,328.3489157189247,-26507.46447751176,-2.120597158200941,2018
22,22,22,2018-06-22 14:15:00+05:30,2018-06-25 14:15:00+05:30,Long,35589.92,35524.682222222225,35462.468148148146,35494.63,Trailing SL Hit,-95.29000000000087,7.108454999999999,-102.39845500000087,294.22875741020414,-30128.57017537496,-2.4102856140299966,2018
23,23,23,2018-06-29 13:15:00+05:30,2018-07-02 09:15:00+05:30,Long,35375.12,35237.55111111111,35153.22666666666,35301.92,Trailing SL Hit,-73.20000000000437,7.067704000000001,-80.26770400000437,169.0001201778576,-13565.251622401442,-1.0852201297921154,2018
24,24,24,2018-07-03 10:45:00+05:30,2018-07-04 09:15:00+05:30,Long,35381.71,35318.76962962963,35243.66444444444,35329.41,Trailing SL Hit,-52.299999999995634,7.071112,-59.371111999995634,271.6494554937494,-16128.130246857223,-1.2902504197485778,2018
25,25,25,2018-07-04 10:15:00+05:30,2018-07-16 14:45:00+05:30,Long,35394.84,35336.02814814815,35264.24555555555,36333.66,Trailing SL Hit,938.820000000007,7.17285,931.647150000007,287.14850895477446,267521.0899944671,21.401687199557365,2018
26,26,26,2018-07-17 14:15:00+05:30,2018-07-18 12:15:00+05:30,Long,36530.56,36486.19222222223,36408.514814814815,36408.514814814815,Initial SL Hit,-122.04518518518307,7.293907481481481,-129.33909266666456,307.2632479773786,-39741.1497032065,-3.17929197625652,2018
27,27,27,2018-07-20 11:45:00+05:30,2018-08-02 09:15:00+05:30,Long,36545.55,36479.68740740741,36383.51777777778,37294.67,Trailing SL Hit,749.1199999999953,7.384022000000001,741.7359779999954,231.4354483676062,171663.99863881382,13.733119891105106,2018
28,28,28,2018-08-03 13:15:00+05:30,2018-08-13 09:15:00+05:30,Long,37490.89,37416.54666666667,37337.861851851856,37590.87,Trailing SL Hit,99.9800000000032,7.5081760000000015,92.4718240000032,245.0529556411872,22660.49378473245,1.812839502778596,2018
29,29,29,2018-08-14 12:15:00+05:30,2018-08-16 09:15:00+05:30,Long,37900.99,37806.3562962963,37737.69296296296,37737.69296296296,Initial SL Hit,-163.29703703703854,7.563868296296295,-170.86090533333484,229.6428684832436,-39236.98841239095,-3.138959072991276,2018
