,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
648,2019-07-01,Monday,2019-07-04,3,11800,P,43.9,09:15:00,50.65,0.05,2019-07-04,15:21:00,0,EOD exit,43.85,0.43949999999999995,1694.915254237288,73577.1186440678,7.357711864406779,2019,7,48.7,0.05,7.4322033898305095,250.0
649,2019-07-05,Friday,2019-07-11,6,11950,P,78.35,12:30:00,122.8,122.8,2019-07-05,13:03:00,0,SL hit,-44.45,2.0115,674.9156355455567,-31357.592800899885,-3.1357592800899883,2019,7,122.95,77.0,0.09111361079864977,100.81552305961753
46,2019-07-05,Friday,2019-07-11,6,12000,C,70.55,10:18:00,93.85,0.05,2019-07-11,15:21:00,0,EOD exit,70.5,0.706,1287.5536480686696,89863.51931330473,8.986351931330473,2019,7,80.65,0.05,9.07725321888412,193.13304721030048
650,2019-07-09,Tuesday,2019-07-11,2,11500,P,36.8,11:27:00,67.55,0.05,2019-07-11,15:21:00,0,EOD exit,36.75,0.36849999999999994,975.609756097561,35494.14634146342,3.5494146341463417,2019,7,52.0,0.05,3.585365853658537,140.2439024390244
651,2019-07-12,Friday,2019-07-18,6,11600,P,68.9,11:36:00,94.4,94.4,2019-07-12,15:12:00,0,SL hit,-25.5,1.6330000000000002,1176.4705882352941,-31921.176470588234,-3.192117647058824,2019,7,98.25,38.0,3.6352941176470597,170.58823529411765
48,2019-07-12,Friday,2019-07-18,6,11650,C,25.85,14:39:00,55.0,55.0,2019-07-17,11:30:00,0,SL hit,-29.15,0.8085,1029.1595197255574,-30832.07547169811,-3.083207547169811,2019,7,55.9,12.6,1.3636363636363638,149.8713550600343
47,2019-07-12,Friday,2019-07-18,6,11650,C,32.45,09:30:00,41.0,41.0,2019-07-12,13:06:00,0,SL hit,-8.549999999999997,0.7345,1716.7381974248926,-15939.055793991412,-1.5939055793991412,2019,7,41.95,23.8,1.4849785407725324,250.0
652,2019-07-15,Monday,2019-07-18,3,11600,P,73.35,13:06:00,106.8,1.25,2019-07-18,15:21:00,0,EOD exit,72.1,0.746,896.8609865470851,63994.618834080706,6.399461883408071,2019,7,90.45,0.15,6.565022421524662,130.04484304932734
49,2019-07-17,Wednesday,2019-07-18,1,11750,C,4.9,13:09:00,10.0,0.05,2019-07-18,15:21:00,0,EOD exit,4.8500000000000005,0.0495,1702.127659574468,8171.063829787235,0.8171063829787235,2019,7,5.15,0.05,0.8255319148936171,250.0
50,2019-07-19,Friday,2019-07-25,6,11650,C,29.85,09:39:00,53.1,0.05,2019-07-25,15:21:00,0,EOD exit,29.8,0.29900000000000004,1290.3225806451612,38065.8064516129,3.80658064516129,2019,7,31.55,0.05,3.8451612903225802,187.9032258064516
653,2019-07-22,Monday,2019-07-25,3,11350,P,60.05,13:48:00,82.9,82.9,2019-07-24,09:33:00,0,SL hit,-22.85000000000001,1.4295,1312.9102844638944,-31876.805251641137,-3.187680525164114,2019,7,88.0,21.8,5.021881838074396,186.26914660831503
654,2019-07-24,Wednesday,2019-07-25,1,11250,P,34.15,12:54:00,53.5,0.2,2019-07-25,15:21:00,0,EOD exit,33.949999999999996,0.3435,1550.3875968992247,52103.100775193794,5.21031007751938,2019,7,37.9,0.2,5.263565891472867,218.02325581395348
52,2019-07-26,Friday,2019-08-01,6,11300,C,53.5,13:30:00,72.3,72.3,2019-07-29,09:15:00,0,SL hit,-18.799999999999997,1.258,1595.744680851064,-32007.446808510635,-3.2007446808510633,2019,7,80.55,46.7,1.0851063829787229,225.3989361702128
655,2019-07-26,Friday,2019-08-01,6,11200,P,33.4,11:09:00,68.35,68.35,2019-07-29,11:48:00,0,SL hit,-34.949999999999996,1.0175,858.3690987124464,-30873.39055793991,-3.087339055793991,2019,7,76.3,21.5,1.021459227467811,120.1716738197425
51,2019-07-26,Friday,2019-08-01,6,11250,C,64.5,09:18:00,98.2,98.2,2019-07-26,11:54:00,0,SL hit,-33.7,1.627,890.2077151335311,-31448.367952522258,-3.144836795252226,2019,7,99.85,61.0,0.3115727002967359,125.1854599406528
656,2019-07-29,Monday,2019-08-01,3,11150,P,29.2,13:48:00,54.8,54.8,2019-07-30,14:24:00,0,SL hit,-25.599999999999998,0.84,1171.875,-30984.374999999996,-3.0984374999999997,2019,7,57.0,13.1,1.88671875,163.330078125
53,2019-07-30,Tuesday,2019-08-01,2,11250,C,31.55,11:15:00,59.1,0.05,2019-08-01,15:24:00,0,EOD exit,31.5,0.316,1088.929219600726,33957.16878402904,3.395716878402904,2019,8,37.6,0.05,3.430127041742286,153.13067150635206
657,2019-07-31,Wednesday,2019-08-01,1,11000,P,19.75,11:48:00,53.95,53.95,2019-08-01,14:27:00,0,SL hit,-34.2,0.737,877.1929824561403,-30646.491228070176,-3.0646491228070176,2019,8,67.0,5.35,1.263157894736842,120.61403508771929
