date,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%,Cumulative ROI%,Max Cumulative ROI%,DD
2019-01-25,2019-01-31,6,10900,C,49.95,14:05:00,108.95,0.05,2019-01-31,15:25:00,EOD exit,49.900000000000006,0.5,508.4745762711864,25118.644067796613,2.5118644067796616,2019,1,52.9,0.05,2.5372881355932204,69.27966101694915,2019-01-25 14:05:00,0,,,,,0.0,2.5118644067796616,2.5118644067796616,2.5118644067796616,0.0
2019-02-12,2019-02-14,2,10850,P,24.05,11:25:00,38.6,38.6,2019-02-12,14:35:00,SL hit,-14.55,0.6265000000000001,1843.3179723502303,-27975.11520737327,-2.797511520737327,2019,2,44.0,20.35,0.6820276497695851,250.0,2019-02-12 11:25:00,10500,1.0,1.25,0.25,460.8294930875576,0.046082949308755755,-2.7514285714285713,-0.23956416464890973,2.5118644067796616,-2.7514285714285713
2019-02-12,2019-02-14,2,10900,C,33.85,14:35:00,62.1,0.05,2019-02-14,15:25:00,EOD exit,33.800000000000004,0.3389999999999999,1061.9469026548672,35533.80530973452,3.553380530973452,2019,2,39.7,0.05,3.589380530973452,144.69026548672565,2019-02-12 14:35:00,11450,0.6,0.1,-0.5,-530.9734513274336,-0.05309734513274336,3.5002831858407086,3.260719021191799,3.260719021191799,0.0
2019-02-18,2019-02-21,3,10750,C,41.1,11:05:00,72.9,35.0,2019-02-21,15:25:00,EOD exit,6.100000000000001,0.761,943.3962264150942,5036.792452830189,0.5036792452830189,2019,2,56.75,5.8,3.330188679245283,126.76886792452828,2019-02-18 11:05:00,11300,0.8,0.05,-0.75,-707.5471698113207,-0.07075471698113207,0.4329245283018868,3.693643549493686,3.693643549493686,0.0
2019-02-25,2019-02-28,3,10800,P,46.5,09:15:00,53.95,53.95,2019-02-25,09:25:00,SL hit,-7.450000000000003,1.0045,1851.851851851852,-15656.481481481487,-1.5656481481481486,2019,2,55.3,46.4,0.0185185185185187,250.0,2019-02-25 09:15:00,10500,5.95,6.25,0.2999999999999998,555.5555555555553,0.05555555555555553,-1.510092592592593,2.183550956901093,3.693643549493686,-1.510092592592593
2019-02-25,2019-02-28,3,10800,P,42.45,12:05:00,60.65,60.65,2019-02-26,09:15:00,SL hit,-18.2,1.031,1648.3516483516487,-31699.450549450547,-3.1699450549450545,2019,2,76.85,22.35,3.3131868131868143,222.52747252747255,2019-02-25 12:05:00,10500,5.95,10.65,4.7,7747.252747252749,0.7747252747252749,-2.3952197802197794,-0.21166882331868653,3.693643549493686,-3.9053123728123724
2019-02-26,2019-02-28,2,10800,C,59.1,09:35:00,86.25,86.25,2019-02-26,11:45:00,SL hit,-27.15,1.4535,1104.9723756906078,-31606.077348066297,-3.160607734806629,2019,2,89.15,42.2,1.8674033149171272,149.17127071823205,2019-02-26 09:35:00,11350,0.6,0.65,0.050000000000000044,55.24861878453044,0.0055248618784530445,-3.155082872928176,-3.3667516962468627,3.693643549493686,-7.0603952457405486
2019-03-01,2019-03-07,6,10800,P,48.0,14:25:00,68.65,0.05,2019-03-07,15:25:00,EOD exit,47.95,0.4805,1452.784503631961,68962.95399515737,6.896295399515736,2019,3,55.0,0.05,6.9661016949152526,196.12590799031472,2019-03-01 14:25:00,10350,3.35,0.05,-3.3000000000000003,-4794.188861985472,-0.47941888619854717,6.416876513317189,3.0501248170703263,3.693643549493686,-0.6435187324233596
2019-03-05,2019-03-07,2,10900,C,34.0,09:15:00,52.8,52.8,2019-03-05,11:55:00,SL hit,-18.8,0.868,1595.744680851064,-31385.10638297872,-3.138510638297872,2019,3,54.65,29.0,0.797872340425532,217.42021276595747,2019-03-05 09:15:00,11250,0.5,0.5,0.0,0.0,0.0,-3.138510638297872,-0.08838582122754568,3.693643549493686,-3.7820293707212316
2019-03-11,2019-03-14,3,11050,P,37.4,09:15:00,67.15,0.05,2019-03-14,15:25:00,EOD exit,37.35,0.3744999999999999,1008.4033613445376,37286.21848739495,3.728621848739496,2019,3,38.35,0.05,3.766386554621848,139.28571428571425,2019-03-11 09:15:00,10500,1.55,0.05,-1.5,-1512.6050420168065,-0.15126050420168066,3.5773613445378154,3.4889755233102697,3.693643549493686,-0.20466802618341617
2019-03-15,2019-03-20,5,11350,P,45.9,09:15:00,58.05,0.1,2019-03-20,15:25:00,EOD exit,45.8,0.46,1762.1145374449338,79894.27312775329,7.989427312775328,2019,3,46.5,0.05,8.079295154185022,250.0,2019-03-15 09:15:00,11000,5.8,0.15,-5.6499999999999995,-9955.947136563875,-0.9955947136563875,6.9938325991189405,10.48280812242921,10.48280812242921,0.0
2019-03-20,2019-03-20,0,11600,C,2.8,09:15:00,11.25,0.05,2019-03-20,15:25:00,EOD exit,2.75,0.0284999999999999,1724.1379310344828,4692.241379310344,0.4692241379310344,2019,3,4.0,0.05,0.4741379310344827,250.0,2019-03-20 09:15:00,11950,0.15,0.05,-0.09999999999999999,-172.41379310344826,-0.017241379310344827,0.4519827586206896,10.9347908810499,10.9347908810499,0.0
