,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
0,2019-01-25,Friday,2019-01-31,6,10900,C,49.95,14:05:00,108.95,0.05,2019-01-31,15:25:00,0,EOD exit,49.900000000000006,0.5,508.47457627118644,25118.644067796613,2.5118644067796616,2019,1,52.9,0.05,2.5372881355932204,69.27966101694915
1,2019-02-12,Tuesday,2019-02-14,2,10900,C,33.85,14:35:00,62.1,0.05,2019-02-14,15:25:00,0,EOD exit,33.800000000000004,0.33899999999999997,1061.9469026548672,35533.80530973452,3.5533805309734516,2019,2,39.7,0.05,3.5893805309734517,144.69026548672565
274,2019-02-12,Tuesday,2019-02-14,2,10850,P,24.05,11:25:00,38.6,38.6,2019-02-12,14:35:00,0,SL hit,-14.55,0.6265000000000001,1474.6543778801843,-22380.09216589862,-2.238009216589862,2019,2,44.0,20.35,0.5456221198156681,200.0
2,2019-02-18,Monday,2019-02-21,3,10750,C,41.1,11:05:00,72.9,35.0,2019-02-21,15:25:00,0,EOD exit,6.100000000000001,0.761,943.3962264150942,5036.792452830189,0.5036792452830189,2019,2,56.75,5.8,3.330188679245283,126.76886792452828
276,2019-02-25,Monday,2019-02-28,3,10800,P,42.45,12:05:00,60.65,60.65,2019-02-26,09:15:00,0,SL hit,-18.199999999999996,1.031,1481.4814814814815,-28490.37037037036,-2.849037037037036,2019,2,76.85,22.35,2.9777777777777783,200.0
275,2019-02-25,Monday,2019-02-28,3,10800,P,46.5,09:15:00,53.95,53.95,2019-02-25,09:25:00,0,SL hit,-7.450000000000003,1.0045,1481.4814814814815,-12525.18518518519,-1.252518518518519,2019,2,55.3,46.4,0.014814814814815025,200.0
3,2019-02-26,Tuesday,2019-02-28,2,10800,C,59.1,09:35:00,86.25,86.25,2019-02-26,11:45:00,0,SL hit,-27.15,1.4535,1104.9723756906078,-31606.077348066297,-3.1606077348066295,2019,2,89.15,42.2,1.8674033149171272,149.17127071823205
277,2019-03-01,Friday,2019-03-07,6,10800,P,48.0,14:25:00,68.65,0.05,2019-03-07,15:25:00,0,EOD exit,47.95,0.4805,1452.784503631961,68962.95399515737,6.896295399515736,2019,3,55.0,0.05,6.9661016949152526,196.12590799031472
4,2019-03-05,Tuesday,2019-03-07,2,10900,C,34.0,09:15:00,52.8,52.8,2019-03-05,11:55:00,0,SL hit,-18.799999999999997,0.868,1467.8899082568807,-28870.458715596324,-2.8870458715596325,2019,3,54.65,29.0,0.7339449541284403,200.0
278,2019-03-11,Monday,2019-03-14,3,11050,P,37.4,09:15:00,67.15,0.05,2019-03-14,15:25:00,0,EOD exit,37.35,0.37449999999999994,1008.4033613445375,37286.21848739495,3.7286218487394955,2019,3,38.35,0.05,3.766386554621848,139.28571428571425
279,2019-03-15,Friday,2019-03-20,5,11350,P,45.9,09:15:00,58.05,0.1,2019-03-20,15:25:00,0,EOD exit,45.8,0.46,1409.691629955947,63915.418502202636,6.391541850220264,2019,3,46.5,0.05,6.463436123348017,200.0
5,2019-03-20,Wednesday,2019-03-20,0,11600,C,2.8,09:15:00,11.25,0.05,2019-03-20,15:25:00,0,EOD exit,2.75,0.028499999999999998,1379.3103448275863,3753.793103448276,0.3753793103448276,2019,3,4.0,0.05,0.3793103448275862,200.0
6,2019-03-25,Monday,2019-03-28,3,11400,C,42.4,12:55:00,81.0,81.0,2019-03-26,14:25:00,0,SL hit,-38.6,1.234,777.2020725388601,-30959.067357512955,-3.0959067357512957,2019,3,82.0,33.55,0.6878238341968913,110.75129533678756
280,2019-03-26,Tuesday,2019-03-28,2,11350,P,17.15,13:15:00,42.85,0.05,2019-03-28,15:25:00,0,EOD exit,17.099999999999998,0.172,1167.315175097276,19760.311284046686,1.9760311284046685,2019,3,20.5,0.05,1.9961089494163415,165.61284046692603
281,2019-04-01,Monday,2019-04-04,3,11650,P,54.0,09:15:00,74.85,74.85,2019-04-04,14:25:00,0,SL hit,-20.849999999999994,1.2885,1373.390557939914,-30404.80686695278,-3.040480686695278,2019,4,75.55,7.45,6.393133047210299,199.99999999999997
7,2019-04-02,Tuesday,2019-04-04,2,11750,C,27.45,09:15:00,39.85,39.85,2019-04-02,12:15:00,0,SL hit,-12.400000000000002,0.6729999999999999,1361.7021276595744,-17801.53191489362,-1.7801531914893622,2019,4,41.85,25.4,0.27914893617021286,200.0
8,2019-04-03,Wednesday,2019-04-04,1,11750,C,20.65,14:25:00,53.4,0.05,2019-04-04,15:25:00,0,EOD exit,20.599999999999998,0.207,916.0305343511451,18680.610687022898,1.8680610687022896,2019,4,23.5,0.05,1.8870229007633588,134.5419847328244
282,2019-04-09,Tuesday,2019-04-11,2,11600,P,31.35,13:55:00,63.9,0.7,2019-04-11,15:25:00,0,EOD exit,30.650000000000002,0.32050000000000006,921.6589861751153,27953.45622119816,2.7953456221198163,2019,4,45.95,0.5,2.8433179723502304,133.64055299539172
283,2019-04-12,Friday,2019-04-18,6,11600,P,43.4,13:25:00,64.0,0.05,2019-04-18,15:25:00,0,EOD exit,43.35,0.43449999999999994,1379.3103448275863,59193.79310344828,5.919379310344828,2019,4,46.0,0.05,5.979310344827587,200.0
9,2019-04-23,Tuesday,2019-04-25,2,11650,C,32.35,09:55:00,56.0,56.0,2019-04-24,14:35:00,0,SL hit,-23.65,0.8835,1268.4989429175475,-31120.718816067652,-3.112071881606765,2019,4,59.25,12.5,2.5179704016913322,184.72515856236785
284,2019-04-24,Wednesday,2019-04-25,1,11600,P,15.45,13:55:00,48.75,0.05,2019-04-25,15:25:00,0,EOD exit,15.399999999999999,0.155,900.900900900901,13734.234234234234,1.3734234234234235,2019,4,18.0,0.05,1.3873873873873874,130.63063063063066
285,2019-04-30,Tuesday,2019-05-02,2,11700,P,18.25,14:55:00,65.7,0.05,2019-05-02,15:25:00,0,EOD exit,18.2,0.18300000000000002,632.2444678609062,11391.148577449947,1.1391148577449948,2019,5,24.45,0.05,1.1506849315068493,92.46575342465754
10,2019-04-30,Tuesday,2019-05-02,2,11750,C,17.9,09:45:00,37.75,37.75,2019-05-02,10:05:00,0,SL hit,-19.85,0.5565,1361.7021276595744,-27787.574468085106,-2.7787574468085103,2019,5,39.5,7.6,1.4025531914893616,200.0
11,2019-05-06,Monday,2019-05-09,3,11650,C,42.4,14:25:00,60.4,0.05,2019-05-09,15:25:00,0,EOD exit,42.35,0.4245,1373.390557939914,57580.085836909864,5.7580085836909864,2019,5,58.15,0.05,5.816309012875536,199.99999999999997
12,2019-05-13,Monday,2019-05-16,3,11300,C,73.1,09:15:00,90.1,0.05,2019-05-16,15:25:00,0,EOD exit,73.05,0.7314999999999999,1415.929203539823,102397.87610619469,10.23978761061947,2019,5,85.8,0.05,10.343362831858407,200.0
