,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
0,2019-01-25,Friday,2019-01-31,6,10900,C,49.85,14:05:00,108.95,0.05,2019-01-31,15:25:00,0,EOD exit,49.800000000000004,0.499,6768.18950930626,333678.51099830796,3.3367851099830794,2019,1,52.9,0.05,3.3705583756345177,92.2165820642978,2019-01-25 14:05:00
303,2019-02-12,Tuesday,2019-02-14,2,10850,P,24.15,11:25:00,38.6,38.6,2019-02-12,14:35:00,0,SL hit,-14.450000000000003,0.6275000000000001,22119.815668202762,-333511.52073732717,-3.3351152073732715,2019,2,44.0,20.35,0.8405529953917042,299.99999999999994,2019-02-12 11:25:00
1,2019-02-12,Tuesday,2019-02-14,2,10900,C,34.0,14:35:00,62.1,0.05,2019-02-14,15:25:00,0,EOD exit,33.95,0.34049999999999997,14234.875444839858,478427.0462633452,4.784270462633453,2019,2,39.7,0.05,4.832740213523133,193.95017793594306,2019-02-12 14:35:00
2,2019-02-18,Monday,2019-02-21,3,10750,C,41.05,11:05:00,72.9,35.0,2019-02-21,15:25:00,0,EOD exit,6.049999999999997,0.7605,12558.86970172684,66430.14128728409,0.664301412872841,2019,2,56.75,5.8,4.427001569858711,168.75981161695444,2019-02-18 11:05:00
304,2019-02-25,Monday,2019-02-28,3,10800,P,46.4,09:15:00,53.95,53.95,2019-02-25,09:25:00,0,SL hit,-7.550000000000004,1.0035,22222.222222222223,-190077.7777777779,-1.900777777777779,2019,2,55.3,46.4,0.0,300.0,2019-02-25 09:15:00
305,2019-02-25,Monday,2019-02-28,3,10800,P,42.35,12:05:00,60.65,60.65,2019-02-26,09:15:00,0,SL hit,-18.299999999999997,1.03,21857.923497267762,-422513.6612021858,-4.225136612021858,2019,2,76.85,22.35,4.371584699453552,295.0819672131148,2019-02-25 12:05:00
3,2019-02-26,Tuesday,2019-02-28,2,10800,C,58.7,09:35:00,86.25,86.25,2019-02-26,11:45:00,0,SL hit,-27.549999999999997,1.4495,14519.056261343014,-421045.3720508167,-4.210453720508167,2019,2,89.15,42.2,2.395644283121597,196.0072595281307,2019-02-26 09:35:00
306,2019-03-01,Friday,2019-03-07,6,10800,P,48.3,14:25:00,68.65,0.05,2019-03-07,15:25:00,0,EOD exit,48.25,0.48349999999999993,19656.01965601965,938899.2628992626,9.388992628992627,2019,3,55.0,0.05,9.484029484029481,265.3562653562653,2019-03-01 14:25:00
4,2019-03-05,Tuesday,2019-03-07,2,10900,C,33.9,09:15:00,52.8,52.8,2019-03-05,11:55:00,0,SL hit,-18.9,0.8669999999999999,21164.021164021167,-418349.2063492064,-4.183492063492064,2019,3,54.65,29.0,1.037037037037037,288.3597883597884,2019-03-05 09:15:00
307,2019-03-11,Monday,2019-03-14,3,11050,P,37.15,09:15:00,67.15,0.05,2019-03-14,15:25:00,0,EOD exit,37.1,0.37199999999999994,13333.33333333333,489706.66666666657,4.897066666666666,2019,3,38.35,0.05,4.946666666666665,184.16666666666663,2019-03-11 09:15:00
