,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Cumulative ROI%,Max Cumulative ROI%,DD
6,2019-03-25,Monday,2019-03-28,3,11400,C,47.85,11:05:00,81.0,81.0,2019-03-26,14:25:00,0,SL hit,-33.15,1.2885,904.9773755656109,-31166.06334841629,-3.116606334841629,2019,3,82.0,33.55,1.2941176470588238,128.95927601809956,2019-03-25 11:05:00,8.81805137541712,11.93465771025875,-3.116606334841629
300,2019-03-26,Tuesday,2019-03-28,2,11350,P,16.55,13:15:00,42.85,0.05,2019-03-28,15:25:00,0,EOD exit,16.5,0.166,1140.6844106463877,18631.939163498097,1.8631939163498097,2019,3,20.5,0.05,1.88212927756654,161.83460076045625,2019-03-26 13:15:00,10.68124529176693,11.93465771025875,-1.2534124184918198
301,2019-04-01,Monday,2019-04-04,3,11650,P,53.3,09:15:00,74.85,74.85,2019-04-04,14:25:00,0,SL hit,-21.549999999999997,1.2814999999999999,1392.111368909513,-31783.990719257545,-3.178399071925755,2019,4,75.55,7.45,6.382830626450116,202.72621809744783,2019-04-01 09:15:00,7.5028462198411745,11.93465771025875,-4.431811490417575
7,2019-04-02,Tuesday,2019-04-04,2,11750,C,27.3,09:15:00,39.85,39.85,2019-04-02,12:15:00,0,SL hit,-12.55,0.6715000000000001,1702.127659574468,-22504.68085106383,-2.250468085106383,2019,4,41.85,25.4,0.3234042553191493,250.0,2019-04-02 09:15:00,5.2523781347347915,11.93465771025875,-6.682279575523958
8,2019-04-03,Wednesday,2019-04-04,1,11750,C,20.6,14:25:00,53.4,0.05,2019-04-04,15:25:00,0,EOD exit,20.55,0.20650000000000002,914.6341463414635,18606.859756097565,1.8606859756097567,2019,4,23.5,0.05,1.8795731707317076,134.33689024390245,2019-04-03 14:25:00,7.113064110344548,11.93465771025875,-4.821593599914201
302,2019-04-05,Friday,2019-04-11,6,11600,P,33.85,15:05:00,57.0,57.0,2019-04-08,13:25:00,0,SL hit,-23.15,0.9085,1295.8963282937366,-31177.32181425486,-3.1177321814254864,2019,4,62.0,12.55,2.760259179265659,187.9049676025918,2019-04-05 15:05:00,3.995331928919062,11.93465771025875,-7.939325781339687
303,2019-04-09,Tuesday,2019-04-11,2,11600,P,31.55,13:55:00,63.9,0.7,2019-04-11,15:25:00,0,EOD exit,30.85,0.3225,927.3570324574963,28309.89180834622,2.830989180834622,2019,4,45.95,0.5,2.879443585780526,134.46676970633698,2019-04-09 13:55:00,6.826321109753684,11.93465771025875,-5.108336600505066
304,2019-04-12,Friday,2019-04-18,6,11600,P,43.1,13:25:00,64.0,0.05,2019-04-18,15:25:00,0,EOD exit,43.050000000000004,0.4315,1435.4066985645934,61174.88038277513,6.117488038277513,2019,4,46.0,0.05,6.179425837320576,208.13397129186603,2019-04-12 13:25:00,12.943809148031196,12.943809148031196,0.0
9,2019-04-23,Tuesday,2019-04-25,2,11650,C,32.15,09:55:00,56.0,56.0,2019-04-24,14:35:00,0,SL hit,-23.85,0.8815000000000001,1257.8616352201257,-31108.80503144654,-3.110880503144654,2019,4,59.25,12.5,2.471698113207547,183.17610062893078,2019-04-23 09:55:00,9.832928644886543,12.943809148031196,-3.110880503144653
305,2019-04-24,Wednesday,2019-04-25,1,11600,P,15.7,13:55:00,48.75,0.05,2019-04-25,15:25:00,0,EOD exit,15.649999999999999,0.1575,907.7155824508321,14062.783661119514,1.4062783661119513,2019,4,18.0,0.05,1.420574886535552,131.61875945537068,2019-04-24 13:55:00,11.239207010998495,12.943809148031196,-1.7046021370327011
10,2019-04-30,Tuesday,2019-05-02,2,11750,C,17.95,09:45:00,37.75,37.75,2019-05-02,10:05:00,0,SL hit,-19.8,0.557,1515.151515151515,-30843.93939393939,-3.084393939393939,2019,5,39.5,7.6,1.568181818181818,222.53787878787875,2019-04-30 09:45:00,8.154813071604556,12.943809148031196,-4.78899607642664
306,2019-04-30,Tuesday,2019-05-02,2,11700,P,18.4,14:55:00,65.7,0.05,2019-05-02,15:25:00,0,EOD exit,18.349999999999998,0.1845,634.2494714587738,11521.458773784354,1.1521458773784354,2019,5,24.45,0.05,1.1638477801268496,92.75898520084566,2019-04-30 14:55:00,9.306958948982992,12.943809148031196,-3.6368501990482045
11,2019-05-06,Monday,2019-05-09,3,11650,C,42.1,14:25:00,60.4,0.05,2019-05-09,15:25:00,0,EOD exit,42.050000000000004,0.4215,1639.3442622950822,68243.44262295084,6.824344262295084,2019,5,58.15,0.05,6.893442622950821,238.72950819672138,2019-05-06 14:25:00,16.131303211278077,16.131303211278077,0.0
12,2019-05-13,Monday,2019-05-16,3,11300,C,73.25,09:15:00,90.1,0.05,2019-05-16,15:25:00,0,EOD exit,73.2,0.733,1769.9115044247787,128260.17699115044,12.826017699115045,2019,5,85.8,0.05,12.955752212389381,250.0,2019-05-13 09:15:00,28.957320910393122,28.957320910393122,0.0
307,2019-05-17,Friday,2019-05-23,6,11250,P,186.2,14:55:00,258.6,0.05,2019-05-23,15:25:00,0,EOD exit,186.14999999999998,1.8625,414.3646408839777,76362.22375690602,7.636222375690601,2019,5,197.3,0.05,7.713397790055243,58.270027624309364,2019-05-17 14:55:00,36.59354328608372,36.59354328608372,0.0
13,2019-05-23,Thursday,2019-05-23,0,11950,C,91.35,09:35:00,165.0,0.05,2019-05-23,15:25:00,0,EOD exit,91.3,0.9139999999999999,407.33197556008145,36817.10794297352,3.681710794297352,2019,5,138.85,0.05,3.7189409368635435,60.84521384928716,2019-05-23 09:35:00,40.275254080381075,40.275254080381075,0.0
308,2019-05-27,Monday,2019-05-30,3,11850,P,49.6,11:15:00,85.8,0.05,2019-05-30,15:25:00,0,EOD exit,49.550000000000004,0.4965,828.7292817679559,40652.07182320443,4.065207182320443,2019,5,56.9,0.05,4.106353591160222,122.75552486187846,2019-05-27 11:15:00,44.34046126270152,44.34046126270152,0.0
14,2019-05-28,Tuesday,2019-05-30,2,12000,C,26.0,12:35:00,47.35,0.05,2019-05-30,15:25:00,0,EOD exit,25.95,0.2605,1405.152224824356,36097.65807962529,3.609765807962529,2019,5,43.65,0.05,3.6463700234192036,210.7728337236534,2019-05-28 12:35:00,47.95022707066405,47.95022707066405,0.0
15,2019-05-31,Friday,2019-06-06,6,12000,C,42.6,11:55:00,91.0,91.0,2019-06-03,14:15:00,0,SL hit,-48.4,1.336,619.8347107438017,-30828.099173553717,-3.082809917355372,2019,6,99.0,25.3,1.072314049586777,92.97520661157024,2019-05-31 11:55:00,44.86741715330868,47.95022707066405,-3.0828099173553696
309,2019-06-04,Tuesday,2019-06-06,2,12050,P,35.5,12:55:00,64.9,64.9,2019-06-06,09:25:00,0,SL hit,-29.400000000000006,1.004,1020.4081632653059,-31024.48979591837,-3.102448979591837,2019,6,71.05,32.1,0.34693877551020386,153.69897959183672,2019-06-04 12:55:00,41.764968173716845,47.95022707066405,-6.185258896947204
310,2019-06-11,Tuesday,2019-06-13,2,11950,P,46.3,11:35:00,80.6,80.6,2019-06-12,10:35:00,0,SL hit,-34.3,1.269,874.6355685131196,-31109.912536443146,-3.1109912536443147,2019,6,83.3,25.45,1.8236151603498538,130.64868804664724,2019-06-11 11:35:00,38.65397692007253,47.95022707066405,-9.296250150591518
16,2019-06-12,Wednesday,2019-06-13,1,12000,C,11.2,09:25:00,21.0,0.05,2019-06-13,15:25:00,0,EOD exit,11.149999999999999,0.1125,1666.6666666666665,18395.83333333333,1.839583333333333,2019,6,12.35,0.05,1.858333333333333,250.0,2019-06-12 09:25:00,40.49356025340586,47.95022707066405,-7.4566668172581885
17,2019-06-14,Friday,2019-06-20,6,11950,C,19.1,15:05:00,50.0,0.05,2019-06-20,15:25:00,0,EOD exit,19.05,0.19150000000000003,970.873786407767,18309.223300970876,1.8309223300970876,2019,6,20.95,0.05,1.8495145631067962,145.0242718446602,2019-06-14 15:05:00,42.32448258350295,47.95022707066405,-5.6257444871611
18,2019-06-21,Friday,2019-06-27,6,11850,C,31.45,13:55:00,73.0,0.05,2019-06-27,15:25:00,0,EOD exit,31.4,0.315,722.0216606498195,22444.04332129964,2.244404332129964,2019,6,64.0,0.05,2.2671480144404335,106.94945848375453,2019-06-21 13:55:00,44.568886915632916,47.95022707066405,-3.3813401550311326
311,2019-06-25,Tuesday,2019-06-27,2,11650,P,22.6,12:05:00,52.95,0.05,2019-06-27,15:25:00,0,EOD exit,22.55,0.22650000000000003,988.4678747940692,22066.0626029654,2.20660626029654,2019,6,27.35,0.05,2.2289950576606263,143.94563426688634,2019-06-25 12:05:00,46.775493175929455,47.95022707066405,-1.1747338947345938
19,2019-06-28,Friday,2019-07-04,6,11900,C,43.3,14:15:00,88.55,46.9,2019-07-04,15:25:00,0,EOD exit,-3.6000000000000014,0.9019999999999999,662.9834254143647,-2984.7513812154707,-0.2984751381215471,2019,7,64.0,21.85,1.4220994475138118,98.61878453038675,2019-06-28 14:15:00,46.47701803780791,47.95022707066405,-1.4732090328561398
312,2019-07-01,Monday,2019-07-04,3,11800,P,29.3,11:05:00,50.65,0.05,2019-07-04,15:25:00,0,EOD exit,29.25,0.29350000000000004,1405.1522248243562,40688.29039812647,4.068829039812647,2019,7,45.5,0.05,4.110070257611242,207.25995316159253,2019-07-01 11:05:00,50.54584707762056,50.54584707762056,0.0
20,2019-07-05,Friday,2019-07-11,6,12000,C,56.25,11:35:00,93.85,0.05,2019-07-11,15:25:00,0,EOD exit,56.2,0.563,797.872340425532,44391.223404255325,4.439122340425532,2019,7,72.0,0.05,4.4840425531914905,119.68085106382979,2019-07-05 11:35:00,54.98496941804609,54.98496941804609,0.0
313,2019-07-11,Thursday,2019-07-11,0,11550,P,16.8,09:55:00,31.4,0.05,2019-07-11,15:25:00,0,EOD exit,16.75,0.1685,1731.6017316017317,28712.55411255411,2.871255411255411,2019,7,21.0,0.05,2.900432900432901,250.0,2019-07-11 09:55:00,57.8562248293015,57.8562248293015,0.0
314,2019-07-12,Friday,2019-07-18,6,11600,P,62.85,12:55:00,94.4,94.4,2019-07-12,15:05:00,0,SL hit,-31.550000000000004,1.5725,950.8716323296354,-31495.24564183835,-3.149524564183835,2019,7,98.25,38.0,2.362916006339144,137.87638668779715,2019-07-12 12:55:00,54.70670026511767,57.8562248293015,-3.149524564183835
315,2019-07-16,Tuesday,2019-07-18,2,11550,P,22.75,09:35:00,39.45,0.05,2019-07-18,15:25:00,0,EOD exit,22.7,0.228,1731.6017316017317,38912.55411255411,3.891255411255411,2019,7,23.95,0.05,3.9307359307359304,250.0,2019-07-16 09:35:00,58.597955676373076,58.597955676373076,0.0
21,2019-07-22,Monday,2019-07-25,3,11400,C,32.05,09:25:00,64.8,0.05,2019-07-25,15:25:00,0,EOD exit,31.999999999999996,0.32099999999999995,916.0305343511451,29018.93129770992,2.901893129770992,2019,7,48.9,0.05,2.931297709923664,130.5343511450382,2019-07-22 09:25:00,61.499848806144065,61.499848806144065,0.0
316,2019-07-23,Tuesday,2019-07-25,2,11350,P,39.75,12:35:00,67.95,67.95,2019-07-24,09:25:00,0,SL hit,-28.200000000000003,1.077,1063.8297872340424,-31145.74468085106,-3.1145744680851064,2019,7,79.25,21.8,1.9095744680851061,150.93085106382978,2019-07-23 12:35:00,58.385274338058956,61.499848806144065,-3.1145744680851095
22,2019-07-31,Wednesday,2019-08-01,1,11050,C,33.6,10:45:00,61.45,61.45,2019-07-31,11:45:00,0,SL hit,-27.85,0.9505000000000001,1077.1992818671454,-31023.877917414724,-3.102387791741472,2019,7,62.8,33.6,0.0,148.78815080789946,2019-07-31 10:45:00,55.282886546317485,61.499848806144065,-6.21696225982658
23,2019-08-01,Thursday,2019-08-01,0,11100,C,6.85,09:45:00,15.95,0.05,2019-08-01,15:25:00,0,EOD exit,6.8,0.06899999999999999,1801.8018018018017,12127.927927927927,1.2127927927927928,2019,8,8.55,0.05,1.2252252252252251,250.0,2019-08-01 09:45:00,56.495679339110275,61.499848806144065,-5.00416946703379
24,2019-08-05,Monday,2019-08-08,3,10900,C,63.85,09:25:00,89.15,89.15,2019-08-05,12:45:00,0,SL hit,-25.300000000000004,1.53,1185.770750988142,-31814.229249011856,-3.181422924901186,2019,8,90.0,55.0,1.0494071146245059,161.56126482213435,2019-08-05 09:25:00,53.31425641420909,61.499848806144065,-8.185592391934975
25,2019-08-07,Wednesday,2019-08-08,1,11000,C,20.6,11:55:00,53.9,29.2,2019-08-08,15:25:00,0,EOD exit,-8.599999999999998,0.498,900.900900900901,-8196.396396396394,-0.8196396396396395,2019,8,35.45,0.3,1.8288288288288292,123.87387387387389,2019-08-07 11:55:00,52.49461677456945,61.499848806144065,-9.005232031574614
317,2019-08-09,Friday,2019-08-14,5,11050,P,52.8,10:15:00,83.25,83.25,2019-08-13,14:25:00,0,SL hit,-30.450000000000003,1.3605,985.2216748768471,-31340.39408866995,-3.1340394088669945,2019,8,89.15,18.05,3.423645320197043,136.08374384236453,2019-08-09 10:15:00,49.360577365702454,61.499848806144065,-12.139271440441611
26,2019-08-20,Tuesday,2019-08-22,2,11100,C,34.75,09:45:00,51.9,0.05,2019-08-22,15:25:00,0,EOD exit,34.7,0.348,1749.271137026239,60090.962099125376,6.009096209912538,2019,8,50.75,0.05,6.069970845481051,242.71137026239066,2019-08-20 09:45:00,55.36967357561499,61.499848806144065,-6.130175230529076
318,2019-08-27,Tuesday,2019-08-29,2,11100,P,54.5,14:25:00,112.45,112.45,2019-08-28,13:25:00,0,SL hit,-57.95,1.6695,517.6876617773943,-30864.27955133736,-3.086427955133736,2019,8,118.0,41.2,0.6885245901639342,71.82916307161345,2019-08-27 14:25:00,52.28324562048125,61.499848806144065,-9.216603185662812
27,2019-08-28,Wednesday,2019-08-29,1,11150,C,21.35,09:55:00,43.9,0.05,2019-08-29,15:25:00,0,EOD exit,21.3,0.21400000000000002,1330.3769401330378,28052.328159645236,2.8052328159645237,2019,8,25.85,0.05,2.8337028824833705,185.42128603104214,2019-08-28 09:55:00,55.088478436445776,61.499848806144065,-6.4113703696982896
28,2019-08-30,Friday,2019-09-05,6,11000,C,55.15,11:15:00,119.0,0.05,2019-09-05,15:25:00,0,EOD exit,55.1,0.5519999999999999,469.85121378230224,25629.444009397022,2.562944400939702,2019,9,100.5,0.05,2.5888801879404855,64.60454189506656,2019-08-30 11:15:00,57.651422837385475,61.499848806144065,-3.8484259687585904
319,2019-09-05,Thursday,2019-09-05,0,10850,P,5.25,14:55:00,50.35,2.15,2019-09-05,15:25:00,0,EOD exit,3.1,0.07400000000000001,665.1884700665188,2012.860310421286,0.20128603104212858,2019,9,8.75,0.95,0.2860310421286031,90.2161862527716,2019-09-05 14:55:00,57.852708868427605,61.499848806144065,-3.64713993771646
320,2019-09-06,Friday,2019-09-12,6,10850,P,56.25,11:35:00,75.0,0.05,2019-09-12,15:25:00,0,EOD exit,56.2,0.563,1600.0,89019.2,8.901919999999999,2019,9,61.75,0.05,8.992,217.0,2019-09-06 11:35:00,66.7546288684276,66.7546288684276,0.0
29,2019-09-09,Monday,2019-09-12,3,10950,C,47.6,09:15:00,65.0,65.0,2019-09-09,10:05:00,0,SL hit,-17.4,1.126,1724.1379310344828,-31941.379310344826,-3.1941379310344824,2019,9,98.8,44.65,0.5086206896551729,235.9913793103448,2019-09-09 09:15:00,63.56049093739312,66.7546288684276,-3.194137931034483
30,2019-09-12,Thursday,2019-09-12,0,11100,C,6.45,10:55:00,15.45,0.05,2019-09-12,15:25:00,0,EOD exit,6.4,0.065,1801.8018018018017,11414.414414414414,1.1414414414414413,2019,9,6.7,0.05,1.1531531531531531,250.0,2019-09-12 10:55:00,64.70193237883456,66.7546288684276,-2.052696489593046
31,2019-09-16,Monday,2019-09-19,3,11000,C,57.0,13:15:00,109.7,0.05,2019-09-19,15:25:00,0,EOD exit,56.95,0.5705,569.2599620493359,32094.59203036053,3.209459203036053,2019,9,78.6,0.05,3.2419354838709675,78.27324478178367,2019-09-16 13:15:00,67.9113915818706,67.9113915818706,0.0
321,2019-09-23,Monday,2019-09-26,3,11500,P,69.5,10:45:00,133.35,0.05,2019-09-26,15:25:00,0,EOD exit,69.45,0.6955,469.8512137823023,32304.385277995305,3.2304385277995307,2019,9,79.9,0.05,3.2631166797180895,67.54111198120596,2019-09-23 10:45:00,71.14183010967014,71.14183010967014,0.0
32,2019-09-24,Tuesday,2019-09-26,2,11600,C,60.2,13:15:00,134.65,0.05,2019-09-26,15:25:00,0,EOD exit,60.150000000000006,0.6025,402.95500335795833,23994.963062458028,2.399496306245803,2019,9,102.15,0.05,2.4237743451981197,58.42847548690396,2019-09-24 13:15:00,73.54132641591595,73.54132641591595,0.0
33,2019-09-27,Friday,2019-10-03,6,11600,C,62.55,14:35:00,108.8,0.05,2019-10-03,15:25:00,0,EOD exit,62.5,0.626,648.6486486486486,40134.48648648649,4.013448648648649,2019,10,68.45,0.05,4.054054054054054,94.05405405405406,2019-09-27 14:35:00,77.5547750645646,77.5547750645646,0.0
322,2019-09-30,Monday,2019-10-03,3,11450,P,35.95,14:15:00,95.5,95.5,2019-10-01,13:45:00,0,SL hit,-59.55,1.3145,503.77833753148616,-30662.216624685138,-3.0662216624685135,2019,10,108.9,14.4,1.0856423173803529,72.10327455919395,2019-09-30 14:15:00,74.48855340209609,77.5547750645646,-3.0662216624685072
34,2019-10-04,Friday,2019-10-10,6,11400,C,56.05,11:55:00,109.0,0.05,2019-10-10,15:25:00,0,EOD exit,56.0,0.5609999999999999,566.5722379603399,31410.198300283282,3.1410198300283283,2019,10,72.0,0.05,3.1728045325779033,80.73654390934844,2019-10-04 11:55:00,77.62957323212441,77.62957323212441,0.0
323,2019-10-16,Wednesday,2019-10-17,1,11450,P,47.8,09:25:00,62.25,62.25,2019-10-16,09:45:00,0,SL hit,-14.450000000000003,1.1005,1746.7248908296942,-27162.445414847167,-2.7162445414847167,2019,10,65.9,43.45,0.759825327510916,250.0,2019-10-16 09:25:00,74.9133286906397,77.62957323212441,-2.7162445414847127
324,2019-10-22,Tuesday,2019-10-24,2,11650,P,60.3,11:55:00,94.4,94.4,2019-10-22,13:45:00,0,SL hit,-34.10000000000001,1.547,879.7653958944279,-31360.997067448676,-3.1360997067448673,2019,10,99.0,47.3,1.1436950146627565,128.11583577712605,2019-10-22 11:55:00,71.77722898389483,77.62957323212441,-5.852344248229585
35,2019-10-22,Tuesday,2019-10-24,2,11700,C,39.7,13:35:00,73.3,0.05,2019-10-24,15:25:00,0,EOD exit,39.650000000000006,0.3975,892.857142857143,35046.87500000001,3.5046875000000006,2019,10,40.65,0.05,3.5401785714285725,130.58035714285717,2019-10-22 13:35:00,75.28191648389483,77.62957323212441,-2.347656748229582
36,2019-10-25,Friday,2019-10-31,6,11650,C,38.55,12:35:00,94.95,94.95,2019-10-29,10:05:00,0,SL hit,-56.400000000000006,1.335,531.9148936170212,-30710.106382978724,-3.071010638297872,2019,10,106.7,29.3,0.49202127659574446,77.46010638297872,2019-10-25 12:35:00,72.21090584559695,77.62957323212441,-5.41866738652746
325,2019-10-25,Friday,2019-10-31,6,11600,P,70.3,14:25:00,141.6,0.05,2019-10-31,15:25:00,0,EOD exit,70.25,0.7034999999999999,420.75736325385697,29262.20196353436,2.926220196353436,2019,10,74.55,0.05,2.955820476858345,61.009817671809266,2019-10-25 14:25:00,75.1371260419504,77.62957323212441,-2.492447190174019
326,2019-11-04,Monday,2019-11-07,3,11900,P,47.15,09:25:00,65.0,65.0,2019-11-04,11:55:00,0,SL hit,-17.85,1.1215000000000002,1680.672268907563,-31884.873949579836,-3.188487394957984,2019,11,67.65,40.1,1.1848739495798315,250.0,2019-11-04 09:25:00,71.9486386469924,77.62957323212441,-5.680934585132007
37,2019-11-05,Tuesday,2019-11-07,2,12000,C,28.75,11:35:00,46.0,46.0,2019-11-06,13:25:00,0,SL hit,-17.25,0.7475,1666.6666666666665,-29995.83333333333,-2.999583333333333,2019,11,48.95,6.5,3.708333333333333,250.0,2019-11-05 11:35:00,68.94905531365907,77.62957323212441,-8.680517918465341
327,2019-11-06,Wednesday,2019-11-07,1,11900,P,29.25,11:35:00,74.25,0.05,2019-11-07,15:25:00,0,EOD exit,29.2,0.29300000000000004,666.6666666666666,19271.333333333332,1.9271333333333331,2019,11,31.5,0.05,1.9466666666666663,99.16666666666666,2019-11-06 11:35:00,70.8761886469924,77.62957323212441,-6.753384585132011
328,2019-11-08,Friday,2019-11-14,6,11950,P,43.9,12:55:00,82.75,82.75,2019-11-08,15:05:00,0,SL hit,-38.85,1.2665000000000002,772.2007722007721,-30977.992277992278,-3.0977992277992277,2019,11,86.2,37.6,0.4864864864864862,115.34749034749035,2019-11-08 12:55:00,67.77838941919318,77.62957323212441,-9.85118381293124
38,2019-11-08,Friday,2019-11-14,6,12000,C,49.8,14:45:00,102.4,0.05,2019-11-14,15:25:00,0,EOD exit,49.75,0.49849999999999994,570.3422053231939,28090.20912547528,2.809020912547528,2019,11,50.15,0.05,2.8374524714828895,85.55133079847907,2019-11-08 14:45:00,70.5874103317407,77.62957323212441,-7.042162900383715
39,2019-11-18,Monday,2019-11-21,3,11950,C,39.0,11:25:00,61.9,61.9,2019-11-19,11:55:00,0,SL hit,-22.9,1.0090000000000001,1310.043668122271,-31321.834061135374,-3.1321834061135374,2019,11,64.25,31.05,1.0414847161572052,195.6877729257642,2019-11-18 11:25:00,67.45522692562716,77.62957323212441,-10.174346306497256
329,2019-11-19,Tuesday,2019-11-21,2,11900,P,43.0,10:35:00,64.45,0.05,2019-11-21,15:25:00,0,EOD exit,42.95,0.4305,1398.6013986013984,59467.83216783216,5.946783216783215,2019,11,46.8,0.05,6.006993006993007,208.041958041958,2019-11-19 10:35:00,73.40201014241038,77.62957323212441,-4.227563089714039
40,2019-11-22,Friday,2019-11-28,6,12000,C,36.5,11:25:00,67.45,67.45,2019-11-25,11:25:00,0,SL hit,-30.950000000000003,1.0395,969.3053311793213,-31007.5928917609,-3.1007592891760902,2019,11,69.7,29.2,0.7075928917609047,145.3957996768982,2019-11-22 11:25:00,70.30125085323428,77.62957323212441,-7.328322378890135
330,2019-11-25,Monday,2019-11-28,3,11900,P,29.65,09:25:00,55.1,0.05,2019-11-28,15:25:00,0,EOD exit,29.599999999999998,0.297,1178.7819253438113,34541.8467583497,3.4541846758349695,2019,11,31.6,0.05,3.489194499017681,175.34381139489193,2019-11-25 09:25:00,73.75543552906925,77.62957323212441,-3.874137703055169
41,2019-12-02,Monday,2019-12-05,3,12150,C,21.5,10:25:00,39.6,0.05,2019-12-05,15:25:00,0,EOD exit,21.45,0.21550000000000002,1646.0905349794239,34953.90946502057,3.4953909465020576,2019,12,33.7,0.05,3.5308641975308634,250.0,2019-12-02 10:25:00,77.2508264755713,77.62957323212441,-0.3787467565531131
42,2019-12-06,Friday,2019-12-12,6,12050,C,42.1,11:15:00,71.0,0.05,2019-12-12,15:25:00,0,EOD exit,42.050000000000004,0.4215,1038.0622837370242,43212.975778546715,4.321297577854671,2019,12,47.15,0.05,4.365051903114188,156.3581314878893,2019-12-06 11:15:00,81.57212405342597,81.57212405342597,0.0
