,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
0,2019-01-25,Friday,2019-01-31,6,10900,C,86.2,11:18:00,108.95,0.05,2019-01-31,15:21:00,0,EOD exit,86.15,0.8625,1318.6813186813188,112467.03296703298,11.246703296703298,2019,1,89.55,0.05,11.360439560439561,179.67032967032966
600,2019-01-25,Friday,2019-01-31,6,10850,P,43.8,09:15:00,58.85,58.85,2019-01-25,13:36:00,0,SL hit,-15.050000000000004,1.0265,1474.6543778801843,-23707.281105990787,-2.3707281105990785,2019,1,61.0,37.75,0.892165898617511,200.0
602,2019-01-29,Tuesday,2019-01-31,2,10600,P,48.65,14:54:00,71.65,0.05,2019-01-31,15:21:00,0,EOD exit,48.6,0.487,1304.347826086956,62756.086956521714,6.2756086956521715,2019,1,54.9,0.05,6.339130434782607,172.8260869565217
601,2019-01-29,Tuesday,2019-01-31,2,10650,P,51.35,12:21:00,78.1,78.1,2019-01-29,12:51:00,0,SL hit,-26.749999999999993,1.2945,1121.4953271028041,-31451.77570093458,-3.145177570093458,2019,1,78.35,50.25,0.12336448598130863,149.2990654205608
1,2019-02-11,Monday,2019-02-14,3,10950,C,28.1,13:48:00,71.1,0.05,2019-02-14,15:27:00,0,EOD exit,28.05,0.28150000000000003,697.6744186046512,19373.372093023256,1.9373372093023256,2019,2,45.5,0.05,1.956976744186047,95.49418604651163
603,2019-02-11,Monday,2019-02-14,3,11000,P,121.9,11:51:00,151.8,151.8,2019-02-12,14:45:00,0,SL hit,-29.900000000000006,2.7370000000000005,1003.344481605351,-32746.153846153848,-3.2746153846153847,2019,2,155.0,91.0,3.100334448160535,137.95986622073576
604,2019-02-14,Thursday,2019-02-14,0,10750,P,7.35,13:57:00,32.5,0.5,2019-02-14,15:21:00,0,EOD exit,6.85,0.0785,1192.8429423459245,8077.335984095427,0.8077335984095426,2019,2,14.4,0.5,0.8170974155069584,160.28827037773362
2,2019-02-15,Friday,2019-02-21,6,10800,C,46.7,09:54:00,73.0,0.05,2019-02-21,15:21:00,0,EOD exit,46.650000000000006,0.4675,1140.684410646388,52679.657794676816,5.267965779467682,2019,2,54.7,0.05,5.3212927756654,153.9923954372624
605,2019-02-15,Friday,2019-02-21,6,10750,P,117.9,13:42:00,157.2,157.2,2019-02-19,15:12:00,0,SL hit,-39.29999999999998,2.7510000000000003,763.3587786259545,-32100.0,-3.2099999999999995,2019,2,158.85,55.95,4.729007633587789,102.57633587786263
606,2019-02-20,Wednesday,2019-02-21,1,10650,P,23.75,12:39:00,59.35,0.05,2019-02-21,15:21:00,0,EOD exit,23.7,0.23800000000000002,842.6966292134831,19771.34831460674,1.977134831460674,2019,2,41.75,0.05,1.9971910112359552,112.18398876404494
