Signal Time,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Remark,Qty,PnL,PnL w cs,ROI%,Trade Year
2015-01-06 09:15:00,2015-01-06 10:15:00,27230.17,27923.29,2015-01-06 12:15:00,27285.61,-55.44000000000233,RSI Oversold,1836.1985988335732,-101798.85031933758,-111809.0302043695,-1.118090302043695,2015
2015-01-06 13:15:00,2015-01-06 14:15:00,27206.84,27322.06,2015-01-07 14:15:00,26898.07,308.77000000000044,RSI Oversold,1837.7731482230204,567449.2149768228,557505.9598983205,5.575059598983205,2015
2015-01-14 11:15:00,2015-01-14 12:15:00,27314.26,27512.8,2015-01-14 13:15:00,27359.39,-45.13000000000102,RSI Oversold,1830.545656371434,-82612.52547204468,-92620.78672459189,-0.9262078672459189,2015
2015-01-30 12:15:00,2015-01-30 13:15:00,29255.66,29613.51,2015-01-30 13:15:00,29153.7,101.95999999999913,RSI Oversold,1709.0709968600947,174256.87883985377,164274.30452773775,1.6427430452773777,2015
2015-01-30 15:15:00,2015-02-02 09:15:00,29138.51,29340.9,2015-02-02 09:15:00,29059.87,78.63999999999942,RSI Oversold,1715.9422358933248,134941.69743065006,124955.19160039313,1.2495519160039312,2015
2015-02-02 10:15:00,2015-02-02 11:15:00,29048.78,29221.57,2015-02-02 11:15:00,29009.79,38.98999999999796,RSI Oversold,1721.242682136737,67111.25217650787,57117.96330172551,0.571179633017255,2015
2015-02-03 09:15:00,2015-02-03 10:15:00,29115.97,29253.06,2015-02-03 10:15:00,29226.68,-110.70999999999913,RSI Oversold,1717.2706250212511,-190119.0308961012,-200138.04279919082,-2.001380427991908,2015
2015-02-03 11:15:00,2015-02-03 12:15:00,28901.07,29253.06,2015-02-03 12:15:00,28926.17,-25.099999999998545,RSI Oversold,1730.039752853441,-43423.99779661885,-53428.340196398516,-0.5342834019639852,2015
2015-02-03 14:15:00,2015-02-03 15:15:00,28983.97,29116.63,2015-02-03 15:15:00,28969.4,14.569999999999709,RSI Oversold,1725.091490227184,25134.58301260957,15137.096470910832,0.15137096470910832,2015
2015-02-04 09:15:00,2015-02-04 10:15:00,28930.23,29133.62,2015-02-04 10:15:00,28967.89,-37.659999999999854,RSI Oversold,1728.2959727592902,-65087.62633411462,-75094.13509674802,-0.7509413509674803,2015
2015-02-04 11:15:00,2015-02-04 12:15:00,28956.69,29133.62,2015-02-04 12:15:00,29060.54,-103.85000000000218,RSI Oversold,1726.7166931026993,-179319.5285787191,-189337.46053157694,-1.8933746053157694,2015
2015-02-04 13:15:00,2015-02-04 14:15:00,28983.59,29093.83,2015-02-04 14:15:00,28889.7,93.88999999999942,RSI Oversold,1725.114107672652,161970.96356938427,151987.16066574122,1.5198716066574123,2015
2015-02-05 10:15:00,2015-02-05 11:15:00,28955.66,29054.26,2015-02-05 11:15:00,28972.75,-17.090000000000146,RSI Oversold,1726.7781152285943,-29510.637989256928,-39513.58905305586,-0.39513589053055864,2015
2015-02-05 14:15:00,2015-02-05 15:15:00,28839.15,29277.83,2015-02-05 15:15:00,28825.52,13.630000000001019,RSI Oversold,1733.754288874672,23631.070957363547,13633.434064459281,0.13633434064459282,2015
2015-02-06 09:15:00,2015-02-06 10:15:00,28791.71,29248.99,2015-02-06 10:15:00,28781.74,9.969999999997526,RSI Oversold,1736.6109897605943,17314.01156790883,7315.74296906562,0.0731574296906562,2015
